task_code,display_name_tr,display_name_en,component_group,product_status,support_class,generating_process,test_support,test_prevalence,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall,test_brier,pr_auc_lift_over_prevalence,note
CVT_BELT_INSPECTION,CVT Kayışı Kontrolü,CVT Belt Inspection,TRANSMISSION,PRIMARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,245,0.073,0.1736,0.7791,0.0569,0.2222,0.0327,0.0655,2.378,"CORE label, TEST PR-AUC 0.174 on 245 positives (2.4x prevalence)."
CVT_CASE_INSPECTION,CVT Kutu Kontrolü,CVT Case Inspection,TRANSMISSION,PRIMARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,254,0.0756,0.159,0.7607,0.0,0.0,0.0,0.0677,2.103,"CORE label, TEST PR-AUC 0.159 on 254 positives (2.1x prevalence)."
FRONT_TIRE_CHANGE,Ön Lastik Değişimi,Front Tire Replacement,TIRES_WHEELS,SECONDARY,B_LOW_FREQUENCY,F_MIXED_THRESHOLD_AND_BUNDLE,467,0.0791,0.1978,0.7501,0.1748,0.248,0.1349,0.0717,2.501,real but weaker signal: TEST PR-AUC 0.198 = 2.5x prevalence on 467 positives.
COOLANT_LEVEL_CHECK,Soğutma Sıvısı Seviye Kontrolü,Coolant Level Check,COOLING,SECONDARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,145,0.0831,0.1443,0.7253,0.0,0.0,0.0,0.0785,1.736,real but weaker signal: TEST PR-AUC 0.144 = 1.7x prevalence on 145 positives.
CVT_BELT_CHANGE,CVT Kayışı Değişimi,CVT Belt Replacement,TRANSMISSION,SECONDARY,A_CORE,A_DETERMINISTIC_THRESHOLD,136,0.0405,0.1362,0.8065,0.0276,0.2222,0.0147,0.0376,3.363,real but weaker signal: TEST PR-AUC 0.136 = 3.4x prevalence on 136 positives.
FORK_INSPECTION,Ön Amortisör Kontrolü,Front Fork Inspection,SUSPENSION,SECONDARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,219,0.0371,0.116,0.7941,0.1024,0.2027,0.0685,0.0358,3.127,real but weaker signal: TEST PR-AUC 0.116 = 3.1x prevalence on 219 positives.
CVT_ROLLER_INSPECTION,Varyatör Ruloları Kontrolü,CVT Roller Inspection,TRANSMISSION,SECONDARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,182,0.0542,0.1078,0.7541,0.0,0.0,0.0,0.0504,1.989,real but weaker signal: TEST PR-AUC 0.108 = 2.0x prevalence on 182 positives.
FRONT_BRAKE_PAD_INSPECTION,Ön Fren Balatası Kontrolü,Front Brake Pad Inspection,BRAKES,SECONDARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,176,0.0298,0.1008,0.8085,0.0219,0.2857,0.0114,0.028,3.383,real but weaker signal: TEST PR-AUC 0.101 = 3.4x prevalence on 176 positives.
SPARK_PLUG_INSPECTION,Buji Kontrolü,Spark Plug Inspection,IGNITION,SECONDARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,116,0.0197,0.0959,0.8347,0.032,0.2222,0.0172,0.0188,4.868,real but weaker signal: TEST PR-AUC 0.096 = 4.9x prevalence on 116 positives.
VALVE_CLEARANCE_INSPECTION,Supap Boşluğu Kontrolü,Valve Clearance Inspection,ENGINE,SECONDARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,183,0.031,0.091,0.7919,0.0211,0.2857,0.0109,0.0294,2.935,real but weaker signal: TEST PR-AUC 0.091 = 2.9x prevalence on 183 positives.
FRONT_TIRE_INSPECTION,Ön Lastik Kontrolü,Front Tire Inspection,TIRES_WHEELS,SECONDARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,123,0.0208,0.0813,0.7895,0.0301,0.2,0.0163,0.0202,3.909,real but weaker signal: TEST PR-AUC 0.081 = 3.9x prevalence on 123 positives.
FINAL_GEAR_OIL_CHANGE,Son Dişli Yağı Değişimi,Final Gear Oil Change,TRANSMISSION,SECONDARY,A_CORE,A_DETERMINISTIC_THRESHOLD,112,0.0334,0.0677,0.7277,0.0,0.0,0.0,0.0323,2.027,real but weaker signal: TEST PR-AUC 0.068 = 2.0x prevalence on 112 positives.
WHEEL_BEARING_INSPECTION,Teker Rulmanı Kontrolü,Wheel Bearing Inspection,TIRES_WHEELS,SECONDARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,154,0.0261,0.0671,0.781,0.0,0.0,0.0,0.0251,2.571,real but weaker signal: TEST PR-AUC 0.067 = 2.6x prevalence on 154 positives.
SPARK_PLUG_CHANGE,Buji Değişimi,Spark Plug Replacement,IGNITION,SECONDARY,A_CORE,A_DETERMINISTIC_THRESHOLD,83,0.0141,0.0616,0.8348,0.0,0.0,0.0,0.0136,4.369,real but weaker signal: TEST PR-AUC 0.062 = 4.4x prevalence on 83 positives.
COOLANT_CHANGE,Soğutma Sıvısı Değişimi,Coolant Replacement,COOLING,SECONDARY,B_LOW_FREQUENCY,A_DETERMINISTIC_THRESHOLD,57,0.0327,0.0584,0.6905,0.0,0.0,0.0,0.0334,1.786,real but weaker signal: TEST PR-AUC 0.058 = 1.8x prevalence on 57 positives.
REAR_TIRE_INSPECTION,Arka Lastik Kontrolü,Rear Tire Inspection,TIRES_WHEELS,LOW_CONFIDENCE,A_CORE,D_STOCHASTIC_BUNDLE_ATTACHMENT,75,0.0127,0.0435,0.7914,0.0,0.0,0.0,0.0125,3.425,TEST PR-AUC 0.043 vs prevalence 0.0127 (lift 3.4x) - separation too weak to present with confidence.
REAR_BRAKE_PAD_INSPECTION,Arka Fren Balatası Kontrolü,Rear Brake Pad Inspection,BRAKES,LOW_CONFIDENCE,A_CORE,D_STOCHASTIC_BUNDLE_ATTACHMENT,69,0.0117,0.0317,0.7803,0.0,0.0,0.0,0.0117,2.709,TEST PR-AUC 0.032 vs prevalence 0.0117 (lift 2.7x) - separation too weak to present with confidence.
STEERING_BEARING_INSPECTION,Gidon Rulmanı Kontrolü,Steering Head Bearing Inspection,STEERING,LOW_CONFIDENCE,B_LOW_FREQUENCY,D_STOCHASTIC_BUNDLE_ATTACHMENT,55,0.0093,0.0226,0.7718,0.0,0.0,0.0,0.0093,2.43,TEST PR-AUC 0.023 vs prevalence 0.0093 (lift 2.4x) - separation too weak to present with confidence.
REAR_TIRE_CHANGE,Arka Lastik Değişimi,Rear Tire Replacement,TIRES_WHEELS,LOW_CONFIDENCE,B_LOW_FREQUENCY,B_STOCHASTIC_WEAR,21,0.0036,0.0112,0.6823,0.0,0.0,0.0,0.0035,3.111,only 21 TEST positives - metrics carry wide uncertainty.
FUEL_SYSTEM_DIAGNOSTIC,Yakıt Sistemi Arıza Teşhisi,Fuel System Diagnostic,FUEL,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_BREAKDOWN_RANDOM_EVENT,199,0.0338,0.0526,0.565,0.0,0.0,0.0,0.0328,1.556,Phase-9 generating process E_BREAKDOWN_RANDOM_EVENT: a random event conditioned only on a service happening at all. TEST PR-AUC 0.053 at prevalence 0.0338 - no landmark observable predicts it.
ENGINE_COMPRESSION_TEST,Motor Kompresyon Testi,Engine Compression Test,ENGINE,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_BREAKDOWN_RANDOM_EVENT,180,0.0305,0.0441,0.6154,0.0,0.0,0.0,0.0298,1.446,Phase-9 generating process E_BREAKDOWN_RANDOM_EVENT: a random event conditioned only on a service happening at all. TEST PR-AUC 0.044 at prevalence 0.0305 - no landmark observable predicts it.
ABS_DIAGNOSTIC,ABS Sistem Teşhisi,ABS System Diagnostic,BRAKES,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_BREAKDOWN_RANDOM_EVENT,184,0.0312,0.0408,0.5761,0.0,0.0,0.0,0.0309,1.308,Phase-9 generating process E_BREAKDOWN_RANDOM_EVENT: a random event conditioned only on a service happening at all. TEST PR-AUC 0.041 at prevalence 0.0312 - no landmark observable predicts it.
ENGINE_FAULT_DIAGNOSTIC,Motor Arıza Teşhisi,Engine Fault Diagnostic,ENGINE,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_BREAKDOWN_RANDOM_EVENT,28,0.0047,0.0227,0.7661,0.0,0.0,0.0,0.0047,4.83,Phase-9 generating process E_BREAKDOWN_RANDOM_EVENT: a random event conditioned only on a service happening at all. TEST PR-AUC 0.023 at prevalence 0.0047 - no landmark observable predicts it.
WHEEL_BALANCE,Teker Balans Ayarı,Wheel Balancing,TIRES_WHEELS,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,26,0.0044,0.0197,0.7258,0.0,0.0,0.0,0.0044,4.477,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.020 at prevalence 0.0044 - no landmark observable predicts it.
THROTTLE_BODY_CLEAN,Gaz Kelebeği Temizliği,Throttle Body Cleaning,INTAKE,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,20,0.0034,0.0164,0.7615,0.0,0.0,0.0,0.0034,4.824,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.016 at prevalence 0.0034 - no landmark observable predicts it.
BRAKE_DISC_CHANGE,Fren Diski Değişimi,Brake Disc Replacement,BRAKES,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,27,0.0046,0.0119,0.6952,0.0,0.0,0.0,0.0046,2.587,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.012 at prevalence 0.0046 - no landmark observable predicts it.
ECU_DIAGNOSTIC_SCAN,ECU Arıza Taraması,ECU Diagnostic Scan,ELECTRICAL,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_BREAKDOWN_RANDOM_EVENT,41,0.0069,0.0111,0.6708,0.0,0.0,0.0,0.0069,1.609,Phase-9 generating process E_BREAKDOWN_RANDOM_EVENT: a random event conditioned only on a service happening at all. TEST PR-AUC 0.011 at prevalence 0.0069 - no landmark observable predicts it.
WHEEL_BEARING_CHANGE,Teker Rulmanı Değişimi,Wheel Bearing Replacement,TIRES_WHEELS,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,26,0.0044,0.0082,0.6963,0.0,0.0,0.0,0.0044,1.864,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.008 at prevalence 0.0044 - no landmark observable predicts it.
VALVE_CLEARANCE_ADJUST,Supap Boşluğu Ayarı,Valve Clearance Adjustment,ENGINE,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,21,0.0036,0.008,0.6711,0.0,0.0,0.0,0.0036,2.222,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.008 at prevalence 0.0036 - no landmark observable predicts it.
BRAKE_SYSTEM_BLEED,Fren Sisteminin Havasını Alma,Brake System Bleeding,BRAKES,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,29,0.0049,0.0072,0.6141,0.0,0.0,0.0,0.0049,1.469,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.007 at prevalence 0.0049 - no landmark observable predicts it.
STEERING_BEARING_CHANGE,Gidon Rulmanı Değişimi,Steering Head Bearing Replacement,STEERING,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,17,0.0029,0.0066,0.6857,0.0,0.0,0.0,0.0029,2.276,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.007 at prevalence 0.0029 - no landmark observable predicts it.
FORK_SEAL_CHANGE,Amortisör Keçesi Değişimi,Fork Seal Replacement,SUSPENSION,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,16,0.0027,0.0045,0.6664,0.0,0.0,0.0,0.0027,1.667,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.004 at prevalence 0.0027 - no landmark observable predicts it.
FUEL_INJECTOR_CLEAN,Enjektör Temizliği,Fuel Injector Cleaning,FUEL,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,21,0.0036,0.0044,0.5745,0.0,0.0,0.0,0.0036,1.222,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.004 at prevalence 0.0036 - no landmark observable predicts it.
BATTERY_CHANGE,Akü Değişimi,Battery Replacement,ELECTRICAL,HIDDEN_BY_DEFAULT,B_LOW_FREQUENCY,E_INSPECTION_FINDING_RANDOM,17,0.0029,0.0042,0.5707,0.0,0.0,0.0,0.0029,1.448,Phase-9 generating process E_INSPECTION_FINDING_RANDOM: a random event conditioned only on a service happening at all. TEST PR-AUC 0.004 at prevalence 0.0029 - no landmark observable predicts it.
