model_id,brand,model,variant,category,powertrain_type,engine_cc,cooling_type,final_drive_type,transmission_type,model_year_from,model_year_to,spec_reference_year,policy_group,spec_confidence,local_source_type,local_primary_source_url
SYM_JETX125,SYM,Jet X 125 TCS ABS,current TR listing,SCOOTER,ICE,125.0,LIQUID,V_BELT,CVT,2015.0,2026.0,,ICE_125_LIQUID_BELT,HIGH,OFFICIAL,https://www.sym-tr.com/jet-x-tcs-abs-liquid-cooling/
HONDA_SH125I,Honda,SH125i,current TR listing,SCOOTER,ICE,125.0,LIQUID,V_BELT,CVT,2016.0,2026.0,,ICE_125_LIQUID_BELT,HIGH,OFFICIAL,https://www.honda.com.tr/motosiklet/modeller/scooter/honda-sh125i
HONDA_ADV350,Honda,ADV350,current TR listing,BIG_SCOOTER,ICE,330.0,LIQUID,V_BELT,CVT,2017.0,2026.0,,ICE_350_LIQUID_BELT,HIGH,OFFICIAL,https://www.honda.com.tr/assets/files/2NedW1EnX71707825166477.pdf
CFMOTO_250NK,CFMOTO,250NK,current TR listing,NAKED,ICE,249.0,LIQUID,CHAIN,MANUAL_6,2016.0,2026.0,,ICE_250_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.cfmoto.com.tr/urunler/250-nk
CFMOTO_250SR,CFMOTO,250SR,current TR listing,SUPERSPORT,ICE,249.0,LIQUID,CHAIN,MANUAL_6,2017.0,2026.0,,ICE_250_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.cfmoto.com.tr/urunler/250-sr
HONDA_CL250,Honda,CL250,current TR brochure,SCRAMBLER,ICE,249.0,LIQUID,CHAIN,MANUAL_6,2017.0,2026.0,,ICE_250_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.honda.com.tr/assets/files/ktQm2lsfBG1690448554904.pdf
KYMCO_XTOWN_CT250,KYMCO,X-Town CT 250,current TR listing,BIG_SCOOTER,ICE,249.0,LIQUID,V_BELT,CVT,2017.0,2026.0,,ICE_250_LIQUID_BELT,HIGH,OFFICIAL,https://www.kymco.com.tr/tr/x-town-ct-250.html
TVS_APACHE_RTR200_4V,TVS,Apache RTR 200 4V FI,current,NAKED,ICE,197.75,OIL,CHAIN,MANUAL_5,2016.0,2026.0,,ICE_200_OIL_CHAIN,HIGH,OFFICIAL,https://turkiye.tvsmotor.com/tr/p/our-products/apache-rtr-200-4v-fi-tr
YAMAHA_XSR125,Yamaha,XSR125,2024 EU spec,NAKED,ICE,124.0,LIQUID,CHAIN,MANUAL_6,2017.0,2024.0,2024.0,ICE_125_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.yamaha-motor.eu/is/en/motorcycles/sport-heritage/pdp/xsr125-2024/
BAJAJ_DOMINAR250,Bajaj,Dominar D250,current TR listing,TOURING,ICE,248.77,LIQUID,CHAIN,MANUAL_6,2017.0,2025.0,,ICE_250_LIQUID_CHAIN,MEDIUM,OFFICIAL,https://bajajturkiye.com.tr/product/dominar-d-250/
MONDIAL_EXON50,Mondial,Exon 50,current,SCOOTER,ICE,49.6,AIR,V_BELT,AUTOMATIC,2016.0,2026.0,,ICE_50_AIR_BELT,HIGH,OFFICIAL,https://www.mondialmotor.com.tr/model/exon-50
ROYALENFIELD_HUNTER350,Royal Enfield,Hunter 350,current spec,ROADSTER,ICE,349.0,OIL,CHAIN,MANUAL_5,2016.0,2026.0,,ICE_350_OIL_CHAIN,MEDIUM,OFFICIAL,https://www.royalenfield.com/content/dam/royal-enfield/usa/motorcycles/hunter-350/royal-enfield-hunter-350-technical-specifications-english.pdf
CFMOTO_250CLX,CFMOTO,250CL-X,current TR listing,ROADSTER,ICE,249.0,LIQUID,CHAIN,MANUAL_6,2017.0,2025.0,,ICE_250_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.cfmoto.com.tr/urunler/250cl-x
CFMOTO_250DUAL,CFMOTO,250 DUAL,current TR listing,ADVENTURE,ICE,249.0,LIQUID,CHAIN,MANUAL_6,2017.0,2026.0,,ICE_250_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.cfmoto.com.tr/urunler/250-dual
KTM_390_DUKE,KTM,390 Duke,2026 TR spec,NAKED,ICE,398.7,LIQUID,CHAIN,MANUAL_6,2018.0,2025.0,2026.0,ICE_400_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.ktm.com/en-tr/models/naked-bike/2026-ktm-390-duke/technical-specifications.html
MONDIAL_TURISMO50I,Mondial,Turismo 50i,current,SCOOTER,ICE,49.6,AIR,V_BELT,AUTOMATIC,2016.0,2026.0,,ICE_50_AIR_BELT,HIGH,OFFICIAL,https://www.mondialmotor.com.tr/model/turismo-50
CFMOTO_450NK,CFMOTO,450NK,current TR listing,NAKED,ICE,449.5,LIQUID,CHAIN,MANUAL_6,2017.0,2026.0,,ICE_450_TWIN_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.cfmoto.com.tr/urunler/450-nk
KYMCO_DOWNTOWN250I,KYMCO,Downtown 250i,current TR listing,BIG_SCOOTER,ICE,246.0,LIQUID,V_BELT,CVT,2016.0,2026.0,,ICE_250_LIQUID_BELT,HIGH,OFFICIAL,https://www.kymco.com.tr/tr/downtown-250i.html
HONDA_MONKEY,Honda,Monkey,current TR listing,MINI_BIKE,ICE,124.0,AIR,CHAIN,MANUAL_5,2018.0,2024.0,,ICE_125_AIR_CHAIN,HIGH,OFFICIAL,https://www.honda.com.tr/motosiklet/modeller/naked/honda-monkey/ozellikler
CFMOTO_450CLC,CFMOTO,450 CL-C,current TR listing,CRUISER,ICE,449.0,LIQUID,BELT,MANUAL_6,2019.0,2025.0,,ICE_450_TWIN_LIQUID_BELT,MEDIUM,OFFICIAL,https://www.cfmoto.com.tr/urunler/450cl-c
CFMOTO_650NK,CFMOTO,650NK,current TR listing,NAKED,ICE,649.0,LIQUID,CHAIN,MANUAL_6,2017.0,2025.0,,ICE_650_TWIN_LIQUID_CHAIN,HIGH,OFFICIAL,https://www.cfmoto.com.tr/urunler/650-nk
HONDA_EM1E,Honda,EM1 e:,current TR listing,EV_SCOOTER,EV,,NONE,DIRECT,DIRECT_DRIVE,2021.0,2023.0,2023.0,EV_HUB_MOTOR,HIGH,OFFICIAL,https://www.honda.com.tr/motosiklet/modeller/scooter/honda-em1-e/ozellikler
