brand,model,variant,missing_information,official_manual_found,maintenance_table_found,year_resolved,market_resolved,reason,recommended_next_action
CFMOTO,250NK,current TR listing,"Several chart checkmark columns not machine-readable from the PDF (spark plug replace km LOW; coolant/throttle/suspension/steering repeat intervals inferred as ~10,000 km from alternating marks).",YES,YES,UNKNOWN,PARTIAL,CFMOTO owner's manual (English export edition) located; the full Periodic Maintenance Chart (engine / chassis / periodic replacement) extracted.,Confirm spark-plug and alternating-column intervals against manual pages 52-68; check whether a CFMOTO Turkiye schedule differs.
CFMOTO,250SR,current TR listing,"Full periodic maintenance schedule. The CF250-A single-cylinder engine is documented in the CFMOTO 250NK owner's manual (see MT_CFMOTO_250NK_* rows); the 250SR's own owner's manual was only found on paywalled/bot-blocked mirrors (ManualsLib, cfmotousa.com Cloudflare).",PARTIAL,NO,NO,NO,No independently fetchable official 250SR owner's manual; no-copy rule prevents propagating the 250NK schedule.,Obtain the CFMOTO 250SR owner's manual (CFMOTO Turkiye / EU dealer) and extract its Periodic Maintenance Chart; expect it to match the CF250-A engine schedule with an SR-specific chassis section.
Honda,CL250,current TR brochure,"Per-km schedule intervals. Official Honda owner's manual located (Honda UK / hondamotopub.com), but Honda's maintenance-schedule tables store the per-km Inspect/Clean/Lubricate/Replace marks as embedded graphics that are NOT text-extractable, and the Honda CDNs (cdn.powersports.honda.com, hondamotopub.com) bot-block automated download. Only running-in (500 km) and time-based rows are readable.",YES,NO,NO,NO,"Honda CL250/CL300 (scrambler) owner's manual exists; not parsed (graphic schedule marks, CDN block).",Open the model's Honda owner's manual 'Maintenance Schedule' pages by hand and transcribe the per-km Inspect/Replace/Clean columns.
KYMCO,X-Town CT 250,current TR listing,"The wide schedule grid's per-column I/C/R cells were jumbled in PDF extraction; spark-plug, valve-clearance, transmission-oil and radiator-coolant km intervals are LOW/MEDIUM. The numbered NOTES and the CT250/300 explicit remarks are HIGH.",YES,YES,APPROXIMATE,EXACT,Official KYMCO owner's manual located (KYMCO Cyprus distributor); the CT250/300 maintenance schedule chart + numbered notes extracted.,Read the printed CT250/300 chart pages 34-35 to fix spark-plug / valve-clearance / transmission-oil / coolant km columns.
TVS,Apache RTR 200 4V FI,current,None material.,YES,YES,UNKNOWN,PARTIAL,Official TVS owner's manual located; Periodic Maintenance Schedule extracted cleanly with codes and explicit remark intervals.,Confirm whether a TVS Turkiye service schedule differs from the India BS VI schedule.
Yamaha,XSR125,2024 EU spec,"A few km columns (spark plug, valve clearance, air filter element) inferred from checkmark counts against the standard grid.",YES,YES,APPROXIMATE,EXACT,Official Yamaha owner's manual BFG-F8199-E0 located; emission-control and general maintenance/lubrication charts extracted.,Spot-check the spark-plug/valve/air-filter column mapping against manual pages 6-3..6-6.
Bajaj,Dominar D250,current TR listing,"Spark-plug REPLACE interval not stated (only clean at 10,000 km).",YES,YES,APPROXIMATE,PARTIAL,Official Bajaj Auto owner's manual located; the Periodic Maintenance & Lubrication Chart 'Remarks' column extracted cleanly with explicit intervals.,Confirm spark-plug replace interval; check whether a Bajaj Turkiye schedule differs.
Mondial,Exon 50,current,"Some K/A/T/D cells span merged columns in the PDF; a few first-due columns (valve clearance, air-filter replace) inferred from where the codes start. Cooling-system row is generic (model is air-cooled).",YES,YES,UNKNOWN,EXACT,Official Mondial Motor Turkiye owner/maintenance manual located; Periyodik Bakim Tablosu extracted with its K/A/B/T/D legend.,"Confirm the merged-column cells against the printed table; verify engine-oil interval (1,000 km scooter vs 2,000 km cub)."
Royal Enfield,Hunter 350,current spec,Fuel-filter interval column and a few chart cells not fully machine-readable.,YES,YES,PARTIAL,PARTIAL,Official Royal Enfield Hunter 350 owner's manual located; PERIODICAL MAINTENANCE chart extracted with legend.,Manually read manual page Hunter350 p86 to fill fuel-filter interval.
CFMOTO,250CL-X,current TR listing,Full periodic maintenance schedule. Shares the CF250-A single-cylinder engine with the 250NK (documented) but has its own chassis.,PARTIAL,NO,NO,NO,No independently fetchable official 250CL-X owner's manual (paywalled/bot-blocked mirrors only).,Obtain the CFMOTO 250CL-X owner's manual and extract its Periodic Maintenance Chart.
CFMOTO,250 DUAL,current TR listing,Full periodic maintenance schedule. Shares the CF250-A single-cylinder engine with the 250NK (documented) but has an adventure chassis.,PARTIAL,NO,NO,NO,No independently fetchable official 250 DUAL owner's manual.,Obtain the CFMOTO 250 DUAL owner's manual and extract its Periodic Maintenance Chart.
KTM,390 Duke,2026 TR spec,Steering-head and wheel-bearing periodic columns partly inferred; schedule is global (RideBase row is TR-market and KTM notes intervals can differ by country).,YES,YES,APPROXIMATE,PARTIAL,"Official KTM owner's manual (art.no 3214960en, MY2024, 398cc generation) located; the Service work schedule (pp.62-63) extracted with its one-time/periodic legend.",Cross-check against KTM Dealer.net for the TR-market service schedule if available.
Mondial,Turismo 50i,current,"Some K/A/T/D cells span merged columns in the PDF; a few first-due columns (valve clearance, air-filter replace) inferred from where the codes start. Cooling-system row is generic (model is air-cooled).",YES,YES,UNKNOWN,EXACT,Official Mondial Motor Turkiye owner/maintenance manual located; Periyodik Bakim Tablosu extracted with its K/A/B/T/D legend.,"Confirm the merged-column cells against the printed table; verify engine-oil interval (1,000 km scooter vs 2,000 km cub)."
CFMOTO,450NK,current TR listing,"Full periodic maintenance schedule for the 449.5cc parallel-twin. An official 450NK owner's manual exists (cfmotousa.com, ManualsLib, manuals.plus) but all copies are on bot-blocked or paywalled hosts.",YES,NO,NO,NO,"cfmotousa.com is Cloudflare-protected (403 on automated fetch); no EU-CDN (storyblok) copy of the 450NK manual was located (450SR/450MT are on storyblok, 450NK is not).","Download the CFMOTO 450NK owner's manual from a CFMOTO dealer / cfmotousa.com in a browser and extract its Periodic Maintenance Schedule (twin-cylinder; expect ~5000 km oil, ~20000 km valve check)."
KYMCO,Downtown 250i,current TR listing,Full periodic maintenance schedule for the Downtown 250i (246cc). The KYMCO X-Town CT manual that was parsed does NOT cover the Downtown; only Downtown 300i / 200i manuals and paid service manuals were located.,PARTIAL,NO,NO,NO,No fetchable Downtown 250i-specific owner's manual; applying the 300i schedule would violate the no-cross-model rule.,"Obtain the KYMCO Downtown 250i owner's manual (KYMCO Turkiye) and extract its Periodic Maintenance Schedule; it will likely mirror the X-Town CT250 notes (oil 5000 km / 6 mo, brake fluid 2 yr)."
Honda,Monkey,current TR listing,"Per-km schedule intervals. Official Honda owner's manual located (Honda UK / hondamotopub.com), but Honda's maintenance-schedule tables store the per-km Inspect/Clean/Lubricate/Replace marks as embedded graphics that are NOT text-extractable, and the Honda CDNs (cdn.powersports.honda.com, hondamotopub.com) bot-block automated download. Only running-in (500 km) and time-based rows are readable.",YES,NO,NO,NO,"Honda Monkey 125 owner's manual located (cdn.powersports.honda.com 2020_31k0fa10_monkey.pdf, hondamotopub); CDN 403 on automated download.",Open the model's Honda owner's manual 'Maintenance Schedule' pages by hand and transcribe the per-km Inspect/Replace/Clean columns.
CFMOTO,450 CL-C,current TR listing,Full periodic maintenance schedule for the 449cc belt-drive cruiser twin.,PARTIAL,NO,NO,NO,No independently fetchable official 450 CL-C owner's manual (Cloudflare / paywalled mirrors).,"Download the CFMOTO 450 CL-C owner's manual from a CFMOTO dealer and extract its Periodic Maintenance Schedule (note: belt final drive, not chain)."
CFMOTO,650NK,current TR listing,None material; a few rows list a second longer-interval column (e.g. 20000/30000 km) whose action was not separately spelled out.,YES,YES,APPROXIMATE,PARTIAL,Official CFMOTO EU owner's manual (650nk-2024) located; Tabla de mantenimiento periodico extracted with explicit km + months + action per row.,Confirm against a CFMOTO Turkiye schedule if one is published.
Honda,EM1 e:,current TR listing,"Maintenance schedule for the EM1 e: (electric). No engine oil / spark plug / valve items; brake fluid, tyres, battery/MPP checks only.",PARTIAL,NO,NO,NO,Honda EM1 e: is a battery-electric scooter with a Mobile Power Pack; its owner's manual maintenance section was not parsed in this pass.,"Download the Honda EM1 e: owner's manual and record the (short) maintenance list: brake fluid, brake pads, tyres, drive components, no combustion-engine items."
