maintenance_task_id,brand,model,variant,year_from,year_to,market,canonical_task_code,task_name_original,task_name_en,task_name_tr,component_group,action,first_due_km,repeat_every_km,first_due_months,repeat_every_months,due_km_min,due_km_max,condition,is_periodic,is_safety_critical,usage_condition,inferred_pattern,source_id,source_page,source_table,evidence,confidence,notes
MT0011,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,DRIVE_CHAIN,"sealed Drive chain wear - Clean, Lubricate & adjust",Drive chain clean/lubricate/adjust (at service),Zincir temizlik/yaglama/ayar (serviste),DRIVE_CHAIN,LUBRICATE,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Replace if required (wear limit).,1,1,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,36,Recommended frequency - Service interval & Kms,"""sealed Drive chain wear**-  Clean, Lubricate & adjust. Replace if required""",HIGH,
MT0012,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,DRIVE_CHAIN,Customer chain lube,Drive chain lubrication (rider interval),Zincir yaglama (kullanici araligi),DRIVE_CHAIN,LUBRICATE,500,500,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,37,Recommended frequency - Service interval & Kms,"""Customer to use OKS chain lub spray at every 500 kms""",HIGH,
MT0013,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,BRAKE_PADS,Brake pads for wear limit,Brake pads inspection,Fren balata kontrolu,BRAKE_PADS,INSPECT,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Replace if worn to limit.,1,1,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,39,Recommended frequency - Service interval & Kms,"""Brake pads for wear limit."" (row 33, every service)",HIGH,
MT0014,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,SUSPENSION,Front fork oil & seal,Front fork oil + seals replacement,On amortisor yagi + keçe degisimi,SUSPENSION,REPLACE,30000,30000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,39,Recommended frequency - Service interval & Kms,"""Replace oil and oil seal and dust seal in pair at every 30000 Kms.""",HIGH,
MT0015,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,STEERING,Steering stem bearing,Steering stem bearing lubrication,Direksiyon dingil rulmani yaglama,STEERING,LUBRICATE,40000,40000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,39,Recommended frequency - Service interval & Kms,"""Lubricate at every 40,000 Kms.""",HIGH,
MT0016,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,FASTENERS,All fasteners tightness,All fasteners torque check,Tum baglant elemanlari tork kontrolu,FASTENERS,TIGHTEN,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,40,Recommended frequency - Service interval & Kms,"""All fasteners tightness"" (row 44, every service; 'Use model wise torque values')",HIGH,
MT0017,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,GENERAL_INSPECTION,Servicing with water wash,General periodic service (with water wash),Genel periyodik servis,GENERAL_INSPECTION,SERVICE,750,5000,UNKNOWN,4,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,33-41,Recommended frequency - Service interval & Kms,"Full periodic maintenance schedule; services at 500-750, 4500-5000, then every 5000 km.",HIGH,
MT0018,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,ENGINE_OIL,Engine oil (level check / replace),Engine oil replacement,Motor yagi degisimi,ENGINE_OIL,REPLACE,500,10000,1.5,12,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,85,PERIODICAL MAINTENANCE,Row 1 pattern 'R I R I R I R I R I R' over cols 0.5..50 (x1000 km): Replace at 0.5/10/20/30/40/50.,HIGH,15W-50 JASO MA2 semi-synthetic.
MT0019,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,ENGINE_OIL,Engine oil level check,Engine oil level check / top-up,Motor yagi seviye kontrolu,ENGINE_OIL,INSPECT,1000,1000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,85,PERIODICAL MAINTENANCE,"""Check level at every 1,000 km or earlier and topup as required""",HIGH,
MT0020,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,ENGINE_OIL_FILTER,Engine oil filter element,Engine oil filter replacement,Yag filtresi degisimi,ENGINE_OIL_FILTER,REPLACE,500,10000,1.5,12,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,85,PERIODICAL MAINTENANCE,Row 2 'R  R  R R R R' at 0.5/10/20/30/40/50 (x1000 km).,HIGH,
MT0021,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,ENGINE_OIL,Engine oil strainer on crankcase LH,Engine oil strainer cleaning,Yag suzgeci temizligi,ENGINE_OIL,CLEAN,10000,10000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,85,PERIODICAL MAINTENANCE,Row 3 'C  C C C C C' at 0.5/10/20/30/40/50.,MEDIUM,
MT0022,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,VALVE_CLEARANCE,Inlet / exhaust tappet setting,Valve (tappet) clearance inspect & adjust,Supap (tappet) bosluk kontrol/ayar,VALVE_CLEARANCE,ADJUST,10000,10000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,true,SRC_RE_HUNTER350_OM,86,PERIODICAL MAINTENANCE,"Row 4 'I&A' six times across the 0.5..50 chart; interpreted as ~every 10,000 km.",MEDIUM,Exact column mapping not machine-readable; 6 occurrences over 0-50k km.
MT0023,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,SPARK_PLUG,Spark plug,Spark plug clean & adjust,Buji temizlik ve ayar,SPARK_PLUG,CLEAN,10000,20000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,86,PERIODICAL MAINTENANCE,Row 7 'C&A  R  C&A  R  C&A' -> Clean&Adjust at 10/30/50k.,MEDIUM,
MT0024,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,SPARK_PLUG,Spark plug,Spark plug replacement,Buji degisimi,SPARK_PLUG,REPLACE,20000,20000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,86,PERIODICAL MAINTENANCE,Row 7 'C&A  R  C&A  R  C&A' -> Replace at 20/40k.,MEDIUM,
MT0025,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,AIR_FILTER,Air filter element,Air filter element cleaning,Hava filtresi temizligi,AIR_FILTER,CLEAN,5000,10000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Clean / Replace more frequently if operated in dusty condition.,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,86,PERIODICAL MAINTENANCE,Row 9 'C C R C R C R C R C R': Clean at 5/15/25/35/45k.,MEDIUM,
MT0026,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,AIR_FILTER,Air filter element,Air filter element replacement,Hava filtresi degisimi,AIR_FILTER,REPLACE,10000,10000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Replace more frequently in dusty condition.,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,86,PERIODICAL MAINTENANCE,Row 9 'C C R C R C R C R C R': Replace at 10/20/30/40/50k.,MEDIUM,
MT0027,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,AIR_FILTER,Air filter element (severe/dusty),Air filter service - dusty conditions,Hava filtresi - tozlu kosul,AIR_FILTER,CLEAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Shorten interval in dusty/severe use; manufacturer gives no fixed km.,0,0,DUSTY,false,SRC_RE_HUNTER350_OM,86,PERIODICAL MAINTENANCE,"""Clean / Replace more frequently if operated in dusty condition""",MEDIUM,
MT0028,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,SUSPENSION,Front fork oil,Front fork oil replacement,On amortisor yagi degisimi,SUSPENSION,REPLACE,20000,20000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,87,PERIODICAL MAINTENANCE,Row 16 'I I I I R I I I R I I' -> Replace at 20k and 40k.,MEDIUM,
MT0029,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,STEERING,Steering ball races play,Steering head bearing inspect / adjust,Direksiyon rulmani kontrol/ayar,STEERING,ADJUST,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lubricate/replace if necessary.,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,87,PERIODICAL MAINTENANCE,"""Inspect / Adjust, if required lubricate for every 5,000 km or earlier as required. Replace if necessary.""",HIGH,
MT0030,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,DRIVE_CHAIN,Rear wheel drive chain,Drive chain clean & lubricate (rider interval),Zincir temizlik & yaglama,DRIVE_CHAIN,LUBRICATE,500,500,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_RE_HUNTER350_OM,88,PERIODICAL MAINTENANCE,"""Clean, lubricate every 500 km""",HIGH,
MT0031,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,DRIVE_CHAIN,Rear wheel drive chain,Drive chain clean/lubricate/adjust (at service),Zincir temizlik/yaglama/ayar (serviste),DRIVE_CHAIN,ADJUST,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_RE_HUNTER350_OM,88,PERIODICAL MAINTENANCE,"""Clean, lubricate & adjust every 5,000 km or earlier as required.""",HIGH,
MT0032,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,BRAKE_FLUID,"Brake fluid level, front disc",Brake fluid inspection,Fren hidroligi kontrolu,BRAKE_FLUID,INSPECT,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_RE_HUNTER350_OM,88,PERIODICAL MAINTENANCE,"Row 23 'I I I I R I I I R I I' -> Inspect every 5,000 km.",HIGH,
MT0033,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,BRAKE_FLUID,"Brake fluid, front disc",Brake fluid replacement,Fren hidroligi degisimi,BRAKE_FLUID,DRAIN_REPLACE,20000,20000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_RE_HUNTER350_OM,88,PERIODICAL MAINTENANCE,Row 23 'I I I I R I I I R I I' -> Replace at 20k and 40k.,MEDIUM,
MT0034,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,CLUTCH,Clutch lever / Cable free play,Clutch cable free-play adjust,Debriyaj kablosu bosluk ayari,CLUTCH,ADJUST,1000,1000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,88,PERIODICAL MAINTENANCE,"""Adjust every 1,000 km or earlier as required & replace if required.""",HIGH,
MT0035,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,THROTTLE,Throttle cable,Throttle cable adjust,Gaz kablosu ayari,THROTTLE,ADJUST,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,89,PERIODICAL MAINTENANCE,"""Adjust every 5,000 km or earlier if required.""",HIGH,
MT0036,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,THROTTLE,Throttle body - cleaning,Throttle body cleaning,Gaz kelebegi govdesi temizligi,THROTTLE,CLEAN,10000,10000,UNKNOWN,12,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,90,PERIODICAL MAINTENANCE,"""Throttle body cleaning every 10,000 km / 12 months or earlier as required.""",HIGH,
MT0037,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,FRONT_BRAKE,Brake pads - front,Front brake pads inspection,On fren balata kontrolu,BRAKE_PADS,INSPECT,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Replace if worn.,1,1,NORMAL,false,SRC_RE_HUNTER350_OM,89,PERIODICAL MAINTENANCE,"Row 28 'I' at every 5,000 km column.",HIGH,
MT0038,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,REAR_BRAKE,Brake shoe - Rear,Rear brake shoe inspection,Arka fren pabuc kontrolu,BRAKE_SHOES,INSPECT,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_RE_HUNTER350_OM,90,PERIODICAL MAINTENANCE,"Row 33 'I' at every 5,000 km column.",MEDIUM,
MT0039,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,FASTENERS,All mounting fasteners in vehicle for tightness,All fasteners tightness inspection,Tum baglant elemanlari kontrolu,FASTENERS,INSPECT,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,89,PERIODICAL MAINTENANCE,"Row 30 'I' at every 5,000 km column.",HIGH,
MT0040,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,GENERAL_INSPECTION,General lubrication - pivots,Pivot points lubrication,Menteşe/pivot yaglama,GENERAL_INSPECTION,LUBRICATE,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,89,PERIODICAL MAINTENANCE,"Row 26 'L' at every 5,000 km column (side/center/pillion footrest, gear shifter, brake pedal, levers).",HIGH,
MT0041,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,GENERAL_INSPECTION,Periodical maintenance service,General periodic service,Genel periyodik servis,GENERAL_INSPECTION,SERVICE,500,5000,1.5,6,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_RE_HUNTER350_OM,"85-91,103",PERIODICAL MAINTENANCE,"Chart columns 0.5,5,10,...,50 (x1000 km); free services p103 at 500/45d, 5000/6mo, 10000/12mo, 15000/18mo.",HIGH,
MT0042,Royal Enfield,Hunter 350,Single/Dual channel,UNKNOWN,UNKNOWN,GLOBAL,WHEEL_BEARINGS,Spokes tightness / Wheel rim run out front & rear,Wheel spokes & rim run-out inspection,Jant teli ve salgi kontrolu,WHEEL_BEARINGS,INSPECT,10000,10000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,true,SRC_RE_HUNTER350_OM,87,PERIODICAL MAINTENANCE,"Row 18 'I' six times across chart; interpreted as ~every 10,000 km.",LOW,
MT_YAM_XSR125_01,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,ENGINE_OIL,Engine oil,Engine oil change,Motor yagi degisimi,ENGINE_OIL,REPLACE,1000,3000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_YAM_XSR125_OM_2021,6-6,General maintenance and lubrication chart,"""Engine oil - Change (warm engine before draining). At the initial interval and every 3000 km (1800 mi) thereafter.""",HIGH,
MT_YAM_XSR125_02,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,ENGINE_OIL_FILTER,Engine oil filter element,Engine oil filter replacement,Yag filtresi degisimi,ENGINE_OIL_FILTER,REPLACE,1000,6000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_YAM_XSR125_OM_2021,6-6,General maintenance and lubrication chart,"""Engine oil filter element - Replace."" (marked at 1000/6000/12000/18000/24000 km columns)",HIGH,
MT_YAM_XSR125_03,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,AIR_FILTER,Air filter element,Air filter element replacement,Hava filtresi degisimi,AIR_FILTER,REPLACE,12000,12000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,true,SRC_YAM_XSR125_OM_2021,6-4,General maintenance and lubrication chart,"""Air filter element - Replace."" (two marks on the 5-column grid -> 12000 & 24000 km)",MEDIUM,Column mapping inferred from mark count.
MT_YAM_XSR125_04,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,AIR_FILTER,Air filter case check hose,Air filter case check hose cleaning,Hava filtresi kutu hortumu temizligi,AIR_FILTER_HOSE,CLEAN,6000,6000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_YAM_XSR125_OM_2021,6-4,General maintenance and lubrication chart,"""Air filter case check hose - Clean."" (marked every column from 6000 km)",HIGH,
MT_YAM_XSR125_05,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,AIR_FILTER,Air filter (wet/dusty use),Air filter service - dusty/wet conditions,Hava filtresi - tozlu/islak kosul,AIR_FILTER,CLEAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0,0,DUSTY,false,SRC_YAM_XSR125_OM_2021,6-6,General maintenance and lubrication chart,"""The air filter needs more frequent service if you are riding in unusually wet or dusty areas.""",MEDIUM,No fixed km given for severe use.
MT_YAM_XSR125_06,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,SPARK_PLUG,Spark plug,Spark plug clean & regap,Buji temizlik ve trnak ayari,SPARK_PLUG,CLEAN,6000,12000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,true,SRC_YAM_XSR125_OM_2021,6-3,Periodic maintenance chart for the emission control system,"""Spark plug - Adjust gap and clean."" (two marks -> 6000 & 18000 km)",MEDIUM,
MT_YAM_XSR125_07,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,SPARK_PLUG,Spark plug,Spark plug replacement,Buji degisimi,SPARK_PLUG,REPLACE,12000,12000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,true,SRC_YAM_XSR125_OM_2021,6-3,Periodic maintenance chart for the emission control system,"""Spark plug - Replace."" (two marks -> 12000 & 24000 km)",MEDIUM,
MT_YAM_XSR125_08,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,VALVE_CLEARANCE,Valve clearance,Valve clearance check & adjust,Supap boslugu kontrol/ayar,VALVE_CLEARANCE,ADJUST,6000,6000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,true,SRC_YAM_XSR125_OM_2021,6-3,Periodic maintenance chart for the emission control system,"""Valve clearance - Check and adjust."" (four marks on the 6000/12000/18000/24000 km columns)",MEDIUM,Column mapping inferred from mark count.
MT_YAM_XSR125_09,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,FUEL_SYSTEM,Fuel line,Fuel hose inspection,Yakit hortumu kontrolu,FUEL_LINE,INSPECT,1000,6000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_YAM_XSR125_OM_2021,6-3,Periodic maintenance chart for the emission control system,"""Fuel line - Check fuel hoses for cracks or damage. Replace if necessary."" (every column)",HIGH,
MT_YAM_XSR125_10,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,FUEL_SYSTEM,Fuel injection,Fuel injection / idle speed check,Yakit enjeksiyonu / rolanti kontrolu,FUEL_SYSTEM,ADJUST,1000,6000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_YAM_XSR125_OM_2021,6-3,Periodic maintenance chart for the emission control system,"""Fuel injection - Check and adjust engine idle speed."" (every column + annual)",HIGH,
MT_YAM_XSR125_11,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,COOLANT,Cooling system,Coolant level inspection,Sogutma sivisi seviye kontrolu,COOLANT,INSPECT,6000,6000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_YAM_XSR125_OM_2021,6-6,General maintenance and lubrication chart,"""Cooling system - Check coolant level and vehicle for coolant leakage.""",HIGH,
MT_YAM_XSR125_12,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,COOLANT,Cooling system,Coolant change,Sogutma sivisi degisimi,COOLANT,DRAIN_REPLACE,UNKNOWN,UNKNOWN,UNKNOWN,36,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_YAM_XSR125_OM_2021,6-6,General maintenance and lubrication chart,"""Cooling system - Change. Every 3 years""",HIGH,
MT_YAM_XSR125_13,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,FRONT_BRAKE,Front brake,Front brake inspection,On fren kontrolu,FRONT_BRAKE,INSPECT,1000,6000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_YAM_XSR125_OM_2021,6-4,General maintenance and lubrication chart,"""Front brake - Check operation, fluid level, and for fluid leakage. Replace brake pads if necessary."" (every column + annual)",HIGH,
