source_id,brand,model,variant,year_from,year_to,market,source_type,publisher,document_title,document_version,publication_year,url,access_date,page_numbers,maintenance_table_name,official_source,confidence,notes
SRC_YAM_XMAX250_OM_2023,Yamaha,XMAX 250,CZD250D-A (BMK-F8199),2018,UNKNOWN,EU,OWNER_MANUAL,"Yamaha Motor Co., Ltd.",XMAX 250 / XMAX 300 Owner's Manual,"UBMKSAS0 (April 2023, ES-language edition)",2023,https://cdn2.yamaha-motor.eu/prod/owner-manuals/Scooters/PBMKF8199SAS.pdf,2026-08-28,8-3..8-8 (Cuadro de mantenimiento periodico + Cuadro general de mantenimiento y engrase),Cuadro de mantenimiento periodico del sistema de control de emisiones / Cuadro general de mantenimiento y engrase,YES,HIGH,Official Yamaha EU owner's-manual CDN PDF for the current CZD250D-A XMAX 250 generation. Spanish-language edition (only that language file was on the CDN path); the schedule checkmarks extracted intact. Column grid: 1000/10000/20000/30000/40000 km + ANNUAL; from 50000 km repeat from 10000 km. Verbatim quotes are Spanish; canonical task codes and EN names added.
SRC_HONDA_CB125F_OM_1719,Honda,CB125F,GLR1251 / JC64 (2017-2019),2017,2019,EU,OWNER_MANUAL,"Honda Motor Co., Ltd.",CB125F Owner's Manual,32KPNB110,2017,https://2rom-prd-data.hondamotopub.com/om/HMEE/CB125F/2017-2018-2019/CB125F_32KPNB11_0.pdf,2026-08-28,"16 (running-in), 37-39 printed (Maintenance Schedule)",Maintenance Schedule,YES,MEDIUM,"Official Honda owner's manual PDF (hondamotopub.com). The Maintenance Schedule item list and grid header extracted, plus explicitly worded intervals, but the per-km-column Inspect/Clean/Lubricate/Replace marks are embedded graphics and are NOT text-extractable -> per-km task intervals recorded as a research gap. Grid columns x1000 km = 1/4/8/12/16/20/24 + Annual. Legend: Inspect / Clean / Lubricate / Replace. The 2021+ European CB125F (badged CBF125M, type 32K0NB) uses a wider 1/6/12/18/24/30/36 grid with a 6000 km SERVICE DUE interval."
SRC_MONDIAL_50UAG_OM,Mondial,50 UAG,50 UAG ec,UNKNOWN,UNKNOWN,TR,OWNER_MANUAL,UMA / Mondial Motor (Turkiye),50 UAG Kullanim ve Bakim El Kitabi (EURO 5),EURO 5,UNKNOWN,https://www.mondialmotor.com.tr/pdf/50%20UAG%20ec%20Kullan%C4%B1m%20ve%20Bak%C4%B1m%20El%20Kitab%C4%B1.pdf,2026-08-28,Periyodik Bakim Tablosu (p21 scooter / p24 cub) + Garanti Bakim Karti (p41-45),Periyodik Bakim Tablosu,YES,HIGH,"Official Mondial Motor Turkiye owner/maintenance manual PDF (mondialmotor.com.tr/pdf). Table legend: K=Kontrol(Inspect), A=Ayar(Adjust), B=Bakim(Service), T=Temizleme(Clean), D=Degisim(Replace). Column grid Km 500-1000/2000/4000/6000, Ay 1/6/12/18. "
SRC_MONDIAL_SFC_OM,Mondial,SFC MINI 50ec,SFC Serisi (50 SFC ec),UNKNOWN,UNKNOWN,TR,OWNER_MANUAL,UMA / Mondial Motor (Turkiye),SFC MINI 50ec Kullanim ve Bakim El Kitabi (EURO 5),EURO 5,UNKNOWN,https://www.mondialmotor.com.tr/pdf/SFC%20Serisi%20Kullan%C4%B1m%20ve%20Bak%C4%B1m%20El%20Kitab%C4%B1%20EURO%205.pdf,2026-08-28,Periyodik Bakim Tablosu (p21 scooter / p24 cub) + Garanti Bakim Karti (p41-45),Periyodik Bakim Tablosu,YES,HIGH,"Official Mondial Motor Turkiye owner/maintenance manual PDF (mondialmotor.com.tr/pdf). Table legend: K=Kontrol(Inspect), A=Ayar(Adjust), B=Bakim(Service), T=Temizleme(Clean), D=Degisim(Replace). Column grid Km 500-1000/2000/4000/6000, Ay 1/6/12/18. SFC Serisi manual covers the SFC range including '50 SFC ec' = SFC MINI 50ec."
SRC_MONDIAL_WING50I_OM,Mondial,Wing 50i,WING 50 I (EURO 5),UNKNOWN,UNKNOWN,TR,OWNER_MANUAL,UMA / Mondial Motor (Turkiye),Wing 50i Kullanim ve Bakim El Kitabi (EURO 5),EURO 5,UNKNOWN,https://www.mondialmotor.com.tr/pdf/W%C4%B0NG%2050%C4%B0%20Kullan%C4%B1m%20K%C4%B1lavuzu%20e5.pdf,2026-08-28,Periyodik Bakim Tablosu (p21 scooter / p24 cub) + Garanti Bakim Karti (p41-45),Periyodik Bakim Tablosu,YES,HIGH,"Official Mondial Motor Turkiye owner/maintenance manual PDF (mondialmotor.com.tr/pdf). Table legend: K=Kontrol(Inspect), A=Ayar(Adjust), B=Bakim(Service), T=Temizleme(Clean), D=Degisim(Replace). Column grid Km 500-1000/2000/4000/6000, Ay 1/6/12/18. "
SRC_MONDIAL_EXON50_OM,Mondial,Exon 50,EXON 50 I (EURO 5),UNKNOWN,UNKNOWN,TR,OWNER_MANUAL,UMA / Mondial Motor (Turkiye),Exon 50 Kullanim ve Bakim El Kitabi (EURO 5),EURO 5,UNKNOWN,https://www.mondialmotor.com.tr/pdf/EXON%2050%20%C4%B0%20Kullan%C4%B1m%20K%C4%B1lavuzu%20EURO%205.pdf,2026-08-28,Periyodik Bakim Tablosu (p21 scooter / p24 cub) + Garanti Bakim Karti (p41-45),Periyodik Bakim Tablosu,YES,HIGH,"Official Mondial Motor Turkiye owner/maintenance manual PDF (mondialmotor.com.tr/pdf). Table legend: K=Kontrol(Inspect), A=Ayar(Adjust), B=Bakim(Service), T=Temizleme(Clean), D=Degisim(Replace). Column grid Km 500-1000/2000/4000/6000, Ay 1/6/12/18. "
SRC_MONDIAL_TURISMO50I_OM,Mondial,Turismo 50i,TURISMO 50 I (EURO 5),UNKNOWN,UNKNOWN,TR,OWNER_MANUAL,UMA / Mondial Motor (Turkiye),Turismo 50i Kullanim ve Bakim El Kitabi (EURO 5),EURO 5,UNKNOWN,https://www.mondialmotor.com.tr/pdf/TURISMO%2050%20%C4%B0%20Kullan%C4%B1m%20K%C4%B1lavuzu%20EURO%205.pdf,2026-08-28,Periyodik Bakim Tablosu (p21 scooter / p24 cub) + Garanti Bakim Karti (p41-45),Periyodik Bakim Tablosu,YES,HIGH,"Official Mondial Motor Turkiye owner/maintenance manual PDF (mondialmotor.com.tr/pdf). Table legend: K=Kontrol(Inspect), A=Ayar(Adjust), B=Bakim(Service), T=Temizleme(Clean), D=Degisim(Replace). Column grid Km 500-1000/2000/4000/6000, Ay 1/6/12/18. "
SRC_SYM_JETX125_OM,SYM,Jet X 125,24-JETX (TCS/ABS),2024,UNKNOWN,GLOBAL,OWNER_MANUAL,"Sanyang Motor Co., Ltd. (SYM)",JET X Owner's Manual,24-JETX,2024,https://www.sym-global.com/storage/system/products/SCOOTER/24-JETX/JETX_MANUAL.pdf,2026-08-28,"3 (initial/service interval), 27-28 (cooling), 29 (Periodical Maintenance Schedule)",PERIODICAL MAINTENANCE SCHEDULE,YES,MEDIUM,"Official SYM Global owner's manual PDF. Schedule grid: NEW/300 km, then every 1000/3000/6000/12000 km (1/3/6/12 months) 'whichever comes first'. Code: I=Inspection+clean+adjust, R=Replacement, C=Cleaning(replace if needed), L=Lubrication. The per-cell grid mapping was scrambled in extraction; the 'Remarks' column carries the explicit replace intervals used here."
SRC_TVS_RAIDER125_OM,TVS,Raider 125,Raider 125 BS VI,UNKNOWN,UNKNOWN,IN,OWNER_MANUAL,TVS Motor Company Limited,TVS Raider 125 User Manual,BS VI (UserManual2026 print),2025,https://www.tvsmotor.com/-/media/Feature/Owners/UserManual2026/TVS-Raider.pdf,2026-08-28,"52-54 (Periodic Maintenance Schedule), 60 (spark plug), 84 (Planned Service Schedule)",PERIODIC MAINTENANCE SCHEDULE,YES,HIGH,"Official TVS Motor owner's-manual PDF (tvsmotor.com). Table extracted cleanly with I/R/C/A/L/TI codes and explicit 'REMARKS' intervals. Legend: R=Replace, I=Inspect, T=Top up, C=Clean, A=Adjust, L=Lubricate, TI=Tighten, S=Set. Oil-cooled 125; no coolant."
SRC_TVS_APACHE200_OM,TVS,Apache RTR 200 4V,Apache RTR 200 4V FI (BS VI),UNKNOWN,UNKNOWN,IN,OWNER_MANUAL,TVS Motor Company Limited,TVS Apache RTR 200 4V User Manual,"BS VI (UserManual2026 print, TFT)",2025,https://www.tvsmotor.com/-/media/Feature/Owners/13-10-25/TVS-Apache-RTR-200-4V---TFT.pdf,2026-08-28,"80-84 (Periodic Maintenance Schedule), 91 (spark plug), 113 (Planned Service Schedule)",PERIODIC MAINTENANCE SCHEDULE,YES,HIGH,Official TVS Motor owner's-manual PDF (tvsmotor.com). Clean table extraction with I/R/C/A/L/TI codes + explicit 'Remarks' intervals. Oil-cooled 197.75cc; no coolant.
SRC_CFMOTO_650NK_OM_EU,CFMOTO,650NK,"CF650-7F (2024, covers 400NK/650NK)",2024,UNKNOWN,EU,OWNER_MANUAL,"Zhejiang CFMOTO Power Co., Ltd.",400NK / 650NK Owner's Manual,650nk-2024 (ES-language edition),2024,https://a.storyblok.com/f/176629/x/24c01f4510/650nk-2024-es.pdf,2026-08-28,"100-102 (break-in table), 103-108 (Tabla de mantenimiento periodico)",Tabla de mantenimiento periodico,YES,HIGH,Official CFMOTO EU owner's-manual PDF (CFMOTO Storyblok CDN). Spanish-language edition; table columns give explicit km AND months AND action per row. '>>' = severe-use item (halve interval); square marker = dealer-only. Verbatim quotes are Spanish.
SRC_TVS_JUPITER125_OM,TVS,Jupiter 125,"Jupiter 125 (DT-SXC, BS VI)",UNKNOWN,UNKNOWN,IN,OWNER_MANUAL,TVS Motor Company Limited,TVS Jupiter 125 Owner's Manual,BS VI (DT-SXC print),2025,https://www.tvsmotor.com/-/media/Feature/AfterAprilPdf/16-06-25/TVS-Jupiter-125-DT-SXC.pdf,2026-08-28,"72-73 (Periodic Maintenance Schedule), 80 (spark plug), 98 (Planned Service Schedule)",PERIODIC MAINTENANCE SCHEDULE,YES,HIGH,Official TVS Motor owner's-manual PDF. Clean table extraction with R/I/C/A/L codes + explicit 'REMARKS' intervals. Air-cooled 124.8cc CVT scooter; no coolant. Engine oil TVS TRU4 SKUUTA SAE 10W30 API-SL JASO MB.
SRC_HONDA_SH125I_OM_UK21,Honda,SH125i,JF95 (SH125i/SH150i 21YM),2020,UNKNOWN,EU,OWNER_MANUAL,"Honda Motor Co., Ltd.",SH125i / SH150i Owner's Manual (UK),32K0RA000,2020,https://www.honda.co.uk/motorcycles/my-bike/honda-motorcycles-owners-manuals/_jcr_content/par1/textcolumnwithimagem/textColumn/richtextdownload_90f/file.res/SH125_SH150%2021YM%20Owners%20Manual.pdf,2026-08-28,"15 (running-in), 30-31 (OIL CHANGE / Maintenance indicator), 77-78 printed (Maintenance Schedule)",Maintenance Schedule,YES,MEDIUM,"Official Honda UK owner's manual PDF. Per-km Inspect/Clean/Lubricate/Replace marks in the schedule are embedded graphics (not text) -> per-task km intervals unresolved. Explicitly stated: OIL CHANGE and Maintenance indicators both appear first at 1,000 km, then every 6,000 km after reset. Grid columns x1000 km = 1/6/12/18/24/30/36 + Annual."
SRC_KYMCO_XTOWN250_OM,KYMCO,X-Town CT 250,X-TOWN CT250 (SK64),2018,UNKNOWN,EU,OWNER_MANUAL,"Kwang Yang Motor Co., Ltd. (KYMCO)",X-TOWN CT125 / CT250 / CT300 Owner's Manual,X-TOWN CT 21.05.18,2021,https://kymco.com.cy/wp-content/uploads/2023/02/xtownct.pdf,2026-08-28,"31 (schedule notes/legend), 34-35 printed (X-TOWN CT250/300 maintenance schedule chart), 37 (engine oil)",Maintenance schedule chart (X-TOWN CT250/300),YES,MEDIUM,"Official KYMCO owner's manual PDF (KYMCO Cyprus distributor site). The wide schedule grid's per-column I/C/R cells were partly jumbled in PDF extraction; the numbered NOTES and the CT250/300 explicit-remark cells are used here. Legend: I=Inspect(+clean/adjust/lube/replace if needed), C=Clean, R=Replace, A=Adjust, L=Lubricate, D=Diagnose, T=Tighten."
