task_code,component_group,action_type,is_periodic,is_wear_based,is_fault_based,applicable_rows,positives_all,prevalence_all,prevalence_applicable,pos_train,pos_val,pos_test,pos_dev,motorcycles,target_services,years_covered,label_class,needs_review,modeled,exclusion_reason
COOLANT_LEVEL_CHECK,COOLING,INSPECT,1,0,0,9786,1798,0.0455755240678309,0.1837318618434498,1433,220,145,1653,1010,1798,6,A_CORE,False,True,
FINAL_GEAR_OIL_CHANGE,TRANSMISSION,REPLACE,1,0,0,21721,1689,0.0428126029758434,0.0777588508816352,1409,168,112,1577,1109,1689,6,A_CORE,False,True,
SPARK_PLUG_CHANGE,IGNITION,REPLACE,1,1,0,39414,1653,0.0419000785784897,0.041939412391536,1398,172,83,1570,1205,1653,6,A_CORE,False,True,
FRONT_TIRE_CHANGE,TIRES_WHEELS,REPLACE,0,1,0,39451,1284,0.0325467035056145,0.0325467035056145,465,352,467,817,1030,1284,6,B_LOW_FREQUENCY,False,True,
REAR_TIRE_INSPECTION,TIRES_WHEELS,INSPECT,1,1,0,39451,1196,0.0303160883120833,0.0303160883120833,985,136,75,1121,1017,1196,6,A_CORE,False,True,
REAR_BRAKE_PAD_INSPECTION,BRAKES,INSPECT,1,1,0,39451,1083,0.0274517756203898,0.0274517756203898,881,133,69,1014,893,1083,6,A_CORE,False,True,
STEERING_BEARING_INSPECTION,STEERING,INSPECT,1,1,0,39451,980,0.0248409419279612,0.0248409419279612,797,128,55,925,858,980,6,B_LOW_FREQUENCY,False,True,
CLUTCH_FREE_PLAY_CHECK,TRANSMISSION,INSPECT,1,1,0,1898,795,0.0201515804415604,0.0932560590094836,141,22,14,163,546,795,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=163 < 200; pos_val=22 < 25
FUEL_SYSTEM_DIAGNOSTIC,FUEL,DIAGNOSE,0,0,1,39414,694,0.0175914425489848,0.0176079565636575,364,131,199,495,637,694,6,B_LOW_FREQUENCY,False,True,
COOLANT_CHANGE,COOLING,FLUSH,1,0,0,9786,655,0.0166028744518516,0.0669323523400776,502,96,57,598,493,655,6,B_LOW_FREQUENCY,False,True,
ENGINE_COMPRESSION_TEST,ENGINE,DIAGNOSE,0,0,1,39414,580,0.0147017819573648,0.0146902115999391,278,121,180,399,565,580,6,B_LOW_FREQUENCY,False,True,
ECU_DIAGNOSTIC_SCAN,ELECTRICAL,DIAGNOSE,0,0,1,39451,564,0.0142962155585409,0.0142962155585409,453,70,41,523,538,564,6,B_LOW_FREQUENCY,False,True,
ABS_DIAGNOSTIC,BRAKES,DIAGNOSE,0,0,1,39451,542,0.0137385617601581,0.0137385617601581,253,105,184,358,514,542,6,B_LOW_FREQUENCY,False,True,
COOLING_SYSTEM_INSPECTION,COOLING,INSPECT,1,1,1,9786,385,0.009758941471699,0.0112405477212344,45,26,39,71,372,385,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=71 < 200
WHEEL_BALANCE,TIRES_WHEELS,ADJUST,0,1,1,39451,302,0.0076550657778003,0.0076550657778003,242,34,26,276,289,302,6,B_LOW_FREQUENCY,False,True,
FORK_SEAL_CHANGE,SUSPENSION,REPLACE,0,1,1,39451,284,0.0071988035791234,0.0071988035791234,239,29,16,268,273,284,6,B_LOW_FREQUENCY,False,True,
ENGINE_FAULT_DIAGNOSTIC,ENGINE,DIAGNOSE,0,0,1,39414,278,0.0070467161795645,0.0070533313035977,222,28,28,250,260,278,5,B_LOW_FREQUENCY,False,True,
BATTERY_CHANGE,ELECTRICAL,REPLACE,0,1,1,39451,272,0.0068946287800055,0.0068946287800055,219,36,17,255,266,272,6,B_LOW_FREQUENCY,False,True,
WHEEL_BEARING_CHANGE,TIRES_WHEELS,REPLACE,0,1,1,39451,270,0.0068439329801525,0.0068439329801525,205,39,26,244,267,270,6,B_LOW_FREQUENCY,False,True,
STEERING_BEARING_CHANGE,STEERING,REPLACE,0,1,1,39451,267,0.0067678892803731,0.0067678892803731,214,36,17,250,258,267,6,B_LOW_FREQUENCY,False,True,
BRAKE_DISC_CHANGE,BRAKES,REPLACE,0,1,1,39451,266,0.0067425413804466,0.0067425413804466,205,34,27,239,261,266,6,B_LOW_FREQUENCY,False,True,
VALVE_CLEARANCE_ADJUST,ENGINE,ADJUST,0,1,1,39414,266,0.0067425413804466,0.0067488709595575,217,28,21,245,258,266,6,B_LOW_FREQUENCY,False,True,
BRAKE_SYSTEM_BLEED,BRAKES,FLUSH,0,0,1,39451,264,0.0066918455805936,0.0066918455805936,203,32,29,235,258,264,6,B_LOW_FREQUENCY,False,True,
REAR_TIRE_CHANGE,TIRES_WHEELS,REPLACE,0,1,0,39451,257,0.0065144102811082,0.0065144102811082,204,32,21,236,249,257,6,B_LOW_FREQUENCY,False,True,
THROTTLE_BODY_CLEAN,INTAKE,CLEAN,0,1,1,39414,253,0.0064130186814022,0.0064190389201806,202,31,20,233,250,253,6,B_LOW_FREQUENCY,False,True,
FUEL_INJECTOR_CLEAN,FUEL,CLEAN,0,1,1,39414,253,0.0064130186814022,0.0064190389201806,201,31,21,232,244,253,6,B_LOW_FREQUENCY,False,True,
ELECTRICAL_FAULT_DIAGNOSTIC,ELECTRICAL,DIAGNOSE,0,0,1,39451,238,0.0060328001825048,0.0060328001825048,199,24,15,223,227,238,6,C_TOO_RARE_FOR_MODELING,False,False,pos_val=24 < 25
BRAKE_FAULT_DIAGNOSTIC,BRAKES,DIAGNOSE,0,0,1,39451,225,0.0057032774834604,0.0057032774834604,190,24,11,214,216,225,6,C_TOO_RARE_FOR_MODELING,False,False,pos_val=24 < 25
TRANSMISSION_FAULT_DIAGNOSTIC,TRANSMISSION,DIAGNOSE,0,0,1,39414,160,0.0040556639882385,0.0040594712538691,130,21,9,151,155,160,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=151 < 200; pos_val=21 < 25
CHARGING_SYSTEM_TEST,ELECTRICAL,DIAGNOSE,0,0,1,39451,153,0.0038782286887531,0.0038782286887531,118,22,13,140,146,153,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=140 < 200; pos_val=22 < 25
BRAKE_DISC_INSPECTION,BRAKES,INSPECT,1,1,0,39451,151,0.0038275328889001,0.0038275328889001,113,22,16,135,148,151,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=135 < 200; pos_val=22 < 25
AIR_FILTER_CLEAN,INTAKE,CLEAN,1,1,0,39414,149,0.0037768370890471,0.0037803826051656,108,23,18,131,95,149,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=131 < 200; pos_val=23 < 25; motorcycles=95 < 100
INTAKE_LEAK_INSPECTION,INTAKE,INSPECT,0,0,1,39414,147,0.0037261412891941,0.0037296392144923,115,19,13,134,147,147,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=134 < 200; pos_val=19 < 25
OIL_LEAK_INSPECTION,ENGINE,INSPECT,0,0,1,39414,143,0.0036247496894882,0.0036281524331455,109,20,14,129,143,143,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=129 < 200; pos_val=20 < 25
COOLING_FAULT_DIAGNOSTIC,COOLING,DIAGNOSE,0,0,1,39414,138,0.0034980101898557,0.0035012939564621,116,15,7,131,134,138,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=131 < 200; pos_val=15 < 25
INTAKE_FAULT_DIAGNOSTIC,INTAKE,DIAGNOSE,0,0,1,39414,116,0.0029403563914729,0.0029431166590551,98,14,4,112,112,116,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=112 < 200; pos_val=14 < 25
SUSPENSION_FAULT_INSPECTION,SUSPENSION,INSPECT,0,0,1,39451,104,0.002636181592355,0.002636181592355,81,14,9,95,102,104,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=95 < 200; pos_val=14 < 25
TIRE_WHEEL_FAULT_INSPECTION,TIRES_WHEELS,INSPECT,0,0,1,39451,88,0.0022306151935312,0.0022306151935312,73,13,2,86,87,88,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=86 < 200; pos_val=13 < 25; motorcycles=87 < 100
CVT_BELT_FAILURE_DIAGNOSTIC,FINAL_DRIVE,DIAGNOSE,0,0,1,25700,87,0.0022052672936047,0.0033852140077821,74,8,5,82,85,87,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=82 < 200; pos_val=8 < 25; motorcycles=85 < 100
CLUTCH_PLATE_CHANGE,TRANSMISSION,REPLACE,0,1,1,1898,75,0.0019010924944868,0.0094836670179135,12,3,3,15,75,75,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=15 < 200; pos_val=3 < 25; motorcycles=75 < 100
CLUTCH_ADJUST,TRANSMISSION,ADJUST,0,1,1,1898,71,0.0017997008947808,0.0052687038988408,7,1,2,8,69,71,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=8 < 200; pos_val=1 < 25; motorcycles=69 < 100
STEERING_FAULT_INSPECTION,STEERING,INSPECT,0,0,1,39451,62,0.0015715697954424,0.0015715697954424,53,6,3,59,61,62,6,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=59 < 200; pos_val=6 < 25; motorcycles=61 < 100
THERMOSTAT_DIAGNOSTIC,COOLING,DIAGNOSE,0,0,1,9786,45,0.001140655496692,0.0045984058859595,32,9,4,41,45,45,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=41 < 200; pos_val=9 < 25; motorcycles=45 < 100
CLUTCH_PLATE_INSPECTION,TRANSMISSION,INSPECT,0,1,1,1898,44,0.0011153075967656,0.0036880927291886,7,0,0,7,44,44,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=7 < 200; pos_val=0 < 25; motorcycles=44 < 100
CHAIN_DRIVE_DIAGNOSTIC,FINAL_DRIVE,DIAGNOSE,0,0,1,13693,42,0.0010646117969126,0.0030672606441247,35,4,3,39,39,42,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=39 < 200; pos_val=4 < 25; motorcycles=39 < 100
OIL_FILTER_CHANGE,ENGINE,REPLACE,1,0,0,39414,40,0.0010139159970596,0.0010148678134672,28,6,6,34,34,40,5,C_TOO_RARE_FOR_MODELING,True,False,pos_dev=34 < 200; pos_val=6 < 25; motorcycles=34 < 100
EV_CHARGING_PORT_INSPECTION,EV_POWERTRAIN,INSPECT,1,1,0,37,15,0.0003802184988973,0.4054054054054054,8,2,5,10,12,15,4,C_TOO_RARE_FOR_MODELING,False,False,applicable_rows=37 < 1000; pos_dev=10 < 200; pos_val=2 < 25; motorcycles=12 < 100
FUEL_FILTER_CHANGE,FUEL,REPLACE,1,1,0,39414,13,0.0003295226990443,0.0003298320393768,9,2,2,11,12,13,5,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=11 < 200; pos_val=2 < 25; motorcycles=12 < 100
EV_HIGH_VOLTAGE_SYSTEM_INSPECTION,EV_POWERTRAIN,INSPECT,1,0,1,37,12,0.0003041747991178,0.3243243243243243,8,1,3,9,9,12,4,C_TOO_RARE_FOR_MODELING,False,False,applicable_rows=37 < 1000; pos_dev=9 < 200; pos_val=1 < 25; motorcycles=9 < 100
FUEL_FILTER_INSPECTION,FUEL,INSPECT,1,1,0,39414,8,0.0002027831994119,0.0002029735626934,7,1,0,8,8,8,3,C_TOO_RARE_FOR_MODELING,False,False,pos_dev=8 < 200; pos_val=1 < 25; motorcycles=8 < 100; years_covered=3 < 4
EV_TRACTION_BATTERY_HEALTH_CHECK,EV_POWERTRAIN,DIAGNOSE,1,1,0,37,7,0.0001774352994854,0.1891891891891892,3,1,3,4,6,7,3,C_TOO_RARE_FOR_MODELING,False,False,applicable_rows=37 < 1000; pos_dev=4 < 200; pos_val=1 < 25; motorcycles=6 < 100; years_covered=3 < 4
FINAL_DRIVE_FAULT_INSPECTION,FINAL_DRIVE,INSPECT,0,0,1,39451,1,2.534789992649109e-05,2.534789992649109e-05,0,0,1,0,1,1,1,C_TOO_RARE_FOR_MODELING,True,False,pos_dev=0 < 200; pos_val=0 < 25; motorcycles=1 < 100; years_covered=1 < 4
DRIVE_BELT_INSPECTION,FINAL_DRIVE,INSPECT,1,1,0,21,0,0.0,0.0,0,0,0,0,0,0,0,C_TOO_RARE_FOR_MODELING,True,False,applicable_rows=21 < 1000; pos_dev=0 < 200; pos_val=0 < 25; motorcycles=0 < 100; years_covered=0 < 4
EV_DRIVE_MOTOR_DIAGNOSTIC,EV_POWERTRAIN,DIAGNOSE,0,0,1,37,0,0.0,0.0,0,0,0,0,0,0,0,C_TOO_RARE_FOR_MODELING,True,False,applicable_rows=37 < 1000; pos_dev=0 < 200; pos_val=0 < 25; motorcycles=0 < 100; years_covered=0 < 4
