a,b,both,n_a,n_b,applicable,jaccard,p_b_given_a,p_b,lift
ENGINE_OIL_CHANGE,CVT_BELT_INSPECTION,3530,16455,3544,18363,0.2143,0.2145,0.193,1.1115
ENGINE_OIL_CHANGE,FORK_INSPECTION,3481,30136,3609,33518,0.115,0.1155,0.1077,1.0728
ENGINE_OIL_CHANGE,CVT_CASE_INSPECTION,3449,16455,3467,18363,0.2094,0.2096,0.1888,1.1102
CHAIN_CLEAN,CHAIN_INSPECTION,3399,7454,3764,11668,0.4347,0.456,0.3226,1.4135
AIR_FILTER_CHANGE,BRAKE_FLUID_CHANGE,3087,9240,3637,33518,0.3153,0.3341,0.1085,3.0789
CHAIN_LUBRICATE,CHAIN_INSPECTION,2822,5969,3764,11668,0.4083,0.4728,0.3226,1.4656
ENGINE_OIL_CHANGE,FRONT_BRAKE_PAD_INSPECTION,2535,30136,2649,33518,0.0838,0.0841,0.079,1.0644
ENGINE_OIL_CHANGE,CVT_ROLLER_INSPECTION,2530,16455,2538,18363,0.1537,0.1538,0.1382,1.1124
BATTERY_TEST,CHAIN_CLEAN,2498,3863,7454,11668,0.2833,0.6466,0.6388,1.0122
BATTERY_TEST,BRAKE_FLUID_CHANGE,2486,11153,3639,33545,0.202,0.2229,0.1085,2.0547
AIR_FILTER_INSPECTION,CHAIN_CLEAN,2477,3738,7454,11668,0.2842,0.6627,0.6388,1.0373
BATTERY_TEST,FORK_INSPECTION,2414,11153,3609,33545,0.1955,0.2164,0.1076,2.0118
ENGINE_OIL_CHANGE,VALVE_CLEARANCE_INSPECTION,2394,30136,2398,33518,0.0794,0.0794,0.0715,1.1104
BRAKE_FLUID_CHECK,CHAIN_CLEAN,2389,3222,7454,11668,0.2883,0.7415,0.6388,1.1606
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHANGE,2321,11089,3637,33518,0.1871,0.2093,0.1085,1.9289
BRAKE_FLUID_CHECK,FORK_INSPECTION,2212,9793,3609,33545,0.1977,0.2259,0.1076,2.0995
GENERAL_SAFETY_INSPECTION,CHAIN_CLEAN,2203,2451,7454,11668,0.286,0.8988,0.6388,1.4069
AIR_FILTER_CHANGE,CHAIN_CLEAN,2189,3312,7454,11668,0.2552,0.6609,0.6388,1.0346
GENERAL_SAFETY_INSPECTION,CHAIN_LUBRICATE,2177,2451,5969,11668,0.3487,0.8882,0.5116,1.7362
ENGINE_OIL_CHANGE,SPARK_PLUG_INSPECTION,2084,30136,2095,33518,0.0691,0.0692,0.0625,1.1064
ENGINE_OIL_CHANGE,CVT_BELT_CHANGE,1975,16455,1985,18363,0.12,0.12,0.1081,1.1103
ENGINE_OIL_CHANGE,WHEEL_BEARING_INSPECTION,1951,30136,2078,33518,0.0645,0.0647,0.062,1.0442
ENGINE_OIL_CHANGE,FRONT_TIRE_INSPECTION,1816,30136,1942,33518,0.06,0.0603,0.0579,1.0401
BRAKE_FLUID_CHECK,BRAKE_FLUID_CHANGE,1745,9793,3639,33545,0.1493,0.1782,0.1085,1.6426
BATTERY_TEST,CVT_CASE_INSPECTION,1661,6103,3467,18363,0.21,0.2722,0.1888,1.4415
ENGINE_OIL_CHANGE,COOLANT_LEVEL_CHECK,1650,7081,1653,8042,0.2329,0.233,0.2055,1.1337
BATTERY_TEST,CVT_BELT_INSPECTION,1608,6103,3544,18363,0.2,0.2635,0.193,1.3652
ENGINE_OIL_CHANGE,FINAL_GEAR_OIL_CHANGE,1574,16455,1577,18363,0.0956,0.0957,0.0859,1.1138
BRAKE_FLUID_CHECK,CVT_CASE_INSPECTION,1570,5504,3467,18363,0.2121,0.2852,0.1888,1.5108
ENGINE_OIL_CHANGE,SPARK_PLUG_CHANGE,1563,30136,1570,33518,0.0519,0.0519,0.0468,1.1073
AIR_FILTER_INSPECTION,FORK_INSPECTION,1531,11089,3609,33518,0.1163,0.1381,0.1077,1.2823
BATTERY_TEST,FRONT_BRAKE_PAD_INSPECTION,1523,11153,2659,33545,0.1239,0.1366,0.0793,1.7227
AIR_FILTER_INSPECTION,GENERAL_SAFETY_INSPECTION,1519,11089,8898,33518,0.0823,0.137,0.2655,0.516
AIR_FILTER_INSPECTION,CVT_BELT_INSPECTION,1509,6136,3544,18363,0.1847,0.2459,0.193,1.2742
BRAKE_FLUID_CHECK,CVT_BELT_INSPECTION,1497,5504,3544,18363,0.1983,0.272,0.193,1.4093
AIR_FILTER_INSPECTION,CHAIN_LUBRICATE,1476,3738,5969,11668,0.1793,0.3949,0.5116,0.7719
CVT_BELT_INSPECTION,CVT_ROLLER_INSPECTION,1436,3544,2538,18363,0.3091,0.4052,0.1382,2.9317
FORK_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,1433,3609,2659,33545,0.2964,0.3971,0.0793,5.0092
AIR_FILTER_INSPECTION,CVT_CASE_INSPECTION,1430,6136,3467,18363,0.175,0.2331,0.1888,1.2344
AIR_FILTER_CHANGE,CHAIN_LUBRICATE,1408,3312,5969,11668,0.1788,0.4251,0.5116,0.831
BRAKE_FLUID_CHECK,FRONT_BRAKE_PAD_INSPECTION,1402,9793,2659,33545,0.1269,0.1432,0.0793,1.8061
AIR_FILTER_CHANGE,GENERAL_SAFETY_INSPECTION,1401,9240,8898,33518,0.0837,0.1516,0.2655,0.5712
BATTERY_TEST,CHAIN_LUBRICATE,1377,3863,5969,11668,0.1629,0.3565,0.5116,0.6968
BRAKE_FLUID_CHECK,CHAIN_LUBRICATE,1351,3222,5969,11668,0.1723,0.4193,0.5116,0.8196
AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,1341,4862,3544,18363,0.1898,0.2758,0.193,1.4291
BATTERY_TEST,COOLANT_LEVEL_CHECK,1313,2526,1653,8042,0.4581,0.5198,0.2055,2.5288
CVT_BELT_INSPECTION,CVT_CASE_INSPECTION,1298,3544,3467,18363,0.2272,0.3663,0.1888,1.9399
BRAKE_FLUID_CHECK,COOLANT_LEVEL_CHECK,1227,2267,1653,8042,0.4556,0.5412,0.2055,2.6332
CVT_BELT_INSPECTION,CVT_BELT_CHANGE,1126,3544,1985,18363,0.2557,0.3177,0.1081,2.9392
AIR_FILTER_INSPECTION,CHAIN_INSPECTION,1086,3738,3764,11668,0.1693,0.2905,0.3226,0.9006
BATTERY_TEST,CHAIN_INSPECTION,1072,3863,3764,11668,0.1635,0.2775,0.3226,0.8602
GENERAL_SAFETY_INSPECTION,SPARK_PLUG_INSPECTION,1061,8898,2095,33518,0.1068,0.1192,0.0625,1.9077
GENERAL_SAFETY_INSPECTION,CHAIN_INSPECTION,1053,2451,3764,11668,0.204,0.4296,0.3226,1.3318
CVT_CASE_INSPECTION,CVT_ROLLER_INSPECTION,1039,3467,2538,18363,0.2092,0.2997,0.1382,2.1683
GENERAL_SAFETY_INSPECTION,VALVE_CLEARANCE_INSPECTION,1029,8898,2398,33518,0.1002,0.1156,0.0715,1.6164
GENERAL_SAFETY_INSPECTION,WHEEL_BEARING_INSPECTION,1020,8922,2078,33545,0.1022,0.1143,0.0619,1.8455
BRAKE_FLUID_CHECK,CHAIN_INSPECTION,1018,3222,3764,11668,0.1706,0.316,0.3226,0.9794
AIR_FILTER_INSPECTION,COOLANT_LEVEL_CHECK,1010,2552,1653,8042,0.3161,0.3958,0.2055,1.9254
ENGINE_OIL_CHANGE,REAR_BRAKE_PAD_INSPECTION,1006,30136,1007,33518,0.0334,0.0334,0.03,1.1111
AIR_FILTER_CHANGE,CHAIN_INSPECTION,984,3312,3764,11668,0.1615,0.2971,0.3226,0.921
BATTERY_TEST,CVT_BELT_CHANGE,966,6103,1985,18363,0.1356,0.1583,0.1081,1.4643
AIR_FILTER_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,950,11089,2649,33518,0.0743,0.0857,0.079,1.084
CVT_ROLLER_INSPECTION,FINAL_GEAR_OIL_CHANGE,946,2538,1577,18363,0.2985,0.3727,0.0859,4.3402
CVT_BELT_INSPECTION,FINAL_GEAR_OIL_CHANGE,928,3544,1577,18363,0.2213,0.2619,0.0859,3.0491
VALVE_CLEARANCE_INSPECTION,WHEEL_BEARING_INSPECTION,903,2398,2078,33518,0.2527,0.3766,0.062,6.0739
GENERAL_SAFETY_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,897,8922,2659,33545,0.084,0.1005,0.0793,1.2684
BRAKE_FLUID_CHECK,CVT_BELT_CHANGE,894,5504,1985,18363,0.1356,0.1624,0.1081,1.5026
GENERAL_SAFETY_INSPECTION,FRONT_TIRE_INSPECTION,894,8922,1950,33545,0.0896,0.1002,0.0581,1.7237
GENERAL_SAFETY_INSPECTION,FORK_INSPECTION,893,8922,3609,33545,0.0767,0.1001,0.1076,0.9303
BATTERY_TEST,FRONT_TIRE_INSPECTION,890,11153,1950,33545,0.0729,0.0798,0.0581,1.3728
AIR_FILTER_CHANGE,CVT_BELT_CHANGE,888,4862,1985,18363,0.149,0.1826,0.1081,1.6896
ENGINE_OIL_CHANGE,REAR_TIRE_INSPECTION,879,30136,1114,33518,0.0289,0.0292,0.0332,0.8776
FRONT_BRAKE_PAD_INSPECTION,FRONT_TIRE_INSPECTION,876,2659,1950,33545,0.2347,0.3294,0.0581,5.6673
BRAKE_FLUID_CHECK,GENERAL_SAFETY_INSPECTION,872,9793,8922,33545,0.0489,0.089,0.266,0.3348
AIR_FILTER_INSPECTION,CVT_BELT_CHANGE,865,6136,1985,18363,0.1192,0.141,0.1081,1.3041
GENERAL_SAFETY_INSPECTION,CVT_CASE_INSPECTION,861,5186,3467,18363,0.1105,0.166,0.1888,0.8793
FORK_INSPECTION,FRONT_TIRE_INSPECTION,838,3609,1950,33545,0.1775,0.2322,0.0581,3.9944
BRAKE_FLUID_CHECK,FRONT_TIRE_INSPECTION,834,9793,1950,33545,0.0765,0.0852,0.0581,1.465
ENGINE_OIL_CHANGE,STEERING_BEARING_INSPECTION,784,30136,925,33518,0.0259,0.026,0.0276,0.9427
AIR_FILTER_CHANGE,FINAL_GEAR_OIL_CHANGE,737,4862,1577,18363,0.1293,0.1516,0.0859,1.7651
AIR_FILTER_CHANGE,FORK_INSPECTION,733,9240,3609,33518,0.0605,0.0793,0.1077,0.7368
AIR_FILTER_CHANGE,VALVE_CLEARANCE_INSPECTION,720,9240,2398,33518,0.0659,0.0779,0.0715,1.0892
CHAIN_CLEAN,SPARK_PLUG_INSPECTION,719,7454,790,11668,0.0955,0.0965,0.0677,1.4247
CHAIN_LUBRICATE,SPARK_PLUG_INSPECTION,713,5969,790,11668,0.1179,0.1195,0.0677,1.7642
AIR_FILTER_CHANGE,CVT_CASE_INSPECTION,707,4862,3467,18363,0.0928,0.1454,0.1888,0.7702
AIR_FILTER_INSPECTION,CVT_ROLLER_INSPECTION,704,6136,2538,18363,0.0883,0.1147,0.1382,0.8301
CHAIN_CLEAN,BRAKE_FLUID_CHANGE,695,7454,1245,11668,0.0868,0.0932,0.1067,0.8738
BATTERY_TEST,CVT_ROLLER_INSPECTION,686,6103,2538,18363,0.0862,0.1124,0.1382,0.8133
GENERAL_SAFETY_INSPECTION,SPARK_PLUG_CHANGE,678,8898,1570,33518,0.0693,0.0762,0.0468,1.6267
BRAKE_FLUID_CHECK,CVT_ROLLER_INSPECTION,669,5504,2538,18363,0.0907,0.1215,0.1382,0.8794
AIR_FILTER_CHANGE,CVT_ROLLER_INSPECTION,667,4862,2538,18363,0.0991,0.1372,0.1382,0.9926
CVT_ROLLER_INSPECTION,CVT_BELT_CHANGE,652,2538,1985,18363,0.1684,0.2569,0.1081,2.3765
GENERAL_SAFETY_INSPECTION,REAR_BRAKE_PAD_INSPECTION,643,8922,1014,33545,0.0692,0.0721,0.0302,2.3842
VALVE_CLEARANCE_INSPECTION,FINAL_GEAR_OIL_CHANGE,637,1237,1577,18363,0.2926,0.515,0.0859,5.9963
FORK_INSPECTION,CVT_CASE_INSPECTION,634,1964,3467,18363,0.1322,0.3228,0.1888,1.7098
CHAIN_CLEAN,VALVE_CLEARANCE_INSPECTION,623,7454,698,11668,0.0827,0.0836,0.0598,1.3971
CHAIN_LUBRICATE,VALVE_CLEARANCE_INSPECTION,621,5969,698,11668,0.1027,0.104,0.0598,1.7391
GENERAL_SAFETY_INSPECTION,CVT_ROLLER_INSPECTION,612,5186,2538,18363,0.0861,0.118,0.1382,0.8538
CHAIN_LUBRICATE,FORK_INSPECTION,598,5969,735,11668,0.0979,0.1002,0.063,1.5904
ENGINE_OIL_CHANGE,COOLANT_CHANGE,596,7081,598,8042,0.0841,0.0842,0.0744,1.1319
CHAIN_CLEAN,FORK_INSPECTION,582,7454,735,11668,0.0765,0.0781,0.063,1.2395
AIR_FILTER_CHANGE,SPARK_PLUG_CHANGE,568,9240,1570,33518,0.0555,0.0615,0.0468,1.3124
AIR_FILTER_CHANGE,WHEEL_BEARING_INSPECTION,563,9240,2078,33518,0.0523,0.0609,0.062,0.9828
AIR_FILTER_INSPECTION,FRONT_TIRE_INSPECTION,561,11089,1942,33518,0.045,0.0506,0.0579,0.8732
GENERAL_SAFETY_INSPECTION,REAR_TIRE_INSPECTION,553,8922,1121,33545,0.0583,0.062,0.0334,1.8547
CHAIN_LUBRICATE,SPARK_PLUG_CHANGE,552,5969,608,11668,0.0916,0.0925,0.0521,1.7747
CHAIN_CLEAN,SPARK_PLUG_CHANGE,549,7454,608,11668,0.0731,0.0737,0.0521,1.4134
CVT_CASE_INSPECTION,CVT_BELT_CHANGE,547,3467,1985,18363,0.1115,0.1578,0.1081,1.4595
GENERAL_SAFETY_INSPECTION,STEERING_BEARING_INSPECTION,508,8922,925,33545,0.0544,0.0569,0.0276,2.0648
GENERAL_SAFETY_INSPECTION,CVT_BELT_INSPECTION,507,5186,3544,18363,0.0617,0.0978,0.193,0.5066
VALVE_CLEARANCE_INSPECTION,SPARK_PLUG_INSPECTION,496,2398,2095,33518,0.1241,0.2068,0.0625,3.3092
CVT_BELT_CHANGE,FINAL_GEAR_OIL_CHANGE,490,1985,1577,18363,0.1595,0.2469,0.0859,2.8744
AIR_FILTER_CHANGE,COOLANT_LEVEL_CHECK,467,1841,1653,8042,0.1543,0.2537,0.2055,1.2341
CHAIN_LUBRICATE,WHEEL_BEARING_INSPECTION,461,5969,556,11668,0.076,0.0772,0.0477,1.6208
CVT_CASE_INSPECTION,FINAL_GEAR_OIL_CHANGE,460,3467,1577,18363,0.1003,0.1327,0.0859,1.545
CHAIN_CLEAN,WHEEL_BEARING_INSPECTION,459,7454,556,11668,0.0608,0.0616,0.0477,1.2922
BATTERY_TEST,GENERAL_SAFETY_INSPECTION,449,11153,8922,33545,0.0229,0.0403,0.266,0.1514
AIR_FILTER_CHANGE,FRONT_BRAKE_PAD_INSPECTION,439,9240,2649,33518,0.0383,0.0475,0.079,0.6012
CVT_ROLLER_INSPECTION,VALVE_CLEARANCE_INSPECTION,437,2538,1237,18363,0.1309,0.1722,0.0674,2.556
BRAKE_FLUID_CHANGE,FINAL_GEAR_OIL_CHANGE,430,1970,1577,18363,0.138,0.2183,0.0859,2.5416
CVT_BELT_INSPECTION,VALVE_CLEARANCE_INSPECTION,425,3544,1237,18363,0.0976,0.1199,0.0674,1.7802
BRAKE_FLUID_CHANGE,CVT_BELT_INSPECTION,414,1970,3544,18363,0.0812,0.2102,0.193,1.0889
WHEEL_BEARING_INSPECTION,SPARK_PLUG_INSPECTION,406,2078,2095,33518,0.1078,0.1954,0.0625,3.1259
CVT_CASE_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,398,3467,1503,18363,0.0871,0.1148,0.0818,1.4025
FORK_INSPECTION,COOLANT_LEVEL_CHECK,391,699,1653,8042,0.1994,0.5594,0.2055,2.7214
CHAIN_LUBRICATE,FRONT_BRAKE_PAD_INSPECTION,370,5969,457,11668,0.0611,0.062,0.0392,1.5826
BATTERY_TEST,COOLANT_CHANGE,363,2526,598,8042,0.1315,0.1437,0.0744,1.9326
AIR_FILTER_CHANGE,SPARK_PLUG_INSPECTION,363,9240,2095,33518,0.0331,0.0393,0.0625,0.6285
CHAIN_CLEAN,FRONT_BRAKE_PAD_INSPECTION,360,7454,457,11668,0.0477,0.0483,0.0392,1.2331
CVT_CASE_INSPECTION,SPARK_PLUG_INSPECTION,357,3467,837,18363,0.0904,0.103,0.0456,2.2591
CVT_CASE_INSPECTION,COOLANT_LEVEL_CHECK,356,1157,1604,6778,0.148,0.3077,0.2366,1.3002
BRAKE_FLUID_CHANGE,VALVE_CLEARANCE_INSPECTION,343,3637,2398,33518,0.0603,0.0943,0.0715,1.3182
WHEEL_BEARING_INSPECTION,FINAL_GEAR_OIL_CHANGE,341,1063,1577,18363,0.1483,0.3208,0.0859,3.7354
BRAKE_FLUID_CHECK,COOLANT_CHANGE,337,2267,598,8042,0.1333,0.1487,0.0744,1.9991
CHAIN_LUBRICATE,BRAKE_FLUID_CHANGE,331,5969,1245,11668,0.0481,0.0555,0.1067,0.5197
CHAIN_INSPECTION,VALVE_CLEARANCE_INSPECTION,330,3764,698,11668,0.0799,0.0877,0.0598,1.4656
CVT_BELT_CHANGE,SPARK_PLUG_CHANGE,326,1985,667,18363,0.1402,0.1642,0.0363,4.5214
CHAIN_INSPECTION,SPARK_PLUG_CHANGE,313,3764,608,11668,0.0771,0.0832,0.0521,1.5958
VALVE_CLEARANCE_INSPECTION,SPARK_PLUG_CHANGE,311,2398,1570,33518,0.085,0.1297,0.0468,2.7688
CHAIN_INSPECTION,SPARK_PLUG_INSPECTION,308,3764,790,11668,0.0725,0.0818,0.0677,1.2086
AIR_FILTER_INSPECTION,COOLANT_CHANGE,291,2552,598,8042,0.1018,0.114,0.0744,1.5335
CVT_BELT_INSPECTION,COOLANT_LEVEL_CHECK,287,974,1604,6778,0.1253,0.2947,0.2366,1.2451
BRAKE_FLUID_CHANGE,CVT_CASE_INSPECTION,282,1970,3467,18363,0.0547,0.1431,0.1888,0.7582
BRAKE_FLUID_CHANGE,CVT_BELT_CHANGE,278,1970,1985,18363,0.0756,0.1411,0.1081,1.3055
BRAKE_FLUID_CHANGE,WHEEL_BEARING_INSPECTION,271,3639,2078,33545,0.0498,0.0745,0.0619,1.2022
AIR_FILTER_INSPECTION,VALVE_CLEARANCE_INSPECTION,268,11089,2398,33518,0.0203,0.0242,0.0715,0.3378
GENERAL_SAFETY_INSPECTION,FINAL_GEAR_OIL_CHANGE,267,5186,1577,18363,0.0411,0.0515,0.0859,0.5995
SPARK_PLUG_INSPECTION,SPARK_PLUG_CHANGE,267,2095,1570,33518,0.0786,0.1274,0.0468,2.7209
CHAIN_INSPECTION,BRAKE_FLUID_CHANGE,266,3764,1245,11668,0.0561,0.0707,0.1067,0.6623
AIR_FILTER_CHANGE,FRONT_TIRE_INSPECTION,266,9240,1942,33518,0.0244,0.0288,0.0579,0.4969
CHAIN_INSPECTION,FORK_INSPECTION,255,3764,735,11668,0.0601,0.0677,0.063,1.0755
AIR_FILTER_INSPECTION,SPARK_PLUG_INSPECTION,255,11089,2095,33518,0.0197,0.023,0.0625,0.3679
WHEEL_BEARING_INSPECTION,SPARK_PLUG_CHANGE,250,2078,1570,33518,0.0736,0.1203,0.0468,2.5685
FRONT_BRAKE_PAD_INSPECTION,COOLANT_LEVEL_CHECK,248,544,1653,8042,0.1272,0.4559,0.2055,2.2179
COOLANT_LEVEL_CHECK,COOLANT_CHANGE,245,1653,598,8042,0.1221,0.1482,0.0744,1.9932
CHAIN_INSPECTION,WHEEL_BEARING_INSPECTION,241,3764,556,11668,0.0591,0.064,0.0477,1.3437
FORK_INSPECTION,CVT_ROLLER_INSPECTION,237,1964,2538,18363,0.0556,0.1207,0.1382,0.8731
AIR_FILTER_INSPECTION,FINAL_GEAR_OIL_CHANGE,237,6136,1577,18363,0.0317,0.0386,0.0859,0.4498
CHAIN_LUBRICATE,FRONT_TIRE_INSPECTION,236,5969,307,11668,0.0391,0.0395,0.0263,1.5027
ENGINE_OIL_CHANGE,ENGINE_FAULT_DIAGNOSTIC,235,30136,250,33518,0.0078,0.0078,0.0075,1.0455
BATTERY_TEST,FINAL_GEAR_OIL_CHANGE,234,6103,1577,18363,0.0314,0.0383,0.0859,0.4465
WHEEL_BALANCE,REAR_TIRE_CHANGE,233,276,236,33545,0.8351,0.8442,0.007,119.9949
REAR_TIRE_INSPECTION,REAR_TIRE_CHANGE,231,1121,236,33545,0.2052,0.2061,0.007,29.2902
CHAIN_CLEAN,FRONT_TIRE_INSPECTION,230,7454,307,11668,0.0305,0.0309,0.0263,1.1727
REAR_TIRE_INSPECTION,WHEEL_BALANCE,230,1121,276,33545,0.1971,0.2052,0.0082,24.9368
CVT_BELT_INSPECTION,WHEEL_BEARING_INSPECTION,228,3544,1063,18363,0.0521,0.0643,0.0579,1.1114
BRAKE_FLUID_CHANGE,COOLANT_LEVEL_CHECK,227,790,1653,8042,0.1024,0.2873,0.2055,1.3979
CVT_CASE_INSPECTION,FRONT_TIRE_INSPECTION,222,3467,1117,18363,0.0509,0.064,0.0608,1.0527
FORK_INSPECTION,CVT_BELT_INSPECTION,222,1964,3544,18363,0.042,0.113,0.193,0.5857
BRAKE_FLUID_CHECK,FINAL_GEAR_OIL_CHANGE,216,5504,1577,18363,0.0315,0.0392,0.0859,0.457
CVT_ROLLER_INSPECTION,WHEEL_BEARING_INSPECTION,216,2538,1063,18363,0.0638,0.0851,0.0579,1.4702
FRONT_TIRE_INSPECTION,REAR_BRAKE_PAD_INSPECTION,210,1950,1014,33545,0.0763,0.1077,0.0302,3.5627
FRONT_BRAKE_PAD_INSPECTION,REAR_BRAKE_PAD_INSPECTION,209,2659,1014,33545,0.0603,0.0786,0.0302,2.6003
FORK_INSPECTION,REAR_BRAKE_PAD_INSPECTION,207,3609,1014,33545,0.0469,0.0574,0.0302,1.8975
FINAL_GEAR_OIL_CHANGE,SPARK_PLUG_CHANGE,207,1577,667,18363,0.1016,0.1313,0.0363,3.6137
AIR_FILTER_INSPECTION,WHEEL_BEARING_INSPECTION,204,11089,2078,33518,0.0157,0.0184,0.062,0.2967
AIR_FILTER_CHANGE,COOLANT_CHANGE,198,1841,598,8042,0.0884,0.1076,0.0744,1.4464
BRAKE_FLUID_CHECK,REAR_BRAKE_PAD_INSPECTION,195,9793,1014,33545,0.0184,0.0199,0.0302,0.6587
BRAKE_FLUID_CHANGE,FORK_INSPECTION,194,3639,3609,33545,0.0275,0.0533,0.1076,0.4955
BATTERY_TEST,REAR_BRAKE_PAD_INSPECTION,192,11153,1014,33545,0.016,0.0172,0.0302,0.5695
CVT_CASE_INSPECTION,VALVE_CLEARANCE_INSPECTION,185,3467,1237,18363,0.0409,0.0534,0.0674,0.7921
GENERAL_SAFETY_INSPECTION,COOLANT_LEVEL_CHECK,184,2171,1653,8042,0.0505,0.0848,0.2055,0.4123
FRONT_TIRE_INSPECTION,REAR_TIRE_INSPECTION,183,1950,1121,33545,0.0634,0.0938,0.0334,2.8083
CVT_BELT_CHANGE,COOLANT_CHANGE,177,491,571,6778,0.2,0.3605,0.0842,4.2791
AIR_FILTER_INSPECTION,SPARK_PLUG_CHANGE,175,11089,1570,33518,0.014,0.0158,0.0468,0.3369
AIR_FILTER_INSPECTION,REAR_BRAKE_PAD_INSPECTION,174,11089,1007,33518,0.0146,0.0157,0.03,0.5223
CVT_BELT_INSPECTION,SPARK_PLUG_CHANGE,172,3544,667,18363,0.0426,0.0485,0.0363,1.3361
CVT_ROLLER_INSPECTION,COOLANT_LEVEL_CHECK,168,926,1604,6778,0.0711,0.1814,0.2366,0.7666
CVT_ROLLER_INSPECTION,SPARK_PLUG_CHANGE,163,2538,667,18363,0.0536,0.0642,0.0363,1.7681
FRONT_BRAKE_PAD_INSPECTION,REAR_TIRE_INSPECTION,162,2659,1121,33545,0.0448,0.0609,0.0334,1.8231
CVT_BELT_CHANGE,COOLANT_LEVEL_CHECK,161,491,1604,6778,0.0832,0.3279,0.2366,1.3856
GENERAL_SAFETY_INSPECTION,BRAKE_FLUID_CHANGE,159,8922,3639,33545,0.0128,0.0178,0.1085,0.1643
VALVE_CLEARANCE_INSPECTION,CVT_BELT_CHANGE,157,1237,1985,18363,0.0512,0.1269,0.1081,1.1741
BRAKE_FLUID_CHANGE,CVT_ROLLER_INSPECTION,152,1970,2538,18363,0.0349,0.0772,0.1382,0.5583
CVT_BELT_INSPECTION,COOLANT_CHANGE,143,974,571,6778,0.102,0.1468,0.0842,1.7428
FRONT_TIRE_INSPECTION,COOLANT_LEVEL_CHECK,141,421,1653,8042,0.0729,0.3349,0.2055,1.6294
BRAKE_FLUID_CHANGE,SPARK_PLUG_CHANGE,140,3637,1570,33518,0.0276,0.0385,0.0468,0.8218
GENERAL_SAFETY_INSPECTION,CVT_BELT_CHANGE,138,5186,1985,18363,0.0196,0.0266,0.1081,0.2462
CHAIN_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,134,3764,457,11668,0.0328,0.0356,0.0392,0.9089
ECU_DIAGNOSTIC_SCAN,FORK_SEAL_CHANGE,132,523,268,33545,0.2003,0.2524,0.008,31.5911
FRONT_BRAKE_PAD_INSPECTION,CVT_ROLLER_INSPECTION,131,1503,2538,18363,0.0335,0.0872,0.1382,0.6306
CVT_BELT_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,125,3544,1503,18363,0.0254,0.0353,0.0818,0.4309
ENGINE_OIL_CHANGE,FUEL_SYSTEM_DIAGNOSTIC,123,30136,495,33518,0.004,0.0041,0.0148,0.2764
CHAIN_CLEAN,STEERING_BEARING_INSPECTION,122,7454,178,11668,0.0162,0.0164,0.0153,1.0729
CHAIN_LUBRICATE,REAR_TIRE_INSPECTION,120,5969,217,11668,0.0198,0.0201,0.0186,1.081
CVT_BELT_INSPECTION,SPARK_PLUG_INSPECTION,119,3544,837,18363,0.0279,0.0336,0.0456,0.7367
