a,b,c,count,rate
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,CHAIN_CLEAN,2180,0.1868
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,CHAIN_LUBRICATE,2170,0.186
BATTERY_TEST,AIR_FILTER_CHANGE,BRAKE_FLUID_CHANGE,2099,0.0626
BATTERY_TEST,BRAKE_FLUID_CHECK,CHAIN_CLEAN,2017,0.1729
BATTERY_TEST,AIR_FILTER_INSPECTION,BRAKE_FLUID_CHANGE,1970,0.0588
AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,BRAKE_FLUID_CHANGE,1967,0.0587
GENERAL_SAFETY_INSPECTION,CHAIN_CLEAN,CHAIN_LUBRICATE,1948,0.167
BATTERY_TEST,BRAKE_FLUID_CHECK,FORK_INSPECTION,1893,0.0564
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,BRAKE_FLUID_CHANGE,1742,0.052
ENGINE_OIL_CHANGE,BATTERY_TEST,CVT_CASE_INSPECTION,1655,0.0901
ENGINE_OIL_CHANGE,BATTERY_TEST,CVT_BELT_INSPECTION,1601,0.0872
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,CVT_CASE_INSPECTION,1563,0.0851
BATTERY_TEST,AIR_FILTER_INSPECTION,CHAIN_CLEAN,1550,0.1328
BATTERY_TEST,BRAKE_FLUID_CHECK,BRAKE_FLUID_CHANGE,1537,0.0458
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,FORK_INSPECTION,1526,0.0455
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,GENERAL_SAFETY_INSPECTION,1517,0.0453
ENGINE_OIL_CHANGE,BATTERY_TEST,FRONT_BRAKE_PAD_INSPECTION,1515,0.0452
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,CVT_BELT_INSPECTION,1502,0.0818
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,CVT_BELT_INSPECTION,1489,0.0811
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,CHAIN_LUBRICATE,1472,0.1262
BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,BRAKE_FLUID_CHANGE,1432,0.0427
ENGINE_OIL_CHANGE,CVT_BELT_INSPECTION,CVT_ROLLER_INSPECTION,1431,0.0779
ENGINE_OIL_CHANGE,FORK_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,1426,0.0425
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,CVT_CASE_INSPECTION,1424,0.0775
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,CHAIN_LUBRICATE,1403,0.1202
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,GENERAL_SAFETY_INSPECTION,1397,0.0417
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,CHAIN_CLEAN,1395,0.1196
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,FRONT_BRAKE_PAD_INSPECTION,1394,0.0416
ENGINE_OIL_CHANGE,BATTERY_TEST,CHAIN_LUBRICATE,1374,0.1178
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,CHAIN_LUBRICATE,1347,0.1154
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,1336,0.0728
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,BRAKE_FLUID_CHANGE,1335,0.0398
BATTERY_TEST,BRAKE_FLUID_CHECK,CVT_CASE_INSPECTION,1332,0.0725
ENGINE_OIL_CHANGE,BATTERY_TEST,COOLANT_LEVEL_CHECK,1310,0.1629
BATTERY_TEST,BRAKE_FLUID_CHECK,CVT_BELT_INSPECTION,1300,0.0708
AIR_FILTER_INSPECTION,CHAIN_CLEAN,CHAIN_LUBRICATE,1296,0.1111
ENGINE_OIL_CHANGE,CVT_BELT_INSPECTION,CVT_CASE_INSPECTION,1289,0.0702
AIR_FILTER_CHANGE,CHAIN_CLEAN,CHAIN_LUBRICATE,1255,0.1076
BATTERY_TEST,AIR_FILTER_INSPECTION,FORK_INSPECTION,1249,0.0373
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,COOLANT_LEVEL_CHECK,1225,0.1523
BATTERY_TEST,CHAIN_CLEAN,CHAIN_LUBRICATE,1209,0.1036
BATTERY_TEST,FORK_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,1192,0.0355
BRAKE_FLUID_CHECK,CHAIN_CLEAN,CHAIN_LUBRICATE,1187,0.1017
BATTERY_TEST,BRAKE_FLUID_CHECK,FRONT_BRAKE_PAD_INSPECTION,1170,0.0349
ENGINE_OIL_CHANGE,CVT_BELT_INSPECTION,CVT_BELT_CHANGE,1121,0.061
BATTERY_TEST,AIR_FILTER_INSPECTION,CVT_BELT_INSPECTION,1114,0.0607
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,FORK_INSPECTION,1106,0.033
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,CHAIN_INSPECTION,1082,0.0927
BATTERY_TEST,BRAKE_FLUID_CHECK,COOLANT_LEVEL_CHECK,1081,0.1344
BRAKE_FLUID_CHECK,FORK_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,1077,0.0321
ENGINE_OIL_CHANGE,BATTERY_TEST,CHAIN_INSPECTION,1070,0.0917
BATTERY_TEST,BRAKE_FLUID_CHECK,CHAIN_LUBRICATE,1064,0.0912
BATTERY_TEST,AIR_FILTER_INSPECTION,CVT_CASE_INSPECTION,1056,0.0575
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,SPARK_PLUG_INSPECTION,1054,0.0314
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,CHAIN_INSPECTION,1047,0.0897
ENGINE_OIL_CHANGE,CVT_CASE_INSPECTION,CVT_ROLLER_INSPECTION,1033,0.0563
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,VALVE_CLEARANCE_INSPECTION,1026,0.0306
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,WHEEL_BEARING_INSPECTION,1015,0.0303
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,CHAIN_INSPECTION,1015,0.087
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,CVT_BELT_INSPECTION,1009,0.0549
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,COOLANT_LEVEL_CHECK,1007,0.1252
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,CHAIN_INSPECTION,982,0.0842
AIR_FILTER_INSPECTION,CHAIN_CLEAN,CHAIN_INSPECTION,968,0.083
ENGINE_OIL_CHANGE,BATTERY_TEST,CVT_BELT_CHANGE,963,0.0524
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,CVT_CASE_INSPECTION,957,0.0521
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,946,0.0282
ENGINE_OIL_CHANGE,CVT_ROLLER_INSPECTION,FINAL_GEAR_OIL_CHANGE,945,0.0515
BATTERY_TEST,CHAIN_CLEAN,CHAIN_INSPECTION,941,0.0806
GENERAL_SAFETY_INSPECTION,CHAIN_CLEAN,CHAIN_INSPECTION,939,0.0805
ENGINE_OIL_CHANGE,CVT_BELT_INSPECTION,FINAL_GEAR_OIL_CHANGE,927,0.0505
GENERAL_SAFETY_INSPECTION,CHAIN_LUBRICATE,CHAIN_INSPECTION,920,0.0788
ENGINE_OIL_CHANGE,VALVE_CLEARANCE_INSPECTION,WHEEL_BEARING_INSPECTION,901,0.0269
BRAKE_FLUID_CHECK,CHAIN_CLEAN,CHAIN_INSPECTION,895,0.0767
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,FORK_INSPECTION,892,0.0266
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,CVT_BELT_CHANGE,892,0.0486
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,CVT_BELT_CHANGE,886,0.0482
ENGINE_OIL_CHANGE,BATTERY_TEST,FRONT_TIRE_INSPECTION,885,0.0264
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,FRONT_TIRE_INSPECTION,881,0.0263
AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,CHAIN_CLEAN,880,0.0754
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,879,0.0262
BATTERY_TEST,AIR_FILTER_INSPECTION,COOLANT_LEVEL_CHECK,877,0.1091
AIR_FILTER_CHANGE,CHAIN_CLEAN,CHAIN_INSPECTION,877,0.0752
BATTERY_TEST,AIR_FILTER_CHANGE,CHAIN_CLEAN,870,0.0746
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,GENERAL_SAFETY_INSPECTION,870,0.026
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,CVT_BELT_CHANGE,863,0.047
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,CVT_CASE_INSPECTION,856,0.0466
BATTERY_TEST,BRAKE_FLUID_CHECK,CHAIN_INSPECTION,848,0.0727
ENGINE_OIL_CHANGE,FORK_INSPECTION,FRONT_TIRE_INSPECTION,833,0.0249
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,FRONT_TIRE_INSPECTION,828,0.0247
ENGINE_OIL_CHANGE,FRONT_BRAKE_PAD_INSPECTION,FRONT_TIRE_INSPECTION,821,0.0245
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,COOLANT_LEVEL_CHECK,816,0.1015
BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,CHAIN_CLEAN,789,0.0676
BATTERY_TEST,BRAKE_FLUID_CHECK,CVT_BELT_CHANGE,786,0.0428
BATTERY_TEST,AIR_FILTER_INSPECTION,CHAIN_LUBRICATE,750,0.0643
BATTERY_TEST,CVT_BELT_INSPECTION,CVT_CASE_INSPECTION,743,0.0405
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,FINAL_GEAR_OIL_CHANGE,736,0.0401
CVT_BELT_INSPECTION,CVT_ROLLER_INSPECTION,FINAL_GEAR_OIL_CHANGE,732,0.0399
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,FORK_INSPECTION,731,0.0218
BATTERY_TEST,AIR_FILTER_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,730,0.0218
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,VALVE_CLEARANCE_INSPECTION,720,0.0215
ENGINE_OIL_CHANGE,CHAIN_CLEAN,SPARK_PLUG_INSPECTION,716,0.0614
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,SPARK_PLUG_INSPECTION,710,0.0609
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,CVT_CASE_INSPECTION,703,0.0383
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,CVT_ROLLER_INSPECTION,701,0.0382
ENGINE_OIL_CHANGE,CHAIN_CLEAN,BRAKE_FLUID_CHANGE,693,0.0594
BATTERY_TEST,FORK_INSPECTION,FRONT_TIRE_INSPECTION,689,0.0205
AIR_FILTER_INSPECTION,FORK_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,686,0.0205
ENGINE_OIL_CHANGE,BATTERY_TEST,CVT_ROLLER_INSPECTION,685,0.0373
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,SPARK_PLUG_CHANGE,673,0.0201
BRAKE_FLUID_CHECK,CVT_BELT_INSPECTION,CVT_CASE_INSPECTION,672,0.0366
BATTERY_TEST,FRONT_BRAKE_PAD_INSPECTION,FRONT_TIRE_INSPECTION,670,0.02
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,CVT_ROLLER_INSPECTION,667,0.0363
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,CHAIN_LUBRICATE,667,0.0572
BATTERY_TEST,BRAKE_FLUID_CHECK,FRONT_TIRE_INSPECTION,667,0.0199
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,CVT_ROLLER_INSPECTION,663,0.0361
ENGINE_OIL_CHANGE,CVT_ROLLER_INSPECTION,CVT_BELT_CHANGE,650,0.0354
BATTERY_TEST,AIR_FILTER_INSPECTION,CVT_BELT_CHANGE,649,0.0353
BATTERY_TEST,AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,649,0.0353
CHAIN_CLEAN,CHAIN_LUBRICATE,SPARK_PLUG_INSPECTION,647,0.0555
AIR_FILTER_INSPECTION,CVT_BELT_INSPECTION,CVT_CASE_INSPECTION,647,0.0352
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,FRONT_BRAKE_PAD_INSPECTION,638,0.019
ENGINE_OIL_CHANGE,VALVE_CLEARANCE_INSPECTION,FINAL_GEAR_OIL_CHANGE,637,0.0347
CVT_BELT_INSPECTION,CVT_CASE_INSPECTION,CVT_ROLLER_INSPECTION,635,0.0346
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,REAR_BRAKE_PAD_INSPECTION,635,0.0189
ENGINE_OIL_CHANGE,FORK_INSPECTION,CVT_CASE_INSPECTION,633,0.0345
ENGINE_OIL_CHANGE,CHAIN_CLEAN,VALVE_CLEARANCE_INSPECTION,623,0.0534
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,VALVE_CLEARANCE_INSPECTION,620,0.0531
AIR_FILTER_CHANGE,CHAIN_CLEAN,BRAKE_FLUID_CHANGE,617,0.0529
BRAKE_FLUID_CHECK,FORK_INSPECTION,FRONT_TIRE_INSPECTION,616,0.0184
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,CVT_ROLLER_INSPECTION,612,0.0333
AIR_FILTER_CHANGE,CHAIN_LUBRICATE,CHAIN_INSPECTION,612,0.0525
FORK_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,FRONT_TIRE_INSPECTION,610,0.0182
BRAKE_FLUID_CHECK,FRONT_BRAKE_PAD_INSPECTION,FRONT_TIRE_INSPECTION,602,0.0179
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,CVT_BELT_CHANGE,602,0.0328
AIR_FILTER_INSPECTION,CHAIN_LUBRICATE,CHAIN_INSPECTION,601,0.0515
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,FORK_INSPECTION,596,0.0511
AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,591,0.0322
BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,588,0.032
BATTERY_TEST,AIR_FILTER_INSPECTION,CHAIN_INSPECTION,581,0.0498
BATTERY_TEST,CHAIN_LUBRICATE,CHAIN_INSPECTION,581,0.0498
ENGINE_OIL_CHANGE,CHAIN_CLEAN,FORK_INSPECTION,579,0.0496
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,SPARK_PLUG_CHANGE,568,0.0169
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,WHEEL_BEARING_INSPECTION,563,0.0168
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,FRONT_TIRE_INSPECTION,558,0.0166
BATTERY_TEST,AIR_FILTER_CHANGE,FORK_INSPECTION,553,0.0165
BRAKE_FLUID_CHECK,CHAIN_LUBRICATE,CHAIN_INSPECTION,552,0.0473
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,SPARK_PLUG_CHANGE,551,0.0472
CHAIN_CLEAN,CHAIN_LUBRICATE,VALVE_CLEARANCE_INSPECTION,551,0.0472
ENGINE_OIL_CHANGE,CHAIN_CLEAN,SPARK_PLUG_CHANGE,548,0.047
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,REAR_TIRE_INSPECTION,547,0.0163
ENGINE_OIL_CHANGE,CVT_CASE_INSPECTION,CVT_BELT_CHANGE,542,0.0295
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,CHAIN_INSPECTION,534,0.0458
BATTERY_TEST,BRAKE_FLUID_CHECK,CVT_ROLLER_INSPECTION,530,0.0289
CVT_BELT_INSPECTION,CVT_ROLLER_INSPECTION,CVT_BELT_CHANGE,518,0.0282
BATTERY_TEST,FORK_INSPECTION,CVT_CASE_INSPECTION,507,0.0276
CHAIN_CLEAN,CHAIN_LUBRICATE,FORK_INSPECTION,506,0.0434
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,CVT_BELT_INSPECTION,505,0.0275
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,STEERING_BEARING_INSPECTION,504,0.015
CHAIN_CLEAN,CHAIN_LUBRICATE,SPARK_PLUG_CHANGE,495,0.0424
ENGINE_OIL_CHANGE,VALVE_CLEARANCE_INSPECTION,SPARK_PLUG_INSPECTION,494,0.0147
ENGINE_OIL_CHANGE,CVT_BELT_CHANGE,FINAL_GEAR_OIL_CHANGE,490,0.0267
BATTERY_TEST,CVT_CASE_INSPECTION,CVT_ROLLER_INSPECTION,487,0.0265
BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,FORK_INSPECTION,482,0.0144
BATTERY_TEST,CVT_BELT_INSPECTION,CVT_BELT_CHANGE,481,0.0262
AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,CVT_ROLLER_INSPECTION,480,0.0261
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,COOLANT_LEVEL_CHECK,466,0.0579
AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,CVT_BELT_CHANGE,464,0.0253
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,WHEEL_BEARING_INSPECTION,461,0.0395
ENGINE_OIL_CHANGE,CHAIN_CLEAN,WHEEL_BEARING_INSPECTION,459,0.0393
ENGINE_OIL_CHANGE,CVT_CASE_INSPECTION,FINAL_GEAR_OIL_CHANGE,458,0.0249
BRAKE_FLUID_CHECK,FORK_INSPECTION,CVT_CASE_INSPECTION,449,0.0245
AIR_FILTER_INSPECTION,CVT_BELT_INSPECTION,CVT_BELT_CHANGE,448,0.0244
ENGINE_OIL_CHANGE,BATTERY_TEST,GENERAL_SAFETY_INSPECTION,448,0.0134
BRAKE_FLUID_CHECK,CVT_CASE_INSPECTION,CVT_ROLLER_INSPECTION,446,0.0243
BATTERY_TEST,CVT_BELT_INSPECTION,CVT_ROLLER_INSPECTION,440,0.024
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,FRONT_BRAKE_PAD_INSPECTION,437,0.013
ENGINE_OIL_CHANGE,CVT_ROLLER_INSPECTION,VALVE_CLEARANCE_INSPECTION,437,0.0238
BATTERY_TEST,AIR_FILTER_CHANGE,CVT_BELT_CHANGE,434,0.0236
BRAKE_FLUID_CHECK,CVT_BELT_INSPECTION,CVT_BELT_CHANGE,432,0.0235
BATTERY_TEST,AIR_FILTER_INSPECTION,CVT_ROLLER_INSPECTION,430,0.0234
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHANGE,FINAL_GEAR_OIL_CHANGE,428,0.0233
ENGINE_OIL_CHANGE,CVT_BELT_INSPECTION,VALVE_CLEARANCE_INSPECTION,424,0.0231
AIR_FILTER_INSPECTION,CVT_CASE_INSPECTION,CVT_ROLLER_INSPECTION,419,0.0228
AIR_FILTER_INSPECTION,CVT_BELT_INSPECTION,CVT_ROLLER_INSPECTION,416,0.0227
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHANGE,CVT_BELT_INSPECTION,413,0.0225
BATTERY_TEST,AIR_FILTER_CHANGE,COOLANT_LEVEL_CHECK,408,0.0507
CHAIN_CLEAN,CHAIN_LUBRICATE,WHEEL_BEARING_INSPECTION,408,0.035
BRAKE_FLUID_CHECK,CVT_BELT_INSPECTION,CVT_ROLLER_INSPECTION,407,0.0222
ENGINE_OIL_CHANGE,WHEEL_BEARING_INSPECTION,SPARK_PLUG_INSPECTION,405,0.0121
BATTERY_TEST,CHAIN_LUBRICATE,FORK_INSPECTION,398,0.0341
CVT_BELT_INSPECTION,CVT_CASE_INSPECTION,CVT_BELT_CHANGE,397,0.0216
ENGINE_OIL_CHANGE,CVT_CASE_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,397,0.0216
BATTERY_TEST,CHAIN_CLEAN,FORK_INSPECTION,391,0.0335
BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,CVT_BELT_CHANGE,391,0.0213
ENGINE_OIL_CHANGE,FORK_INSPECTION,COOLANT_LEVEL_CHECK,390,0.0485
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,CVT_ROLLER_INSPECTION,389,0.0212
AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,CHAIN_LUBRICATE,388,0.0333
BATTERY_TEST,AIR_FILTER_INSPECTION,FRONT_TIRE_INSPECTION,387,0.0115
BATTERY_TEST,CHAIN_CLEAN,BRAKE_FLUID_CHANGE,377,0.0323
GENERAL_SAFETY_INSPECTION,VALVE_CLEARANCE_INSPECTION,WHEEL_BEARING_INSPECTION,372,0.0111
BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,COOLANT_LEVEL_CHECK,371,0.0461
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,FRONT_BRAKE_PAD_INSPECTION,370,0.0317
AIR_FILTER_INSPECTION,FORK_INSPECTION,FRONT_TIRE_INSPECTION,369,0.011
BATTERY_TEST,AIR_FILTER_CHANGE,CVT_CASE_INSPECTION,369,0.0201
AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,CVT_BELT_CHANGE,367,0.02
AIR_FILTER_INSPECTION,CHAIN_CLEAN,BRAKE_FLUID_CHANGE,367,0.0315
BRAKE_FLUID_CHECK,CHAIN_LUBRICATE,FORK_INSPECTION,363,0.0311
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,SPARK_PLUG_INSPECTION,363,0.0108
ENGINE_OIL_CHANGE,BATTERY_TEST,COOLANT_CHANGE,362,0.045
ENGINE_OIL_CHANGE,CHAIN_CLEAN,FRONT_BRAKE_PAD_INSPECTION,360,0.0309
AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,FORK_INSPECTION,358,0.0107
ENGINE_OIL_CHANGE,CVT_CASE_INSPECTION,COOLANT_LEVEL_CHECK,356,0.0525
CVT_ROLLER_INSPECTION,VALVE_CLEARANCE_INSPECTION,FINAL_GEAR_OIL_CHANGE,355,0.0193
AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,CVT_CASE_INSPECTION,355,0.0193
BATTERY_TEST,AIR_FILTER_CHANGE,CHAIN_LUBRICATE,355,0.0304
ENGINE_OIL_CHANGE,CVT_CASE_INSPECTION,SPARK_PLUG_INSPECTION,354,0.0193
CVT_BELT_INSPECTION,VALVE_CLEARANCE_INSPECTION,FINAL_GEAR_OIL_CHANGE,352,0.0192
BRAKE_FLUID_CHECK,CHAIN_CLEAN,FORK_INSPECTION,348,0.0298
AIR_FILTER_CHANGE,BRAKE_FLUID_CHANGE,CVT_BELT_INSPECTION,348,0.019
AIR_FILTER_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,FRONT_TIRE_INSPECTION,348,0.0104
AIR_FILTER_CHANGE,CVT_BELT_INSPECTION,FINAL_GEAR_OIL_CHANGE,344,0.0187
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHANGE,VALVE_CLEARANCE_INSPECTION,343,0.0102
CVT_ROLLER_INSPECTION,CVT_BELT_CHANGE,FINAL_GEAR_OIL_CHANGE,340,0.0185
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,FRONT_TIRE_INSPECTION,340,0.0101
ENGINE_OIL_CHANGE,WHEEL_BEARING_INSPECTION,FINAL_GEAR_OIL_CHANGE,340,0.0185
CVT_BELT_INSPECTION,CVT_BELT_CHANGE,FINAL_GEAR_OIL_CHANGE,340,0.0185
BATTERY_TEST,GENERAL_SAFETY_INSPECTION,FORK_INSPECTION,339,0.0101
BATTERY_TEST,GENERAL_SAFETY_INSPECTION,FRONT_TIRE_INSPECTION,338,0.0101
BATTERY_TEST,BRAKE_FLUID_CHECK,GENERAL_SAFETY_INSPECTION,336,0.01
BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,CVT_CASE_INSPECTION,336,0.0183
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,COOLANT_CHANGE,336,0.0418
ENGINE_OIL_CHANGE,CHAIN_INSPECTION,VALVE_CLEARANCE_INSPECTION,330,0.0283
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,BRAKE_FLUID_CHANGE,330,0.0283
AIR_FILTER_CHANGE,CVT_ROLLER_INSPECTION,FINAL_GEAR_OIL_CHANGE,330,0.018
AIR_FILTER_CHANGE,BRAKE_FLUID_CHANGE,FINAL_GEAR_OIL_CHANGE,329,0.0179
AIR_FILTER_CHANGE,VALVE_CLEARANCE_INSPECTION,WHEEL_BEARING_INSPECTION,329,0.0098
BATTERY_TEST,GENERAL_SAFETY_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,328,0.0098
AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,CHAIN_INSPECTION,327,0.028
BRAKE_FLUID_CHECK,CHAIN_CLEAN,BRAKE_FLUID_CHANGE,326,0.0279
BRAKE_FLUID_CHECK,GENERAL_SAFETY_INSPECTION,FORK_INSPECTION,324,0.0097
CVT_CASE_INSPECTION,CVT_ROLLER_INSPECTION,FINAL_GEAR_OIL_CHANGE,324,0.0176
