model,label,support,applicable_rows,prevalence,threshold,pr_auc,roc_auc,precision,recall,f1,brier
baseline0_prevalence,WHEEL_BEARING_INSPECTION,240,5354,0.0448,0.01,0.0448,0.5,0.0448,1.0,0.0858,0.0432
baseline0_prevalence,SPARK_PLUG_INSPECTION,211,5349,0.0394,0.01,0.0394,0.5,0.0394,1.0,0.0759,0.0386
baseline0_prevalence,CVT_BELT_CHANGE,239,2980,0.0802,0.01,0.0802,0.5,0.0802,1.0,0.1485,0.0741
baseline0_prevalence,FRONT_TIRE_INSPECTION,213,5354,0.0398,0.01,0.0398,0.5,0.0398,1.0,0.0765,0.0387
baseline0_prevalence,COOLANT_LEVEL_CHECK,220,1519,0.1448,0.01,0.1448,0.5,0.1448,1.0,0.253,0.1327
baseline0_prevalence,FINAL_GEAR_OIL_CHANGE,168,2980,0.0564,0.01,0.0564,0.5,0.0564,1.0,0.1067,0.0532
baseline0_prevalence,SPARK_PLUG_CHANGE,172,5349,0.0322,0.01,0.0322,0.5,0.0322,1.0,0.0623,0.0314
baseline0_prevalence,FRONT_TIRE_CHANGE,352,5354,0.0657,0.01,0.0657,0.5,0.0657,1.0,0.1234,0.0638
baseline0_prevalence,REAR_TIRE_INSPECTION,136,5354,0.0254,0.01,0.0254,0.5,0.0254,1.0,0.0495,0.0248
baseline0_prevalence,REAR_BRAKE_PAD_INSPECTION,133,5354,0.0248,0.01,0.0248,0.5,0.0248,1.0,0.0485,0.0243
baseline0_prevalence,STEERING_BEARING_INSPECTION,128,5354,0.0239,0.01,0.0239,0.5,0.0239,1.0,0.0467,0.0234
baseline0_prevalence,FUEL_SYSTEM_DIAGNOSTIC,131,5349,0.0245,0.01,0.0245,0.5,0.0245,1.0,0.0478,0.024
baseline0_prevalence,COOLANT_CHANGE,96,1519,0.0632,0.01,0.0632,0.5,0.0632,1.0,0.1189,0.0613
baseline0_prevalence,ENGINE_COMPRESSION_TEST,121,5349,0.0226,0.5,0.0226,0.5,0.0,0.0,0.0,0.0223
baseline0_prevalence,ECU_DIAGNOSTIC_SCAN,70,5354,0.0131,0.01,0.0131,0.5,0.0131,1.0,0.0258,0.0129
baseline0_prevalence,ABS_DIAGNOSTIC,105,5354,0.0196,0.5,0.0196,0.5,0.0,0.0,0.0,0.0193
baseline0_prevalence,WHEEL_BALANCE,34,5354,0.0064,0.5,0.0064,0.5,0.0,0.0,0.0,0.0063
baseline0_prevalence,FORK_SEAL_CHANGE,29,5354,0.0054,0.5,0.0054,0.5,0.0,0.0,0.0,0.0054
baseline0_prevalence,ENGINE_FAULT_DIAGNOSTIC,28,5349,0.0052,0.5,0.0052,0.5,0.0,0.0,0.0,0.0052
baseline0_prevalence,BATTERY_CHANGE,36,5354,0.0067,0.5,0.0067,0.5,0.0,0.0,0.0,0.0067
baseline0_prevalence,WHEEL_BEARING_CHANGE,39,5354,0.0073,0.5,0.0073,0.5,0.0,0.0,0.0,0.0072
baseline0_prevalence,STEERING_BEARING_CHANGE,36,5354,0.0067,0.5,0.0067,0.5,0.0,0.0,0.0,0.0067
baseline0_prevalence,BRAKE_DISC_CHANGE,34,5354,0.0064,0.5,0.0064,0.5,0.0,0.0,0.0,0.0063
baseline0_prevalence,VALVE_CLEARANCE_ADJUST,28,5349,0.0052,0.5,0.0052,0.5,0.0,0.0,0.0,0.0052
baseline0_prevalence,BRAKE_SYSTEM_BLEED,32,5354,0.006,0.5,0.006,0.5,0.0,0.0,0.0,0.0059
baseline0_prevalence,REAR_TIRE_CHANGE,32,5354,0.006,0.5,0.006,0.5,0.0,0.0,0.0,0.0059
baseline0_prevalence,THROTTLE_BODY_CLEAN,31,5349,0.0058,0.5,0.0058,0.5,0.0,0.0,0.0,0.0058
baseline0_prevalence,FUEL_INJECTOR_CLEAN,31,5349,0.0058,0.5,0.0058,0.5,0.0,0.0,0.0,0.0058
baseline1_rule,ENGINE_OIL_CHANGE,4402,5349,0.823,0.01,0.7801,0.4429,0.8232,0.9964,0.9015,0.3318
baseline1_rule,BATTERY_TEST,1262,5354,0.2357,0.04,0.2013,0.3914,0.2361,0.9952,0.3816,0.4299
baseline1_rule,AIR_FILTER_INSPECTION,1251,5349,0.2339,0.03,0.1935,0.3773,0.2332,0.9936,0.3778,0.4393
baseline1_rule,BRAKE_FLUID_CHECK,1091,5354,0.2038,0.03,0.1795,0.4034,0.2039,0.9973,0.3386,0.4506
baseline1_rule,AIR_FILTER_CHANGE,1054,5349,0.197,0.04,0.1753,0.4211,0.1974,0.9934,0.3293,0.3555
baseline1_rule,GENERAL_SAFETY_INSPECTION,1048,5354,0.1957,0.03,0.1735,0.4132,0.1958,0.999,0.3274,0.462
baseline1_rule,CHAIN_CLEAN,853,1858,0.4591,0.15,0.3515,0.3191,0.4605,0.9977,0.6301,0.4362
baseline1_rule,CHAIN_LUBRICATE,698,1858,0.3757,0.15,0.2998,0.3506,0.3768,0.9986,0.5471,0.5012
baseline1_rule,CHAIN_INSPECTION,403,1858,0.2169,0.02,0.1899,0.3942,0.2171,1.0,0.3568,0.5916
baseline1_rule,BRAKE_FLUID_CHANGE,408,5354,0.0762,0.36,0.0813,0.5272,0.0883,0.799,0.1589,0.2543
baseline1_rule,FORK_INSPECTION,413,5354,0.0771,0.05,0.0673,0.4161,0.0774,1.0,0.1436,0.6232
baseline1_rule,CVT_BELT_INSPECTION,388,2980,0.1302,0.01,0.1222,0.4359,0.1303,1.0,0.2306,0.4171
baseline1_rule,CVT_CASE_INSPECTION,419,2980,0.1406,0.03,0.1307,0.4162,0.1406,0.9976,0.2464,0.5211
baseline1_rule,FRONT_BRAKE_PAD_INSPECTION,299,5354,0.0558,0.05,0.0495,0.4398,0.056,1.0,0.106,0.6603
baseline1_rule,CVT_ROLLER_INSPECTION,288,2980,0.0966,0.2,0.0941,0.4553,0.0988,0.9826,0.1796,0.4616
baseline1_rule,VALVE_CLEARANCE_INSPECTION,277,5349,0.0518,0.1,0.0463,0.4513,0.052,0.9928,0.0988,0.5034
baseline1_rule,WHEEL_BEARING_INSPECTION,240,5354,0.0448,0.11,0.0406,0.4332,0.0451,0.9958,0.0864,0.5156
baseline1_rule,SPARK_PLUG_INSPECTION,211,5349,0.0394,0.37,0.0318,0.4088,0.0397,0.9763,0.0764,0.6597
baseline1_rule,CVT_BELT_CHANGE,239,2980,0.0802,0.01,0.0824,0.4881,0.0804,1.0,0.1488,0.338
baseline1_rule,FRONT_TIRE_INSPECTION,213,5354,0.0398,0.06,0.0379,0.4594,0.0398,1.0,0.0766,0.6926
baseline1_rule,COOLANT_LEVEL_CHECK,220,1519,0.1448,0.13,0.1487,0.4269,0.1452,0.9955,0.2535,0.4958
baseline1_rule,FINAL_GEAR_OIL_CHANGE,168,2980,0.0564,0.92,0.0724,0.4933,0.1282,0.119,0.1235,0.4994
baseline1_rule,SPARK_PLUG_CHANGE,172,5349,0.0322,0.71,0.0432,0.5621,0.0439,0.5349,0.0811,0.4246
baseline1_rule,FRONT_TIRE_CHANGE,352,5354,0.0657,0.71,0.0675,0.5047,0.0731,0.5455,0.1289,0.4523
baseline1_rule,REAR_TIRE_INSPECTION,136,5354,0.0254,0.12,0.0257,0.4672,0.0254,1.0,0.0496,0.7334
baseline1_rule,REAR_BRAKE_PAD_INSPECTION,133,5354,0.0248,0.6,0.02,0.4132,0.0251,0.9699,0.049,0.7428
baseline1_rule,STEERING_BEARING_INSPECTION,128,5354,0.0239,0.35,0.0196,0.4359,0.0241,1.0,0.0471,0.7443
baseline1_rule,FUEL_SYSTEM_DIAGNOSTIC,131,5349,0.0245,0.5,0.0245,0.5,0.0,0.0,0.0,0.0245
baseline1_rule,COOLANT_CHANGE,96,1519,0.0632,0.44,0.0678,0.5173,0.0681,0.7708,0.1252,0.3062
baseline1_rule,ENGINE_COMPRESSION_TEST,121,5349,0.0226,0.5,0.0226,0.5,0.0,0.0,0.0,0.0226
baseline1_rule,ECU_DIAGNOSTIC_SCAN,70,5354,0.0131,0.5,0.0131,0.5,0.0,0.0,0.0,0.0131
baseline1_rule,ABS_DIAGNOSTIC,105,5354,0.0196,0.5,0.0196,0.5,0.0,0.0,0.0,0.0196
baseline1_rule,WHEEL_BALANCE,34,5354,0.0064,0.5,0.0064,0.5,0.0,0.0,0.0,0.0064
baseline1_rule,FORK_SEAL_CHANGE,29,5354,0.0054,0.5,0.0054,0.5,0.0,0.0,0.0,0.0054
baseline1_rule,ENGINE_FAULT_DIAGNOSTIC,28,5349,0.0052,0.5,0.0052,0.5,0.0,0.0,0.0,0.0052
baseline1_rule,BATTERY_CHANGE,36,5354,0.0067,0.74,0.0125,0.5133,0.087,0.0556,0.0678,0.2714
baseline1_rule,WHEEL_BEARING_CHANGE,39,5354,0.0073,0.5,0.0073,0.5,0.0,0.0,0.0,0.0073
baseline1_rule,STEERING_BEARING_CHANGE,36,5354,0.0067,0.5,0.0067,0.5,0.0,0.0,0.0,0.0067
baseline1_rule,BRAKE_DISC_CHANGE,34,5354,0.0064,0.5,0.0064,0.5,0.0,0.0,0.0,0.0064
baseline1_rule,VALVE_CLEARANCE_ADJUST,28,5349,0.0052,0.5,0.0052,0.5,0.0,0.0,0.0,0.0052
baseline1_rule,BRAKE_SYSTEM_BLEED,32,5354,0.006,0.5,0.006,0.5,0.0,0.0,0.0,0.006
baseline1_rule,REAR_TIRE_CHANGE,32,5354,0.006,0.93,0.0063,0.4426,0.0143,0.0625,0.0233,0.5494
baseline1_rule,THROTTLE_BODY_CLEAN,31,5349,0.0058,0.5,0.0058,0.5,0.0,0.0,0.0,0.0058
baseline1_rule,FUEL_INJECTOR_CLEAN,31,5349,0.0058,0.5,0.0058,0.5,0.0,0.0,0.0,0.0058
baseline1b_rule_projected,ENGINE_OIL_CHANGE,4402,5349,0.823,0.06,0.7876,0.4248,0.8234,0.9998,0.903,0.2584
baseline1b_rule_projected,BATTERY_TEST,1262,5354,0.2357,0.04,0.2016,0.3904,0.236,1.0,0.3818,0.4535
baseline1b_rule_projected,AIR_FILTER_INSPECTION,1251,5349,0.2339,0.04,0.1943,0.3773,0.234,1.0,0.3792,0.4611
baseline1b_rule_projected,BRAKE_FLUID_CHECK,1091,5354,0.2038,0.02,0.1784,0.4019,0.204,1.0,0.3389,0.477
baseline1b_rule_projected,AIR_FILTER_CHANGE,1054,5349,0.197,0.05,0.1727,0.4142,0.1971,1.0,0.3293,0.3767
baseline1b_rule_projected,GENERAL_SAFETY_INSPECTION,1048,5354,0.1957,0.12,0.1707,0.4071,0.1959,0.999,0.3276,0.4887
baseline1b_rule_projected,CHAIN_CLEAN,853,1858,0.4591,0.26,0.3666,0.3303,0.4598,1.0,0.63,0.451
baseline1b_rule_projected,CHAIN_LUBRICATE,698,1858,0.3757,0.16,0.3024,0.3524,0.3759,1.0,0.5464,0.523
baseline1b_rule_projected,CHAIN_INSPECTION,403,1858,0.2169,0.27,0.1884,0.397,0.2175,1.0,0.3573,0.6164
baseline1b_rule_projected,BRAKE_FLUID_CHANGE,408,5354,0.0762,0.38,0.0784,0.5134,0.0855,0.8015,0.1546,0.272
baseline1b_rule_projected,FORK_INSPECTION,413,5354,0.0771,0.2,0.0664,0.4124,0.0774,1.0,0.1437,0.6454
baseline1b_rule_projected,CVT_BELT_INSPECTION,388,2980,0.1302,0.15,0.1211,0.4329,0.1313,1.0,0.2321,0.4399
baseline1b_rule_projected,CVT_CASE_INSPECTION,419,2980,0.1406,0.01,0.1296,0.414,0.1406,1.0,0.2465,0.5445
baseline1b_rule_projected,FRONT_BRAKE_PAD_INSPECTION,299,5354,0.0558,0.15,0.0486,0.4334,0.0559,1.0,0.1059,0.6811
baseline1b_rule_projected,CVT_ROLLER_INSPECTION,288,2980,0.0966,0.26,0.0938,0.4506,0.098,0.9861,0.1783,0.4848
baseline1b_rule_projected,VALVE_CLEARANCE_INSPECTION,277,5349,0.0518,0.07,0.0456,0.445,0.0519,1.0,0.0986,0.5226
baseline1b_rule_projected,WHEEL_BEARING_INSPECTION,240,5354,0.0448,0.2,0.0401,0.428,0.0452,1.0,0.0865,0.5339
baseline1b_rule_projected,SPARK_PLUG_INSPECTION,211,5349,0.0394,0.1,0.0314,0.4009,0.0395,1.0,0.076,0.678
baseline1b_rule_projected,CVT_BELT_CHANGE,239,2980,0.0802,0.1,0.0815,0.4847,0.0806,1.0,0.1492,0.355
baseline1b_rule_projected,FRONT_TIRE_INSPECTION,213,5354,0.0398,0.23,0.0373,0.4544,0.0399,1.0,0.0767,0.7109
baseline1b_rule_projected,COOLANT_LEVEL_CHECK,220,1519,0.1448,0.35,0.1495,0.4281,0.1452,0.9909,0.2533,0.5196
baseline1b_rule_projected,FINAL_GEAR_OIL_CHANGE,168,2980,0.0564,0.89,0.0723,0.4906,0.0862,0.1964,0.1198,0.5201
baseline1b_rule_projected,SPARK_PLUG_CHANGE,172,5349,0.0322,0.71,0.0423,0.5574,0.043,0.564,0.08,0.4422
baseline1b_rule_projected,FRONT_TIRE_CHANGE,352,5354,0.0657,0.72,0.0708,0.5235,0.0744,0.5511,0.1312,0.4621
baseline1b_rule_projected,REAR_TIRE_INSPECTION,136,5354,0.0254,0.33,0.0253,0.4614,0.0255,1.0,0.0497,0.748
baseline1b_rule_projected,REAR_BRAKE_PAD_INSPECTION,133,5354,0.0248,0.5,0.0199,0.4094,0.025,1.0,0.0488,0.7564
baseline1b_rule_projected,STEERING_BEARING_INSPECTION,128,5354,0.0239,0.48,0.0195,0.4326,0.0241,1.0,0.047,0.7579
baseline1b_rule_projected,FUEL_SYSTEM_DIAGNOSTIC,131,5349,0.0245,0.5,0.0245,0.5,0.0,0.0,0.0,0.0245
baseline1b_rule_projected,COOLANT_CHANGE,96,1519,0.0632,0.45,0.0675,0.5189,0.069,0.8125,0.1271,0.3218
baseline1b_rule_projected,ENGINE_COMPRESSION_TEST,121,5349,0.0226,0.5,0.0226,0.5,0.0,0.0,0.0,0.0226
baseline1b_rule_projected,ECU_DIAGNOSTIC_SCAN,70,5354,0.0131,0.5,0.0131,0.5,0.0,0.0,0.0,0.0131
baseline1b_rule_projected,ABS_DIAGNOSTIC,105,5354,0.0196,0.5,0.0196,0.5,0.0,0.0,0.0,0.0196
baseline1b_rule_projected,WHEEL_BALANCE,34,5354,0.0064,0.5,0.0064,0.5,0.0,0.0,0.0,0.0064
baseline1b_rule_projected,FORK_SEAL_CHANGE,29,5354,0.0054,0.5,0.0054,0.5,0.0,0.0,0.0,0.0054
baseline1b_rule_projected,ENGINE_FAULT_DIAGNOSTIC,28,5349,0.0052,0.5,0.0052,0.5,0.0,0.0,0.0,0.0052
baseline1b_rule_projected,BATTERY_CHANGE,36,5354,0.0067,0.74,0.0118,0.5167,0.0606,0.0556,0.058,0.285
baseline1b_rule_projected,WHEEL_BEARING_CHANGE,39,5354,0.0073,0.5,0.0073,0.5,0.0,0.0,0.0,0.0073
baseline1b_rule_projected,STEERING_BEARING_CHANGE,36,5354,0.0067,0.5,0.0067,0.5,0.0,0.0,0.0,0.0067
baseline1b_rule_projected,BRAKE_DISC_CHANGE,34,5354,0.0064,0.5,0.0064,0.5,0.0,0.0,0.0,0.0064
baseline1b_rule_projected,VALVE_CLEARANCE_ADJUST,28,5349,0.0052,0.5,0.0052,0.5,0.0,0.0,0.0,0.0052
baseline1b_rule_projected,BRAKE_SYSTEM_BLEED,32,5354,0.006,0.5,0.006,0.5,0.0,0.0,0.0,0.006
baseline1b_rule_projected,REAR_TIRE_CHANGE,32,5354,0.006,0.93,0.0061,0.4378,0.0129,0.0625,0.0214,0.5609
baseline1b_rule_projected,THROTTLE_BODY_CLEAN,31,5349,0.0058,0.5,0.0058,0.5,0.0,0.0,0.0,0.0058
baseline1b_rule_projected,FUEL_INJECTOR_CLEAN,31,5349,0.0058,0.5,0.0058,0.5,0.0,0.0,0.0,0.0058
baseline2_recurrence,ENGINE_OIL_CHANGE,4402,5349,0.823,0.45,0.815,0.476,0.8235,0.9998,0.9031,0.1783
baseline2_recurrence,BATTERY_TEST,1262,5354,0.2357,0.16,0.2205,0.4504,0.2368,0.9921,0.3823,0.2578
baseline2_recurrence,AIR_FILTER_INSPECTION,1251,5349,0.2339,0.09,0.2153,0.4526,0.234,1.0,0.3792,0.257
baseline2_recurrence,BRAKE_FLUID_CHECK,1091,5354,0.2038,0.13,0.1876,0.4567,0.2046,0.9963,0.3395,0.2245
baseline2_recurrence,AIR_FILTER_CHANGE,1054,5349,0.197,0.01,0.1815,0.461,0.197,1.0,0.3292,0.2091
baseline2_recurrence,GENERAL_SAFETY_INSPECTION,1048,5354,0.1957,0.01,0.185,0.4737,0.1957,1.0,0.3274,0.2056
baseline2_recurrence,CHAIN_CLEAN,853,1858,0.4591,0.15,0.3799,0.3916,0.4646,0.9988,0.6342,0.346
baseline2_recurrence,CHAIN_LUBRICATE,698,1858,0.3757,0.12,0.3151,0.4113,0.3828,0.9943,0.5528,0.3078
baseline2_recurrence,CHAIN_INSPECTION,403,1858,0.2169,0.08,0.1975,0.4785,0.2271,0.9454,0.3662,0.207
baseline2_recurrence,BRAKE_FLUID_CHANGE,408,5354,0.0762,0.02,0.0705,0.4383,0.0763,1.0,0.1417,0.08
baseline2_recurrence,FORK_INSPECTION,413,5354,0.0771,0.09,0.088,0.5568,0.0894,0.6295,0.1566,0.0791
baseline2_recurrence,CVT_BELT_INSPECTION,388,2980,0.1302,0.06,0.1193,0.4847,0.1339,0.9588,0.2349,0.1332
baseline2_recurrence,CVT_CASE_INSPECTION,419,2980,0.1406,0.01,0.1292,0.4766,0.1406,1.0,0.2465,0.1386
baseline2_recurrence,FRONT_BRAKE_PAD_INSPECTION,299,5354,0.0558,0.08,0.0602,0.5484,0.0676,0.3946,0.1154,0.0585
baseline2_recurrence,CVT_ROLLER_INSPECTION,288,2980,0.0966,0.05,0.097,0.5051,0.102,0.7917,0.1807,0.0978
baseline2_recurrence,VALVE_CLEARANCE_INSPECTION,277,5349,0.0518,0.06,0.0576,0.555,0.0632,0.574,0.1139,0.0535
baseline2_recurrence,WHEEL_BEARING_INSPECTION,240,5354,0.0448,0.05,0.0529,0.5721,0.0558,0.5583,0.1014,0.046
baseline2_recurrence,SPARK_PLUG_INSPECTION,211,5349,0.0394,0.05,0.0469,0.5824,0.0542,0.5972,0.0993,0.0422
baseline2_recurrence,CVT_BELT_CHANGE,239,2980,0.0802,0.03,0.072,0.4753,0.0815,0.9163,0.1497,0.0817
baseline2_recurrence,FRONT_TIRE_INSPECTION,213,5354,0.0398,0.05,0.0477,0.5635,0.0498,0.5305,0.0911,0.0417
baseline2_recurrence,COOLANT_LEVEL_CHECK,220,1519,0.1448,0.07,0.1544,0.5448,0.1706,0.6182,0.2675,0.1361
baseline2_recurrence,FINAL_GEAR_OIL_CHANGE,168,2980,0.0564,0.04,0.054,0.5011,0.061,0.5833,0.1104,0.0592
baseline2_recurrence,SPARK_PLUG_CHANGE,172,5349,0.0322,0.01,0.0312,0.4911,0.0324,0.9942,0.0628,0.0343
baseline2_recurrence,FRONT_TIRE_CHANGE,352,5354,0.0657,0.02,0.086,0.4652,0.204,0.233,0.2175,0.0636
baseline2_recurrence,REAR_TIRE_INSPECTION,136,5354,0.0254,0.01,0.0254,0.5064,0.0264,0.9485,0.0513,0.027
baseline2_recurrence,REAR_BRAKE_PAD_INSPECTION,133,5354,0.0248,0.05,0.0326,0.5999,0.0393,0.2556,0.0681,0.0254
baseline2_recurrence,STEERING_BEARING_INSPECTION,128,5354,0.0239,0.02,0.0259,0.5393,0.0272,0.4922,0.0516,0.0248
baseline2_recurrence,FUEL_SYSTEM_DIAGNOSTIC,131,5349,0.0245,0.03,0.027,0.5174,0.0481,0.1374,0.0713,0.0245
baseline2_recurrence,COOLANT_CHANGE,96,1519,0.0632,0.04,0.0689,0.5302,0.0851,0.375,0.1387,0.0622
baseline2_recurrence,ENGINE_COMPRESSION_TEST,121,5349,0.0226,0.09,0.0258,0.5031,0.04,0.0331,0.0362,0.0227
baseline2_recurrence,ECU_DIAGNOSTIC_SCAN,70,5354,0.0131,0.2,0.0254,0.6541,0.25,0.0286,0.0513,0.0136
baseline2_recurrence,ABS_DIAGNOSTIC,105,5354,0.0196,0.03,0.0247,0.5832,0.0347,0.0667,0.0456,0.0197
baseline2_recurrence,WHEEL_BALANCE,34,5354,0.0064,0.1,0.0104,0.5744,0.0333,0.0882,0.0484,0.0066
baseline2_recurrence,FORK_SEAL_CHANGE,29,5354,0.0054,0.11,0.0092,0.6532,0.0133,0.0345,0.0192,0.0058
baseline2_recurrence,ENGINE_FAULT_DIAGNOSTIC,28,5349,0.0052,0.02,0.0072,0.6122,0.0068,0.0714,0.0125,0.0055
baseline2_recurrence,BATTERY_CHANGE,36,5354,0.0067,0.14,0.0109,0.6402,0.0286,0.0278,0.0282,0.0071
baseline2_recurrence,WHEEL_BEARING_CHANGE,39,5354,0.0073,0.11,0.0115,0.6468,0.0139,0.0256,0.018,0.0076
baseline2_recurrence,STEERING_BEARING_CHANGE,36,5354,0.0067,0.1,0.0122,0.6894,0.0274,0.0556,0.0367,0.007
baseline2_recurrence,BRAKE_DISC_CHANGE,34,5354,0.0064,0.5,0.0087,0.6104,0.0,0.0,0.0,0.0067
baseline2_recurrence,VALVE_CLEARANCE_ADJUST,28,5349,0.0052,0.12,0.0122,0.6659,0.0408,0.0714,0.0519,0.0055
baseline2_recurrence,BRAKE_SYSTEM_BLEED,32,5354,0.006,0.12,0.0101,0.6428,0.0222,0.0312,0.026,0.0062
baseline2_recurrence,REAR_TIRE_CHANGE,32,5354,0.006,0.1,0.0106,0.5576,0.0411,0.0938,0.0571,0.0062
baseline2_recurrence,THROTTLE_BODY_CLEAN,31,5349,0.0058,0.13,0.0135,0.6739,0.0541,0.0645,0.0588,0.006
baseline2_recurrence,FUEL_INJECTOR_CLEAN,31,5349,0.0058,0.17,0.0139,0.664,0.0909,0.0323,0.0476,0.006
logreg,ENGINE_OIL_CHANGE,4402,5349,0.823,0.18,0.9143,0.7234,0.8245,0.9986,0.9032,0.1363
logreg,BATTERY_TEST,1262,5354,0.2357,0.26,0.3831,0.7216,0.3303,0.9041,0.4839,0.1603
logreg,AIR_FILTER_INSPECTION,1251,5349,0.2339,0.26,0.3649,0.7167,0.3257,0.9257,0.4819,0.1609
logreg,BRAKE_FLUID_CHECK,1091,5354,0.2038,0.26,0.3243,0.7143,0.3011,0.8286,0.4417,0.1477
logreg,AIR_FILTER_CHANGE,1054,5349,0.197,0.23,0.305,0.704,0.2888,0.8378,0.4295,0.1456
logreg,GENERAL_SAFETY_INSPECTION,1048,5354,0.1957,0.24,0.3155,0.707,0.2873,0.7691,0.4184,0.1449
logreg,CHAIN_CLEAN,853,1858,0.4591,0.44,0.6967,0.8037,0.6444,0.9707,0.7746,0.1721
logreg,CHAIN_LUBRICATE,698,1858,0.3757,0.33,0.5725,0.7645,0.524,0.9699,0.6804,0.1847
logreg,CHAIN_INSPECTION,403,1858,0.2169,0.3,0.3802,0.7488,0.3598,0.7419,0.4846,0.1526
logreg,BRAKE_FLUID_CHANGE,408,5354,0.0762,0.1,0.1258,0.6724,0.1158,0.6127,0.1949,0.0696
logreg,FORK_INSPECTION,413,5354,0.0771,0.15,0.1601,0.7201,0.1733,0.339,0.2293,0.0687
logreg,CVT_BELT_INSPECTION,388,2980,0.1302,0.18,0.1991,0.6787,0.2021,0.5979,0.3021,0.1113
logreg,CVT_CASE_INSPECTION,419,2980,0.1406,0.15,0.22,0.6843,0.2017,0.8258,0.3243,0.1159
logreg,FRONT_BRAKE_PAD_INSPECTION,299,5354,0.0558,0.13,0.126,0.7314,0.1582,0.3144,0.2105,0.0513
logreg,CVT_ROLLER_INSPECTION,288,2980,0.0966,0.14,0.1461,0.6685,0.1464,0.5938,0.2349,0.0867
logreg,VALVE_CLEARANCE_INSPECTION,277,5349,0.0518,0.08,0.091,0.6948,0.0921,0.5018,0.1556,0.0486
logreg,WHEEL_BEARING_INSPECTION,240,5354,0.0448,0.1,0.0761,0.6729,0.097,0.2708,0.1429,0.043
logreg,SPARK_PLUG_INSPECTION,211,5349,0.0394,0.11,0.0976,0.7664,0.1108,0.4313,0.1764,0.0371
logreg,CVT_BELT_CHANGE,239,2980,0.0802,0.11,0.1413,0.7093,0.1487,0.5356,0.2327,0.0716
logreg,FRONT_TIRE_INSPECTION,213,5354,0.0398,0.11,0.1096,0.7422,0.1358,0.2723,0.1812,0.037
logreg,COOLANT_LEVEL_CHECK,220,1519,0.1448,0.06,0.2556,0.6982,0.2082,0.9409,0.341,0.123
logreg,FINAL_GEAR_OIL_CHANGE,168,2980,0.0564,0.1,0.0854,0.6652,0.0923,0.4286,0.1519,0.0543
logreg,SPARK_PLUG_CHANGE,172,5349,0.0322,0.07,0.0697,0.756,0.0873,0.4535,0.1465,0.031
logreg,FRONT_TIRE_CHANGE,352,5354,0.0657,0.12,0.247,0.8048,0.2641,0.4119,0.3219,0.058
logreg,REAR_TIRE_INSPECTION,136,5354,0.0254,0.04,0.0474,0.679,0.044,0.4338,0.0799,0.0249
logreg,REAR_BRAKE_PAD_INSPECTION,133,5354,0.0248,0.05,0.0451,0.689,0.0498,0.2556,0.0833,0.0246
logreg,STEERING_BEARING_INSPECTION,128,5354,0.0239,0.03,0.036,0.659,0.0394,0.5156,0.0733,0.0236
logreg,FUEL_SYSTEM_DIAGNOSTIC,131,5349,0.0245,0.04,0.0526,0.6685,0.0738,0.2519,0.1142,0.0246
logreg,COOLANT_CHANGE,96,1519,0.0632,0.06,0.1117,0.6836,0.1192,0.6146,0.1997,0.0632
