number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_loss,params_max_bins,params_max_depth,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,user_attrs_fold_maes,user_attrs_mae_std,state
20,16.592474899915388,2026-08-28 20:46:52.157604,2026-08-28 20:47:13.210740,0 days 00:00:21.053136,2.3925850362794727e-06,0.03888719446770967,squared_error,255,8.0,207,127,39,"[20.549, 16.361, 12.867]",3.140701732021987,COMPLETE
21,16.555793862978433,2026-08-28 20:47:13.210786,2026-08-28 20:47:31.405512,0 days 00:00:18.194726,1.0642851607749548e-06,0.04617285109194694,squared_error,255,8.0,171,126,38,"[20.546, 16.267, 12.855]",3.1466039090826365,COMPLETE
22,16.596786923553875,2026-08-28 20:47:31.405587,2026-08-28 20:48:18.606663,0 days 00:00:47.201076,2.0705376957296394e-05,0.0160317166006142,squared_error,255,8.0,414,133,34,"[20.626, 16.309, 12.855]",3.178911702316913,COMPLETE
23,18.745778734865095,2026-08-28 20:48:18.606727,2026-08-28 20:48:33.627176,0 days 00:00:15.020449,0.15422470970284932,0.07532366506168137,squared_error,255,8.0,342,99,42,,,PRUNED
24,16.5976495083261,2026-08-28 20:48:33.627200,2026-08-28 20:48:57.608550,0 days 00:00:23.981350,1.0187771335193083,0.022415520866503235,squared_error,255,8.0,244,59,45,"[20.665, 16.21, 12.919]",3.1742789018503834,COMPLETE
25,18.93977416650778,2026-08-28 20:48:57.608606,2026-08-28 20:49:48.213947,0 days 00:00:50.605341,0.0008063747645992732,0.0477413170838761,squared_error,127,,579,114,23,,,PRUNED
26,20.175338449925896,2026-08-28 20:49:48.214007,2026-08-28 20:50:05.177881,0 days 00:00:16.963874,3.302439099125659e-05,0.012695460925237262,absolute_error,255,8.0,181,88,69,,,PRUNED
27,18.519457921516175,2026-08-28 20:50:05.177908,2026-08-28 20:50:24.590326,0 days 00:00:19.412418,1.2510737368128054e-06,0.03070028327470163,squared_error,127,8.0,396,180,56,,,PRUNED
28,18.511925530185525,2026-08-28 20:50:24.590351,2026-08-28 20:50:51.961224,0 days 00:00:27.370873,0.006034771186702126,0.01942924382463918,squared_error,255,8.0,330,137,15,,,PRUNED
29,18.714590241011745,2026-08-28 20:50:51.961249,2026-08-28 20:51:17.140834,0 days 00:00:25.179585,0.12393525130247213,0.039830150109770666,squared_error,127,8.0,637,118,49,,,PRUNED
30,18.683573262563627,2026-08-28 20:51:17.140941,2026-08-28 20:51:23.109241,0 days 00:00:05.968300,0.034398089825902076,0.030668293503327625,squared_error,191,4.0,269,64,28,,,PRUNED
31,16.583222598509895,2026-08-28 20:51:23.109274,2026-08-28 20:51:46.482058,0 days 00:00:23.372784,1.3713455541766032e-06,0.042113799204799095,squared_error,255,8.0,201,132,38,"[20.61, 16.31, 12.83]",3.1821973833084494,COMPLETE
32,18.521360592218613,2026-08-28 20:51:46.482122,2026-08-28 20:51:55.137442,0 days 00:00:08.655320,5.481660727873266e-06,0.07083435373013801,squared_error,255,8.0,152,102,37,,,PRUNED
33,16.56025947212842,2026-08-28 20:51:55.137467,2026-08-28 20:52:08.092316,0 days 00:00:12.954849,9.98890797050517e-06,0.046648950762455205,squared_error,255,6.0,198,119,30,"[20.603, 16.216, 12.862]",3.1698482418100866,COMPLETE
34,18.509402578390233,2026-08-28 20:52:08.092490,2026-08-28 20:52:16.373579,0 days 00:00:08.281089,1.0585024099887795e-06,0.06635542478630325,squared_error,255,6.0,205,143,29,,,PRUNED
35,16.56277254149976,2026-08-28 20:52:16.373614,2026-08-28 20:52:30.209150,0 days 00:00:13.835536,9.349586572598244e-06,0.04566801468309332,squared_error,255,6.0,237,123,35,"[20.589, 16.273, 12.827]",3.1757656824143115,COMPLETE
36,18.57240298001549,2026-08-28 20:52:30.209189,2026-08-28 20:52:36.940095,0 days 00:00:06.730906,1.2873381754322315e-05,0.09635626746043119,squared_error,255,6.0,242,120,42,,,PRUNED
37,18.547520062417835,2026-08-28 20:52:36.940119,2026-08-28 20:52:45.644629,0 days 00:00:08.704510,4.057344111972046e-06,0.046202583982300385,absolute_error,255,6.0,208,157,22,,,PRUNED
38,18.51143783083466,2026-08-28 20:52:45.644653,2026-08-28 20:52:54.552382,0 days 00:00:08.907729,4.173564557345994e-05,0.062240773752942534,squared_error,255,6.0,265,164,31,,,PRUNED
39,18.541805842952005,2026-08-28 20:52:54.552405,2026-08-28 20:53:00.113791,0 days 00:00:05.561386,9.491296552029694e-06,0.09717668310749908,squared_error,255,6.0,181,140,49,,,PRUNED
40,18.548073879440572,2026-08-28 20:53:00.113814,2026-08-28 20:53:13.821810,0 days 00:00:13.707996,2.298993465762585e-06,0.04644179192639436,absolute_error,255,6.0,311,125,16,,,PRUNED
41,16.59646235353349,2026-08-28 20:53:13.821896,2026-08-28 20:53:26.862463,0 days 00:00:13.040567,6.292552145057272e-05,0.032771304153905105,squared_error,255,6.0,180,115,34,"[20.678, 16.203, 12.908]",3.1843110198186166,COMPLETE
42,18.614834255111337,2026-08-28 20:53:26.862544,2026-08-28 20:53:42.539402,0 days 00:00:15.676858,0.00030617530429080333,0.038333189056979265,squared_error,191,12.0,225,87,37,,,PRUNED
43,16.550559797832605,2026-08-28 20:53:42.539426,2026-08-28 20:54:01.366257,0 days 00:00:18.826831,2.545713522927704e-06,0.02538946264252216,squared_error,255,6.0,273,150,24,"[20.566, 16.247, 12.839]",3.16187404191529,COMPLETE
44,16.573754425825424,2026-08-28 20:54:01.366299,2026-08-28 20:54:20.445738,0 days 00:00:19.079439,2.9556681355279426e-06,0.02541883990006606,squared_error,255,6.0,265,150,25,"[20.594, 16.267, 12.86]",3.1647788669169143,COMPLETE
45,16.561782863819946,2026-08-28 20:54:20.445832,2026-08-28 20:54:39.174596,0 days 00:00:18.728764,9.770935077598136e-06,0.025444155636199606,squared_error,255,6.0,288,175,24,"[20.56, 16.255, 12.87]",3.1468709668907553,COMPLETE
46,16.557262479048294,2026-08-28 20:54:39.174637,2026-08-28 20:54:58.457083,0 days 00:00:19.282446,1.0566071773009624e-05,0.0267925637933683,squared_error,255,6.0,294,174,13,"[20.624, 16.216, 12.832]",3.190227641114488,COMPLETE
47,18.45424014549944,2026-08-28 20:54:58.457122,2026-08-28 20:55:11.130576,0 days 00:00:12.673454,1.7861750614781208e-05,0.02612059364026065,squared_error,255,6.0,304,183,12,,,PRUNED
48,18.46496145598857,2026-08-28 20:55:11.130643,2026-08-28 20:55:26.684891,0 days 00:00:15.554248,0.00012672724015913263,0.02207537170412997,absolute_error,191,6.0,300,198,19,,,PRUNED
49,18.485716188888794,2026-08-28 20:55:26.684935,2026-08-28 20:55:38.119656,0 days 00:00:11.434721,6.679812814358116e-06,0.03478466640661207,squared_error,255,6.0,285,178,10,,,PRUNED
50,18.677224812669344,2026-08-28 20:55:38.119717,2026-08-28 20:55:44.884212,0 days 00:00:06.764495,2.7209988618779736e-05,0.057470724468584554,squared_error,255,4.0,370,172,14,,,PRUNED
51,16.572619661800562,2026-08-28 20:55:44.884250,2026-08-28 20:56:00.301118,0 days 00:00:15.416868,1.0270080517653978e-05,0.026989427429116433,squared_error,255,6.0,231,162,31,"[20.604, 16.216, 12.898]",3.155922271859753,COMPLETE
52,16.553039048446642,2026-08-28 20:56:00.301160,2026-08-28 20:56:15.031852,0 days 00:00:14.730692,4.551211282797738e-06,0.05068275556649719,squared_error,255,6.0,248,188,20,"[20.602, 16.269, 12.788]",3.19661971792455,COMPLETE
53,18.999005182017157,2026-08-28 20:56:15.031935,2026-08-28 20:56:25.357923,0 days 00:00:10.325988,2.161111955304966e-06,0.1407599275199461,squared_error,255,6.0,331,185,25,,,PRUNED
54,19.02180113746483,2026-08-28 20:56:25.357949,2026-08-28 20:56:53.064001,0 days 00:00:27.706052,4.22963360133414e-06,0.08597363961366596,squared_error,255,12.0,255,191,19,,,PRUNED
55,18.467189969576626,2026-08-28 20:56:53.064025,2026-08-28 20:57:00.507087,0 days 00:00:07.443062,4.279407996497179e-05,0.051698148221007996,squared_error,255,6.0,169,170,9,,,PRUNED
56,18.71520503170688,2026-08-28 20:57:00.507112,2026-08-28 20:57:44.986601,0 days 00:00:44.479489,7.207150972887241e-05,0.020306370872150176,squared_error,255,,285,191,21,,,PRUNED
57,18.472664842170712,2026-08-28 20:57:44.986630,2026-08-28 20:57:54.203980,0 days 00:00:09.217350,1.8602880922096726e-06,0.03503783060215611,squared_error,255,6.0,216,150,7,,,PRUNED
58,18.495436800455018,2026-08-28 20:57:54.204005,2026-08-28 20:58:03.964771,0 days 00:00:09.760766,1.51154051939168e-05,0.029051518908136054,squared_error,191,6.0,196,173,26,,,PRUNED
59,19.275285051774834,2026-08-28 20:58:03.964822,2026-08-28 20:58:09.738980,0 days 00:00:05.774158,4.340005257668767e-06,0.2747635642363699,absolute_error,255,6.0,164,160,29,,,PRUNED
60,18.725358875525323,2026-08-28 20:58:09.739050,2026-08-28 20:58:19.831260,0 days 00:00:10.092210,0.00026543406975335787,0.017104587295896197,squared_error,255,12.0,310,17,12,,,PRUNED
61,16.561768381822567,2026-08-28 20:58:19.831285,2026-08-28 20:58:33.675803,0 days 00:00:13.844518,7.696998874934266e-06,0.04326660640907416,squared_error,255,6.0,247,200,32,"[20.564, 16.302, 12.819]",3.167194404870138,COMPLETE
62,18.497972355014582,2026-08-28 20:58:33.675884,2026-08-28 20:58:42.542781,0 days 00:00:08.866897,7.678172813853912e-06,0.05820587986535655,squared_error,255,6.0,283,199,24,,,PRUNED
63,16.561232027633242,2026-08-28 20:58:42.542826,2026-08-28 20:59:00.357048,0 days 00:00:17.814222,2.8804249917178673e-06,0.02359251706477467,squared_error,255,6.0,255,188,32,"[20.598, 16.197, 12.889]",3.157535608902094,COMPLETE
64,18.648599458893393,2026-08-28 20:59:00.357087,2026-08-28 20:59:05.352815,0 days 00:00:04.995728,3.205504192712771e-06,0.04146453462935063,squared_error,255,4.0,252,189,32,,,PRUNED
65,18.445146395569463,2026-08-28 20:59:05.352859,2026-08-28 20:59:16.452606,0 days 00:00:11.099747,1.0158040914314794e-06,0.021989537639903203,squared_error,255,6.0,223,185,40,,,PRUNED
66,19.65369044841561,2026-08-28 20:59:16.452633,2026-08-28 20:59:36.664572,0 days 00:00:20.211939,1.8431541751872774e-06,0.013411617704706573,squared_error,255,,193,109,28,,,PRUNED
67,16.556304193903554,2026-08-28 20:59:36.664597,2026-08-28 20:59:50.080024,0 days 00:00:13.415427,0.001626694555548878,0.05016570196984806,squared_error,255,6.0,270,194,46,"[20.615, 16.184, 12.869]",3.1730628653601944,COMPLETE
68,18.499599796026857,2026-08-28 20:59:50.080066,2026-08-28 20:59:59.356228,0 days 00:00:09.276162,0.001990485239134893,0.0654733241828878,squared_error,255,6.0,326,165,45,,,PRUNED
69,18.527179424083908,2026-08-28 20:59:59.356273,2026-08-28 21:00:08.047734,0 days 00:00:08.691461,0.011905178593567727,0.0825185099378899,squared_error,255,6.0,260,193,52,,,PRUNED
70,18.51076129294293,2026-08-28 21:00:08.047821,2026-08-28 21:00:18.270713,0 days 00:00:10.222892,0.0008059669609141487,0.05093278977613839,squared_error,191,6.0,348,146,47,,,PRUNED
71,16.56260177657849,2026-08-28 21:00:18.270739,2026-08-28 21:00:31.727331,0 days 00:00:13.456592,1.9819951006128818e-05,0.04357798373608806,squared_error,255,6.0,240,198,41,"[20.642, 16.173, 12.873]",3.1836272598560567,COMPLETE
72,16.558360139029542,2026-08-28 21:00:31.727374,2026-08-28 21:00:47.034116,0 days 00:00:15.306742,5.499155064885779e-06,0.0331361074261495,squared_error,255,6.0,229,178,30,"[20.577, 16.236, 12.862]",3.1578237781989382,COMPLETE
73,16.56695709181674,2026-08-28 21:00:47.034219,2026-08-28 21:01:02.802631,0 days 00:00:15.768412,5.0152891361525765e-06,0.03282683563726871,squared_error,255,6.0,217,179,17,"[20.572, 16.267, 12.862]",3.1545046379014297,COMPLETE
74,16.557798705714895,2026-08-28 21:01:02.802797,2026-08-28 21:01:19.138208,0 days 00:00:16.335411,1.4362045859685516e-06,0.03700551812877008,squared_error,255,6.0,273,187,21,"[20.61, 16.226, 12.837]",3.1821435140297805,COMPLETE
75,18.605937706560137,2026-08-28 21:01:19.138256,2026-08-28 21:01:25.094794,0 days 00:00:05.956538,1.7053301703298378e-06,0.038000252118110533,squared_error,255,4.0,277,169,20,,,PRUNED
76,18.59304815811421,2026-08-28 21:01:25.094855,2026-08-28 21:01:33.383233,0 days 00:00:08.288378,0.05955654015774183,0.028834082444102488,absolute_error,255,6.0,167,155,27,,,PRUNED
77,18.712979317753163,2026-08-28 21:01:33.383277,2026-08-28 21:02:05.173562,0 days 00:00:31.790285,1.0019342726031011e-06,0.05099239019516494,squared_error,255,,184,178,13,,,PRUNED
78,16.543073883806798,2026-08-28 21:02:05.173601,2026-08-28 21:02:20.096867,0 days 00:00:14.923266,3.0936984160888325e-06,0.036109754975621,squared_error,255,6.0,230,136,44,"[20.576, 16.18, 12.873]",3.155014294570367,COMPLETE
79,18.559818867451952,2026-08-28 21:02:20.096919,2026-08-28 21:02:42.368332,0 days 00:00:22.271413,5.4988113131987305e-06,0.03413994254237046,squared_error,255,12.0,297,130,44,,,PRUNED
