split,segment_type,segment_value,n,days_mae,km_mae,timing_coverage,task_micro_f1,precision_at_3,notes
TEST,model,Jet X 125 TCS ABS,135,66.69489844766665,5398.048780487805,1.0,0.17335766423357665,0.1138211382113821,minimum_n=50; timing_n=41; task_n=41
TEST,model,Jupiter 125,505,108.67769135002203,4728.675675675676,1.0,0.17037438958220294,0.14864864864864866,minimum_n=50; timing_n=74; task_n=74
TEST,model,NMAX 125,545,73.11878641484378,6107.751111111111,1.0,0.1791044776119403,0.11703703703703704,minimum_n=50; timing_n=225; task_n=225
TEST,model,New Light Pro,439,65.40041997412632,5223.386597938144,1.0,0.2584378013500482,0.1254295532646048,minimum_n=50; timing_n=194; task_n=194
TEST,model,PCX125,643,96.97379491266915,4795.0,1.0,0.17893660531697342,0.07499999999999998,minimum_n=50; timing_n=80; task_n=80
TEST,model,Pulsar NS125,71,79.82152777777779,5110.555555555556,1.0,0.13333333333333333,0.0,minimum_n=50; timing_n=9; task_n=9
TEST,model,Pulsar NS200 UG2,127,128.17881944444443,3072.6,1.0,0.23890784982935154,0.06666666666666667,minimum_n=50; timing_n=10; task_n=10
TEST,model,Raider 125,79,102.02559087661398,3401.8333333333335,1.0,0.1843971631205674,0.2222222222222222,minimum_n=50; timing_n=6; task_n=6
TEST,model,SFC MINI 50ec,578,52.50016248192222,4165.55421686747,1.0,0.3153620572975412,0.1365461847389558,minimum_n=50; timing_n=332; task_n=332
TEST,model,SH125i,67,58.63687500000001,4582.1,1.0,0.17777777777777778,0.19999999999999998,minimum_n=50; timing_n=10; task_n=10
TEST,model,Wing 50i,606,72.78131770927443,3793.8317757009345,1.0,0.2588562167168326,0.16822429906542055,minimum_n=50; timing_n=214; task_n=214
TEST,model,XMAX 250,96,89.6707264957265,4568.538461538462,1.0,0.15568862275449102,0.15384615384615383,minimum_n=50; timing_n=13; task_n=13
TEST,workshop,WS0001,942,63.67004754116092,4341.081460674157,1.0,0.24679345422379478,0.15543071161048688,minimum_n=50; timing_n=356; task_n=356
TEST,workshop,WS0002,670,63.652904320645135,4731.8900523560205,1.0,0.2276225192385581,0.13263525305410123,minimum_n=50; timing_n=191; task_n=191
TEST,workshop,WS0003,828,69.17904555464666,4593.669014084507,1.0,0.24264499859904737,0.1267605633802817,minimum_n=50; timing_n=284; task_n=284
TEST,workshop,WS0004,639,81.94740591397849,4534.1612903225805,1.0,0.22760908394998725,0.11612903225806452,minimum_n=50; timing_n=155; task_n=155
TEST,workshop,WS0005,766,65.43393135950028,4345.839552238806,1.0,0.24556341076323762,0.12437810945273631,minimum_n=50; timing_n=268; task_n=268
TEST,workshop,WS0006,671,70.94498705081317,4915.41592920354,1.0,0.23056768558951965,0.12536873156342182,minimum_n=50; timing_n=226; task_n=226
TEST,workshop,WS0007,920,68.05926458426754,4666.195965417867,1.0,0.24390243902439024,0.1392891450528338,minimum_n=50; timing_n=347; task_n=347
TEST,workshop,WS0008,990,63.631892586446014,4335.882051282051,1.0,0.2640606302353411,0.11196581196581196,minimum_n=50; timing_n=390; task_n=390
TEST,workshop,WS0009,656,68.6995348895625,4631.815165876777,1.0,0.23555310952118877,0.11374407582938388,minimum_n=50; timing_n=211; task_n=211
TEST,workshop,WS0010,609,67.4177051062098,4224.164948453608,1.0,0.24994992990186263,0.1219931271477663,minimum_n=50; timing_n=194; task_n=194
TEST,age_bucket,0-2,742,63.320420820734284,4838.941780821918,1.0,0.27125382262996944,0.13242009132420093,minimum_n=50; timing_n=292; task_n=292
TEST,age_bucket,3-5,3139,67.21629943217658,4516.735159817352,1.0,0.2455616038709218,0.13698630136986298,minimum_n=50; timing_n=1095; task_n=1095
TEST,age_bucket,6-8,2914,69.0986664833141,4457.721030042919,1.0,0.23457855587062834,0.12052932761087266,minimum_n=50; timing_n=932; task_n=932
TEST,age_bucket,9+,896,66.8616199119912,4375.42904290429,1.0,0.24343914021494625,0.11551155115511551,minimum_n=50; timing_n=303; task_n=303
TEST,odometer_bucket,<10k,202,69.71746691569008,4540.976190476191,1.0,0.3175074183976261,0.20634920634920634,minimum_n=50; timing_n=42; task_n=42
TEST,odometer_bucket,10-30k,1058,78.67067165512208,3682.38202247191,1.0,0.2705718270571827,0.14606741573033707,minimum_n=50; timing_n=178; task_n=178
TEST,odometer_bucket,30-60k,2051,80.70544770727018,4312.804166666667,1.0,0.24824355971896958,0.1423611111111111,minimum_n=50; timing_n=480; task_n=480
TEST,odometer_bucket,60-100k,1905,75.13543296656076,4404.071542130366,1.0,0.2250913213251039,0.12188659247482775,minimum_n=50; timing_n=629; task_n=629
TEST,odometer_bucket,100k+,2475,57.09212943011812,4758.433874709976,1.0,0.2466680042420247,0.12090745037380767,minimum_n=50; timing_n=1293; task_n=1293
TEST,previous_service_count,1,859,72.67548059511154,3926.7730061349694,1.0,0.30763444904099285,0.21881390593047037,minimum_n=50; timing_n=163; task_n=163
TEST,previous_service_count,2,899,85.39523175064599,4317.21511627907,1.0,0.26362625139043383,0.15310077519379844,minimum_n=50; timing_n=172; task_n=172
TEST,previous_service_count,3,823,82.83470804988663,4207.482993197279,1.0,0.2544935805991441,0.12471655328798185,minimum_n=50; timing_n=147; task_n=147
TEST,previous_service_count,4,719,86.54850715236194,4535.562874251497,1.0,0.2128551467163484,0.10978043912175647,minimum_n=50; timing_n=167; task_n=167
TEST,previous_service_count,5+,4391,62.63864813876218,4602.424227065383,1.0,0.24108222490931078,0.12029058962662612,minimum_n=50; timing_n=1973; task_n=1973
TEST,previous_failure_count,0,5723,71.58597414416592,4407.704927884615,1.0,0.24068559808264944,0.13341346153846154,minimum_n=50; timing_n=1664; task_n=1664
TEST,previous_failure_count,1,1284,66.7021239589681,4775.954296160878,1.0,0.24014957412921542,0.1304082876294942,minimum_n=50; timing_n=547; task_n=547
TEST,previous_failure_count,2+,684,51.44845735333874,4604.085158150851,1.0,0.2601032579668862,0.1038118410381184,minimum_n=50; timing_n=411; task_n=411
TEST,service_history_bucket,0-1,859,72.67548059511154,3926.7730061349694,1.0,0.30763444904099285,0.21881390593047037,minimum_n=50; timing_n=163; task_n=163
TEST,service_history_bucket,2-4,2441,85.01704246684956,4359.0534979423865,1.0,0.24168494953927164,0.12962962962962962,minimum_n=50; timing_n=486; task_n=486
TEST,service_history_bucket,5+,4391,62.63864813876218,4602.424227065383,1.0,0.24108222490931078,0.12029058962662612,minimum_n=50; timing_n=1973; task_n=1973
