target,segment_feature,segment_value,n,mae,median_ae
DAYS,model_id,HONDA_CB125F,28,32.74560690928595,18.251790721756826
DAYS,model_id,HONDA_CL250,3,85.32878996044087,83.53940121888363
DAYS,model_id,HONDA_DIO110,300,19.71231820531483,13.584186255024795
DAYS,model_id,HONDA_FORZA250,11,18.0688409681763,13.269011489117801
DAYS,model_id,HONDA_PCX125,80,33.74582162752853,16.014492284801165
DAYS,model_id,HONDA_SH125I,10,32.11404556396326,11.81196025576989
DAYS,model_id,KTM_390_DUKE,1,70.64027727726467,70.64027727726467
DAYS,model_id,KUBA_BLUEBERRY50,515,20.02236593640481,15.24045509821439
DAYS,model_id,KUBA_CG50_PRO,152,19.70144054770559,15.32130257549844
DAYS,model_id,KYMCO_DOWNTOWN250I,2,47.02842020971184,47.02842020971184
DAYS,model_id,MONDIAL_50_UAG,259,16.344505113748156,10.62566356167465
DAYS,model_id,MONDIAL_EXON50,8,26.853514472905367,14.520435897517345
DAYS,model_id,MONDIAL_SFC_MINI_50EC,332,19.517900077078274,14.93438023791673
DAYS,model_id,MONDIAL_TURISMO50I,10,16.679013052262707,15.793053953820003
DAYS,model_id,MONDIAL_WING50I,214,19.073581182332493,12.664941510992207
DAYS,model_id,RKS_NEW_LIGHT_PRO,194,21.320301041165013,14.94883937289383
DAYS,model_id,SYM_JETX125,41,26.14277812733199,12.768380555129681
DAYS,model_id,TVS_APACHE_RTR200_4V,2,33.08443443428061,33.08443443428061
DAYS,model_id,TVS_JUPITER125,74,30.837390110091746,18.73659043406503
DAYS,model_id,TVS_RAIDER125,6,20.458517874958797,15.455522083510076
DAYS,model_id,YAMAHA_NMAX125,225,18.659294472344776,12.207743056038169
DAYS,model_id,YAMAHA_XMAX250,13,27.9598028658045,21.721915534676306
DAYS,model_id,YAMAHA_XSR125,1,0.35547811298246756,0.35547811298246756
DAYS,interval_variability_band,"(-0.001, 0.0573]",656,23.728433234177707,15.633724005873773
DAYS,interval_variability_band,"(0.0573, 0.195]",655,19.40254560594302,12.481190248585321
DAYS,interval_variability_band,"(0.195, 0.336]",655,19.50560571597023,13.854044441871913
DAYS,interval_variability_band,"(0.336, 1.365]",656,20.58031713961553,14.331888570738297
KM,history_depth,FIRST,163,1344.49343815903,709.28564453125
KM,history_depth,SECOND,172,1182.5564369379088,588.1885986328125
KM,history_depth,3-4,314,1271.4703163098377,610.5406494140625
KM,history_depth,5-8,616,1334.8154504949396,621.6263427734375
KM,history_depth,9+,1357,1498.5146322454173,685.888671875
KM,usage_type,COMMUTER,1288,1416.1008218326924,676.4619140625
KM,usage_type,COURIER,556,1335.7533907444356,603.5966796875
KM,usage_type,OFFROAD,39,1116.378925030048,444.3125
KM,usage_type,SEASONAL,265,1437.796376584611,741.36279296875
KM,usage_type,TOURING,90,1385.8830946180556,684.966064453125
KM,usage_type,TRACK,33,1690.405595259233,718.520263671875
KM,usage_type,WEEKEND,351,1441.139787896746,651.569580078125
KM,age_band,<=2,292,1703.1606608351617,711.317138671875
KM,age_band,2-5,1095,1355.997998046875,660.58544921875
KM,age_band,5-10,1191,1378.6034613031984,645.56298828125
KM,age_band,10+,44,1215.1601617986505,634.265869140625
KM,odometer_band,"(1286.999, 57387.25]",656,1286.4924221504025,604.943359375
KM,odometer_band,"(57387.25, 98596.0]",655,1334.348334811844,674.316650390625
KM,odometer_band,"(98596.0, 151923.75]",655,1425.0018511823116,663.9208984375
KM,odometer_band,"(151923.75, 500425.0]",656,1564.3461731701364,679.564697265625
KM,category,BIG_SCOOTER,31,994.8754646547379,604.1240234375
KM,category,CUB,937,1340.9781031654381,607.52880859375
KM,category,NAKED,67,1360.111619636194,660.306884765625
KM,category,SCOOTER,1581,1447.297867853984,691.6435546875
KM,category,SCRAMBLER,3,3039.7620849609375,3894.7208251953125
KM,category,SUPERSPORT,2,878.0419311523438,878.0419311523438
KM,category,TOURING,1,6.090576171875,6.090576171875
KM,model_id,BAJAJ_DOMINAR250,1,6.090576171875,6.090576171875
KM,model_id,BAJAJ_NS125,9,1358.648464626736,515.77197265625
KM,model_id,BAJAJ_NS200,10,600.5190551757812,410.752685546875
KM,model_id,CFMOTO_250NK,7,828.2821044921875,660.306884765625
KM,model_id,CFMOTO_250SR,2,878.0419311523438,878.0419311523438
KM,model_id,CFMOTO_450NK,3,2232.3436686197915,1770.83984375
KM,model_id,HONDA_ACTIVA125,104,727.555910550631,351.306884765625
KM,model_id,HONDA_ADV350,5,1266.016650390625,1161.7236328125
KM,model_id,HONDA_CB125F,28,1764.4448067801338,602.034423828125
KM,model_id,HONDA_CL250,3,3039.7620849609375,3894.7208251953125
KM,model_id,HONDA_DIO110,300,1636.3926603190105,742.3974609375
KM,model_id,HONDA_FORZA250,11,733.7825372869319,464.521484375
KM,model_id,HONDA_PCX125,80,1327.1960327148438,740.300537109375
KM,model_id,HONDA_SH125I,10,1072.1235595703124,352.3887939453125
KM,model_id,KTM_390_DUKE,1,2216.85302734375,2216.85302734375
KM,model_id,KUBA_BLUEBERRY50,515,1610.075842403671,1055.865478515625
KM,model_id,KUBA_CG50_PRO,152,808.6990830270868,316.0322265625
KM,model_id,KYMCO_DOWNTOWN250I,2,1304.62353515625,1304.62353515625
KM,model_id,MONDIAL_50_UAG,259,1187.8700653429657,503.6787109375
KM,model_id,MONDIAL_EXON50,8,1033.9642028808594,545.591064453125
KM,model_id,MONDIAL_SFC_MINI_50EC,332,1577.4406653714468,959.290283203125
KM,model_id,MONDIAL_TURISMO50I,10,415.7447509765625,262.2900390625
KM,model_id,MONDIAL_WING50I,214,1114.0836803400628,421.0455322265625
KM,model_id,RKS_NEW_LIGHT_PRO,194,1557.7606918492268,656.404296875
KM,model_id,SYM_JETX125,41,1560.3802996379573,589.29443359375
KM,model_id,TVS_APACHE_RTR200_4V,2,1123.025390625,1123.025390625
KM,model_id,TVS_JUPITER125,74,1221.5511540593327,485.00732421875
KM,model_id,TVS_RAIDER125,6,1064.3733317057292,1099.8975830078125
KM,model_id,YAMAHA_NMAX125,225,1645.7550792100694,571.29296875
KM,model_id,YAMAHA_XMAX250,13,1063.8616286057693,604.1240234375
KM,model_id,YAMAHA_XSR125,1,145.84765625,145.84765625
KM,interval_variability_band,"(-0.001, 0.0573]",656,1383.7462344285918,625.470947265625
KM,interval_variability_band,"(0.0573, 0.195]",655,1385.9840441987715,616.916748046875
KM,interval_variability_band,"(0.195, 0.336]",655,1329.6963693866294,664.186279296875
KM,interval_variability_band,"(0.336, 1.365]",656,1510.6955635256884,703.0614013671875
