feature_name,source,available_at_snapshot,future_derived,target_derived,identifier,synthetic_only,production_derivable,used
usage_type,ml_maintenance_snapshots,True,False,False,False,False,True,True
annual_km_baseline,ml_maintenance_snapshots,True,False,False,False,False,True,True
city_ratio,ml_maintenance_snapshots,True,False,False,False,False,True,True
highway_ratio,ml_maintenance_snapshots,True,False,False,False,False,True,True
offroad_ratio,ml_maintenance_snapshots,True,False,False,False,False,True,True
track_ratio,ml_maintenance_snapshots,True,False,False,False,False,True,True
avg_ride_days_per_week,ml_maintenance_snapshots,True,False,False,False,False,True,True
daily_active_probability,ml_maintenance_snapshots,True,False,False,False,False,True,True
avg_km_per_active_day,ml_maintenance_snapshots,True,False,False,False,False,True,True
riding_intensity,ml_maintenance_snapshots,True,False,False,False,False,True,True
seasonality_strength,ml_maintenance_snapshots,True,False,False,False,False,True,True
winter_usage_factor,ml_maintenance_snapshots,True,False,False,False,False,True,True
weather_sensitivity,ml_maintenance_snapshots,True,False,False,False,False,True,True
storage_condition,ml_maintenance_snapshots,True,False,False,False,False,True,True
load_severity_factor,ml_maintenance_snapshots,True,False,False,False,False,True,True
climate_zone,ml_maintenance_snapshots,True,False,False,False,False,True,True
workshop_city,ml_maintenance_snapshots,True,False,False,False,False,False,True
workshop_region,ml_maintenance_snapshots,True,False,False,False,False,True,True
workshop_climate_zone,ml_maintenance_snapshots,True,False,False,False,False,False,True
price_level,ml_maintenance_snapshots,True,False,False,False,False,True,True
service_bay_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
technician_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
daily_service_capacity,ml_maintenance_snapshots,True,False,False,False,False,True,True
appointment_rate,ml_maintenance_snapshots,True,False,False,False,False,True,True
avg_parts_lead_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
same_day_parts_rate,ml_maintenance_snapshots,True,False,False,False,False,True,True
labor_rate_index,ml_maintenance_snapshots,True,False,False,False,False,True,True
customer_volume_index,ml_maintenance_snapshots,True,False,False,False,False,True,True
courier_customer_share,ml_maintenance_snapshots,True,False,False,False,False,True,True
snapshot_odometer_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_mileage_source,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_mileage_quality_flag,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_mileage_estimated,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_service_type_code,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_arrival_mode,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_primary_trigger_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_service_delay_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_is_breakdown,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_is_warranty,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_service_timestamp_repaired,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_labor_total,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_parts_total,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_grand_total,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_completed_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_declined_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_policy_due_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_fault_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_inspection_finding_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_replace_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_parts_line_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
current_supplier_parts_line_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_previous_service,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_previous_service,ml_maintenance_snapshots,True,False,False,False,False,True,True
avg_km_per_day_since_previous_service,ml_maintenance_snapshots,True,False,False,False,False,True,True
avg_service_interval_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
avg_service_interval_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
rolling3_interval_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
rolling3_interval_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
service_odometer_regression_count_to_date,ml_maintenance_snapshots,True,False,False,False,False,True,True
periodic_service_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
repair_service_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
breakdown_service_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
warranty_service_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
appointment_service_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
walkin_service_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
services_last_90d,ml_maintenance_snapshots,True,False,False,False,False,True,True
services_last_365d,ml_maintenance_snapshots,True,False,False,False,False,True,True
cumulative_service_spend,ml_maintenance_snapshots,True,False,False,False,False,True,True
avg_service_spend,ml_maintenance_snapshots,True,False,False,False,False,True,True
total_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
total_completed_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
total_declined_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
total_policy_due_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
total_fault_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
total_inspection_finding_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
total_replace_task_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_engine_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_engine_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_brakes_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_brakes_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_final_drive_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_final_drive_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_tires_wheels_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_tires_wheels_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_electrical_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_electrical_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_transmission_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_transmission_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_cooling_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_cooling_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_since_intake_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
km_since_intake_task,ml_maintenance_snapshots,True,False,False,False,False,True,True
feature_version,ml_maintenance_snapshots,True,False,False,False,False,False,False
data_origin,ml_maintenance_snapshots,True,False,False,False,False,False,False
generator_version,ml_maintenance_snapshots,True,False,False,False,False,False,False
random_seed,ml_maintenance_snapshots,True,False,False,False,False,False,False
scenario_id,ml_maintenance_snapshots,True,False,False,False,False,False,False
maintenance_overdue_days_pre_service,ml_maintenance_snapshots,True,False,False,False,False,True,True
maintenance_overdue_km_pre_service,ml_maintenance_snapshots,True,False,False,False,False,True,True
previous_failure_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
failure_hazard_score,ml_maintenance_snapshots,True,False,False,False,True,False,False
chronic_risk_tier,ml_maintenance_snapshots,True,False,False,False,True,False,False
previous_service_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
previous_interval_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
previous_interval_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
historical_interval_days_median,ml_maintenance_snapshots,True,False,False,False,False,True,True
historical_interval_days_std,ml_maintenance_snapshots,True,False,False,False,False,True,True
historical_interval_km_median,ml_maintenance_snapshots,True,False,False,False,False,True,True
historical_interval_km_std,ml_maintenance_snapshots,True,False,False,False,False,True,True
historical_policy_delay_median_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
historical_policy_delay_mean_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
historical_on_time_rate,ml_maintenance_snapshots,True,False,False,False,False,True,True
previous_policy_delay_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
recent_30d_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
recent_60d_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
recent_90d_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
recent_180d_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
recent_km_per_day,ml_maintenance_snapshots,True,False,False,False,False,True,True
long_term_km_per_day,ml_maintenance_snapshots,True,False,False,False,False,True,True
policy_interval_days,ml_maintenance_snapshots,True,False,False,False,False,True,True
policy_interval_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
recent_vs_long_term_usage_ratio,ml_maintenance_snapshots,True,False,False,False,False,True,True
