feature_name,source_table,uses_actual_next_service,uses_future_actual_service,available_at_snapshot,manufacturer_source_only,derived_from,leakage_status
mk_km_to_next_major_maintenance,manufacturer_maintenance_tasks.csv,NO,NO,YES,YES,snapshot_odometer_km + age + KB schedule,PASS
mk_major_tasks_due_count,manufacturer_maintenance_tasks.csv,NO,NO,YES,YES,snapshot_odometer_km + age + KB schedule,PASS
mk_months_to_next_BRAKE_FLUID,manufacturer_maintenance_tasks.csv,NO,NO,YES,YES,snapshot_odometer_km + age + KB schedule,PASS
mk_months_to_next_COOLANT,manufacturer_maintenance_tasks.csv,NO,NO,YES,YES,snapshot_odometer_km + age + KB schedule,PASS
mk_months_to_next_SERVICE,manufacturer_maintenance_tasks.csv,NO,NO,YES,YES,snapshot_odometer_km + age + KB schedule,PASS
mk_manufacturer_knowledge_available,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_task_coverage_count,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_high_confidence_task_count,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_medium_confidence_task_count,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_low_confidence_task_count,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_has_conflict,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_task_conflict_count,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_market_match_exact,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_year_match_exact,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_variant_match_exact,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
mk_manufacturer_mapping_confidence_score,model_mapping.csv / model_coverage.csv / source_conflicts.csv,NO,NO,YES,YES,KB metadata / mapping (static),PASS
