target,split,model,metric,value,n,notes
KM,VALIDATION,HistGradientBoostingRegressor,bias,-358.1292907050601,1931,RAW
KM,VALIDATION,HistGradientBoostingRegressor,p90_ae,3515.0284671754034,1931,RAW
KM,VALIDATION,HistGradientBoostingRegressor,within_1000,0.5266701191092699,1931,RAW
KM,VALIDATION,HistGradientBoostingRegressor,within_2000,0.7726566545831176,1931,RAW
KM,VALIDATION,HistGradientBoostingRegressor,within_5000,0.955981356809943,1931,RAW
KM,VALIDATION,HistGradientBoostingRegressor,mae,1482.7503951015653,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,median_ae,944.1249098540147,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,rmse,2248.5495060557846,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,r2,0.1521220436396843,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,bias,-358.1292907050601,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,p90_ae,3515.0284671754034,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,within_1000,0.5266701191092699,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,within_2000,0.7726566545831176,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,within_5000,0.955981356809943,1931,ACTIONABLE
KM,VALIDATION,HistGradientBoostingRegressor,negative_prediction_count,0.0,1931,RAW
KM,TEST,HistGradientBoostingRegressor,mae,1520.1540946866805,2622,RAW
KM,TEST,HistGradientBoostingRegressor,median_ae,1069.4666591241294,2622,RAW
KM,TEST,HistGradientBoostingRegressor,rmse,2166.876691454662,2622,RAW
KM,TEST,HistGradientBoostingRegressor,r2,0.2355400154782752,2622,RAW
KM,TEST,HistGradientBoostingRegressor,bias,-23.839411402943607,2622,RAW
KM,TEST,HistGradientBoostingRegressor,p90_ae,3386.333831864174,2622,RAW
KM,TEST,HistGradientBoostingRegressor,within_1000,0.47177726926010677,2622,RAW
KM,TEST,HistGradientBoostingRegressor,within_2000,0.7646834477498093,2622,RAW
KM,TEST,HistGradientBoostingRegressor,within_5000,0.9641495041952708,2622,RAW
KM,TEST,HistGradientBoostingRegressor,mae,1520.1540946866805,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,median_ae,1069.4666591241294,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,rmse,2166.876691454662,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,r2,0.2355400154782752,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,bias,-23.839411402943607,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,p90_ae,3386.333831864174,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,within_1000,0.47177726926010677,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,within_2000,0.7646834477498093,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,within_5000,0.9641495041952708,2622,ACTIONABLE
KM,TEST,HistGradientBoostingRegressor,negative_prediction_count,0.0,2622,RAW
