snapshot_id,motorcycle_id,actual_days,predicted_days,actual_km,predicted_km,split,dataset_version,days_model,km_model,days_error,days_abs_error,km_error,km_abs_error,usage_type,riding_intensity,brand,category,model_id,workshop_id,motorcycle_age_years,snapshot_odometer_km,service_sequence,previous_failure_count,annual_km_baseline,maintenance_overdue_days_pre_service,maintenance_overdue_km_pre_service,interval_days_cv,interval_km_cv,recent_90d_km,target
SNP_SVC017978,MC004369,19.044444444444444,136.2082352895966,308.0,1286.9062339110926,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,117.16379084515214,117.16379084515214,978.9062339110926,978.9062339110926,COMMUTER,LOW,Bajaj,NAKED,BAJAJ_NS200,WS0001,0.8843258042436687,2962,1,0,2457,0.0,0.0,,,543.0,DAYS
SNP_SVC034803,MC008360,27.028472222222224,144.11148403979197,513.0,4961.930584917671,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,117.08301181756975,117.08301181756975,4448.930584917671,4448.930584917671,TOURING,MEDIUM,TVS,SCOOTER,TVS_JUPITER125,WS0003,3.3374401095140316,38915,4,0,10548,0.0,36.0,0.3640184929536945,0.47876152825298723,1839.0,DAYS
SNP_SVC039754,MC009635,31.935416666666665,148.76442324522867,1011.0,6284.544660595069,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,116.829006578562,116.829006578562,5273.544660595069,5273.544660595069,SEASONAL,HIGH,Honda,SCOOTER,HONDA_PCX125,WS0010,9.897330595482547,194706,2,0,16461,2.0,155.0,,,3976.0,DAYS
SNP_SVC032599,MC007921,179.88819444444445,64.41024060003575,13780.0,5121.32245571207,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-115.4779538444087,115.4779538444087,-8658.67754428793,8658.67754428793,WEEKEND,HIGH,Yamaha,SCOOTER,YAMAHA_NMAX125,WS0006,5.300479123887748,113847,8,1,26695,3.0,244.6999999999971,1.425698303781172,1.37524278836916,6307.0,DAYS
SNP_SVC032922,MC007985,37.699305555555554,153.00907118756294,1062.0,4714.223860416568,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,115.30976563200738,115.30976563200738,3652.2238604165677,3652.2238604165677,COMMUTER,MEDIUM,SYM,SCOOTER,SYM_JETX125,WS0006,6.050650239561944,60952,4,0,8368,43.0,1896.0999999999985,0.37963918081376863,0.38265781128678644,1153.0,DAYS
SNP_SVC035345,MC008500,25.97013888888889,140.96567556627528,1116.0,4483.365603627877,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,114.99553667738638,114.99553667738638,3367.365603627877,3367.365603627877,COURIER,MEDIUM,Honda,SCOOTER,HONDA_PCX125,WS0009,5.166324435318275,69860,7,0,13670,5.0,241.40000000000146,0.7973963797206537,0.8063189479503367,2010.0,DAYS
SNP_SVC018211,MC004446,174.7125,60.42038290234885,15365.0,5427.026497812811,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-114.29211709765116,114.29211709765116,-9937.97350218719,9937.97350218719,COMMUTER,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0007,5.61533196440794,123643,18,2,32824,0.0,8.80000000000291,0.621498965463521,0.5640426755239609,8698.0,DAYS
SNP_SVC028692,MC006956,50.302083333333336,163.61963187080136,1391.0,2159.933800887209,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,113.31754853746801,113.31754853746801,768.9338008872091,768.9338008872091,SEASONAL,LOW,Honda,BIG_SCOOTER,HONDA_ADV350,WS0004,5.215605749486653,26004,4,0,4515,29.0,0.0,1.0079177820289529,0.9697013767006843,617.0,DAYS
SNP_SVC032585,MC007918,45.03680555555555,157.74975511521802,803.0,4409.306266362271,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,112.71294955966246,112.71294955966246,3606.3062663622713,3606.3062663622713,COMMUTER,MEDIUM,Honda,SCOOTER,HONDA_PCX125,WS0003,7.715263518138261,72593,5,0,8706,10.0,395.8000000000029,0.4725963297719229,0.43197655545388997,1902.0,DAYS
SNP_SVC031394,MC007625,152.7902777777778,51.80542789697866,18753.0,6173.416255903589,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-100.98484988079913,100.98484988079913,-12579.58374409641,12579.58374409641,COURIER,HIGH,Honda,SCOOTER,HONDA_DIO110,WS0009,3.6906228610540723,120966,17,2,40478,0.0,19.19999999999709,0.543820595403148,0.46793180764274905,9642.0,KM
SNP_SVC037410,MC008997,191.9361111111111,67.69460623584258,17259.0,5588.649087246047,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-124.24150487526852,124.24150487526852,-11670.350912753953,11670.350912753953,COMMUTER,HIGH,Honda,SCOOTER,HONDA_DIO110,WS0003,3.696098562628337,103745,10,1,32364,2.0,221.5,0.7049392183421658,0.6549222329889819,8046.0,KM
SNP_SVC034669,MC008333,145.15416666666667,70.41586068972781,20038.0,9189.638257131966,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-74.73830597693886,74.73830597693886,-10848.361742868034,10848.361742868034,SEASONAL,HIGH,Yamaha,SCOOTER,YAMAHA_NMAX125,WS0006,5.765913757700205,242606,18,2,45208,8.0,1424.2999999999884,0.6485576675030582,0.6505894460507842,9134.0,KM
SNP_SVC020030,MC004894,124.80833333333334,50.12942910097104,15633.0,5613.289281965589,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-74.6789042323623,74.6789042323623,-10019.71071803441,10019.71071803441,WEEKEND,HIGH,Mondial,CUB,MONDIAL_SFC_MINI_50EC,WS0001,0.9144421629021219,35467,8,0,39523,2.0,396.09999999999854,0.7053581027024425,0.5826649943768394,9360.0,KM
SNP_SVC018211,MC004446,174.7125,60.42038290234885,15365.0,5427.026497812811,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-114.29211709765116,114.29211709765116,-9937.97350218719,9937.97350218719,COMMUTER,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0007,5.61533196440794,123643,18,2,32824,0.0,8.80000000000291,0.621498965463521,0.5640426755239609,8698.0,KM
SNP_SVC003805,MC000884,95.91944444444445,33.19085274756972,14359.0,4540.676587486349,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-62.72859169687473,62.72859169687473,-9818.323412513651,9818.323412513651,WEEKEND,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0010,1.6673511293634498,71029,20,2,43455,8.0,884.0,0.652499291388108,0.527815940568706,5492.0,KM
SNP_SVC038548,MC009324,179.19791666666666,67.48113402593953,14956.0,5313.80890141015,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-111.71678264072713,111.71678264072713,-9642.19109858985,9642.19109858985,COMMUTER,HIGH,Mondial,CUB,MONDIAL_SFC_MINI_50EC,WS0008,1.6071184120465434,36924,4,0,29331,11.0,1274.0,0.20937671192189242,0.21487546292767865,8050.0,KM
SNP_SVC026723,MC006422,162.81805555555556,50.17883017262303,13650.0,4140.617485865017,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-112.63922538293252,112.63922538293252,-9509.382514134983,9509.382514134983,SEASONAL,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0007,8.673511293634498,114073,7,1,28729,5.0,666.0,0.9365053148491952,0.8880273997414709,7093.0,KM
SNP_SVC007001,MC001695,102.77708333333334,52.4831139702393,15746.0,6353.738750266354,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-50.293969363094035,50.293969363094035,-9392.261249733645,9392.261249733645,WEEKEND,HIGH,Mondial,CUB,MONDIAL_SFC_MINI_50EC,WS0005,0.9336071184120466,42513,8,0,49786,7.0,1466.4000000000015,0.17435855077013476,0.33994654930265544,12234.0,KM
SNP_SVC040062,MC009700,172.9048611111111,76.70919872483091,13608.0,4257.34919477335,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-96.19566238628019,96.19566238628019,-9350.65080522665,9350.65080522665,TOURING,HIGH,Mondial,SCOOTER,MONDIAL_WING50I,WS0009,5.973990417522245,219592,8,0,26356,0.0,21.39999999999418,0.7045358092260242,0.7061701488150324,5900.0,KM
SNP_SVC015751,MC003855,142.94375,44.56756031191821,13263.0,4230.137329533541,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-98.37618968808178,98.37618968808178,-9032.86267046646,9032.86267046646,COMMUTER,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0010,2.8747433264887063,110083,18,0,36717,2.0,238.6999999999971,0.8249011527195893,0.822380306408546,9769.0,KM
SNP_SVC037625,MC009042,132.75416666666666,44.860559103650374,13173.0,4143.26225001551,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-87.89360756301629,87.89360756301629,-9029.73774998449,9029.73774998449,COMMUTER,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0003,3.2553045859000687,93635,7,1,30716,5.0,181.5,0.62285493457005,0.7563288543122566,7570.0,KM
SNP_SVC026033,MC006250,137.89166666666668,55.20426371506541,14408.0,5469.18956078625,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-82.68740295160127,82.68740295160127,-8938.81043921375,8938.81043921375,COURIER,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0006,8.722792607802875,211635,24,1,34889,29.0,3080.0,0.7784345928908667,0.7770938402011456,6729.0,KM
SNP_SVC035965,MC008669,116.69930555555555,43.44168759256391,13172.0,4277.612709558855,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-73.25761796299165,73.25761796299165,-8894.387290441144,8894.387290441144,COMMUTER,HIGH,Mondial,CUB,MONDIAL_SFC_MINI_50EC,WS0007,6.442162902121835,195509,18,1,40523,16.0,1951.7999999999884,0.8420653273585996,0.8270939636662384,10533.0,KM
SNP_SVC028438,MC006889,180.0625,61.63712745613052,13668.0,4974.765071472606,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-118.42537254386949,118.42537254386949,-8693.234928527394,8693.234928527394,COMMUTER,HIGH,Mondial,CUB,MONDIAL_50_UAG,WS0007,7.394934976043806,125824,14,0,26549,4.0,297.3999999999942,0.4786029986607862,0.46738137124263357,6955.0,KM
SNP_SVC032599,MC007921,179.88819444444445,64.41024060003575,13780.0,5121.32245571207,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-115.4779538444087,115.4779538444087,-8658.67754428793,8658.67754428793,WEEKEND,HIGH,Yamaha,SCOOTER,YAMAHA_NMAX125,WS0006,5.300479123887748,113847,8,1,26695,3.0,244.6999999999971,1.425698303781172,1.37524278836916,6307.0,KM
SNP_SVC022563,MC005534,179.89375,82.07851207544714,12706.0,4074.421634036758,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-97.81523792455287,97.81523792455287,-8631.578365963242,8631.578365963242,WEEKEND,HIGH,Kuba,CUB,KUBA_CG50_PRO,WS0003,1.4428473648186173,47320,3,0,22630,14.0,1040.0,0.5199459962723592,0.38883258750100175,5749.0,KM
SNP_SVC015213,MC003727,129.82569444444445,51.784627939393246,15266.0,6886.246968817126,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-78.0410665050512,78.0410665050512,-8379.753031182874,8379.753031182874,COMMUTER,HIGH,SYM,SCOOTER,SYM_JETX125,WS0003,6.12457221081451,224237,12,3,37079,0.0,365.6000000000058,0.7075738423175328,0.7536754508879575,10241.0,KM
SNP_SVC003601,MC000844,176.69305555555556,85.88864138006608,16097.0,8064.413732760625,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-90.80441417548948,90.80441417548948,-8032.586267239375,8032.586267239375,COMMUTER,HIGH,Yamaha,SCOOTER,YAMAHA_NMAX125,WS0002,5.538672142368241,162744,6,0,30938,15.0,1323.8999999999942,0.455677614445279,0.36684441218182323,7663.0,KM
SNP_SVC006491,MC001567,93.23333333333333,33.97016718082688,11770.0,3739.6211451876743,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-59.26316615250646,59.26316615250646,-8030.378854812326,8030.378854812326,COMMUTER,HIGH,Mondial,SCOOTER,MONDIAL_WING50I,WS0007,5.114305270362765,206266,44,5,41970,8.0,970.2000000000116,0.7271512587577386,0.7135209469259639,10196.0,KM
