field,role,dtype,source_layer,available_at_landmark,model_input
landmark_month_cos,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
landmark_id,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,True,False
duration_days,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,False,False
event_observed,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,False,False
next_service_id,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,False,False
administrative_cutoff_at,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,False,False
event_within_30d,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,False,False
event_within_60d,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,False,False
event_within_90d,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,False,False
event_within_120d,TARGET_OR_LABEL,derived,V2_1_DERIVED_TARGET,False,False
