customer_id,workshop_id,customer_type,first_seen_date,city,region,is_fleet_customer,preferred_contact,acquisition_channel,synthetic_alias,is_active,churn_date,data_origin,generator_version,random_seed,notes
C000024,WS0004,INDIVIDUAL,2024-05-07,Bursa,Marmara,0,EMAIL,ORGANIC,Customer_000024,1,,SYNTHETIC,1.3.0,42,
C000025,WS0003,INDIVIDUAL,2021-07-01,İzmir,Ege,0,WHATSAPP,WALK_IN,Customer_000025,1,,SYNTHETIC,1.3.0,42,
C000026,WS0005,INDIVIDUAL,2025-09-25,Antalya,Akdeniz,0,WHATSAPP,WALK_IN,Customer_000026,1,,SYNTHETIC,1.3.0,42,
C000027,WS0001,INDIVIDUAL,2022-01-15,İstanbul,Marmara,0,WHATSAPP,GOOGLE_MAPS,Customer_000027,1,,SYNTHETIC,1.3.0,42,
C000028,WS0009,INDIVIDUAL,2022-06-07,Samsun,Karadeniz,0,PHONE,GOOGLE_MAPS,Customer_000028,1,,SYNTHETIC,1.3.0,42,
C000029,WS0009,INDIVIDUAL,2022-05-19,Samsun,Karadeniz,0,SMS,SOCIAL_MEDIA,Customer_000029,1,,SYNTHETIC,1.3.0,42,
C000030,WS0008,INDIVIDUAL,2024-11-21,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,REFERRAL,Customer_000030,1,,SYNTHETIC,1.3.0,42,
C000031,WS0007,INDIVIDUAL,2023-07-15,Adana,Akdeniz,0,EMAIL,GOOGLE_MAPS,Customer_000031,1,,SYNTHETIC,1.3.0,42,
C000032,WS0001,INDIVIDUAL,2022-05-16,İstanbul,Marmara,0,WHATSAPP,SOCIAL_MEDIA,Customer_000032,1,,SYNTHETIC,1.3.0,42,
C000033,WS0004,INDIVIDUAL,2021-03-06,Bursa,Marmara,0,PHONE,WALK_IN,Customer_000033,1,,SYNTHETIC,1.3.0,42,
C000034,WS0003,INDIVIDUAL,2025-11-01,İzmir,Ege,0,PHONE,ORGANIC,Customer_000034,0,2026-02-17,SYNTHETIC,1.3.0,42,
C000035,WS0004,INDIVIDUAL,2023-04-10,Bursa,Marmara,0,EMAIL,WALK_IN,Customer_000035,1,,SYNTHETIC,1.3.0,42,
C000036,WS0005,INDIVIDUAL,2026-02-25,Antalya,Akdeniz,0,PHONE,ORGANIC,Customer_000036,1,,SYNTHETIC,1.3.0,42,
C000037,WS0010,INDIVIDUAL,2025-09-01,Eskişehir,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000037,1,,SYNTHETIC,1.3.0,42,
C000038,WS0001,INDIVIDUAL,2026-07-16,İstanbul,Marmara,0,PHONE,WALK_IN,Customer_000038,1,,SYNTHETIC,1.3.0,42,
C000039,WS0005,INDIVIDUAL,2021-10-31,Antalya,Akdeniz,0,WHATSAPP,REFERRAL,Customer_000039,1,,SYNTHETIC,1.3.0,42,
C000040,WS0006,INDIVIDUAL,2021-03-22,Konya,İç Anadolu,0,EMAIL,ORGANIC,Customer_000040,1,,SYNTHETIC,1.3.0,42,
C000041,WS0004,INDIVIDUAL,2022-08-02,Bursa,Marmara,0,PHONE,ORGANIC,Customer_000041,1,,SYNTHETIC,1.3.0,42,
C000042,WS0001,INDIVIDUAL,2021-01-17,İstanbul,Marmara,0,WHATSAPP,ORGANIC,Customer_000042,1,,SYNTHETIC,1.3.0,42,
C000043,WS0009,INDIVIDUAL,2024-12-13,Samsun,Karadeniz,0,EMAIL,ORGANIC,Customer_000043,1,,SYNTHETIC,1.3.0,42,
C000044,WS0001,INDIVIDUAL,2023-05-18,İstanbul,Marmara,0,WHATSAPP,WALK_IN,Customer_000044,1,,SYNTHETIC,1.3.0,42,
C000045,WS0005,INDIVIDUAL,2024-08-21,Antalya,Akdeniz,0,WHATSAPP,REFERRAL,Customer_000045,1,,SYNTHETIC,1.3.0,42,
C000046,WS0004,COMMERCIAL,2024-06-08,Bursa,Marmara,0,WHATSAPP,REFERRAL,Customer_000046,1,,SYNTHETIC,1.3.0,42,
C000047,WS0005,INDIVIDUAL,2021-07-16,Antalya,Akdeniz,0,WHATSAPP,REFERRAL,Customer_000047,1,,SYNTHETIC,1.3.0,42,
C000048,WS0010,INDIVIDUAL,2024-12-01,Eskişehir,İç Anadolu,0,WHATSAPP,GOOGLE_MAPS,Customer_000048,1,,SYNTHETIC,1.3.0,42,
C000049,WS0009,COMMERCIAL,2022-04-30,Samsun,Karadeniz,0,WHATSAPP,FLEET_PARTNERSHIP,Customer_000049,1,,SYNTHETIC,1.3.0,42,
C000050,WS0004,COMMERCIAL,2025-07-30,Bursa,Marmara,0,PHONE,DIRECT_SALES,Customer_000050,1,,SYNTHETIC,1.3.0,42,
C000051,WS0009,COMMERCIAL,2023-05-29,Samsun,Karadeniz,0,EMAIL,REFERRAL,Customer_000051,1,,SYNTHETIC,1.3.0,42,
C000052,WS0010,INDIVIDUAL,2023-04-05,Eskişehir,İç Anadolu,0,PHONE,ORGANIC,Customer_000052,0,2026-06-01,SYNTHETIC,1.3.0,42,
C000053,WS0004,INDIVIDUAL,2022-07-02,Bursa,Marmara,0,WHATSAPP,ORGANIC,Customer_000053,1,,SYNTHETIC,1.3.0,42,
C000054,WS0002,INDIVIDUAL,2024-05-20,Ankara,İç Anadolu,0,PHONE,ORGANIC,Customer_000054,1,,SYNTHETIC,1.3.0,42,
C000055,WS0008,INDIVIDUAL,2021-10-15,Gaziantep,Güneydoğu Anadolu,0,EMAIL,SOCIAL_MEDIA,Customer_000055,1,,SYNTHETIC,1.3.0,42,
C000056,WS0005,INDIVIDUAL,2021-10-11,Antalya,Akdeniz,0,WHATSAPP,ORGANIC,Customer_000056,0,2022-03-09,SYNTHETIC,1.3.0,42,
C000057,WS0003,INDIVIDUAL,2025-09-06,İzmir,Ege,0,WHATSAPP,GOOGLE_MAPS,Customer_000057,1,,SYNTHETIC,1.3.0,42,
C000058,WS0003,INDIVIDUAL,2026-02-08,İzmir,Ege,0,WHATSAPP,WALK_IN,Customer_000058,1,,SYNTHETIC,1.3.0,42,
C000059,WS0001,INDIVIDUAL,2024-01-10,İstanbul,Marmara,0,WHATSAPP,ORGANIC,Customer_000059,1,,SYNTHETIC,1.3.0,42,
C000060,WS0004,INDIVIDUAL,2021-01-13,Bursa,Marmara,0,PHONE,WALK_IN,Customer_000060,1,,SYNTHETIC,1.3.0,42,
C000061,WS0002,INDIVIDUAL,2023-08-02,Ankara,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000061,1,,SYNTHETIC,1.3.0,42,
C000062,WS0003,INDIVIDUAL,2023-09-06,İzmir,Ege,0,WHATSAPP,GOOGLE_MAPS,Customer_000062,1,,SYNTHETIC,1.3.0,42,
C000063,WS0004,INDIVIDUAL,2022-06-06,Bursa,Marmara,0,EMAIL,WALK_IN,Customer_000063,1,,SYNTHETIC,1.3.0,42,
C000064,WS0003,COMMERCIAL,2023-02-16,İzmir,Ege,0,EMAIL,DIRECT_SALES,Customer_000064,1,,SYNTHETIC,1.3.0,42,
C000065,WS0002,INDIVIDUAL,2024-05-12,Ankara,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000065,1,,SYNTHETIC,1.3.0,42,
C000066,WS0001,INDIVIDUAL,2022-03-01,İstanbul,Marmara,0,WHATSAPP,GOOGLE_MAPS,Customer_000066,1,,SYNTHETIC,1.3.0,42,
C000067,WS0009,INDIVIDUAL,2025-08-23,Samsun,Karadeniz,0,WHATSAPP,ORGANIC,Customer_000067,1,,SYNTHETIC,1.3.0,42,
C000068,WS0004,INDIVIDUAL,2021-05-12,Bursa,Marmara,0,SMS,REFERRAL,Customer_000068,1,,SYNTHETIC,1.3.0,42,
C000069,WS0001,INDIVIDUAL,2026-04-15,İstanbul,Marmara,0,WHATSAPP,ORGANIC,Customer_000069,1,,SYNTHETIC,1.3.0,42,
C000070,WS0008,INDIVIDUAL,2023-07-14,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,REFERRAL,Customer_000070,1,,SYNTHETIC,1.3.0,42,
C000071,WS0005,COMMERCIAL,2025-04-06,Antalya,Akdeniz,0,WHATSAPP,FLEET_PARTNERSHIP,Customer_000071,1,,SYNTHETIC,1.3.0,42,
C000072,WS0007,INDIVIDUAL,2021-07-06,Adana,Akdeniz,0,PHONE,GOOGLE_MAPS,Customer_000072,1,,SYNTHETIC,1.3.0,42,
C000073,WS0008,INDIVIDUAL,2025-06-01,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,REFERRAL,Customer_000073,1,,SYNTHETIC,1.3.0,42,
C000074,WS0001,COMMERCIAL,2026-04-04,İstanbul,Marmara,0,PHONE,ORGANIC,Customer_000074,1,,SYNTHETIC,1.3.0,42,
C000075,WS0001,INDIVIDUAL,2024-02-17,İstanbul,Marmara,0,WHATSAPP,SOCIAL_MEDIA,Customer_000075,1,,SYNTHETIC,1.3.0,42,
C000076,WS0007,INDIVIDUAL,2022-11-20,Adana,Akdeniz,0,SMS,GOOGLE_MAPS,Customer_000076,1,,SYNTHETIC,1.3.0,42,
C000077,WS0007,INDIVIDUAL,2025-09-17,Adana,Akdeniz,0,PHONE,REFERRAL,Customer_000077,1,,SYNTHETIC,1.3.0,42,
C000078,WS0003,INDIVIDUAL,2022-08-31,İzmir,Ege,0,SMS,ORGANIC,Customer_000078,1,,SYNTHETIC,1.3.0,42,
C000079,WS0005,INDIVIDUAL,2021-03-21,Antalya,Akdeniz,0,EMAIL,GOOGLE_MAPS,Customer_000079,1,,SYNTHETIC,1.3.0,42,
C000080,WS0007,INDIVIDUAL,2025-11-10,Adana,Akdeniz,0,WHATSAPP,REFERRAL,Customer_000080,1,,SYNTHETIC,1.3.0,42,
C000081,WS0006,INDIVIDUAL,2025-12-02,Konya,İç Anadolu,0,SMS,SOCIAL_MEDIA,Customer_000081,1,,SYNTHETIC,1.3.0,42,
C000082,WS0009,INDIVIDUAL,2023-12-28,Samsun,Karadeniz,0,SMS,SOCIAL_MEDIA,Customer_000082,1,,SYNTHETIC,1.3.0,42,
C000083,WS0002,INDIVIDUAL,2023-02-07,Ankara,İç Anadolu,0,PHONE,GOOGLE_MAPS,Customer_000083,1,,SYNTHETIC,1.3.0,42,
C000084,WS0007,INDIVIDUAL,2024-09-04,Adana,Akdeniz,0,SMS,ORGANIC,Customer_000084,1,,SYNTHETIC,1.3.0,42,
C000085,WS0002,INDIVIDUAL,2024-12-11,Ankara,İç Anadolu,0,WHATSAPP,REFERRAL,Customer_000085,1,,SYNTHETIC,1.3.0,42,
C000086,WS0001,INDIVIDUAL,2025-03-01,İstanbul,Marmara,0,WHATSAPP,SOCIAL_MEDIA,Customer_000086,1,,SYNTHETIC,1.3.0,42,
C000087,WS0009,INDIVIDUAL,2025-06-18,Samsun,Karadeniz,0,PHONE,ORGANIC,Customer_000087,1,,SYNTHETIC,1.3.0,42,
C000088,WS0010,INDIVIDUAL,2022-04-06,Eskişehir,İç Anadolu,0,WHATSAPP,GOOGLE_MAPS,Customer_000088,1,,SYNTHETIC,1.3.0,42,
C000089,WS0002,INDIVIDUAL,2021-08-21,Ankara,İç Anadolu,0,WHATSAPP,REFERRAL,Customer_000089,1,,SYNTHETIC,1.3.0,42,
C000090,WS0005,INDIVIDUAL,2026-04-04,Antalya,Akdeniz,0,SMS,ORGANIC,Customer_000090,1,,SYNTHETIC,1.3.0,42,
C000091,WS0007,INDIVIDUAL,2025-04-04,Adana,Akdeniz,0,WHATSAPP,REFERRAL,Customer_000091,0,2026-04-29,SYNTHETIC,1.3.0,42,
C000092,WS0006,INDIVIDUAL,2022-04-15,Konya,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000092,0,2026-05-11,SYNTHETIC,1.3.0,42,
C000093,WS0007,INDIVIDUAL,2024-10-27,Adana,Akdeniz,0,EMAIL,REFERRAL,Customer_000093,1,,SYNTHETIC,1.3.0,42,
C000094,WS0007,INDIVIDUAL,2024-06-10,Adana,Akdeniz,0,WHATSAPP,REFERRAL,Customer_000094,1,,SYNTHETIC,1.3.0,42,
C000095,WS0004,INDIVIDUAL,2021-12-28,Bursa,Marmara,0,PHONE,REFERRAL,Customer_000095,1,,SYNTHETIC,1.3.0,42,
C000096,WS0001,INDIVIDUAL,2021-02-24,İstanbul,Marmara,0,PHONE,WALK_IN,Customer_000096,1,,SYNTHETIC,1.3.0,42,
C000097,WS0008,INDIVIDUAL,2021-06-11,Gaziantep,Güneydoğu Anadolu,0,PHONE,REFERRAL,Customer_000097,1,,SYNTHETIC,1.3.0,42,
C000098,WS0006,INDIVIDUAL,2025-01-02,Konya,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000098,1,,SYNTHETIC,1.3.0,42,
C000099,WS0009,COMMERCIAL,2022-11-29,Samsun,Karadeniz,0,EMAIL,REFERRAL,Customer_000099,1,,SYNTHETIC,1.3.0,42,
C000100,WS0001,INDIVIDUAL,2023-07-22,İstanbul,Marmara,0,SMS,REFERRAL,Customer_000100,1,,SYNTHETIC,1.3.0,42,
C000101,WS0004,INDIVIDUAL,2025-02-15,Bursa,Marmara,0,WHATSAPP,ORGANIC,Customer_000101,1,,SYNTHETIC,1.3.0,42,
C000102,WS0004,INDIVIDUAL,2025-03-15,Bursa,Marmara,0,EMAIL,REFERRAL,Customer_000102,1,,SYNTHETIC,1.3.0,42,
C000103,WS0008,INDIVIDUAL,2021-01-22,Gaziantep,Güneydoğu Anadolu,0,PHONE,GOOGLE_MAPS,Customer_000103,1,,SYNTHETIC,1.3.0,42,
C000104,WS0005,INDIVIDUAL,2023-06-17,Antalya,Akdeniz,0,WHATSAPP,GOOGLE_MAPS,Customer_000104,1,,SYNTHETIC,1.3.0,42,
C000105,WS0004,INDIVIDUAL,2026-02-23,Bursa,Marmara,0,PHONE,REFERRAL,Customer_000105,1,,SYNTHETIC,1.3.0,42,
C000106,WS0010,INDIVIDUAL,2021-02-06,Eskişehir,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000106,1,,SYNTHETIC,1.3.0,42,
C000107,WS0004,INDIVIDUAL,2024-12-08,Bursa,Marmara,0,WHATSAPP,WALK_IN,Customer_000107,1,,SYNTHETIC,1.3.0,42,
C000108,WS0004,INDIVIDUAL,2024-06-20,Bursa,Marmara,0,PHONE,ORGANIC,Customer_000108,1,,SYNTHETIC,1.3.0,42,
C000109,WS0007,INDIVIDUAL,2026-01-05,Adana,Akdeniz,0,PHONE,REFERRAL,Customer_000109,0,2026-04-09,SYNTHETIC,1.3.0,42,
C000110,WS0001,INDIVIDUAL,2026-03-30,İstanbul,Marmara,0,PHONE,ORGANIC,Customer_000110,1,,SYNTHETIC,1.3.0,42,
C000111,WS0005,INDIVIDUAL,2024-01-13,Antalya,Akdeniz,0,WHATSAPP,ORGANIC,Customer_000111,1,,SYNTHETIC,1.3.0,42,
C000112,WS0004,INDIVIDUAL,2022-10-09,Bursa,Marmara,0,WHATSAPP,WALK_IN,Customer_000112,1,,SYNTHETIC,1.3.0,42,
C000113,WS0008,INDIVIDUAL,2022-04-24,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,GOOGLE_MAPS,Customer_000113,1,,SYNTHETIC,1.3.0,42,
C000114,WS0002,INDIVIDUAL,2025-07-04,Ankara,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000114,1,,SYNTHETIC,1.3.0,42,
C000115,WS0003,INDIVIDUAL,2021-05-26,İzmir,Ege,0,SMS,ORGANIC,Customer_000115,1,,SYNTHETIC,1.3.0,42,
C000116,WS0010,INDIVIDUAL,2022-11-04,Eskişehir,İç Anadolu,0,WHATSAPP,REFERRAL,Customer_000116,0,2024-01-31,SYNTHETIC,1.3.0,42,
C000117,WS0003,COMMERCIAL,2023-03-02,İzmir,Ege,0,PHONE,DIRECT_SALES,Customer_000117,1,,SYNTHETIC,1.3.0,42,
C000118,WS0008,INDIVIDUAL,2022-01-03,Gaziantep,Güneydoğu Anadolu,0,PHONE,REFERRAL,Customer_000118,1,,SYNTHETIC,1.3.0,42,
C000119,WS0002,INDIVIDUAL,2021-07-25,Ankara,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000119,1,,SYNTHETIC,1.3.0,42,
C000120,WS0005,INDIVIDUAL,2022-11-10,Antalya,Akdeniz,0,SMS,ORGANIC,Customer_000120,1,,SYNTHETIC,1.3.0,42,
C000121,WS0001,FLEET,2024-08-04,İstanbul,Marmara,1,WHATSAPP,DIRECT_SALES,Customer_000121,1,,SYNTHETIC,1.3.0,42,
C000122,WS0008,COMMERCIAL,2025-01-18,Gaziantep,Güneydoğu Anadolu,0,PHONE,DIRECT_SALES,Customer_000122,1,,SYNTHETIC,1.3.0,42,
C000123,WS0001,INDIVIDUAL,2026-02-25,İstanbul,Marmara,0,PHONE,REFERRAL,Customer_000123,1,,SYNTHETIC,1.3.0,42,
C000124,WS0008,INDIVIDUAL,2026-02-16,Gaziantep,Güneydoğu Anadolu,0,PHONE,ORGANIC,Customer_000124,1,,SYNTHETIC,1.3.0,42,
C000125,WS0002,INDIVIDUAL,2024-01-10,Ankara,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000125,1,,SYNTHETIC,1.3.0,42,
C000126,WS0008,INDIVIDUAL,2022-04-25,Gaziantep,Güneydoğu Anadolu,0,SMS,ORGANIC,Customer_000126,1,,SYNTHETIC,1.3.0,42,
C000127,WS0003,INDIVIDUAL,2025-08-10,İzmir,Ege,0,EMAIL,WALK_IN,Customer_000127,1,,SYNTHETIC,1.3.0,42,
C000128,WS0001,INDIVIDUAL,2022-10-05,İstanbul,Marmara,0,PHONE,WALK_IN,Customer_000128,1,,SYNTHETIC,1.3.0,42,
C000129,WS0009,INDIVIDUAL,2022-04-20,Samsun,Karadeniz,0,PHONE,GOOGLE_MAPS,Customer_000129,1,,SYNTHETIC,1.3.0,42,
C000130,WS0001,INDIVIDUAL,2024-07-19,İstanbul,Marmara,0,SMS,SOCIAL_MEDIA,Customer_000130,1,,SYNTHETIC,1.3.0,42,
C000131,WS0001,COMMERCIAL,2023-11-16,İstanbul,Marmara,0,PHONE,REFERRAL,Customer_000131,1,,SYNTHETIC,1.3.0,42,
C000132,WS0004,INDIVIDUAL,2024-02-14,Bursa,Marmara,0,EMAIL,SOCIAL_MEDIA,Customer_000132,1,,SYNTHETIC,1.3.0,42,
C000133,WS0003,INDIVIDUAL,2022-10-15,İzmir,Ege,0,PHONE,ORGANIC,Customer_000133,1,,SYNTHETIC,1.3.0,42,
C000134,WS0010,INDIVIDUAL,2025-10-29,Eskişehir,İç Anadolu,0,WHATSAPP,GOOGLE_MAPS,Customer_000134,0,2026-04-23,SYNTHETIC,1.3.0,42,
C000135,WS0007,COMMERCIAL,2021-01-10,Adana,Akdeniz,0,EMAIL,REFERRAL,Customer_000135,1,,SYNTHETIC,1.3.0,42,
C000136,WS0010,COMMERCIAL,2022-01-04,Eskişehir,İç Anadolu,0,PHONE,REFERRAL,Customer_000136,1,,SYNTHETIC,1.3.0,42,
C000137,WS0008,COMMERCIAL,2022-03-20,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,FLEET_PARTNERSHIP,Customer_000137,1,,SYNTHETIC,1.3.0,42,
C000138,WS0001,COMMERCIAL,2021-08-20,İstanbul,Marmara,0,PHONE,ORGANIC,Customer_000138,1,,SYNTHETIC,1.3.0,42,
C000139,WS0005,COMMERCIAL,2026-04-12,Antalya,Akdeniz,0,WHATSAPP,FLEET_PARTNERSHIP,Customer_000139,1,,SYNTHETIC,1.3.0,42,
C000140,WS0002,COMMERCIAL,2022-01-25,Ankara,İç Anadolu,0,PHONE,ORGANIC,Customer_000140,1,,SYNTHETIC,1.3.0,42,
C000141,WS0005,INDIVIDUAL,2022-03-06,Antalya,Akdeniz,0,PHONE,GOOGLE_MAPS,Customer_000141,1,,SYNTHETIC,1.3.0,42,
C000142,WS0007,INDIVIDUAL,2026-01-19,Adana,Akdeniz,0,SMS,SOCIAL_MEDIA,Customer_000142,1,,SYNTHETIC,1.3.0,42,
C000143,WS0008,COMMERCIAL,2025-03-22,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,DIRECT_SALES,Customer_000143,1,,SYNTHETIC,1.3.0,42,
C000144,WS0004,INDIVIDUAL,2025-01-03,Bursa,Marmara,0,PHONE,REFERRAL,Customer_000144,1,,SYNTHETIC,1.3.0,42,
C000145,WS0010,INDIVIDUAL,2023-01-20,Eskişehir,İç Anadolu,0,PHONE,ORGANIC,Customer_000145,1,,SYNTHETIC,1.3.0,42,
C000146,WS0010,INDIVIDUAL,2021-05-24,Eskişehir,İç Anadolu,0,SMS,ORGANIC,Customer_000146,1,,SYNTHETIC,1.3.0,42,
C000147,WS0001,INDIVIDUAL,2026-07-22,İstanbul,Marmara,0,SMS,REFERRAL,Customer_000147,0,2026-08-25,SYNTHETIC,1.3.0,42,
C000148,WS0004,INDIVIDUAL,2023-08-27,Bursa,Marmara,0,SMS,WALK_IN,Customer_000148,1,,SYNTHETIC,1.3.0,42,
C000149,WS0010,INDIVIDUAL,2022-08-16,Eskişehir,İç Anadolu,0,SMS,WALK_IN,Customer_000149,1,,SYNTHETIC,1.3.0,42,
C000150,WS0001,INDIVIDUAL,2025-04-24,İstanbul,Marmara,0,PHONE,ORGANIC,Customer_000150,1,,SYNTHETIC,1.3.0,42,
C000151,WS0003,INDIVIDUAL,2023-09-07,İzmir,Ege,0,EMAIL,WALK_IN,Customer_000151,1,,SYNTHETIC,1.3.0,42,
C000152,WS0004,INDIVIDUAL,2022-06-21,Bursa,Marmara,0,WHATSAPP,ORGANIC,Customer_000152,0,2024-05-31,SYNTHETIC,1.3.0,42,
C000153,WS0003,COMMERCIAL,2024-06-06,İzmir,Ege,0,PHONE,REFERRAL,Customer_000153,1,,SYNTHETIC,1.3.0,42,
C000154,WS0009,INDIVIDUAL,2024-07-15,Samsun,Karadeniz,0,WHATSAPP,SOCIAL_MEDIA,Customer_000154,1,,SYNTHETIC,1.3.0,42,
C000155,WS0009,INDIVIDUAL,2023-07-06,Samsun,Karadeniz,0,WHATSAPP,SOCIAL_MEDIA,Customer_000155,1,,SYNTHETIC,1.3.0,42,
C000156,WS0005,INDIVIDUAL,2021-11-09,Antalya,Akdeniz,0,PHONE,WALK_IN,Customer_000156,0,2023-04-04,SYNTHETIC,1.3.0,42,
C000157,WS0010,INDIVIDUAL,2023-01-10,Eskişehir,İç Anadolu,0,PHONE,GOOGLE_MAPS,Customer_000157,1,,SYNTHETIC,1.3.0,42,
C000158,WS0004,INDIVIDUAL,2024-03-11,Bursa,Marmara,0,WHATSAPP,ORGANIC,Customer_000158,1,,SYNTHETIC,1.3.0,42,
C000159,WS0009,INDIVIDUAL,2026-01-17,Samsun,Karadeniz,0,WHATSAPP,REFERRAL,Customer_000159,1,,SYNTHETIC,1.3.0,42,
C000160,WS0010,INDIVIDUAL,2024-11-19,Eskişehir,İç Anadolu,0,SMS,WALK_IN,Customer_000160,1,,SYNTHETIC,1.3.0,42,
C000161,WS0010,FLEET,2025-08-24,Eskişehir,İç Anadolu,1,EMAIL,DIRECT_SALES,Customer_000161,1,,SYNTHETIC,1.3.0,42,
C000162,WS0002,INDIVIDUAL,2021-12-22,Ankara,İç Anadolu,0,WHATSAPP,GOOGLE_MAPS,Customer_000162,1,,SYNTHETIC,1.3.0,42,
C000163,WS0006,INDIVIDUAL,2021-04-25,Konya,İç Anadolu,0,WHATSAPP,ORGANIC,Customer_000163,1,,SYNTHETIC,1.3.0,42,
C000164,WS0001,INDIVIDUAL,2022-10-22,İstanbul,Marmara,0,WHATSAPP,WALK_IN,Customer_000164,1,,SYNTHETIC,1.3.0,42,
C000165,WS0009,INDIVIDUAL,2026-01-16,Samsun,Karadeniz,0,PHONE,GOOGLE_MAPS,Customer_000165,1,,SYNTHETIC,1.3.0,42,
