task_code,canonical_name_tr,canonical_name_en,component_group,action_type,is_periodic,is_wear_based,is_fault_based,requires_part,applicable_powertrain,required_final_drive,required_cooling_type,required_transmission_type,part_category_hint,can_be_next_service_target,notes,taxonomy_version
DRIVE_BELT_INSPECTION,Tahrik Kayışı Kontrolü,Drive Belt Inspection,FINAL_DRIVE,INSPECT,1,1,0,0,BOTH,BELT,,,DRIVE_BELT,1,Harici belt final-drive kullanan motosikletlerde.,1.2.0
DRIVE_BELT_CHANGE,Tahrik Kayışı Değişimi,Drive Belt Replacement,FINAL_DRIVE,REPLACE,0,1,0,1,BOTH,BELT,,,DRIVE_BELT,1,Aşınma/periyot sonucu.,1.2.0
SHAFT_DRIVE_OIL_CHANGE,Şaft Aktarma Yağı Değişimi,Shaft Drive Oil Change,FINAL_DRIVE,REPLACE,1,0,0,1,BOTH,SHAFT,,,SHAFT_OIL,1,Şaft aktarmalı motosikletlerde.,1.2.0
SHAFT_DRIVE_INSPECTION,Şaft Aktarma Kontrolü,Shaft Drive Inspection,FINAL_DRIVE,INSPECT,1,1,1,0,BOTH,SHAFT,,,,1,"Kaçak, boşluk ve genel kontrol.",1.2.0
FRONT_BRAKE_PAD_INSPECTION,Ön Fren Balatası Kontrolü,Front Brake Pad Inspection,BRAKES,INSPECT,1,1,0,0,BOTH,,,,FRONT_BRAKE_PAD,1,Aşınma bazlı.,1.2.0
FRONT_BRAKE_PAD_CHANGE,Ön Fren Balatası Değişimi,Front Brake Pad Replacement,BRAKES,REPLACE,0,1,0,1,BOTH,,,,FRONT_BRAKE_PAD,1,Kalınlık/aşınma eşiği altında.,1.2.0
REAR_BRAKE_PAD_INSPECTION,Arka Fren Balatası Kontrolü,Rear Brake Pad Inspection,BRAKES,INSPECT,1,1,0,0,BOTH,,,,REAR_BRAKE_PAD,1,Disk frenli arka sistemlerde.,1.2.0
REAR_BRAKE_PAD_CHANGE,Arka Fren Balatası Değişimi,Rear Brake Pad Replacement,BRAKES,REPLACE,0,1,0,1,BOTH,,,,REAR_BRAKE_PAD,1,Uyumlu fren sistemlerinde.,1.2.0
BRAKE_DISC_INSPECTION,Fren Diski Kontrolü,Brake Disc Inspection,BRAKES,INSPECT,1,1,0,0,BOTH,,,,BRAKE_DISC,1,"Kalınlık, yüzey ve eğrilik kontrolü.",1.2.0
BRAKE_DISC_CHANGE,Fren Diski Değişimi,Brake Disc Replacement,BRAKES,REPLACE,0,1,1,1,BOTH,,,,BRAKE_DISC,1,Aşınma/hasar sonucunda.,1.2.0
BRAKE_FLUID_CHECK,Fren Hidroliği Kontrolü,Brake Fluid Check,BRAKES,INSPECT,1,0,0,0,BOTH,,,,BRAKE_FLUID,1,Seviye ve durum kontrolü.,1.2.0
BRAKE_FLUID_CHANGE,Fren Hidroliği Değişimi,Brake Fluid Replacement,BRAKES,FLUSH,1,0,0,1,BOTH,,,,BRAKE_FLUID,1,Çoğunlukla zaman bazlı politika.,1.2.0
BRAKE_SYSTEM_BLEED,Fren Sisteminin Havasını Alma,Brake System Bleeding,BRAKES,FLUSH,0,0,1,0,BOTH,,,,BRAKE_FLUID,1,Hidrolik sistem açıldığında veya hava şüphesinde.,1.2.0
ABS_DIAGNOSTIC,ABS Sistem Teşhisi,ABS System Diagnostic,BRAKES,DIAGNOSE,0,0,1,0,BOTH,,,,,1,ABS bulunan motosikletlerde model özelliğiyle filtrelenmeli.,1.2.0
FRONT_TIRE_INSPECTION,Ön Lastik Kontrolü,Front Tire Inspection,TIRES_WHEELS,INSPECT,1,1,0,0,BOTH,,,,FRONT_TIRE,1,"Diş, çatlak, basınç ve yaş kontrolü.",1.2.0
FRONT_TIRE_CHANGE,Ön Lastik Değişimi,Front Tire Replacement,TIRES_WHEELS,REPLACE,0,1,0,1,BOTH,,,,FRONT_TIRE,1,"Aşınma, yaş veya hasara bağlı.",1.2.0
REAR_TIRE_INSPECTION,Arka Lastik Kontrolü,Rear Tire Inspection,TIRES_WHEELS,INSPECT,1,1,0,0,BOTH,,,,REAR_TIRE,1,"Diş, çatlak, basınç ve yaş kontrolü.",1.2.0
REAR_TIRE_CHANGE,Arka Lastik Değişimi,Rear Tire Replacement,TIRES_WHEELS,REPLACE,0,1,0,1,BOTH,,,,REAR_TIRE,1,"Aşınma, yaş veya hasara bağlı.",1.2.0
TIRE_PRESSURE_CHECK,Lastik Basınç Kontrolü,Tire Pressure Check,TIRES_WHEELS,INSPECT,1,0,0,0,BOTH,,,,,0,Rutin kontrol; sonraki servis ana hedefi olarak genellikle kullanılmaz.,1.2.0
WHEEL_BALANCE,Teker Balans Ayarı,Wheel Balancing,TIRES_WHEELS,ADJUST,0,1,1,0,BOTH,,,,,1,Lastik değişimi/titreşim şikâyeti sonrası.,1.2.0
WHEEL_BEARING_INSPECTION,Teker Rulmanı Kontrolü,Wheel Bearing Inspection,TIRES_WHEELS,INSPECT,1,1,0,0,BOTH,,,,WHEEL_BEARING,1,Boşluk ve ses kontrolü.,1.2.0
WHEEL_BEARING_CHANGE,Teker Rulmanı Değişimi,Wheel Bearing Replacement,TIRES_WHEELS,REPLACE,0,1,1,1,BOTH,,,,WHEEL_BEARING,1,Aşınma/arıza halinde.,1.2.0
FORK_INSPECTION,Ön Amortisör Kontrolü,Front Fork Inspection,SUSPENSION,INSPECT,1,1,0,0,BOTH,,,,,1,"Kaçak, boşluk ve çalışma kontrolü.",1.2.0
FORK_OIL_CHANGE,Ön Amortisör Yağı Değişimi,Fork Oil Replacement,SUSPENSION,REPLACE,1,1,0,1,BOTH,,,,FORK_OIL,1,Model/politikaya göre periyodik veya kondisyon bazlı.,1.2.0
FORK_SEAL_CHANGE,Amortisör Keçesi Değişimi,Fork Seal Replacement,SUSPENSION,REPLACE,0,1,1,1,BOTH,,,,FORK_SEAL,1,Yağ kaçağı/aşınma halinde.,1.2.0
REAR_SHOCK_INSPECTION,Arka Amortisör Kontrolü,Rear Shock Inspection,SUSPENSION,INSPECT,1,1,0,0,BOTH,,,,,1,"Boşluk, kaçak ve çalışma kontrolü.",1.2.0
STEERING_BEARING_INSPECTION,Gidon Rulmanı Kontrolü,Steering Head Bearing Inspection,STEERING,INSPECT,1,1,0,0,BOTH,,,,STEERING_BEARING,1,Boşluk/takılma kontrolü.,1.2.0
STEERING_BEARING_ADJUST,Gidon Rulmanı Ayarı,Steering Head Bearing Adjustment,STEERING,ADJUST,0,1,0,0,BOTH,,,,,1,Kontrol sonucunda gerekirse.,1.2.0
STEERING_BEARING_CHANGE,Gidon Rulmanı Değişimi,Steering Head Bearing Replacement,STEERING,REPLACE,0,1,1,1,BOTH,,,,STEERING_BEARING,1,Aşınma/hasar halinde.,1.2.0
BATTERY_TEST,Akü Testi,Battery Test,ELECTRICAL,DIAGNOSE,1,1,0,0,BOTH,,,,BATTERY,1,"12V/yardımcı akü dahil, modele göre filtrelenmeli.",1.2.0
BATTERY_CHANGE,Akü Değişimi,Battery Replacement,ELECTRICAL,REPLACE,0,1,1,1,BOTH,,,,BATTERY,1,Kapasite/sağlık düşüşü veya arıza halinde.,1.2.0
CHARGING_SYSTEM_TEST,Şarj Sistemi Testi,Charging System Test,ELECTRICAL,DIAGNOSE,0,0,1,0,BOTH,,,,,1,ICE alternatör/regülatör veya EV yardımcı sistemlerine uygun şekilde yorumlanmalı.,1.2.0
LIGHTING_SYSTEM_INSPECTION,Aydınlatma Sistemi Kontrolü,Lighting System Inspection,ELECTRICAL,INSPECT,1,1,0,0,BOTH,,,,LIGHTING,1,"Far, stop, sinyal ve plaka aydınlatması.",1.2.0
ECU_DIAGNOSTIC_SCAN,ECU Arıza Taraması,ECU Diagnostic Scan,ELECTRICAL,DIAGNOSE,0,0,1,0,BOTH,,,,,1,Arıza lambası/şikâyet veya gelişmiş periyodik kontrolde.,1.2.0
EV_TRACTION_BATTERY_HEALTH_CHECK,Çekiş Bataryası Sağlık Kontrolü,EV Traction Battery Health Check,EV_POWERTRAIN,DIAGNOSE,1,1,0,0,EV,,,,TRACTION_BATTERY,1,EV motosikletlere özgü.,1.2.0
EV_CHARGING_PORT_INSPECTION,Şarj Soketi Kontrolü,EV Charging Port Inspection,EV_POWERTRAIN,INSPECT,1,1,0,0,EV,,,,CHARGING_PORT,1,"Soket, pin ve fiziksel hasar kontrolü.",1.2.0
EV_DRIVE_MOTOR_DIAGNOSTIC,Elektrik Motoru Teşhisi,EV Drive Motor Diagnostic,EV_POWERTRAIN,DIAGNOSE,0,0,1,0,EV,,,,,1,Tahrik motoru arızası/performans problemi.,1.2.0
EV_HIGH_VOLTAGE_SYSTEM_INSPECTION,Yüksek Voltaj Sistemi Kontrolü,EV High Voltage System Inspection,EV_POWERTRAIN,INSPECT,1,0,1,0,EV,,,,,1,Yalnızca uygun eğitim/servis prosedürleri kapsamında.,1.2.0
GENERAL_SAFETY_INSPECTION,Genel Güvenlik Kontrolü,General Safety Inspection,GENERAL,INSPECT,1,0,0,0,BOTH,,,,,1,"Fren, lastik, aydınlatma, bağlantılar ve genel güvenlik.",1.2.0
FASTENER_TORQUE_INSPECTION,Bağlantı Elemanları Sıkılık Kontrolü,Fastener Torque Inspection,GENERAL,INSPECT,1,1,0,0,BOTH,,,,,1,Kritik bağlantı noktalarının kontrolü.,1.2.0
SIDE_STAND_INSPECTION,Yan Ayak Kontrolü,Side Stand Inspection,GENERAL,INSPECT,1,1,0,0,BOTH,,,,,0,Rutin güvenlik kontrolü.,1.2.0
CENTER_STAND_INSPECTION,Orta Sehpa Kontrolü,Center Stand Inspection,GENERAL,INSPECT,1,1,0,0,BOTH,,,,,0,Yalnızca orta sehpası bulunan modellerde.,1.2.0
CABLE_CONTROL_LUBRICATION,Kumanda Telleri Yağlama,Control Cable Lubrication,GENERAL,LUBRICATE,1,1,0,1,BOTH,,,,CABLE_LUBE,1,Mekanik gaz/debriyaj teli bulunan modellerde.,1.2.0
THROTTLE_FREE_PLAY_CHECK,Gaz Kolu Boşluk Kontrolü,Throttle Free Play Check,GENERAL,INSPECT,1,1,0,0,BOTH,,,,,0,Gaz kontrol tipine göre uygulanır.,1.2.0
WASH_AND_GENERAL_CLEANING,Genel Temizlik,General Cleaning,GENERAL,CLEAN,0,0,0,0,BOTH,,,,,0,Servis hedefi olarak kullanılmayan yardımcı işlem.,1.2.0
ENGINE_FAULT_DIAGNOSTIC,Motor Arıza Teşhisi,Engine Fault Diagnostic,ENGINE,DIAGNOSE,0,0,1,0,ICE,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
ELECTRICAL_FAULT_DIAGNOSTIC,Elektrik Sistemi Arıza Teşhisi,Electrical Fault Diagnostic,ELECTRICAL,DIAGNOSE,0,0,1,0,BOTH,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
BRAKE_FAULT_DIAGNOSTIC,Fren Sistemi Arıza Teşhisi,Brake Fault Diagnostic,BRAKES,DIAGNOSE,0,0,1,0,BOTH,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
INTAKE_FAULT_DIAGNOSTIC,Emme Sistemi Arıza Teşhisi,Intake Fault Diagnostic,INTAKE,DIAGNOSE,0,0,1,0,ICE,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
COOLING_FAULT_DIAGNOSTIC,Soğutma Sistemi Arıza Teşhisi,Cooling Fault Diagnostic,COOLING,DIAGNOSE,0,0,1,0,ICE,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
TRANSMISSION_FAULT_DIAGNOSTIC,Şanzıman Arıza Teşhisi,Transmission Fault Diagnostic,TRANSMISSION,DIAGNOSE,0,0,1,0,ICE,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
CHAIN_DRIVE_DIAGNOSTIC,Zincir Aktarma Arıza Teşhisi,Chain Drive Fault Diagnostic,FINAL_DRIVE,DIAGNOSE,0,0,1,0,BOTH,CHAIN,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
CVT_BELT_FAILURE_DIAGNOSTIC,CVT Kayışı Arıza Teşhisi,CVT Belt Failure Diagnostic,FINAL_DRIVE,DIAGNOSE,0,0,1,0,ICE,V_BELT,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
FINAL_DRIVE_FAULT_INSPECTION,Son Aktarma Arıza Kontrolü,Final Drive Fault Inspection,FINAL_DRIVE,INSPECT,0,0,1,0,BOTH,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
STEERING_FAULT_INSPECTION,Direksiyon Sistemi Arıza Kontrolü,Steering Fault Inspection,STEERING,INSPECT,0,0,1,0,BOTH,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
SUSPENSION_FAULT_INSPECTION,Süspansiyon Arıza Kontrolü,Suspension Fault Inspection,SUSPENSION,INSPECT,0,0,1,0,BOTH,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
TIRE_WHEEL_FAULT_INSPECTION,Lastik ve Teker Arıza Kontrolü,Tire and Wheel Fault Inspection,TIRES_WHEELS,INSPECT,0,0,1,0,BOTH,,,,,1,Synthetic v1.2 primary fault task; component selected from pre-event state.,1.2.0
