usage_profile_id,motorcycle_id,customer_id,workshop_id,usage_type,annual_km_baseline,annual_km_basis,city_ratio,highway_ratio,offroad_ratio,track_ratio,avg_ride_days_per_week,daily_active_probability,avg_km_per_active_day,weekday_multiplier,weekend_multiplier,riding_intensity,seasonality_strength,winter_usage_factor,weather_sensitivity,storage_condition,load_severity_factor,climate_zone,profile_start_date,profile_end_date,data_origin,generator_version,random_seed,profile_rule_version,notes
UP000021,MC000021,C000013,WS0002,COURIER,12308,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7792,0.2125,0.0083,0.0,6.16,0.822,46.9,1.215,0.54,MEDIUM,0.178,0.546,0.434,COVERED_PARKING,1.074,CONTINENTAL_DRY,2025-06-29,,SYNTHETIC,1.2.0,42,1.2.0,
UP000022,MC000022,C000014,WS0007,TOURING,16239,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9491,0.0462,0.0047,0.0,5.68,0.794,55.5,1.181,0.871,HIGH,0.053,0.868,0.177,STREET,1.096,MEDITERRANEAN_HOT,2021-04-19,,SYNTHETIC,1.2.0,42,1.2.0,
UP000023,MC000023,C000015,WS0006,COURIER,3318,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4466,0.5239,0.0186,0.0109,4.53,0.513,19.2,0.649,1.484,LOW,0.583,0.305,0.79,COVERED_PARKING,1.046,CONTINENTAL_DRY,2023-11-20,,SYNTHETIC,1.2.0,42,1.2.0,
UP000024,MC000024,C000015,WS0006,COMMUTER,11157,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7851,0.205,0.0099,0.0,4.92,0.654,47.3,1.319,0.574,MEDIUM,0.191,0.533,0.304,STREET,1.068,CONTINENTAL_DRY,2024-02-25,,SYNTHETIC,1.2.0,42,1.2.0,
UP000025,MC000025,C000016,WS0005,WEEKEND,10181,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.2833,0.6977,0.019,0.0,2.9,0.369,76.5,0.772,1.413,MEDIUM,0.306,0.738,0.469,STREET,0.877,MEDITERRANEAN_HOT,2021-02-03,,SYNTHETIC,1.2.0,42,1.2.0,
UP000026,MC000026,C000017,WS0001,COMMUTER,14075,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7338,0.2542,0.012,0.0,5.53,0.749,52.3,1.233,0.559,MEDIUM,0.14,0.69,0.412,GARAGE,0.925,TEMPERATE_HUMID,2023-04-26,,SYNTHETIC,1.2.0,42,1.2.0,
UP000027,MC000027,C000018,WS0005,COMMUTER,23865,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7495,0.2416,0.0089,0.0,5.45,0.733,93.8,1.247,0.559,HIGH,0.158,0.855,0.429,GARAGE,0.999,MEDITERRANEAN_HOT,2022-01-20,,SYNTHETIC,1.2.0,42,1.2.0,
UP000028,MC000028,C000019,WS0005,TOURING,9671,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7639,0.2257,0.0104,0.0,4.81,0.646,44.5,1.227,0.508,MEDIUM,0.16,0.885,0.371,GARAGE,1.074,MEDITERRANEAN_HOT,2024-12-27,,SYNTHETIC,1.2.0,42,1.2.0,
UP000029,MC000029,C000019,WS0005,SEASONAL,5447,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4733,0.4874,0.0186,0.0207,1.61,0.204,79.2,0.298,2.312,LOW,0.316,0.638,0.728,COVERED_PARKING,0.979,MEDITERRANEAN_HOT,2025-03-09,,SYNTHETIC,1.2.0,42,1.2.0,
UP000030,MC000030,C000020,WS0005,WEEKEND,6253,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.738,0.2518,0.0102,0.0,4.34,0.578,36.0,1.235,0.572,LOW,0.184,0.855,0.367,GARAGE,1.019,MEDITERRANEAN_HOT,2025-11-19,,SYNTHETIC,1.2.0,42,1.2.0,
UP000031,MC000031,C000020,WS0005,COMMUTER,4253,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7608,0.2306,0.0086,0.0,6.01,0.818,17.4,1.285,0.525,LOW,0.127,0.831,0.444,COVERED_PARKING,0.924,MEDITERRANEAN_HOT,2026-02-19,,SYNTHETIC,1.2.0,42,1.2.0,
UP000032,MC000032,C000021,WS0009,WEEKEND,13650,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7612,0.2285,0.0103,0.0,5.04,0.663,56.6,1.182,0.591,MEDIUM,0.219,0.651,0.345,STREET,0.936,HUMID_RAINY,2023-04-15,,SYNTHETIC,1.2.0,42,1.2.0,
UP000033,MC000033,C000022,WS0003,COMMUTER,19860,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9361,0.0587,0.0052,0.0,5.61,0.768,133.7,1.148,0.888,HIGH,0.111,0.885,0.176,GARAGE,0.995,MEDITERRANEAN_COASTAL,2026-07-04,,SYNTHETIC,1.2.0,42,1.2.0,
UP000034,MC000034,C000022,WS0003,COMMUTER,1236,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9361,0.0588,0.0051,0.0,5.21,0.716,113.1,1.139,0.937,LOW,0.098,0.851,0.247,STREET,1.009,MEDITERRANEAN_COASTAL,2026-08-01,,SYNTHETIC,1.2.0,42,1.2.0,
UP000035,MC000035,C000023,WS0003,COMMUTER,7663,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7284,0.2612,0.0104,0.0,5.66,0.763,29.0,1.263,0.561,MEDIUM,0.15,0.87,0.317,COVERED_PARKING,0.93,MEDITERRANEAN_COASTAL,2021-07-17,,SYNTHETIC,1.2.0,42,1.2.0,
UP000036,MC000036,C000023,WS0003,COMMUTER,23113,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9284,0.066,0.0056,0.0,5.69,0.781,82.4,1.101,0.891,HIGH,0.103,0.932,0.181,COVERED_PARKING,1.063,MEDITERRANEAN_COASTAL,2021-07-17,,SYNTHETIC,1.2.0,42,1.2.0,
UP000037,MC000037,C000024,WS0004,WEEKEND,7691,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.465,0.5062,0.018,0.0108,3.11,0.364,61.7,0.586,1.459,MEDIUM,0.511,0.386,0.739,STREET,0.882,TEMPERATE_HUMID,2024-06-03,,SYNTHETIC,1.2.0,42,1.2.0,
UP000038,MC000038,C000025,WS0003,COMMUTER,7806,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7386,0.2498,0.0116,0.0,5.33,0.719,31.2,1.263,0.518,MEDIUM,0.15,0.85,0.343,COVERED_PARKING,0.933,MEDITERRANEAN_COASTAL,2021-07-17,,SYNTHETIC,1.2.0,42,1.2.0,
UP000039,MC000039,C000026,WS0005,SEASONAL,21512,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.944,0.0506,0.0054,0.0,5.07,0.7,95.1,1.119,0.962,HIGH,0.088,0.952,0.159,GARAGE,0.897,MEDITERRANEAN_HOT,2025-10-24,,SYNTHETIC,1.2.0,42,1.2.0,
UP000040,MC000040,C000027,WS0001,COMMUTER,8507,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7517,0.2397,0.0086,0.0,4.41,0.599,39.3,1.23,0.548,MEDIUM,0.13,0.679,0.38,COVERED_PARKING,0.978,TEMPERATE_HUMID,2022-01-24,,SYNTHETIC,1.2.0,42,1.2.0,
UP000041,MC000041,C000028,WS0009,WEEKEND,39840,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9384,0.0568,0.0048,0.0,5.9,0.798,135.1,1.077,0.955,HIGH,0.142,0.668,0.181,GARAGE,0.955,HUMID_RAINY,2022-07-03,,SYNTHETIC,1.2.0,42,1.2.0,
UP000042,MC000042,C000029,WS0009,COMMUTER,6928,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7788,0.211,0.0102,0.0,5.5,0.734,25.7,1.16,0.547,LOW,0.178,0.569,0.363,COVERED_PARKING,0.927,HUMID_RAINY,2022-06-01,,SYNTHETIC,1.2.0,42,1.2.0,
UP000043,MC000043,C000030,WS0008,COMMUTER,11443,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.753,0.2368,0.0102,0.0,4.92,0.657,53.3,1.177,0.527,MEDIUM,0.176,0.813,0.457,COVERED_PARKING,1.011,SEMI_ARID_HOT,2024-12-11,,SYNTHETIC,1.2.0,42,1.2.0,
UP000044,MC000044,C000031,WS0007,WEEKEND,6639,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7702,0.2189,0.0109,0.0,5.76,0.779,24.6,1.24,0.582,LOW,0.143,0.856,0.331,GARAGE,0.925,MEDITERRANEAN_HOT,2023-07-27,,SYNTHETIC,1.2.0,42,1.2.0,
UP000045,MC000045,C000032,WS0001,TRACK,6849,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.5209,0.4513,0.0176,0.0102,1.55,0.18,106.5,0.635,1.509,LOW,0.527,0.37,0.827,GARAGE,1.197,TEMPERATE_HUMID,2022-05-22,,SYNTHETIC,1.2.0,42,1.2.0,
UP000046,MC000046,C000033,WS0004,COMMUTER,7923,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7276,0.2617,0.0107,0.0,6.76,0.889,25.2,1.151,0.519,MEDIUM,0.217,0.678,0.45,STREET,0.983,TEMPERATE_HUMID,2021-03-26,,SYNTHETIC,1.2.0,42,1.2.0,
UP000047,MC000047,C000034,WS0003,COURIER,5874,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7649,0.2251,0.01,0.0,5.21,0.7,44.2,1.175,0.567,LOW,0.159,0.9,0.37,COVERED_PARKING,1.069,MEDITERRANEAN_COASTAL,2025-11-25,2026-02-10,SYNTHETIC,1.2.0,42,1.2.0,
UP000048,MC000048,C000034,WS0003,SEASONAL,4485,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4707,0.4928,0.0171,0.0194,1.9,0.238,63.3,0.298,2.005,LOW,0.346,0.601,0.729,COVERED_PARKING,0.923,MEDITERRANEAN_COASTAL,2026-02-17,2026-08-25,SYNTHETIC,1.2.0,42,1.2.0,
UP000049,MC000049,C000035,WS0004,SEASONAL,27881,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9422,0.0527,0.0051,0.0,6.74,0.918,87.4,1.075,0.957,HIGH,0.123,0.703,0.228,GARAGE,1.01,TEMPERATE_HUMID,2023-05-07,,SYNTHETIC,1.2.0,42,1.2.0,
UP000050,MC000050,C000036,WS0005,COURIER,10374,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9497,0.0462,0.0041,0.0,5.46,0.75,55.2,1.128,0.935,MEDIUM,0.102,0.9,0.154,STREET,1.121,MEDITERRANEAN_HOT,2026-03-24,,SYNTHETIC,1.2.0,42,1.2.0,
UP000051,MC000051,C000036,WS0005,WEEKEND,3276,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4435,0.5231,0.0224,0.011,2.6,0.297,35.0,0.636,1.545,LOW,0.561,0.477,0.753,COVERED_PARKING,0.952,MEDITERRANEAN_HOT,2026-03-10,,SYNTHETIC,1.2.0,42,1.2.0,
UP000052,MC000052,C000037,WS0010,COMMUTER,9936,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4355,0.5353,0.0196,0.0096,2.64,0.305,88.9,0.625,1.599,MEDIUM,0.54,0.244,0.787,COVERED_PARKING,1.034,CONTINENTAL_COOL,2025-09-20,,SYNTHETIC,1.2.0,42,1.2.0,
UP000053,MC000053,C000038,WS0001,OFFROAD,2412,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7727,0.2168,0.0105,0.0,6.21,0.844,25.0,1.322,0.586,LOW,0.128,0.658,0.307,STREET,1.162,TEMPERATE_HUMID,2026-07-17,,SYNTHETIC,1.2.0,42,1.2.0,
UP000054,MC000054,C000039,WS0005,COMMUTER,15023,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7843,0.2063,0.0094,0.0,5.36,0.711,58.5,1.208,0.522,HIGH,0.195,0.856,0.395,STREET,0.929,MEDITERRANEAN_HOT,2021-11-29,,SYNTHETIC,1.2.0,42,1.2.0,
UP000055,MC000055,C000040,WS0006,COMMUTER,7325,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7784,0.2128,0.0088,0.0,5.31,0.689,29.0,1.32,0.516,LOW,0.255,0.582,0.396,STREET,1.044,CONTINENTAL_DRY,2021-03-31,,SYNTHETIC,1.2.0,42,1.2.0,
UP000056,MC000056,C000040,WS0006,COMMUTER,5902,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4627,0.4991,0.0208,0.0174,1.82,0.226,83.6,0.281,2.061,LOW,0.364,0.439,0.727,COVERED_PARKING,1.034,CONTINENTAL_DRY,2021-05-23,,SYNTHETIC,1.2.0,42,1.2.0,
UP000057,MC000057,C000041,WS0004,COMMUTER,9298,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4623,0.4979,0.0213,0.0185,3.56,0.45,54.1,0.292,2.268,MEDIUM,0.318,0.516,0.751,COVERED_PARKING,0.949,TEMPERATE_HUMID,2022-08-19,,SYNTHETIC,1.2.0,42,1.2.0,
UP000058,MC000058,C000042,WS0001,COMMUTER,11761,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7384,0.2508,0.0108,0.0,6.12,0.824,39.9,1.238,0.528,MEDIUM,0.154,0.677,0.304,STREET,1.021,TEMPERATE_HUMID,2021-02-07,,SYNTHETIC,1.2.0,42,1.2.0,
UP000059,MC000059,C000043,WS0009,COMMUTER,21731,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9329,0.0622,0.0049,0.0,6.09,0.811,83.7,1.145,0.874,HIGH,0.185,0.637,0.209,COVERED_PARKING,1.02,HUMID_RAINY,2025-01-09,,SYNTHETIC,1.2.0,42,1.2.0,
UP000060,MC000060,C000044,WS0001,WEEKEND,19476,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9497,0.0459,0.0044,0.0,6.7,0.915,60.5,1.046,0.884,HIGH,0.117,0.689,0.229,COVERED_PARKING,0.952,TEMPERATE_HUMID,2023-05-23,,SYNTHETIC,1.2.0,42,1.2.0,
UP000061,MC000061,C000045,WS0005,TOURING,10398,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.2366,0.7422,0.0212,0.0,2.61,0.344,82.8,0.744,1.458,MEDIUM,0.213,0.735,0.465,GARAGE,1.01,MEDITERRANEAN_HOT,2024-08-29,,SYNTHETIC,1.2.0,42,1.2.0,
UP000062,MC000062,C000045,WS0005,COURIER,20565,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9406,0.0548,0.0046,0.0,6.72,0.925,65.4,1.121,0.829,HIGH,0.096,0.933,0.125,STREET,1.044,MEDITERRANEAN_HOT,2024-09-19,,SYNTHETIC,1.2.0,42,1.2.0,
UP000063,MC000063,C000046,WS0004,COMMUTER,12241,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7847,0.2049,0.0104,0.0,3.53,0.473,77.0,1.281,0.589,MEDIUM,0.167,0.7,0.429,GARAGE,1.064,TEMPERATE_HUMID,2024-06-25,,SYNTHETIC,1.2.0,42,1.2.0,
UP000064,MC000064,C000046,WS0004,WEEKEND,15448,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.782,0.2075,0.0105,0.0,4.25,0.567,75.4,1.257,0.537,HIGH,0.181,0.749,0.451,GARAGE,0.909,TEMPERATE_HUMID,2024-09-21,,SYNTHETIC,1.2.0,42,1.2.0,
UP000065,MC000065,C000047,WS0005,WEEKEND,8087,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.5067,0.4502,0.0218,0.0213,1.66,0.208,115.9,0.315,2.316,MEDIUM,0.345,0.633,0.72,STREET,0.953,MEDITERRANEAN_HOT,2021-08-15,,SYNTHETIC,1.2.0,42,1.2.0,
UP000066,MC000066,C000047,WS0005,COMMUTER,6762,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4561,0.5077,0.0188,0.0174,1.97,0.255,95.7,0.287,2.14,LOW,0.262,0.7,0.71,STREET,0.978,MEDITERRANEAN_HOT,2021-10-14,,SYNTHETIC,1.2.0,42,1.2.0,
UP000067,MC000067,C000048,WS0010,COMMUTER,22715,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9387,0.0563,0.005,0.0,5.34,0.721,96.1,1.183,0.938,HIGH,0.148,0.478,0.138,COVERED_PARKING,0.942,CONTINENTAL_COOL,2024-12-17,,SYNTHETIC,1.2.0,42,1.2.0,
UP000068,MC000068,C000049,WS0009,COURIER,23793,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9386,0.057,0.0044,0.0,4.88,0.644,105.5,1.152,0.883,HIGH,0.21,0.611,0.189,COVERED_PARKING,1.121,HUMID_RAINY,2022-05-06,,SYNTHETIC,1.2.0,42,1.2.0,
UP000069,MC000069,C000049,WS0009,TOURING,12963,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4874,0.4801,0.0232,0.0093,2.84,0.323,113.6,0.641,1.521,MEDIUM,0.576,0.312,0.717,STREET,0.989,HUMID_RAINY,2022-06-16,,SYNTHETIC,1.2.0,42,1.2.0,
UP000070,MC000070,C000049,WS0009,COURIER,3212,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.5052,0.4547,0.0199,0.0202,1.94,0.242,39.6,0.287,2.172,LOW,0.354,0.452,0.714,STREET,1.133,HUMID_RAINY,2022-05-15,,SYNTHETIC,1.2.0,42,1.2.0,
UP000071,MC000071,C000050,WS0004,WEEKEND,24838,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9413,0.0539,0.0048,0.0,6.34,0.855,97.1,1.071,0.963,HIGH,0.152,0.696,0.26,STREET,1.012,TEMPERATE_HUMID,2025-08-29,,SYNTHETIC,1.2.0,42,1.2.0,
UP000072,MC000072,C000050,WS0004,WEEKEND,12027,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7616,0.228,0.0104,0.0,5.35,0.725,54.4,1.301,0.56,MEDIUM,0.139,0.711,0.395,COVERED_PARKING,0.976,TEMPERATE_HUMID,2025-10-26,,SYNTHETIC,1.2.0,42,1.2.0,
UP000073,MC000073,C000051,WS0009,COMMUTER,11437,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7355,0.2531,0.0114,0.0,4.69,0.61,54.7,1.169,0.513,MEDIUM,0.246,0.637,0.418,GARAGE,1.067,HUMID_RAINY,2023-05-30,,SYNTHETIC,1.2.0,42,1.2.0,
UP000074,MC000074,C000051,WS0009,COMMUTER,28578,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9344,0.06,0.0056,0.0,6.34,0.855,95.4,1.073,0.896,HIGH,0.151,0.675,0.271,GARAGE,1.052,HUMID_RAINY,2023-07-10,,SYNTHETIC,1.2.0,42,1.2.0,
UP000075,MC000075,C000052,WS0010,SEASONAL,4770,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.1688,0.15,0.0099,0.6713,0.47,0.059,570.5,0.265,2.39,LOW,0.357,0.329,0.759,GARAGE,0.973,CONTINENTAL_COOL,2023-04-08,2026-06-01,SYNTHETIC,1.2.0,42,1.2.0,
UP000076,MC000076,C000053,WS0004,WEEKEND,10343,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.2802,0.701,0.0188,0.0,5.32,0.685,40.4,0.686,1.453,MEDIUM,0.273,0.596,0.584,GARAGE,0.932,TEMPERATE_HUMID,2022-07-13,,SYNTHETIC,1.2.0,42,1.2.0,
