service_id,workshop_id,customer_id,motorcycle_id,appointment_id,service_type_code,primary_trigger_task,trigger_due_km,trigger_due_date,service_delay_days,arrival_mode,received_at,odometer_km,mileage_source,mileage_quality_flag,is_mileage_estimated,status,estimated_delivery_at,completed_at,delivered_at,customer_complaint,technician_notes,labor_minutes_pre_task,labor_total,parts_total,discount_total,tax_total,grand_total,is_breakdown,is_warranty,capture_origin,data_origin,generator_version,random_seed,scenario_id,maintenance_overdue_days_pre_service,maintenance_overdue_km_pre_service,overdue_maintenance_days_at_failure,overdue_maintenance_km_at_failure,previous_failure_count,failure_hazard_score,primary_fault_component,failure_severity
SVC000011,WS0008,C000003,MC000003,,PERIODIC,ENGINE_OIL_CHANGE,40726.0,2025-07-01 11:40:33.374331836,0.0,WALK_IN,2024-12-08 10:00:59,39710,MANUAL,VALID,0,DELIVERED,2024-12-08 10:00:59,2024-12-08 12:56:59,2024-12-10 06:54:59,Kilometre bakımı için servise getirildi.,,75,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0455786,,
SVC000012,WS0008,C000003,MC000003,,PERIODIC,GENERAL_SAFETY_INSPECTION,42710.0,2025-12-08 16:00:59.394948206,0.0,WALK_IN,2025-05-19 21:39:20,41247,MANUAL,VALID,0,DELIVERED,2025-05-19 21:39:20,2025-05-19 21:39:20,2025-05-22 00:37:20,Yolda arıza sonrası servise getirildi.,,110,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0452256,,
SVC000013,WS0008,C000003,MC000003,,PERIODIC,ENGINE_OIL_CHANGE,44247.0,2026-05-20 03:39:20.109481724,0.0,WALK_IN,2025-10-28 22:56:11,44138,MANUAL,VALID,0,DELIVERED,2025-10-28 22:56:11,2025-10-28 22:56:11,2025-10-29 02:01:11,Periyodik bakım zamanı geldi.,,100,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0481669,,
SVC000014,WS0007,C000005,MC000005,,PERIODIC,ENGINE_OIL_CHANGE,,,0.0,WALK_IN,2022-04-19 10:07:00,14056,MANUAL,VALID,0,DELIVERED,2022-04-19 10:07:00,2022-04-19 10:46:00,2022-04-20 17:20:00,Genel bakım ve kontroller talep edildi.,,117,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0206972,,
SVC000015,WS0007,C000005,MC000005,APT000007,PERIODIC,ENGINE_OIL_CHANGE,17056.0,2023-04-19 16:07:00.000000000,0.0,APPOINTMENT,2022-12-21 09:23:44,16228,MANUAL,VALID,0,DELIVERED,2022-12-21 09:23:44,2022-12-21 09:23:44,2022-12-21 09:23:44,Periyodik bakım zamanı geldi.,,63,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0244252,,
SVC000016,WS0007,C000005,MC000005,APT000008,PERIODIC,ENGINE_OIL_CHANGE,19228.0,2023-12-21 15:23:43.536983508,0.0,APPOINTMENT,2023-08-07 05:06:31,17976,MANUAL,VALID,0,DELIVERED,2023-08-07 05:06:31,2023-08-07 05:06:31,2023-08-07 05:06:31,Kilometre bakımı için servise getirildi.,,119,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0272393,,
SVC000017,WS0007,C000005,MC000005,APT000009,PERIODIC,ENGINE_OIL_CHANGE,20976.0,2024-08-06 11:06:30.724303612,0.0,APPOINTMENT,2024-01-26 20:45:58,18991,MANUAL,VALID,0,DELIVERED,2024-01-26 20:45:58,2024-01-26 20:45:58,2024-01-26 21:39:58,Periyodik bakım zamanı geldi.,,129,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0263021,,
SVC000018,WS0007,C000005,MC000005,APT000010,PERIODIC,ENGINE_OIL_CHANGE,21991.0,2025-01-26 02:45:58.416830306,0.0,APPOINTMENT,2024-12-27 16:15:43,21594,MANUAL,VALID,0,DELIVERED,2024-12-27 16:15:43,2024-12-27 16:36:43,2024-12-27 16:36:43,Periyodik bakım zamanı geldi.,,125,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0260415,,
SVC000019,WS0007,C000005,MC000005,,PERIODIC,ENGINE_OIL_CHANGE,24594.0,2025-12-27 22:15:42.873886306,0.0,WALK_IN,2025-09-07 10:19:00,23862,MANUAL,VALID,0,DELIVERED,2025-09-07 10:19:00,2025-09-07 12:54:00,2025-09-07 15:59:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,127,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0296868,,
SVC000020,WS0007,C000005,MC000005,APT000011,PERIODIC,ENGINE_OIL_CHANGE,26862.0,2026-09-07 16:19:00.135341562,0.0,APPOINTMENT,2026-04-25 13:18:20,25219,MANUAL,VALID,0,DELIVERED,2026-04-25 13:18:20,2026-04-25 13:18:20,2026-04-25 13:18:20,Periyodik bakım zamanı geldi.,,154,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0329049,,
SVC000021,WS0007,C000005,MC000006,APT000012,PERIODIC,ENGINE_OIL_CHANGE,,,0.0,APPOINTMENT,2024-05-30 14:47:00,15267,MANUAL,VALID,0,DELIVERED,2024-05-30 14:47:00,2024-05-30 15:42:00,2024-05-30 17:01:00,Periyodik bakım zamanı geldi.,,104,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0305108,,
SVC000022,WS0007,C000005,MC000006,,PERIODIC,ENGINE_OIL_CHANGE,20267.0,2025-05-30 20:47:00.000000000,0.0,WALK_IN,2025-01-05 01:44:42,19806,MANUAL,VALID,0,DELIVERED,2025-01-05 01:44:42,2025-01-05 01:44:42,2025-01-05 01:44:42,Periyodik bakım zamanı geldi.,,78,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0302065,,
SVC000023,WS0007,C000005,MC000006,,PERIODIC,ENGINE_OIL_CHANGE,24806.0,2026-01-05 07:44:42.491940980,0.0,WALK_IN,2025-07-20 20:52:38,24025,MANUAL,VALID,0,DELIVERED,2025-07-20 20:52:38,2025-07-20 20:52:38,2025-07-20 20:52:38,Genel bakım ve kontroller talep edildi.,,62,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.038082,,
SVC000024,WS0007,C000005,MC000007,,PERIODIC,GENERAL_SAFETY_INSPECTION,,,0.0,WALK_IN,2023-01-12 17:26:00,30496,MANUAL,VALID,0,DELIVERED,2023-01-13 17:26:00,2023-01-13 14:45:00,2023-01-13 18:08:00,Yolda arıza sonrası servise getirildi.,,314,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0317467,,
SVC000025,WS0007,C000005,MC000007,APT000013,PERIODIC,ENGINE_OIL_CHANGE,35496.0,2024-01-12 23:26:00.000000000,0.0,APPOINTMENT,2023-07-17 07:51:42,36298,MANUAL,VALID,0,DELIVERED,2023-07-17 07:51:42,2023-07-17 11:04:42,2023-07-18 13:47:42,Genel bakım ve kontroller talep edildi.,,106,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0295729,,
SVC000026,WS0007,C000005,MC000007,,PERIODIC,ENGINE_OIL_CHANGE,41298.0,2024-07-16 13:51:42.302576444,0.0,WALK_IN,2023-12-07 11:31:22,40132,MANUAL,VALID,0,DELIVERED,2023-12-07 11:31:22,2023-12-07 11:31:22,2023-12-07 11:31:22,Periyodik bakım zamanı geldi.,,82,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,802.0,,,0,0.0379947,,
SVC000027,WS0007,C000005,MC000007,,PERIODIC,ENGINE_OIL_CHANGE,45132.0,2024-12-06 17:31:21.903571142,0.0,WALK_IN,2024-06-19 02:51:29,45010,MANUAL,VALID,0,DELIVERED,2024-06-19 02:51:29,2024-06-19 02:51:29,2024-06-19 08:15:29,Periyodik bakım zamanı geldi.,,75,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.036525,,
SVC000028,WS0007,C000005,MC000007,APT000014,PERIODIC,ENGINE_OIL_CHANGE,50010.0,2025-06-19 08:51:28.882623808,0.0,APPOINTMENT,2024-11-05 00:03:35,48222,MANUAL,VALID,0,DELIVERED,2024-11-05 00:03:35,2024-11-05 06:03:35,2024-11-05 06:03:35,Kilometre bakımı için servise getirildi.,,67,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0499743,,
SVC000029,WS0007,C000005,MC000007,APT000015,PERIODIC,ENGINE_OIL_CHANGE,53222.0,2025-11-05 06:03:35.077798972,0.0,APPOINTMENT,2025-03-13 02:47:50,50460,MANUAL,VALID,0,DELIVERED,2025-03-13 02:47:50,2025-03-13 10:08:50,2025-03-13 10:14:50,Genel bakım ve kontroller talep edildi.,,35,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0451178,,
SVC000030,WS0007,C000005,MC000007,,PERIODIC,ENGINE_OIL_CHANGE,55460.0,2026-03-13 08:47:50.039522146,0.0,WALK_IN,2025-11-02 09:14:25,55861,MANUAL,VALID,0,DELIVERED,2025-11-02 09:14:25,2025-11-02 09:14:25,2025-11-02 10:15:25,Periyodik bakım zamanı geldi.,,76,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0458199,,
SVC000031,WS0007,C000005,MC000008,APT000016,PERIODIC,ENGINE_OIL_CHANGE,,,0.0,APPOINTMENT,2022-05-16 15:20:00,56340,MANUAL,VALID,0,DELIVERED,2022-05-16 15:20:00,2022-05-16 15:20:00,2022-05-17 16:13:00,Genel bakım ve kontroller talep edildi.,,135,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0398481,,
SVC000032,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,59340.0,2023-05-16 21:20:00.000000000,0.0,WALK_IN,2022-06-25 04:45:08,58811,MANUAL,VALID,0,DELIVERED,2022-06-25 04:45:08,2022-06-25 04:45:08,2022-06-25 04:45:08,Periyodik bakım zamanı geldi.,,125,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0383034,,
SVC000033,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,61811.0,2023-06-25 10:45:08.264874879,0.0,WALK_IN,2022-08-02 00:59:13,61127,MANUAL,VALID,0,DELIVERED,2022-08-02 00:59:13,2022-08-02 01:19:13,2022-08-02 05:21:13,Periyodik bakım zamanı geldi.,,54,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0413556,,
SVC000034,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,64127.0,2023-08-02 06:59:13.306205817,0.0,WALK_IN,2022-09-15 16:16:52,63857,CUSTOMER_REPORTED,VALID,0,DELIVERED,2022-09-15 16:16:52,2022-09-15 16:16:52,2022-09-15 16:54:52,Periyodik bakım zamanı geldi.,,55,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0397049,,
SVC000035,WS0007,C000005,MC000008,APT000017,PERIODIC,ENGINE_OIL_CHANGE,66857.0,2023-09-15 22:16:52.347259507,0.0,APPOINTMENT,2022-11-06 15:17:46,66523,CUSTOMER_REPORTED,VALID,0,DELIVERED,2022-11-06 15:17:46,2022-11-06 19:04:46,2022-11-07 16:40:46,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,124,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0410934,,
SVC000036,WS0007,C000005,MC000008,APT000018,PERIODIC,ENGINE_OIL_CHANGE,69523.0,2023-11-06 21:17:46.478082397,0.0,APPOINTMENT,2022-12-13 21:53:04,68132,MANUAL,VALID,0,DELIVERED,2022-12-13 21:53:04,2022-12-13 21:53:04,2022-12-13 21:53:04,Periyodik bakım zamanı geldi.,,91,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0393367,,
SVC000037,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,71132.0,2023-12-14 03:53:03.545311350,0.0,WALK_IN,2023-01-28 11:08:21,69785,CUSTOMER_REPORTED,VALID,0,DELIVERED,2023-01-28 11:08:21,2023-01-28 14:49:21,2023-01-30 10:56:21,Periyodik bakım zamanı geldi.,,55,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0431552,,
SVC000038,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,72785.0,2024-01-28 17:08:20.853914335,0.0,WALK_IN,2023-03-22 13:12:10,72521,MANUAL,VALID,0,DELIVERED,2023-03-22 13:12:10,2023-03-22 13:18:10,2023-03-22 13:18:10,Genel bakım ve kontroller talep edildi.,,151,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0474823,,
SVC000039,WS0007,C000005,MC000008,APT000019,PERIODIC,ENGINE_OIL_CHANGE,75521.0,2024-03-21 19:12:10.047725878,0.0,APPOINTMENT,2023-05-03 11:21:09,75310,MANUAL,VALID,0,DELIVERED,2023-05-05 11:21:09,2023-05-05 10:08:09,2023-05-05 15:12:09,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,104,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0479875,,
SVC000040,WS0007,C000005,MC000008,APT000020,PERIODIC,ENGINE_OIL_CHANGE,78310.0,2024-05-02 17:21:08.855819643,0.0,APPOINTMENT,2023-06-14 17:27:42,77929,MANUAL,VALID,0,DELIVERED,2023-06-14 17:27:42,2023-06-14 21:20:42,2023-06-15 14:58:42,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,125,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.048489,,
SVC000041,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,80929.0,2024-06-13 23:27:41.575505676,0.0,WALK_IN,2023-07-19 02:11:54,80864,MANUAL,VALID,0,DELIVERED,2023-07-19 02:11:54,2023-07-19 06:21:54,2023-07-19 06:21:54,Kilometre bakımı için servise getirildi.,,150,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0519392,,
SVC000042,WS0007,C000005,MC000008,APT000021,PERIODIC,ENGINE_OIL_CHANGE,83864.0,2024-07-18 08:11:53.801839762,0.0,APPOINTMENT,2023-08-18 01:17:46,83531,MANUAL,VALID,0,DELIVERED,2023-08-18 01:17:46,2023-08-18 05:24:46,2023-08-18 05:24:46,Genel bakım ve kontroller talep edildi.,,139,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0573146,,
SVC000043,WS0007,C000005,MC000008,APT000022,PERIODIC,ENGINE_OIL_CHANGE,86531.0,2024-08-17 07:17:45.615705747,0.0,APPOINTMENT,2023-09-18 07:12:23,86080,MANUAL,VALID,0,DELIVERED,2023-09-18 07:12:23,2023-09-18 07:49:23,2023-09-18 07:49:23,Kilometre bakımı için servise getirildi.,,99,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.051214,,
SVC000044,WS0007,C000005,MC000008,APT000023,PERIODIC,ENGINE_OIL_CHANGE,89080.0,2024-09-17 13:12:22.819358169,0.0,APPOINTMENT,2023-10-18 05:57:28,88225,MANUAL,VALID,0,DELIVERED,2023-10-18 05:57:28,2023-10-18 09:33:28,2023-10-18 09:33:28,Kilometre bakımı için servise getirildi.,,124,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0535291,,
SVC000045,WS0007,C000005,MC000008,APT000024,PERIODIC,ENGINE_OIL_CHANGE,91225.0,2024-10-17 11:57:28.112971393,0.0,APPOINTMENT,2023-11-16 06:44:37,90198,MANUAL,VALID,0,DELIVERED,2023-11-17 06:44:37,2023-11-17 12:57:37,2023-11-17 12:57:37,Periyodik bakım zamanı geldi.,,195,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0528601,,
SVC000046,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,93198.0,2024-11-15 12:44:37.225454633,0.0,WALK_IN,2023-12-21 05:55:01,92105,MANUAL,VALID,0,DELIVERED,2023-12-21 05:55:01,2023-12-21 05:55:01,2023-12-21 05:55:01,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,113,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0532218,,
SVC000047,WS0007,C000005,MC000008,APT000025,PERIODIC,ENGINE_OIL_CHANGE,95105.0,2024-12-20 11:55:01.265072177,0.0,APPOINTMENT,2024-01-26 05:39:33,93385,MANUAL,VALID,0,DELIVERED,2024-01-26 05:39:33,2024-01-26 05:39:33,2024-01-26 05:39:33,Genel bakım ve kontroller talep edildi.,,104,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0578064,,
SVC000048,WS0007,C000005,MC000008,,PERIODIC,GENERAL_SAFETY_INSPECTION,96385.0,2025-01-25 11:39:33.419568234,0.0,WALK_IN,2024-03-08 01:18:17,95512,MANUAL,VALID,0,DELIVERED,2024-03-08 01:18:17,2024-03-08 02:34:17,2024-03-08 02:34:17,Mekanik sorun şüphesiyle genel kontrol istendi.,,114,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0584865,,
SVC000049,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,98512.0,2025-03-08 07:18:17.163482556,0.0,WALK_IN,2024-04-23 22:36:40,97667,CUSTOMER_REPORTED,VALID,0,DELIVERED,2024-04-25 22:36:40,2024-04-25 20:16:40,2024-04-25 21:41:40,Genel bakım ve kontroller talep edildi.,,77,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0525652,,
SVC000050,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,100667.0,2025-04-24 04:36:40.237115553,0.0,WALK_IN,2024-06-04 21:24:04,99992,MANUAL,VALID,0,DELIVERED,2024-06-04 21:24:04,2024-06-04 22:17:04,2024-06-04 22:57:04,Periyodik bakım zamanı geldi.,,109,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0616783,,
SVC000051,WS0007,C000005,MC000008,APT000026,PERIODIC,ENGINE_OIL_CHANGE,102992.0,2025-06-05 03:24:03.647629911,0.0,APPOINTMENT,2024-07-16 19:44:11,102059,MANUAL,VALID,0,DELIVERED,2024-07-16 19:44:11,2024-07-16 20:32:11,2024-07-16 20:32:11,Kilometre bakımı için servise getirildi.,,125,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0625826,,
