motorcycle_id,customer_id,workshop_id,model_id,brand,model_name,category,powertrain_type,production_year,production_year_basis,first_registration_date,ownership_start_date,initial_mileage_km,initial_mileage_basis,observation_start_date,observation_end_date,vin_synthetic,plate_synthetic,is_active,data_origin,generator_version,random_seed,model_assignment_basis,notes,brand_risk_residual,model_risk_residual,chronic_risk_tier,warranty_months,warranty_km_limit
MC000026,C000017,WS0001,MONDIAL_50_UAG,Mondial,50 UAG,CUB,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-06-27,2020-08-06,37500,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2023-04-26,,RBSYN96562B5918F9,SYN-34-000026,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.05773,NORMAL,24,40000
MC000027,C000018,WS0005,HONDA_PCX125,Honda,PCX125,SCOOTER,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-09-14,2021-08-11,22810,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-01-20,,RBSYN6F55A64E8864,SYN-07-000027,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.02866,NORMAL,24,30000
MC000028,C000019,WS0005,MONDIAL_50_UAG,Mondial,50 UAG,CUB,ICE,2023,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2023-04-08,2024-09-25,19110,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-12-27,,RBSYNDDF030154C5F,SYN-07-000028,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.05773,NORMAL,24,40000
MC000029,C000019,WS0005,HONDA_SH125I,Honda,SH125i,SCOOTER,ICE,2025,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2025-02-05,2025-02-25,409,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-03-09,,RBSYN9A48196974E0,SYN-07-000029,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,0.96394,NORMAL,30,50000
MC000030,C000020,WS0005,RKS_NEW_LIGHT_PRO,RKS,New Light Pro,CUB,ICE,2025,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2025-03-15,2025-08-22,4630,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-11-19,,RBSYN732EBCC8BB70,SYN-07-000030,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.99105,0.96609,NORMAL,36,40000
MC000031,C000020,WS0005,HONDA_PCX125,Honda,PCX125,SCOOTER,ICE,2026,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2026-01-13,2026-01-27,1246,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2026-02-19,,RBSYN03F8736C9D6C,SYN-07-000031,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.02866,NORMAL,24,30000
MC000032,C000021,WS0009,KUBA_CG50_PRO,Kuba,CG50 Pro,CUB,ICE,2023,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2023-03-13,2023-03-13,469,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2023-04-15,,RBSYN4AF9668C4976,SYN-55-000032,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.98564,0.95003,NORMAL,24,50000
MC000033,C000022,WS0003,MONDIAL_SFC_MINI_50EC,Mondial,SFC MINI 50ec,CUB,ICE,2023,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2023-09-16,2024-03-23,25270,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2026-07-04,,RBSYN60013EDFB886,SYN-35-000033,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.03632,NORMAL,36,30000
MC000034,C000022,WS0003,KUBA_BLUEBERRY50,Kuba,Blueberry 50,SCOOTER,ICE,2025,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2025-01-17,2025-11-04,17440,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2026-08-01,,RBSYNC92DBA3C5366,SYN-35-000034,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.98564,1.04181,NORMAL,24,40000
MC000035,C000023,WS0003,HONDA_ACTIVA125,Honda,Activa 125,SCOOTER,ICE,2021,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2021-06-23,2021-06-24,967,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2021-07-17,,RBSYNEC2C4B01C57D,SYN-35-000035,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.0482,LOW,36,30000
MC000036,C000023,WS0003,RKS_NEW_LIGHT_PRO,RKS,New Light Pro,CUB,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-10-17,2021-03-16,11130,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2021-07-17,,RBSYNC85ACA443B24,SYN-35-000036,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.99105,0.96609,NORMAL,36,40000
MC000037,C000024,WS0004,CFMOTO_450NK,CFMOTO,450NK,NAKED,ICE,2021,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2021-07-28,2024-02-24,17530,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-06-03,,RBSYNAF3D4C52582C,SYN-16-000037,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.98988,1.00016,NORMAL,36,50000
MC000038,C000025,WS0003,TVS_JUPITER125,TVS,Jupiter 125,SCOOTER,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-11-25,2021-01-23,3110,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2021-07-17,,RBSYN0256AA8D316C,SYN-35-000038,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00152,1.00334,NORMAL,36,40000
MC000039,C000026,WS0005,KUBA_BLUEBERRY50,Kuba,Blueberry 50,SCOOTER,ICE,2025,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2025-05-16,2025-09-01,3400,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-10-24,,RBSYNFDDB1F5DCFA6,SYN-07-000039,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.98564,1.04181,NORMAL,24,40000
MC000040,C000027,WS0001,TVS_JUPITER125,TVS,Jupiter 125,SCOOTER,ICE,2021,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2021-08-12,2022-01-22,2770,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-01-24,,RBSYNA3444157BF0A,SYN-34-000040,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00152,1.00334,NORMAL,36,40000
MC000041,C000028,WS0009,MONDIAL_SFC_MINI_50EC,Mondial,SFC MINI 50ec,CUB,ICE,2022,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2022-06-07,2022-06-27,1060,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-07-03,,RBSYN1FDB2D5A0233,SYN-55-000041,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.03632,NORMAL,36,30000
MC000042,C000029,WS0009,HONDA_ACTIVA125,Honda,Activa 125,SCOOTER,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-09-06,2021-12-04,4850,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-06-01,,RBSYN22E42DA5ECEF,SYN-55-000042,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.0482,NORMAL,36,30000
MC000043,C000030,WS0008,HONDA_PCX125,Honda,PCX125,SCOOTER,ICE,2024,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2024-06-15,2024-08-19,2580,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-12-11,,RBSYNA7A7B677D65B,SYN-27-000043,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.02866,NORMAL,24,30000
MC000044,C000031,WS0007,KUBA_CG50_PRO,Kuba,CG50 Pro,CUB,ICE,2022,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2022-07-16,2023-01-20,6200,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2023-07-27,,RBSYN9D647862BF2E,SYN-01-000044,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.98564,0.95003,NORMAL,24,50000
MC000045,C000032,WS0001,KYMCO_DOWNTOWN250I,KYMCO,Downtown 250i,BIG_SCOOTER,ICE,2022,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2022-03-02,2022-05-10,1324,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-05-22,,RBSYN8EA700BF9A1D,SYN-34-000045,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.01097,1.02862,LOW,30,40000
MC000046,C000033,WS0004,HONDA_ACTIVA125,Honda,Activa 125,SCOOTER,ICE,2015,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2015-08-24,2017-04-22,48410,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2021-03-26,,RBSYN56F3621C65EC,SYN-16-000046,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.0482,NORMAL,36,30000
MC000047,C000034,WS0003,HONDA_ACTIVA125,Honda,Activa 125,SCOOTER,ICE,2019,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2019-09-16,2025-07-15,49070,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-11-25,2026-02-10,RBSYNB5F35BC19BAF,SYN-35-000047,0,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.0482,LOW,36,30000
MC000048,C000034,WS0003,BAJAJ_NS125,Bajaj,Pulsar NS125,NAKED,ICE,2025,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2025-07-26,2025-11-04,2090,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2026-02-17,2026-08-25,RBSYN87230247D54C,SYN-35-000048,0,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.99955,1.02396,LOW,24,30000
MC000049,C000035,WS0004,YAMAHA_NMAX125,Yamaha,NMAX 125,SCOOTER,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-07-31,2022-12-21,19370,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2023-05-07,,RBSYN3B03C5821EF5,SYN-16-000049,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00172,0.98342,NORMAL,30,30000
MC000050,C000036,WS0005,MONDIAL_SFC_MINI_50EC,Mondial,SFC MINI 50ec,CUB,ICE,2024,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2024-07-29,2025-11-11,9980,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2026-03-24,,RBSYNA5102653225E,SYN-07-000050,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.03632,ELEVATED,36,30000
MC000051,C000036,WS0005,KTM_390_DUKE,KTM,390 Duke,NAKED,ICE,2025,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2025-04-28,2025-07-12,3660,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2026-03-10,,RBSYN7CB86E7AE01B,SYN-07-000051,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00712,0.97659,LOW,36,40000
MC000052,C000037,WS0010,KYMCO_DOWNTOWN250I,KYMCO,Downtown 250i,BIG_SCOOTER,ICE,2022,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2022-02-03,2022-11-30,49740,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-09-20,,RBSYNCBF6F67C5513,SYN-26-000052,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.01097,1.02862,NORMAL,30,40000
MC000053,C000038,WS0001,TVS_JUPITER125,TVS,Jupiter 125,SCOOTER,ICE,2019,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2019-09-27,2025-07-27,58600,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2026-07-17,,RBSYN849E94C2394A,SYN-34-000053,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00152,1.00334,LOW,36,40000
MC000054,C000039,WS0005,TVS_JUPITER125,TVS,Jupiter 125,SCOOTER,ICE,2021,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2021-11-18,2021-11-26,140,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2021-11-29,,RBSYN58D6360465F6,SYN-07-000054,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00152,1.00334,NORMAL,36,40000
MC000055,C000040,WS0006,MONDIAL_50_UAG,Mondial,50 UAG,CUB,ICE,2019,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2019-06-15,2020-10-01,9140,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2021-03-31,,RBSYN4A978EB79885,SYN-42-000055,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.05773,NORMAL,24,40000
