number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_loss,params_max_bins,params_max_depth,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,user_attrs_fold_maes,user_attrs_mae_std,state
25,683.2166391022341,2026-08-28 21:15:14.407688,2026-08-28 21:16:14.135681,0 days 00:00:59.727993,0.005600733978986289,0.04177381443800286,absolute_error,255,,590,66,69,"[733.013, 665.379, 651.259]",35.67980190099628,COMPLETE
26,683.4619000168074,2026-08-28 21:16:14.135846,2026-08-28 21:17:51.704157,0 days 00:01:37.568311,0.0005363885124748765,0.031175081831151984,absolute_error,127,,647,117,72,"[736.412, 663.937, 650.037]",37.868953089114015,COMPLETE
27,683.27131645423,2026-08-28 21:17:51.704218,2026-08-28 21:18:57.038489,0 days 00:01:05.334271,0.009860960021056039,0.021741820423498388,absolute_error,255,,588,65,55,"[735.799, 662.589, 651.426]",37.4208831113101,COMPLETE
28,701.8261856987432,2026-08-28 21:18:57.038539,2026-08-28 21:19:28.669527,0 days 00:00:31.630988,0.009473526621584733,0.0165521591078469,absolute_error,255,,596,43,52,,,PRUNED
29,683.7327582390764,2026-08-28 21:19:28.669616,2026-08-28 21:20:24.055881,0 days 00:00:55.386265,0.07467090982368155,0.021363196314674787,absolute_error,127,,588,60,46,"[732.836, 665.992, 652.37]",35.16415934267504,COMPLETE
30,716.8620987176596,2026-08-28 21:20:24.055920,2026-08-28 21:20:41.389791,0 days 00:00:17.333871,0.000845252378113222,0.012583235557825112,absolute_error,191,,554,19,37,,,PRUNED
31,682.3036347616811,2026-08-28 21:20:41.389849,2026-08-28 21:21:43.191367,0 days 00:01:01.801518,0.003511850495164631,0.0354129355640451,absolute_error,255,,618,65,59,"[732.388, 662.732, 651.791]",35.69578258527871,COMPLETE
32,682.3123407094259,2026-08-28 21:21:43.191404,2026-08-28 21:22:47.625798,0 days 00:01:04.434394,0.0034082995554860543,0.03705145341583353,absolute_error,255,,627,65,67,"[731.982, 665.224, 649.73]",35.68706069337596,COMPLETE
33,683.3550614701913,2026-08-28 21:22:47.625911,2026-08-28 21:23:55.861508,0 days 00:01:08.235597,0.002620289508334215,0.03602474020163203,absolute_error,255,,649,63,55,"[732.848, 664.654, 652.562]",35.343578310400126,COMPLETE
34,701.9394263352401,2026-08-28 21:23:55.861568,2026-08-28 21:24:24.940035,0 days 00:00:29.078467,0.0003793442415072299,0.02024159254451826,squared_error,255,,615,40,69,,,PRUNED
35,700.4230054875782,2026-08-28 21:24:24.940070,2026-08-28 21:24:52.006237,0 days 00:00:27.066167,0.0038692159396194604,0.02723624002744547,absolute_error,255,,629,34,62,,,PRUNED
36,701.085418907905,2026-08-28 21:24:52.006269,2026-08-28 21:25:32.313894,0 days 00:00:40.307625,0.013767546410989526,0.03236475218565043,squared_error,255,,585,68,48,,,PRUNED
37,708.5391564817469,2026-08-28 21:25:32.313987,2026-08-28 21:25:55.105133,0 days 00:00:22.791146,0.0015733623034162373,0.016986259667749297,absolute_error,255,6.0,620,86,21,,,PRUNED
38,702.1571386848422,2026-08-28 21:25:55.105191,2026-08-28 21:26:24.413852,0 days 00:00:29.308661,0.016996534830840914,0.024286739075612934,squared_error,255,,537,51,76,,,PRUNED
39,704.0047823031953,2026-08-28 21:26:24.413877,2026-08-28 21:26:40.837255,0 days 00:00:16.423378,0.00033067844578344737,0.0872373976581276,absolute_error,191,,618,19,52,,,PRUNED
40,712.9918022708632,2026-08-28 21:26:40.837305,2026-08-28 21:26:51.010227,0 days 00:00:10.172922,4.414975495336322e-05,0.037644159554035835,absolute_error,255,4.0,568,32,57,,,PRUNED
41,702.2740579583553,2026-08-28 21:26:51.010259,2026-08-28 21:27:16.418597,0 days 00:00:25.408338,0.029029739605342778,0.062078348395855305,absolute_error,127,,264,104,68,,,PRUNED
42,702.5897692158259,2026-08-28 21:27:16.418729,2026-08-28 21:27:28.805072,0 days 00:00:12.386343,0.005789471342347237,0.042124303074643606,absolute_error,127,12.0,197,67,76,,,PRUNED
43,704.7328968386341,2026-08-28 21:27:28.805099,2026-08-28 21:27:44.207218,0 days 00:00:15.402119,0.001787008806764137,0.03370178858107214,absolute_error,191,6.0,529,82,65,,,PRUNED
44,680.9392333964771,2026-08-28 21:27:44.207262,2026-08-28 21:28:30.018988,0 days 00:00:45.811726,0.03536655762650408,0.02760240667363435,absolute_error,127,,650,56,71,"[732.542, 661.388, 648.888]",36.84348119058421,COMPLETE
45,700.3073773912358,2026-08-28 21:28:30.019051,2026-08-28 21:29:01.711177,0 days 00:00:31.692126,0.025951578188691583,0.013943116780134221,squared_error,255,,638,74,63,,,PRUNED
46,682.2571392817293,2026-08-28 21:29:01.711205,2026-08-28 21:29:37.341797,0 days 00:00:35.630592,0.30029969001792217,0.027793199841407476,absolute_error,127,,604,56,69,"[733.222, 663.914, 649.636]",36.50576666370572,COMPLETE
47,682.2499051192082,2026-08-28 21:29:37.341838,2026-08-28 21:30:11.336189,0 days 00:00:33.994351,0.15368773888682608,0.026616611603490766,absolute_error,127,,610,53,70,"[733.607, 664.107, 649.036]",36.83256586896838,COMPLETE
48,699.9555784429415,2026-08-28 21:30:11.336297,2026-08-28 21:30:33.047265,0 days 00:00:21.710968,0.3393911619225877,0.027881719108440423,absolute_error,127,12.0,613,56,79,,,PRUNED
49,725.1487355751642,2026-08-28 21:30:33.047297,2026-08-28 21:30:41.427098,0 days 00:00:08.379801,0.39869819265784795,0.01889738149196185,absolute_error,127,4.0,575,40,77,,,PRUNED
50,700.9120238247225,2026-08-28 21:30:41.427122,2026-08-28 21:30:54.541599,0 days 00:00:13.114477,0.1497040090180779,0.02455560354106364,squared_error,127,,610,27,71,,,PRUNED
51,699.8281496969175,2026-08-28 21:30:54.541623,2026-08-28 21:31:14.879562,0 days 00:00:20.337939,0.08480404269147279,0.03718739076520985,absolute_error,127,,635,48,69,,,PRUNED
52,683.0656130942285,2026-08-28 21:31:14.879606,2026-08-28 21:32:02.504434,0 days 00:00:47.624828,0.5716272941897574,0.029285947196668764,absolute_error,127,,650,75,66,"[734.82, 664.45, 649.927]",37.07325937926651,COMPLETE
53,682.8470021431372,2026-08-28 21:32:02.504548,2026-08-28 21:32:55.452828,0 days 00:00:52.948280,0.7575062656670482,0.029899665089054298,absolute_error,127,,650,89,66,"[733.033, 665.266, 650.242]",36.013232781989224,COMPLETE
54,700.2722685271146,2026-08-28 21:32:55.452906,2026-08-28 21:33:16.178899,0 days 00:00:20.725993,0.817234088349062,0.023796416683210794,absolute_error,127,,547,54,61,,,PRUNED
55,683.1790391095357,2026-08-28 21:33:16.178930,2026-08-28 21:34:06.379353,0 days 00:00:50.200423,0.22208012244532407,0.030225028856941248,absolute_error,127,,601,89,65,"[731.595, 665.649, 652.294]",34.66632952327404,COMPLETE
56,703.8827993597685,2026-08-28 21:34:06.379455,2026-08-28 21:34:14.321573,0 days 00:00:07.942118,0.0382201600655087,0.05041044192797256,absolute_error,127,6.0,330,78,73,,,PRUNED
57,699.531330585085,2026-08-28 21:34:14.321623,2026-08-28 21:35:09.061931,0 days 00:00:54.740308,3.2386702963479523,0.03385270592056476,absolute_error,127,,629,184,58,,,PRUNED
58,716.8523056669007,2026-08-28 21:35:09.062013,2026-08-28 21:35:21.544526,0 days 00:00:12.482513,0.06573042029741122,0.026007300169508953,absolute_error,127,4.0,572,35,16,,,PRUNED
59,715.5112871705217,2026-08-28 21:35:21.544569,2026-08-28 21:36:12.615711,0 days 00:00:51.071142,1.090972834220432,0.2747635642363699,absolute_error,127,,605,114,75,,,PRUNED
60,682.8129706900917,2026-08-28 21:36:12.615771,2026-08-28 21:37:22.547666,0 days 00:01:09.931895,6.401224778278669,0.0184484587081936,absolute_error,127,12.0,627,71,64,"[734.701, 663.364, 650.374]",37.07156799645588,COMPLETE
61,701.952705353817,2026-08-28 21:37:22.547763,2026-08-28 21:37:56.343374,0 days 00:00:33.795611,9.092542644234772,0.01724265129919664,absolute_error,127,12.0,629,69,64,,,PRUNED
62,700.0014157963196,2026-08-28 21:37:56.343435,2026-08-28 21:38:33.621455,0 days 00:00:37.278020,2.569452515430126,0.02248363458145502,absolute_error,127,12.0,647,90,71,,,PRUNED
63,705.930863052321,2026-08-28 21:38:33.621518,2026-08-28 21:39:02.025977,0 days 00:00:28.404459,3.969622338651576,0.01128077320574516,absolute_error,127,12.0,604,48,60,,,PRUNED
64,682.84618602995,2026-08-28 21:39:02.026013,2026-08-28 21:39:53.212051,0 days 00:00:51.186038,0.12525243081945123,0.018596219481300857,absolute_error,127,12.0,567,81,68,"[734.318, 664.462, 649.758]",36.88797429908393,COMPLETE
65,701.4608440311343,2026-08-28 21:39:53.212105,2026-08-29 13:39:16.358574,0 days 15:59:23.146469,0.21197361553938568,0.01538197354593458,absolute_error,127,12.0,574,59,70,,,PRUNED
66,703.1941612875471,2026-08-29 13:39:16.359753,2026-08-29 13:39:59.313198,0 days 00:00:42.953445,0.11327556234284959,0.01376873653902596,absolute_error,191,12.0,519,70,73,,,PRUNED
67,700.3114954444217,2026-08-29 13:39:59.313317,2026-08-29 13:40:53.656817,0 days 00:00:54.343500,0.000894120843830754,0.019848023046565362,absolute_error,127,12.0,552,80,78,,,PRUNED
68,702.3501431805419,2026-08-29 13:40:53.657072,2026-08-29 13:44:05.928764,0 days 00:03:12.271692,1.7889164536514106,0.017921548019870448,absolute_error,127,12.0,441,60,67,,,PRUNED
69,700.745493521473,2026-08-29 13:44:05.928818,2026-08-29 13:56:19.975873,0 days 00:12:14.047055,0.016731114780076318,0.02172719489563245,absolute_error,127,12.0,586,99,62,,,PRUNED
70,702.6991301434882,2026-08-29 13:56:19.975958,2026-08-29 13:56:37.852094,0 days 00:00:17.876136,0.0030508875271849623,0.04684553571128284,squared_error,127,6.0,623,44,58,,,PRUNED
71,700.2809784148426,2026-08-29 13:56:37.852139,2026-08-29 13:59:53.724069,0 days 00:03:15.871930,5.3324685988803155,0.028826032141335924,absolute_error,127,,637,108,67,,,PRUNED
72,700.5072152160944,2026-08-29 13:59:53.724160,2026-08-29 14:00:45.806349,0 days 00:00:52.082189,0.7766194321327217,0.026088514051632487,absolute_error,127,,599,85,63,,,PRUNED
73,701.125598091121,2026-08-29 14:00:45.806414,2026-08-29 14:01:21.067500,0 days 00:00:35.261086,0.27223958639724744,0.0386648797773592,absolute_error,127,,618,53,74,,,PRUNED
74,700.7752898270992,2026-08-29 14:01:21.067601,2026-08-29 14:02:10.160243,0 days 00:00:49.092642,0.5234720947295104,0.03217935568485534,absolute_error,127,,634,73,40,,,PRUNED
75,700.3228733869341,2026-08-29 14:02:10.160351,2026-08-29 14:02:44.079686,0 days 00:00:33.919335,0.10583050778937067,0.020493333803941863,absolute_error,127,,565,63,69,,,PRUNED
76,682.9518500673249,2026-08-29 14:02:44.079763,2026-08-29 14:04:05.951408,0 days 00:01:21.871645,0.14998921932537082,0.023775117438169287,absolute_error,191,,584,93,60,"[733.424, 664.651, 650.781]",36.13574922730615,COMPLETE
77,699.641338788887,2026-08-29 14:04:05.951738,2026-08-29 14:04:42.415749,0 days 00:00:36.464011,1.4211965688372679,0.03566060590902172,absolute_error,127,,650,81,31,,,PRUNED
78,710.4417372970026,2026-08-29 14:04:42.415823,2026-08-29 14:04:53.112440,0 days 00:00:10.696617,0.05982010570294874,0.040679636102526305,absolute_error,127,4.0,608,76,72,,,PRUNED
79,700.389721596435,2026-08-29 14:04:53.112573,2026-08-29 14:05:20.440758,0 days 00:00:27.328185,0.04268855401870253,0.016095720675969948,absolute_error,255,12.0,596,58,65,,,PRUNED
