feature_name,source_column,feature_type,transformation,model_ready
numeric__km_since_intake_task,km_since_intake_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__maintenance_overdue_days_pre_service,maintenance_overdue_days_pre_service,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__maintenance_overdue_km_pre_service,maintenance_overdue_km_pre_service,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__previous_failure_count,previous_failure_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__failure_hazard_score,failure_hazard_score,NUMERIC,StandardScaler fitted on TRAIN,True
numeric_structural__engine_displacement_cc,engine_displacement_cc,NUMERIC,StandardScaler fitted on TRAIN,True
numeric_structural__engine_oil_service_qty_l,engine_oil_service_qty_l,NUMERIC,StandardScaler fitted on TRAIN,True
numeric_structural__spark_plug_count,spark_plug_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric_structural__missingindicator_engine_displacement_cc,engine_displacement_cc,MISSING_INDICATOR,1 if original numeric value was NULL,True
numeric_structural__missingindicator_engine_oil_service_qty_l,engine_oil_service_qty_l,MISSING_INDICATOR,1 if original numeric value was NULL,True
numeric_structural__missingindicator_spark_plug_count,spark_plug_count,MISSING_INDICATOR,1 if original numeric value was NULL,True
boolean__policy_ready,policy_ready,BOOLEAN,most_frequent fallback; 0/1,True
boolean__is_left_truncated,is_left_truncated,BOOLEAN,most_frequent fallback; 0/1,True
boolean__is_fleet_customer,is_fleet_customer,BOOLEAN,most_frequent fallback; 0/1,True
boolean__current_mileage_estimated,current_mileage_estimated,BOOLEAN,most_frequent fallback; 0/1,True
boolean__current_is_breakdown,current_is_breakdown,BOOLEAN,most_frequent fallback; 0/1,True
boolean__current_is_warranty,current_is_warranty,BOOLEAN,most_frequent fallback; 0/1,True
boolean__current_service_timestamp_repaired,current_service_timestamp_repaired,BOOLEAN,most_frequent fallback; 0/1,True
boolean__service_odometer_regression_count_to_date,service_odometer_regression_count_to_date,BOOLEAN,most_frequent fallback; 0/1,True
categorical__workshop_id_WS0001,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0002,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0003,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0004,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0005,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0006,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0007,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0008,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0009,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_id_WS0010,workshop_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_BAJAJ_DOMINAR250,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_BAJAJ_NS125,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_BAJAJ_NS200,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_CFMOTO_250CLX,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_CFMOTO_250DUAL,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_CFMOTO_250NK,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_CFMOTO_250SR,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_CFMOTO_450CLC,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_CFMOTO_450NK,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_CFMOTO_650NK,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_ACTIVA125,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_ADV350,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_CB125F,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_CL250,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_DIO110,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_EM1E,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_FORZA250,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_MONKEY,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_PCX125,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_HONDA_SH125I,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_KTM_390_DUKE,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_KUBA_BLUEBERRY50,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_KUBA_CG50_PRO,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_KYMCO_DOWNTOWN250I,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_KYMCO_XTOWN_CT250,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_MONDIAL_50_UAG,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_MONDIAL_EXON50,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_MONDIAL_SFC_MINI_50EC,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_MONDIAL_TURISMO50I,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_MONDIAL_WING50I,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_RKS_NEW_LIGHT_PRO,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_ROYALENFIELD_HUNTER350,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_SYM_JETX125,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_TVS_APACHE_RTR200_4V,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_TVS_JUPITER125,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_TVS_RAIDER125,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_YAMAHA_NMAX125,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_YAMAHA_XMAX250,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__model_id_YAMAHA_XSR125,model_id,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_Bajaj,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_CFMOTO,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_Honda,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_KTM,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_KYMCO,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_Kuba,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_Mondial,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_RKS,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_Royal Enfield,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_SYM,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_TVS,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__brand_Yamaha,brand,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_ADVENTURE,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_BIG_SCOOTER,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_CRUISER,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_CUB,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_EV_SCOOTER,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_MINI_BIKE,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_NAKED,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_ROADSTER,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_SCOOTER,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_SCRAMBLER,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_SUPERSPORT,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__category_TOURING,category,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__powertrain_type_EV,powertrain_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__powertrain_type_ICE,powertrain_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__cooling_type_AIR,cooling_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__cooling_type_LIQUID,cooling_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__cooling_type_NONE,cooling_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__cooling_type_OIL,cooling_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__final_drive_type_BELT,final_drive_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__final_drive_type_CHAIN,final_drive_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__final_drive_type_DIRECT,final_drive_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__final_drive_type_V_BELT,final_drive_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__transmission_type_AUTOMATIC,transmission_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__transmission_type_CVT,transmission_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__transmission_type_DIRECT_DRIVE,transmission_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__transmission_type_MANUAL,transmission_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__transmission_type_MANUAL_5,transmission_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__transmission_type_MANUAL_6,transmission_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__transmission_type_SEMI_AUTO_4,transmission_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_EV_HUB_MOTOR,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_125_AIR_BELT,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_125_AIR_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_125_LIQUID_BELT,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_125_LIQUID_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_125_OIL_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_125_SCOOTER_BELT,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_200_LIQUID_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_200_OIL_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_250_LIQUID_BELT,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_250_LIQUID_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_350_LIQUID_BELT,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_350_OIL_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_400_LIQUID_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_450_TWIN_LIQUID_BELT,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_450_TWIN_LIQUID_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_50_AIR_BELT,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_50_AIR_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_650_TWIN_LIQUID_CHAIN,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__policy_group_ICE_SMALL_SCOOTER_BELT,policy_group,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__spec_confidence_HIGH,spec_confidence,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__spec_confidence_LOW,spec_confidence,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__spec_confidence_MEDIUM,spec_confidence,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__customer_type_COMMERCIAL,customer_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__customer_type_FLEET,customer_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__customer_type_INDIVIDUAL,customer_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__acquisition_channel_DIRECT_SALES,acquisition_channel,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__acquisition_channel_FLEET_PARTNERSHIP,acquisition_channel,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__acquisition_channel_GOOGLE_MAPS,acquisition_channel,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__acquisition_channel_ORGANIC,acquisition_channel,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__acquisition_channel_REFERRAL,acquisition_channel,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__acquisition_channel_SOCIAL_MEDIA,acquisition_channel,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__acquisition_channel_WALK_IN,acquisition_channel,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__usage_type_COMMUTER,usage_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__usage_type_COURIER,usage_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__usage_type_OFFROAD,usage_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__usage_type_SEASONAL,usage_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__usage_type_TOURING,usage_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__usage_type_TRACK,usage_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__usage_type_WEEKEND,usage_type,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__riding_intensity_HIGH,riding_intensity,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__riding_intensity_LOW,riding_intensity,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__riding_intensity_MEDIUM,riding_intensity,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__storage_condition_COVERED_PARKING,storage_condition,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__storage_condition_GARAGE,storage_condition,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__storage_condition_INDOOR,storage_condition,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__storage_condition_STREET,storage_condition,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__climate_zone_CONTINENTAL_COOL,climate_zone,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__climate_zone_CONTINENTAL_DRY,climate_zone,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__climate_zone_HUMID_RAINY,climate_zone,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__climate_zone_MEDITERRANEAN_COASTAL,climate_zone,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__climate_zone_MEDITERRANEAN_HOT,climate_zone,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__climate_zone_SEMI_ARID_HOT,climate_zone,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__climate_zone_TEMPERATE_HUMID,climate_zone,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_region_Akdeniz,workshop_region,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_region_Ege,workshop_region,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_region_Güneydoğu Anadolu,workshop_region,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_region_Karadeniz,workshop_region,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_region_Marmara,workshop_region,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__workshop_region_İç Anadolu,workshop_region,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__price_level_HIGH,price_level,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__price_level_LOW,price_level,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__price_level_MEDIUM,price_level,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__price_level_PREMIUM,price_level,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_mileage_source_CUSTOMER_REPORTED,current_mileage_source,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_mileage_source_ESTIMATED,current_mileage_source,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_mileage_source_MANUAL,current_mileage_source,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_mileage_quality_flag_ESTIMATED,current_mileage_quality_flag,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_mileage_quality_flag_VALID,current_mileage_quality_flag,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_service_type_code_BREAKDOWN,current_service_type_code,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_service_type_code_PERIODIC,current_service_type_code,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_service_type_code_REPAIR,current_service_type_code,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_service_type_code_TIRE,current_service_type_code,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_arrival_mode_APPOINTMENT,current_arrival_mode,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_arrival_mode_WALK_IN,current_arrival_mode,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_primary_trigger_task_ENGINE_OIL_CHANGE,current_primary_trigger_task,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
categorical__current_primary_trigger_task_GENERAL_SAFETY_INSPECTION,current_primary_trigger_task,ONE_HOT,TRAIN categories; handle_unknown=ignore,True
