feature_group,feature,dtype,kind,null_rate_train
BASE,current_fault_task_count,int32,numeric,0.0
BASE,current_inspection_finding_task_count,int32,numeric,0.0
BASE,current_replace_task_count,int32,numeric,0.0
BASE,current_parts_line_count,int32,numeric,0.0
BASE,current_supplier_parts_line_count,int32,numeric,0.0
POLICY,policy_group,object,categorical,0.0
POLICY,policy_ready,float64,numeric,0.0
POLICY,policy_interval_days,float64,numeric,0.0
POLICY,policy_interval_km,float64,numeric,0.0
POLICY,current_policy_due_task_count,int32,numeric,0.0
POLICY,total_policy_due_task_count,int32,numeric,0.0
POLICY,maintenance_overdue_days_pre_service,float64,numeric,0.0
POLICY,maintenance_overdue_km_pre_service,float64,numeric,0.0
RECENT_USAGE,recent_30d_km,float64,numeric,0.0
RECENT_USAGE,recent_60d_km,float64,numeric,0.0
RECENT_USAGE,recent_90d_km,float64,numeric,0.0
RECENT_USAGE,recent_180d_km,float64,numeric,0.0
RECENT_USAGE,recent_km_per_day,float64,numeric,0.0
RECENT_USAGE,long_term_km_per_day,float64,numeric,0.0
RECENT_USAGE,recent_vs_long_term_usage_ratio,float64,numeric,0.0
HISTORICAL_INTERVAL,previous_service_count,int64,numeric,0.0
HISTORICAL_INTERVAL,previous_interval_days,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,previous_interval_km,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,historical_interval_days_median,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,historical_interval_days_std,float64,numeric,0.37499611837406455
HISTORICAL_INTERVAL,historical_interval_km_median,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,historical_interval_km_std,float64,numeric,0.37499611837406455
HISTORICAL_INTERVAL,avg_service_interval_days,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,avg_service_interval_km,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,rolling3_interval_days,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,rolling3_interval_km,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,days_since_previous_service,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,km_since_previous_service,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,avg_km_per_day_since_previous_service,float64,numeric,0.20994938359780144
HISTORICAL_INTERVAL,service_sequence,int64,numeric,0.0
MAINTENANCE_HISTORY,historical_policy_delay_median_days,float64,numeric,0.010961711641772506
MAINTENANCE_HISTORY,historical_policy_delay_mean_days,float64,numeric,0.010961711641772506
MAINTENANCE_HISTORY,historical_on_time_rate,float64,numeric,0.010961711641772506
MAINTENANCE_HISTORY,previous_policy_delay_days,float64,numeric,0.010961711641772506
MAINTENANCE_HISTORY,periodic_service_count,int64,numeric,0.0
MAINTENANCE_HISTORY,repair_service_count,int64,numeric,0.0
MAINTENANCE_HISTORY,breakdown_service_count,int64,numeric,0.0
MAINTENANCE_HISTORY,warranty_service_count,int64,numeric,0.0
MAINTENANCE_HISTORY,appointment_service_count,int32,numeric,0.0
MAINTENANCE_HISTORY,walkin_service_count,int32,numeric,0.0
MAINTENANCE_HISTORY,services_last_90d,int32,numeric,0.0
MAINTENANCE_HISTORY,services_last_365d,int32,numeric,0.0
MAINTENANCE_HISTORY,cumulative_service_spend,float64,numeric,0.0
MAINTENANCE_HISTORY,avg_service_spend,float64,numeric,0.0
MAINTENANCE_HISTORY,total_task_count,int32,numeric,0.0
MAINTENANCE_HISTORY,total_completed_task_count,int32,numeric,0.0
MAINTENANCE_HISTORY,total_declined_task_count,int32,numeric,0.0
MAINTENANCE_HISTORY,total_fault_task_count,int32,numeric,0.0
MAINTENANCE_HISTORY,total_inspection_finding_task_count,int32,numeric,0.0
MAINTENANCE_HISTORY,total_replace_task_count,int32,numeric,0.0
MAINTENANCE_HISTORY,days_since_engine_task,float64,numeric,0.0
MAINTENANCE_HISTORY,km_since_engine_task,float64,numeric,0.0
MAINTENANCE_HISTORY,days_since_brakes_task,float64,numeric,0.0
MAINTENANCE_HISTORY,km_since_brakes_task,float64,numeric,0.0
MAINTENANCE_HISTORY,days_since_final_drive_task,float64,numeric,0.0
MAINTENANCE_HISTORY,km_since_final_drive_task,float64,numeric,0.0
MAINTENANCE_HISTORY,days_since_tires_wheels_task,float64,numeric,0.0
MAINTENANCE_HISTORY,km_since_tires_wheels_task,float64,numeric,0.0
MAINTENANCE_HISTORY,days_since_electrical_task,float64,numeric,0.0
MAINTENANCE_HISTORY,km_since_electrical_task,float64,numeric,0.0
MAINTENANCE_HISTORY,days_since_transmission_task,float64,numeric,0.0
MAINTENANCE_HISTORY,km_since_transmission_task,float64,numeric,0.0
MAINTENANCE_HISTORY,days_since_cooling_task,float64,numeric,0.0
MAINTENANCE_HISTORY,km_since_cooling_task,float64,numeric,0.0
MAINTENANCE_HISTORY,days_since_intake_task,float64,numeric,0.0
MAINTENANCE_HISTORY,km_since_intake_task,float64,numeric,0.0
MAINTENANCE_HISTORY,previous_failure_count,int64,numeric,0.0
MAINTENANCE_HISTORY,service_odometer_regression_count_to_date,int32,numeric,0.0
