segment_type,segment_value,split,n,events,censored,censoring_rate,median_duration
time_quarter,2024Q4,TRAIN,3043,2055,988,0.3247,127.78
time_quarter,2025Q1,TRAIN,2662,1091,1571,0.5902,112.49
time_quarter,2025Q2,TRAIN,2457,285,2172,0.884,42.44
time_quarter,2025Q3,VALIDATION,2545,1131,1414,0.5556,109.55
time_quarter,2025Q4,VALIDATION,2300,298,2002,0.8704,42.74
time_quarter,2026Q1,TEST,1745,825,920,0.5272,172.71
time_quarter,2026Q2,TEST,1320,420,900,0.6818,91.66
time_quarter,2026Q3,TEST,1405,37,1368,0.9737,1.0
time_quarter,2021Q2,ALL,152,152,0,0.0,143.32
time_quarter,2021Q3,ALL,416,408,8,0.0192,118.79
time_quarter,2021Q4,ALL,628,620,8,0.0127,107.52
time_quarter,2022Q1,ALL,769,757,12,0.0156,128.18
time_quarter,2022Q2,ALL,1086,1066,20,0.0184,112.46
time_quarter,2022Q3,ALL,1488,1450,38,0.0255,96.0
time_quarter,2022Q4,ALL,1830,1779,51,0.0279,101.93
time_quarter,2023Q1,ALL,1864,1792,72,0.0386,123.76
time_quarter,2023Q2,ALL,2129,2031,98,0.046,112.16
time_quarter,2023Q3,ALL,2514,2355,159,0.0632,92.1
time_quarter,2023Q4,ALL,2848,2623,225,0.079,106.78
time_quarter,2024Q1,ALL,2666,2391,275,0.1032,139.15
time_quarter,2024Q2,ALL,2694,2263,431,0.16,131.57
time_quarter,2024Q3,ALL,2934,2302,632,0.2154,108.46
time_quarter,2024Q4,ALL,3043,2055,988,0.3247,127.78
time_quarter,2025Q1,ALL,2662,1091,1571,0.5902,112.49
time_quarter,2025Q2,ALL,2457,285,2172,0.884,42.44
time_quarter,2025Q3,ALL,2545,1131,1414,0.5556,109.55
time_quarter,2025Q4,ALL,2300,298,2002,0.8704,42.74
time_quarter,2026Q1,ALL,1745,825,920,0.5272,172.71
time_quarter,2026Q2,ALL,1320,420,900,0.6818,91.66
time_quarter,2026Q3,ALL,1405,37,1368,0.9737,1.0
brand,Bajaj,TRAIN,823,487,336,0.4083,291.31
brand,CFMOTO,TRAIN,659,370,289,0.4385,297.36
brand,Honda,TRAIN,9171,6691,2480,0.2704,150.3
brand,KTM,TRAIN,88,53,35,0.3977,297.99
brand,KYMCO,TRAIN,228,133,95,0.4167,287.93
brand,Kuba,TRAIN,5743,5086,657,0.1144,56.18
brand,Mondial,TRAIN,8296,7180,1116,0.1345,69.41
brand,RKS,TRAIN,1494,1218,276,0.1847,84.02
brand,Royal Enfield,TRAIN,43,21,22,0.5116,305.29
brand,SYM,TRAIN,452,292,160,0.354,184.06
brand,TVS,TRAIN,2382,1621,761,0.3195,188.39
brand,Yamaha,TRAIN,2824,2290,534,0.1891,99.32
brand,Bajaj,VALIDATION,172,8,164,0.9535,80.29
brand,CFMOTO,VALIDATION,131,2,129,0.9847,100.37
brand,Honda,VALIDATION,1501,293,1208,0.8048,72.67
brand,KYMCO,VALIDATION,47,1,46,0.9787,108.33
brand,Kuba,VALIDATION,728,367,361,0.4959,50.75
brand,Mondial,VALIDATION,990,442,548,0.5535,51.41
brand,RKS,VALIDATION,251,105,146,0.5817,57.25
brand,SYM,VALIDATION,116,25,91,0.7845,61.99
brand,TVS,VALIDATION,415,36,379,0.9133,94.62
brand,Yamaha,VALIDATION,469,150,319,0.6802,72.04
brand,Bajaj,TEST,246,29,217,0.8821,60.13
brand,CFMOTO,TEST,164,20,144,0.878,54.48
brand,Honda,TEST,1480,321,1159,0.7831,97.74
brand,KYMCO,TEST,59,7,52,0.8814,63.28
brand,Kuba,TEST,461,211,250,0.5423,71.99
brand,Mondial,TEST,805,351,454,0.564,74.5
brand,RKS,TEST,266,125,141,0.5301,65.43
brand,SYM,TEST,123,33,90,0.7317,80.65
brand,TVS,TEST,431,58,373,0.8654,108.42
brand,Yamaha,TEST,404,127,277,0.6856,85.3
brand,Bajaj,ALL,1241,524,717,0.5778,185.35
brand,CFMOTO,ALL,954,392,562,0.5891,220.83
brand,Honda,ALL,12152,7305,4847,0.3989,130.53
brand,KTM,ALL,123,53,70,0.5691,202.92
brand,KYMCO,ALL,334,141,193,0.5778,195.28
brand,Kuba,ALL,6932,5664,1268,0.1829,56.44
brand,Mondial,ALL,10091,7973,2118,0.2099,67.48
brand,RKS,ALL,2011,1448,563,0.28,77.58
brand,Royal Enfield,ALL,64,21,43,0.6719,230.03
brand,SYM,ALL,691,350,341,0.4935,110.49
brand,TVS,ALL,3228,1715,1513,0.4687,162.63
brand,Yamaha,ALL,3697,2567,1130,0.3057,94.79
model,250 DUAL,TRAIN,104,62,42,0.4038,312.26
model,250CL-X,TRAIN,47,23,24,0.5106,313.1
model,250NK,TRAIN,246,140,106,0.4309,293.03
model,250SR,TRAIN,107,59,48,0.4486,321.49
model,390 Duke,TRAIN,88,53,35,0.3977,297.99
model,450NK,TRAIN,95,52,43,0.4526,276.76
model,50 UAG,TRAIN,2251,1961,290,0.1288,66.49
model,650NK,TRAIN,46,27,19,0.413,221.84
model,ADV350,TRAIN,157,88,69,0.4395,318.14
model,Activa 125,TRAIN,2545,1824,721,0.2833,164.35
model,Apache RTR 200 4V FI,TRAIN,129,74,55,0.4264,333.79
model,Blueberry 50,TRAIN,3856,3560,296,0.0768,44.82
model,CB125F,TRAIN,585,397,188,0.3214,185.75
model,CG50 Pro,TRAIN,1887,1526,361,0.1913,116.33
model,CL250,TRAIN,101,61,40,0.396,249.22
model,Dio 110,TRAIN,2498,2163,335,0.1341,76.08
model,Dominar D250,TRAIN,85,41,44,0.5176,316.56
model,Downtown 250i,TRAIN,85,49,36,0.4235,272.01
model,EM1 e:,TRAIN,32,17,15,0.4688,336.6
model,Exon 50,TRAIN,200,138,62,0.31,180.86
model,Forza 250,TRAIN,441,292,149,0.3379,196.8
model,Hunter 350,TRAIN,43,21,22,0.5116,305.29
model,Jet X 125 TCS ABS,TRAIN,452,292,160,0.354,184.06
model,Jupiter 125,TRAIN,1981,1408,573,0.2892,173.92
model,NMAX 125,TRAIN,2358,2001,357,0.1514,91.82
model,New Light Pro,TRAIN,1494,1218,276,0.1847,84.02
model,PCX125,TRAIN,2506,1664,842,0.336,202.49
model,Pulsar NS125,TRAIN,318,195,123,0.3868,278.86
model,Pulsar NS200 UG2,TRAIN,420,251,169,0.4024,291.34
model,Raider 125,TRAIN,272,139,133,0.489,326.87
model,SFC MINI 50ec,TRAIN,2753,2516,237,0.0861,46.52
model,SH125i,TRAIN,278,170,108,0.3885,300.82
model,Turismo 50i,TRAIN,198,145,53,0.2677,173.47
model,Wing 50i,TRAIN,2894,2420,474,0.1638,102.25
model,X-Town CT 250,TRAIN,143,84,59,0.4126,292.16
model,XMAX 250,TRAIN,370,235,135,0.3649,206.78
model,XSR125,TRAIN,96,54,42,0.4375,270.79
model,250NK,VALIDATION,50,0,50,1.0,98.83
model,50 UAG,VALIDATION,276,130,146,0.529,48.39
model,Activa 125,VALIDATION,394,55,339,0.8604,82.23
model,Blueberry 50,VALIDATION,435,286,149,0.3425,41.08
model,CB125F,VALIDATION,119,17,102,0.8571,71.03
model,CG50 Pro,VALIDATION,293,81,212,0.7235,79.46
model,Dio 110,VALIDATION,363,173,190,0.5234,57.64
model,Exon 50,VALIDATION,42,6,36,0.8571,84.35
model,Forza 250,VALIDATION,82,10,72,0.878,87.55
model,Jet X 125 TCS ABS,VALIDATION,116,25,91,0.7845,61.99
model,Jupiter 125,VALIDATION,333,34,299,0.8979,92.79
model,NMAX 125,VALIDATION,385,149,236,0.613,70.32
model,New Light Pro,VALIDATION,251,105,146,0.5817,57.25
model,PCX125,VALIDATION,420,28,392,0.9333,80.34
model,Pulsar NS125,VALIDATION,55,6,49,0.8909,61.4
model,Pulsar NS200 UG2,VALIDATION,101,2,99,0.9802,96.5
model,Raider 125,VALIDATION,63,2,61,0.9683,113.55
model,SFC MINI 50ec,VALIDATION,293,180,113,0.3857,43.46
model,SH125i,VALIDATION,60,10,50,0.8333,90.88
model,Turismo 50i,VALIDATION,31,4,27,0.871,92.88
model,Wing 50i,VALIDATION,348,122,226,0.6494,67.1
model,XMAX 250,VALIDATION,63,1,62,0.9841,87.85
model,250NK,TEST,61,7,54,0.8852,3.89
model,50 UAG,TEST,242,129,113,0.4669,54.25
model,ADV350,TEST,41,4,37,0.9024,100.41
model,Activa 125,TEST,394,75,319,0.8096,118.98
model,Apache RTR 200 4V FI,TEST,30,1,29,0.9667,109.33
model,Blueberry 50,TEST,234,140,94,0.4017,56.2
model,CB125F,TEST,115,22,93,0.8087,85.48
model,CG50 Pro,TEST,227,71,156,0.6872,106.27
model,CL250,TEST,37,6,31,0.8378,60.64
model,Dio 110,TEST,270,128,142,0.5259,76.66
model,Downtown 250i,TEST,31,4,27,0.871,64.39
model,Exon 50,TEST,57,11,46,0.807,93.14
model,Forza 250,TEST,96,13,83,0.8646,110.38
model,Jet X 125 TCS ABS,TEST,123,33,90,0.7317,80.65
model,Jupiter 125,TEST,326,52,274,0.8405,112.03
model,NMAX 125,TEST,271,106,165,0.6089,85.72
model,New Light Pro,TEST,266,125,141,0.5301,65.43
model,PCX125,TEST,442,63,379,0.8575,113.93
model,Pulsar NS125,TEST,79,12,67,0.8481,70.98
model,Pulsar NS200 UG2,TEST,142,16,126,0.8873,4.92
model,Raider 125,TEST,75,5,70,0.9333,73.6
model,SFC MINI 50ec,TEST,188,103,85,0.4521,60.88
model,SH125i,TEST,65,10,55,0.8462,90.43
model,Turismo 50i,TEST,48,14,34,0.7083,90.55
model,Wing 50i,TEST,270,94,176,0.6519,94.62
model,XMAX 250,TEST,99,16,83,0.8384,85.33
model,XSR125,TEST,34,5,29,0.8529,74.5
model,250 DUAL,ALL,136,66,70,0.5147,253.62
model,250CL-X,ALL,72,24,48,0.6667,228.6
model,250NK,ALL,357,147,210,0.5882,231.38
model,250SR,ALL,155,62,93,0.6,234.88
model,390 Duke,ALL,123,53,70,0.5691,202.92
model,450NK,ALL,143,56,87,0.6084,198.43
model,50 UAG,ALL,2769,2220,549,0.1983,63.97
model,650NK,ALL,68,29,39,0.5735,161.96
model,ADV350,ALL,222,92,130,0.5856,225.96
model,Activa 125,ALL,3333,1954,1379,0.4137,148.37
model,Apache RTR 200 4V FI,ALL,178,75,103,0.5787,262.95
model,Blueberry 50,ALL,4525,3986,539,0.1191,44.82
model,CB125F,ALL,819,436,383,0.4676,137.23
model,CG50 Pro,ALL,2407,1678,729,0.3029,111.04
model,CL250,ALL,164,67,97,0.5915,164.34
model,Dio 110,ALL,3131,2464,667,0.213,74.35
model,Dominar D250,ALL,126,42,84,0.6667,194.95
model,Downtown 250i,ALL,136,54,82,0.6029,166.98
model,EM1 e:,ALL,56,17,39,0.6964,182.17
model,Exon 50,ALL,299,155,144,0.4816,150.26
model,Forza 250,ALL,619,315,304,0.4911,159.87
model,Hunter 350,ALL,64,21,43,0.6719,230.03
model,Jet X 125 TCS ABS,ALL,691,350,341,0.4935,110.49
model,Jupiter 125,ALL,2640,1494,1146,0.4341,155.95
model,Monkey,ALL,37,15,22,0.5946,289.58
model,NMAX 125,ALL,3014,2256,758,0.2515,88.36
model,New Light Pro,ALL,2011,1448,563,0.28,77.58
model,PCX125,ALL,3368,1755,1613,0.4789,171.31
model,Pulsar NS125,ALL,452,213,239,0.5288,181.61
model,Pulsar NS200 UG2,ALL,663,269,394,0.5943,185.48
model,Raider 125,ALL,410,146,264,0.6439,228.91
model,SFC MINI 50ec,ALL,3234,2799,435,0.1345,46.73
model,SH125i,ALL,403,190,213,0.5285,175.02
model,Turismo 50i,ALL,277,163,114,0.4116,150.59
model,Wing 50i,ALL,3512,2636,876,0.2494,98.52
model,X-Town CT 250,ALL,198,87,111,0.5606,220.03
model,XMAX 250,ALL,532,252,280,0.5263,166.68
model,XSR125,ALL,151,59,92,0.6093,196.35
history_depth,0-1,TRAIN,12076,9329,2747,0.2275,170.86
history_depth,2-3,TRAIN,6943,5141,1802,0.2595,120.98
history_depth,4+,TRAIN,13184,10972,2212,0.1678,59.33
history_depth,0-1,VALIDATION,1542,258,1284,0.8327,82.68
history_depth,2-3,VALIDATION,1129,245,884,0.783,74.2
history_depth,4+,VALIDATION,2174,926,1248,0.5741,54.13
history_depth,0-1,TEST,1583,318,1265,0.7991,102.7
history_depth,2-3,TEST,1085,245,840,0.7742,83.57
history_depth,4+,TEST,1802,719,1083,0.601,60.24
history_depth,0-1,ALL,15201,9905,5296,0.3484,150.2
history_depth,2-3,ALL,9157,5631,3526,0.3851,111.32
history_depth,4+,ALL,17160,12617,4543,0.2647,58.76
riding_intensity,HIGH,TRAIN,18478,16413,2065,0.1118,64.43
riding_intensity,LOW,TRAIN,3945,2074,1871,0.4743,306.51
riding_intensity,MEDIUM,TRAIN,9780,6955,2825,0.2889,171.97
riding_intensity,HIGH,VALIDATION,2525,1291,1234,0.4887,52.95
riding_intensity,LOW,VALIDATION,796,3,793,0.9962,97.66
riding_intensity,MEDIUM,VALIDATION,1524,135,1389,0.9114,89.88
riding_intensity,HIGH,TEST,1810,928,882,0.4873,70.21
riding_intensity,LOW,TEST,993,62,931,0.9376,85.67
riding_intensity,MEDIUM,TEST,1667,292,1375,0.8248,106.44
riding_intensity,HIGH,ALL,22813,18632,4181,0.1833,63.52
riding_intensity,LOW,ALL,5734,2139,3595,0.627,214.51
riding_intensity,MEDIUM,ALL,12971,7382,5589,0.4309,153.1
usage_type,COMMUTER,TRAIN,15187,12092,3095,0.2038,99.05
usage_type,COURIER,TRAIN,6282,5125,1157,0.1842,92.94
usage_type,OFFROAD,TRAIN,559,420,139,0.2487,135.76
usage_type,SEASONAL,TRAIN,3251,2549,702,0.2159,111.97
usage_type,TOURING,TRAIN,1826,1345,481,0.2634,136.54
usage_type,TRACK,TRAIN,482,356,126,0.2614,149.61
usage_type,WEEKEND,TRAIN,4616,3555,1061,0.2299,109.94
usage_type,COMMUTER,VALIDATION,2217,662,1555,0.7014,67.19
usage_type,COURIER,VALIDATION,906,291,615,0.6788,65.31
usage_type,OFFROAD,VALIDATION,101,29,72,0.7129,69.43
usage_type,SEASONAL,VALIDATION,500,152,348,0.696,67.44
usage_type,TOURING,VALIDATION,317,64,253,0.7981,74.77
usage_type,TRACK,VALIDATION,60,9,51,0.85,73.81
usage_type,WEEKEND,VALIDATION,744,222,522,0.7016,60.16
usage_type,COMMUTER,TEST,2041,596,1445,0.708,85.5
usage_type,COURIER,TEST,804,274,530,0.6592,80.17
usage_type,OFFROAD,TEST,95,26,69,0.7263,60.34
usage_type,SEASONAL,TEST,456,116,340,0.7456,82.57
usage_type,TOURING,TEST,322,69,253,0.7857,83.26
usage_type,TRACK,TEST,89,23,66,0.7416,74.5
usage_type,WEEKEND,TEST,663,178,485,0.7315,72.86
usage_type,COMMUTER,ALL,19445,13350,6095,0.3134,92.9
usage_type,COURIER,ALL,7992,5690,2302,0.288,87.48
usage_type,OFFROAD,ALL,755,475,280,0.3709,118.65
usage_type,SEASONAL,ALL,4207,2817,1390,0.3304,101.96
usage_type,TOURING,ALL,2465,1478,987,0.4004,115.27
usage_type,TRACK,ALL,631,388,243,0.3851,122.76
usage_type,WEEKEND,ALL,6023,3955,2068,0.3434,97.89
annual_km_band,<5k,TRAIN,1145,541,604,0.5275,345.55
annual_km_band,5-10k,TRAIN,6523,3953,2570,0.394,239.37
annual_km_band,10-15k,TRAIN,6949,5236,1713,0.2465,151.99
annual_km_band,15k+,TRAIN,17586,15712,1874,0.1066,62.44
annual_km_band,<5k,VALIDATION,230,0,230,1.0,100.88
annual_km_band,5-10k,VALIDATION,1188,26,1162,0.9781,91.05
annual_km_band,10-15k,VALIDATION,1046,149,897,0.8576,87.88
annual_km_band,15k+,VALIDATION,2381,1254,1127,0.4733,52.02
annual_km_band,<5k,TEST,288,9,279,0.9688,84.24
annual_km_band,5-10k,TEST,1457,146,1311,0.8998,95.66
annual_km_band,10-15k,TEST,1023,230,793,0.7752,108.42
annual_km_band,15k+,TEST,1702,897,805,0.473,68.77
annual_km_band,<5k,ALL,1663,550,1113,0.6693,254.32
annual_km_band,5-10k,ALL,9168,4125,5043,0.5501,183.35
annual_km_band,10-15k,ALL,9018,5615,3403,0.3774,139.94
annual_km_band,15k+,ALL,21669,17863,3806,0.1756,61.44
