feature,mean_observed,mean_censored,smd,abs_smd,magnitude
total_policy_due_task_count,26.9516,19.0613,0.2819,0.2819,material
total_completed_task_count,31.433,22.9886,0.2705,0.2705,material
total_task_count,31.6464,23.1482,0.2704,0.2704,material
current_service_delay_days,0.6598,4.3102,-0.2691,0.2691,material
previous_policy_delay_days,0.6525,4.2914,-0.2687,0.2687,material
total_replace_task_count,9.6347,7.0807,0.2683,0.2683,material
periodic_service_count,5.9619,4.4685,0.2618,0.2618,material
previous_service_count,5.353,3.7612,0.2611,0.2611,material
service_sequence,6.353,4.7612,0.2611,0.2611,material
historical_interval_km_std,1262.3882,1063.0372,0.2452,0.2452,moderate
appointment_service_count,3.8169,2.7969,0.2446,0.2446,moderate
historical_policy_delay_median_days,0.3052,2.0302,-0.2394,0.2394,moderate
is_fleet_customer,0.1318,0.0649,0.2258,0.2258,moderate
avg_km_per_active_day,85.8345,75.0558,0.2221,0.2221,moderate
maintenance_overdue_days_pre_service,0.1513,2.2285,-0.2183,0.2183,moderate
walkin_service_count,2.536,1.9643,0.2083,0.2083,moderate
days_since_cooling_task,16.5736,40.8811,-0.187,0.187,moderate
days_since_transmission_task,63.7624,100.7075,-0.1837,0.1837,moderate
track_ratio,0.0068,0.0228,-0.1816,0.1816,moderate
days_since_intake_task,59.3404,90.3706,-0.1768,0.1768,moderate
avg_service_interval_km,3759.4633,3478.9727,0.1707,0.1707,moderate
rolling3_interval_km,3759.4633,3478.9727,0.1707,0.1707,moderate
historical_interval_km_median,3759.4633,3478.9727,0.1707,0.1707,moderate
days_since_brakes_task,69.3769,100.9088,-0.1691,0.1691,moderate
offroad_ratio,0.0096,0.0145,-0.1558,0.1558,moderate
days_since_electrical_task,83.7105,115.0308,-0.1539,0.1539,moderate
previous_failure_count,0.2911,0.1904,0.1514,0.1514,moderate
km_since_tires_wheels_task,7950.2202,5936.3464,0.1319,0.1319,moderate
spark_plug_count,1.0119,1.0328,-0.1313,0.1313,moderate
repair_service_count,0.2745,0.1949,0.131,0.131,moderate
warranty_service_count,0.0632,0.0333,0.1289,0.1289,moderate
maintenance_overdue_km_pre_service,250.8644,170.602,0.121,0.121,moderate
days_since_final_drive_task,6.1821,14.2569,-0.1194,0.1194,moderate
snapshot_month_cos,0.023,-0.0599,0.1172,0.1172,moderate
total_declined_task_count,0.2134,0.1597,0.1125,0.1125,moderate
previous_interval_km,3630.3849,3437.4248,0.1068,0.1068,moderate
km_since_previous_service,3630.3849,3437.4248,0.1068,0.1068,moderate
breakdown_service_count,0.0704,0.0467,0.092,0.092,small
courier_customer_share,0.1934,0.1863,0.0885,0.0885,small
km_since_electrical_task,4921.1123,4170.2296,0.0841,0.0841,small
days_since_tires_wheels_task,116.7892,137.7892,-0.0813,0.0813,small
km_since_cooling_task,1083.2965,1554.6144,-0.0787,0.0787,small
days_since_engine_task,4.5732,8.2455,-0.0781,0.0781,small
initial_mileage_km,30512.7721,27931.804,0.0702,0.0702,small
current_policy_due_task_count,4.0629,3.9056,0.0692,0.0692,small
current_completed_task_count,4.8533,4.7699,0.0548,0.0548,small
km_since_brakes_task,3923.5331,3511.2373,0.0536,0.0536,small
current_replace_task_count,1.4997,1.4618,0.0533,0.0533,small
cylinder_count,1.0027,1.0076,-0.053,0.053,small
current_task_count,4.8865,4.8059,0.0529,0.0529,small
appointment_rate,0.5994,0.6057,-0.051,0.051,small
current_fault_task_count,0.197,0.2332,-0.0498,0.0498,small
current_inspection_finding_task_count,0.0936,0.1153,-0.0497,0.0497,small
total_inspection_finding_task_count,0.4604,0.5096,-0.049,0.049,small
current_is_warranty,0.0087,0.0048,0.0475,0.0475,small
current_supplier_parts_line_count,0.7076,0.6755,0.0431,0.0431,small
customer_volume_index,1.0848,1.0803,0.0416,0.0416,small
cumulative_service_spend,9823.4397,10290.3314,-0.0411,0.0411,small
current_parts_line_count,1.8498,1.8127,0.0398,0.0398,small
avg_parts_lead_days,1.6956,1.6835,0.0357,0.0357,small
labor_rate_index,1.0405,1.0437,-0.0306,0.0306,small
technician_count,7.6594,7.714,-0.0303,0.0303,small
snapshot_month_sin,-0.0485,-0.0275,-0.0299,0.0299,small
same_day_parts_rate,0.7967,0.7988,-0.0293,0.0293,small
km_since_final_drive_task,298.9956,351.5215,-0.0284,0.0284,small
load_severity_factor,1.0194,1.0174,0.0253,0.0253,small
service_bay_count,6.28,6.3141,-0.0239,0.0239,small
km_since_intake_task,3268.3956,3106.459,0.0231,0.0231,small
snapshot_day_of_year,186.3519,188.6547,-0.0221,0.0221,small
km_since_transmission_task,3933.4346,3728.0402,0.0215,0.0215,small
daily_service_capacity,16.4808,16.5573,-0.0213,0.0213,small
snapshot_month,6.6283,6.6834,-0.0162,0.0162,small
current_declined_task_count,0.0332,0.036,-0.0152,0.0152,small
km_since_engine_task,185.692,205.5932,-0.0145,0.0145,small
current_mileage_estimated,0.0194,0.0177,0.0129,0.0129,small
total_fault_task_count,1.0495,1.0341,0.0083,0.0083,small
engine_oil_service_qty_l,0.8885,0.89,-0.0065,0.0065,small
current_is_breakdown,0.0103,0.0098,0.0054,0.0054,small
snapshot_quarter,2.5525,2.5474,0.0046,0.0046,small
is_left_truncated,0.9956,0.9953,0.0041,0.0041,small
current_service_timestamp_repaired,0.5109,0.5128,-0.0037,0.0037,small
service_odometer_regression_count_to_date,0.0003,0.0003,0.0012,0.0012,small
policy_interval_days,365.25,365.25,0.0,0.0,small
