feature,importance,is_manufacturer,group,rank
days_since_electrical_task,0.20417061297330008,False,BASE_FEATURES,43
cooling_type,0.19576149317452973,False,BASE_FEATURES,44
mk_manufacturer_due_pressure,0.1953079839286005,True,POLICY_KNOWLEDGE,45
current_parts_total,0.1913215773661534,False,BASE_FEATURES,46
highway_ratio,0.17879305721005778,False,BASE_FEATURES,47
days_since_transmission_task,0.17308964374163338,False,BASE_FEATURES,48
total_completed_task_count,0.1652688148247421,False,BASE_FEATURES,49
avg_parts_lead_days,0.15547101987458234,False,BASE_FEATURES,50
mk_months_to_next_BRAKE_FLUID,0.1457082973456778,True,TASK_DUE_KNOWLEDGE,51
mk_km_to_next_FUEL_SYSTEM,0.13145396325528225,True,TASK_DUE_KNOWLEDGE,52
acquisition_channel,0.10364426551558381,False,BASE_FEATURES,53
production_year,0.09947852123794121,False,BASE_FEATURES,54
current_task_count,0.09543862004296955,False,BASE_FEATURES,55
km_since_intake_task,0.0759016766533307,False,BASE_FEATURES,56
total_declined_task_count,0.06077670170309091,False,BASE_FEATURES,57
appointment_service_count,0.05783144937558404,False,BASE_FEATURES,58
workshop_city,0.05606443092834468,False,BASE_FEATURES,59
total_inspection_finding_task_count,0.05085715664250756,False,BASE_FEATURES,60
mk_km_to_next_VALVE_CLEARANCE,0.050223691768252365,True,TASK_DUE_KNOWLEDGE,61
mk_km_to_next_TYRES,0.04583142690529485,True,TASK_DUE_KNOWLEDGE,62
current_service_delay_days,0.04558568234116933,False,BASE_FEATURES,63
workshop_region,0.04163473922839955,False,BASE_FEATURES,64
historical_interval_days_std,0.04156911456446721,False,BASE_FEATURES,65
current_declined_task_count,0.03388137092444765,False,BASE_FEATURES,66
mk_manufacturer_year_match_exact,0.029416791406319476,True,MATCH_QUALITY,67
mk_months_to_next_manufacturer_service,0.028598602263571138,True,POLICY_KNOWLEDGE,68
engine_oil_service_qty_l,0.02034433834720062,False,BASE_FEATURES,69
ownership_months,0.016073121060259155,False,BASE_FEATURES,70
appointment_rate,0.015681487176308906,False,BASE_FEATURES,71
mk_km_to_next_AIR_FILTER_replace,0.01462731862747546,True,TASK_DUE_KNOWLEDGE,72
current_mileage_source,0.007474988467549792,False,BASE_FEATURES,73
mk_tasks_due_next_5000km,0.002818175439983861,True,TASK_DUE_KNOWLEDGE,74
historical_on_time_rate,0.0,False,BASE_FEATURES,75
mk_tasks_overdue_count,0.0,True,TASK_DUE_KNOWLEDGE,76
current_mileage_quality_flag,0.0,False,BASE_FEATURES,77
powertrain_type,0.0,False,BASE_FEATURES,78
current_primary_trigger_task,0.0,False,BASE_FEATURES,79
policy_interval_days,0.0,False,BASE_FEATURES,80
current_replace_task_count,0.0,False,BASE_FEATURES,81
mk_tasks_due_next_250km,0.0,True,TASK_DUE_KNOWLEDGE,82
mk_tasks_due_next_500km,0.0,True,TASK_DUE_KNOWLEDGE,83
current_mileage_estimated,0.0,False,BASE_FEATURES,84
fuel_type,0.0,False,BASE_FEATURES,85
historical_policy_delay_mean_days,0.0,False,BASE_FEATURES,86
mk_months_to_next_SERVICE,0.0,True,TASK_DUE_KNOWLEDGE,87
current_service_type_code,0.0,False,BASE_FEATURES,88
mk_manufacturer_task_knowledge_available,0.0,True,TASK_DUE_KNOWLEDGE,89
mk_manufacturer_task_conflict_count,0.0,True,MATCH_QUALITY,90
mk_manufacturer_service_stage,0.0,True,POLICY_KNOWLEDGE,91
previous_policy_delay_days,0.0,False,BASE_FEATURES,92
recent_km_per_day,0.0,False,BASE_FEATURES,93
current_is_warranty,0.0,False,BASE_FEATURES,94
snapshot_quarter,0.0,False,BASE_FEATURES,95
workshop_climate_zone,0.0,False,BASE_FEATURES,96
avg_service_interval_days,0.0,False,BASE_FEATURES,97
warranty_service_count,0.0,False,BASE_FEATURES,98
avg_service_interval_km,0.0,False,BASE_FEATURES,99
breakdown_service_count,0.0,False,BASE_FEATURES,100
technician_count,0.0,False,BASE_FEATURES,101
spec_confidence,0.0,False,BASE_FEATURES,102
spark_plug_count,0.0,False,BASE_FEATURES,103
snapshot_year,0.0,False,BASE_FEATURES,104
current_completed_task_count,0.0,False,BASE_FEATURES,105
current_is_breakdown,0.0,False,BASE_FEATURES,106
service_sequence,0.0,False,BASE_FEATURES,107
service_odometer_regression_count_to_date,0.0,False,BASE_FEATURES,108
service_bay_count,0.0,False,BASE_FEATURES,109
same_day_parts_rate,0.0,False,BASE_FEATURES,110
rolling3_interval_km,0.0,False,BASE_FEATURES,111
rolling3_interval_days,0.0,False,BASE_FEATURES,112
riding_intensity,0.0,False,BASE_FEATURES,113
current_fault_task_count,0.0,False,BASE_FEATURES,114
mk_manufacturer_policy_available,0.0,True,POLICY_KNOWLEDGE,115
mk_manufacturer_service_rule_type,0.0,True,POLICY_KNOWLEDGE,116
mk_safety_tasks_due_next_1000km,0.0,True,TASK_DUE_KNOWLEDGE,117
mk_replace_tasks_due_next_1000km,0.0,True,TASK_DUE_KNOWLEDGE,118
km_since_previous_service,0.0,False,BASE_FEATURES,119
mk_km_to_next_ENGINE_OIL_FILTER,0.0,True,TASK_DUE_KNOWLEDGE,120
km_since_engine_task,0.0,False,BASE_FEATURES,121
is_left_truncated,0.0,False,BASE_FEATURES,122
mk_km_to_next_DRIVE_CHAIN,0.0,True,TASK_DUE_KNOWLEDGE,123
final_drive_type,0.0,False,BASE_FEATURES,124
daily_service_capacity,0.0,False,BASE_FEATURES,125
cylinder_count,0.0,False,BASE_FEATURES,126
mk_major_tasks_due_count,0.0,True,TASK_DUE_KNOWLEDGE,127
mk_manufacturer_due_now_flag,0.0,True,POLICY_KNOWLEDGE,128
mk_km_to_next_COOLANT,0.0,True,TASK_DUE_KNOWLEDGE,129
km_since_final_drive_task,0.0,False,BASE_FEATURES,130
days_since_final_drive_task,0.0,False,BASE_FEATURES,131
mk_manufacturer_first_service_km,0.0,True,POLICY_KNOWLEDGE,132
mk_manufacturer_has_conflict,0.0,True,MATCH_QUALITY,133
mk_manufacturer_high_confidence_task_count,0.0,True,MATCH_QUALITY,134
mk_manufacturer_knowledge_available,0.0,True,MATCH_QUALITY,135
mk_manufacturer_low_confidence_task_count,0.0,True,MATCH_QUALITY,136
mk_inspect_tasks_due_next_1000km,0.0,True,TASK_DUE_KNOWLEDGE,137
mk_manufacturer_mapping_confidence_score,0.0,True,MATCH_QUALITY,138
mk_days_to_next_manufacturer_service,0.0,True,POLICY_KNOWLEDGE,139
maintenance_overdue_days_pre_service,0.0,False,BASE_FEATURES,140
historical_policy_delay_median_days,0.0,False,BASE_FEATURES,141
long_term_km_per_day,0.0,False,BASE_FEATURES,142
days_since_previous_service,0.0,False,BASE_FEATURES,143
current_service_timestamp_repaired,-0.0013120424692942834,False,BASE_FEATURES,144
city_ratio,-0.006563030658142566,False,BASE_FEATURES,145
total_policy_due_task_count,-0.006870065047053231,False,BASE_FEATURES,146
days_since_engine_task,-0.010721124820989303,False,BASE_FEATURES,147
labor_rate_index,-0.01272596318010244,False,BASE_FEATURES,148
mk_manufacturer_variant_match_exact,-0.013760407356329551,True,MATCH_QUALITY,149
current_inspection_finding_task_count,-0.014587791325809008,False,BASE_FEATURES,150
offroad_ratio,-0.018062753049520097,False,BASE_FEATURES,151
snapshot_month,-0.021282524910731127,False,BASE_FEATURES,152
current_supplier_parts_line_count,-0.023436865275158425,False,BASE_FEATURES,153
customer_type,-0.030184343722751805,False,BASE_FEATURES,154
km_since_tires_wheels_task,-0.03317574598287365,False,BASE_FEATURES,155
days_since_cooling_task,-0.03475494791075562,False,BASE_FEATURES,156
transmission_type,-0.04062005116969658,False,BASE_FEATURES,157
current_arrival_mode,-0.04161533697636344,False,BASE_FEATURES,158
mk_manufacturer_overdue_km,-0.04793067482131619,True,POLICY_KNOWLEDGE,159
mk_km_to_next_ENGINE_OIL,-0.048171841605196164,True,TASK_DUE_KNOWLEDGE,160
category,-0.049262785205471005,False,BASE_FEATURES,161
customer_volume_index,-0.061265790606057635,False,BASE_FEATURES,162
periodic_service_count,-0.06722749404380579,False,BASE_FEATURES,163
mk_km_to_next_BRAKE_FLUID,-0.0709685611343076,True,TASK_DUE_KNOWLEDGE,164
mk_tasks_due_next_1000km,-0.08322833815054764,True,TASK_DUE_KNOWLEDGE,165
km_since_transmission_task,-0.09511159145833403,False,BASE_FEATURES,166
mk_manufacturer_service_interval_months,-0.09555718162889093,True,POLICY_KNOWLEDGE,167
repair_service_count,-0.11906975150193944,False,BASE_FEATURES,168
km_since_brakes_task,-0.15753740729850563,False,BASE_FEATURES,169
courier_customer_share,-0.15893773708769743,False,BASE_FEATURES,170
initial_mileage_km,-0.1600134227191461,False,BASE_FEATURES,171
mk_km_to_next_SPARK_PLUG_replace,-0.16326984212223294,True,TASK_DUE_KNOWLEDGE,172
current_grand_total,-0.1718248645188396,False,BASE_FEATURES,173
mk_km_to_next_AIR_FILTER_clean,-0.17619671630669131,True,TASK_DUE_KNOWLEDGE,174
days_since_intake_task,-0.1787209519225712,False,BASE_FEATURES,175
price_level,-0.19479738553012282,False,BASE_FEATURES,176
historical_interval_days_median,-0.2000449352856748,False,BASE_FEATURES,177
motorcycle_age_years,-0.20210601523895377,False,BASE_FEATURES,178
days_since_tires_wheels_task,-0.20604205367658324,False,BASE_FEATURES,179
mk_manufacturer_service_grid_index,-0.2527850319390268,True,POLICY_KNOWLEDGE,180
mk_manufacturer_service_interval_km,-0.25618214525509586,True,POLICY_KNOWLEDGE,181
mk_km_since_previous_manufacturer_service_grid,-0.2722752220690836,True,POLICY_KNOWLEDGE,182
current_policy_due_task_count,-0.2821670932285514,False,BASE_FEATURES,183
avg_service_spend,-0.29704158933577673,False,BASE_FEATURES,184
previous_failure_count,-0.30518389770107035,False,BASE_FEATURES,185
seasonality_strength,-0.3135345985409401,False,BASE_FEATURES,186
usage_type,-0.3270902825741189,False,BASE_FEATURES,187
mk_manufacturer_medium_confidence_task_count,-0.3316030489770583,True,MATCH_QUALITY,188
total_fault_task_count,-0.3484008858862211,False,BASE_FEATURES,189
walkin_service_count,-0.36232518272480263,False,BASE_FEATURES,190
mk_km_to_next_FINAL_DRIVE,-0.3749319058485696,True,TASK_DUE_KNOWLEDGE,191
avg_km_per_active_day,-0.5016042258902047,False,BASE_FEATURES,192
days_since_brakes_task,-0.5845004880796552,False,BASE_FEATURES,193
km_since_cooling_task,-0.5888668747041805,False,BASE_FEATURES,194
mk_km_to_next_FRONT_BRAKE,-0.6479068584149701,True,TASK_DUE_KNOWLEDGE,195
previous_service_count,-0.7439304824651032,False,BASE_FEATURES,196
services_last_365d,-0.7440487354543137,False,BASE_FEATURES,197
brand,-0.9149581065962167,False,BASE_FEATURES,198
cumulative_service_spend,-1.1521271036593816,False,BASE_FEATURES,199
snapshot_odometer_km,-1.525182535753558,False,BASE_FEATURES,200
