column,dtype,min,max,mean,median,std,p01,p25,p50,p75,p99,null_rate,unique_count,outlier_candidate,decision
service_sequence,int32,1.0,43.0,4.826199504156337,3.0,5.143907454494253,1.0,2.0,3.0,6.0,26.0,0.0,43,False,KEEP; NO AUTOMATIC ROW REMOVAL
highway_ratio,float64,0.044,0.7598,0.2031352377132857,0.2121,0.16766695216765462,0.046,0.0561,0.2121,0.2448,0.7303919999999998,0.0,2088,False,KEEP; NO AUTOMATIC ROW REMOVAL
offroad_ratio,float64,0.004,0.5444,0.01116600918769141,0.0092,0.02954401292089605,0.0042,0.0051,0.0092,0.0107,0.0229,0.0,180,False,KEEP; NO AUTOMATIC ROW REMOVAL
track_ratio,float64,0.0,0.6982,0.012113796120752517,0.0,0.08024302070192384,0.0,0.0,0.0,0.0,0.6452,0.0,285,False,KEEP; NO AUTOMATIC ROW REMOVAL
avg_ride_days_per_week,float64,0.4,7.0,5.022658961645034,5.46,1.4911342689951745,0.87,4.57,5.46,6.01,7.0,0.0,650,False,KEEP; NO AUTOMATIC ROW REMOVAL
daily_active_probability,float64,0.045,0.978,0.6728861747119731,0.732,0.2107670221300834,0.108,0.609,0.732,0.815,0.952,0.0,888,False,KEEP; NO AUTOMATIC ROW REMOVAL
avg_km_per_active_day,float64,13.1,963.9,82.51988843517573,73.9,47.140339176482115,23.426999999999996,49.1,73.9,104.7,222.11899999999986,0.0,1564,False,KEEP; NO AUTOMATIC ROW REMOVAL
seasonality_strength,float64,0.044,0.639,0.19236291381070436,0.166,0.10851858193416435,0.055,0.124,0.166,0.219,0.583,0.0,550,False,KEEP; NO AUTOMATIC ROW REMOVAL
winter_usage_factor,float64,0.24,0.993,0.6928125273443198,0.703,0.1649726733040698,0.314,0.568,0.703,0.831,0.98,0.0,731,False,KEEP; NO AUTOMATIC ROW REMOVAL
weather_sensitivity,float64,0.12,0.84,0.35497972874434885,0.333,0.17559925584132857,0.123,0.216,0.333,0.429,0.804,0.0,676,False,KEEP; NO AUTOMATIC ROW REMOVAL
load_severity_factor,float64,0.86,1.259,1.0185764182587136,1.011,0.08031894683128714,0.869,0.957,1.011,1.068,1.2,0.0,386,False,KEEP; NO AUTOMATIC ROW REMOVAL
service_bay_count,int32,4.0,9.0,6.29509989791454,6.0,1.4252751479350372,4.0,5.0,6.0,7.0,9.0,0.0,6,False,KEEP; NO AUTOMATIC ROW REMOVAL
technician_count,int32,5.0,11.0,7.678284964270089,7.0,1.7970169547439219,5.0,6.0,7.0,9.0,11.0,0.0,7,False,KEEP; NO AUTOMATIC ROW REMOVAL
daily_service_capacity,int32,11.0,23.0,16.511448155169898,16.0,3.5925152261167455,11.0,13.0,16.0,19.0,23.0,0.0,8,False,KEEP; NO AUTOMATIC ROW REMOVAL
appointment_rate,float64,0.4,0.82,0.6011681493364447,0.58,0.12378310904532092,0.4,0.52,0.58,0.7,0.82,0.0,10,False,KEEP; NO AUTOMATIC ROW REMOVAL
avg_parts_lead_days,float64,1.2,2.4,1.6918076418258712,1.7,0.33742558327799194,1.2,1.4,1.7,2.0,2.4,0.0,9,False,KEEP; NO AUTOMATIC ROW REMOVAL
same_day_parts_rate,float64,0.65,0.9,0.7973796849934375,0.8,0.07106992617316739,0.65,0.74,0.8,0.86,0.9,0.0,10,False,KEEP; NO AUTOMATIC ROW REMOVAL
labor_rate_index,float64,0.88,1.22,1.0413125273443198,1.01,0.10668697510919672,0.88,1.0,1.01,1.12,1.22,0.0,9,False,KEEP; NO AUTOMATIC ROW REMOVAL
customer_volume_index,float64,0.9,1.25,1.0834238734140296,1.1,0.10903300624349316,0.9,1.05,1.1,1.16,1.25,0.0,10,False,KEEP; NO AUTOMATIC ROW REMOVAL
courier_customer_share,float64,0.08,0.31,0.19114627388070585,0.18,0.08039044100310612,0.08,0.12,0.18,0.26,0.31,0.0,9,False,KEEP; NO AUTOMATIC ROW REMOVAL
snapshot_odometer_km,int64,232.0,553278.0,57480.51327110981,44598.5,46734.52667392043,3025.08,23672.0,44598.5,78501.0,217624.49,0.0,24464,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_service_delay_days,int32,0.0,50.0,8.314678430800642,6.0,8.73484292739934,0.0,0.0,6.0,13.0,35.0,0.0,51,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_labor_total,float64,60.0,5460.0,982.1310339798746,850.0,595.9655301111653,180.0,550.0,850.0,1280.0,2937.2999999999956,0.0,393,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_parts_total,float64,0.0,12350.0,601.7102231296485,374.0,725.0725926584183,0.0,220.0,374.0,706.0,3550.0,0.0,2131,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_grand_total,float64,0.0,17004.0,1797.184795464489,1463.76,1374.6427938074428,69.6983,901.1949999999999,1463.76,2275.2,6921.4218,0.0,10533,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_task_count,int32,2.0,8.0,4.8565699285401775,5.0,1.5235029440910157,2.0,4.0,5.0,6.0,8.0,0.0,7,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_completed_task_count,int32,1.0,8.0,4.82368382674639,5.0,1.5224446506049396,2.0,4.0,5.0,6.0,8.0,0.0,8,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_declined_task_count,int32,0.0,2.0,0.03288610179378737,0.0,0.1801722878574094,0.0,0.0,0.0,0.0,1.0,0.0,3,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_policy_due_task_count,int32,0.0,8.0,4.0026250546886395,4.0,2.272080845600633,0.0,2.0,4.0,6.0,8.0,0.0,9,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_fault_task_count,int32,0.0,6.0,0.21113460697097855,0.0,0.7267580924464586,0.0,0.0,0.0,0.0,4.0,0.0,7,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_inspection_finding_task_count,int32,0.0,3.0,0.10471051480239171,0.0,0.4374821728962004,0.0,0.0,0.0,0.0,2.0,0.0,4,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_replace_task_count,int32,0.0,5.0,1.4848330173545283,1.0,0.704451221524063,0.0,1.0,1.0,2.0,4.0,0.0,6,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_parts_line_count,int32,0.0,7.0,1.8324704681347528,2.0,0.9205346437665554,0.0,1.0,2.0,2.0,4.0,0.0,8,False,KEEP; NO AUTOMATIC ROW REMOVAL
current_supplier_parts_line_count,int32,0.0,5.0,0.6947644742598804,1.0,0.7478793971994747,0.0,0.0,1.0,1.0,3.0,0.0,6,False,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_previous_service,float64,-1.0,1344.0770833333333,120.37320292118355,73.97847222222222,148.47809437935362,-1.0,5.076909722222222,73.97847222222222,169.94774305555555,703.701534722222,0.0,19574,False,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_previous_service,float64,-1.0,63341.0,5095.819345194692,4127.5,5252.124254822428,-1.0,203.75,4127.5,6622.25,23207.46,0.0,9851,False,KEEP; NO AUTOMATIC ROW REMOVAL
avg_km_per_day_since_previous_service,float64,-1.0,4672.653061224491,44.44642465120374,37.47398052020998,52.63602569030016,-1.0,7.511275661402465,37.47398052020998,70.293714418924,150.57271606853502,0.0,20649,True,KEEP; NO AUTOMATIC ROW REMOVAL
avg_service_interval_days,float64,-1.0,1344.0770833333333,120.19896033278722,85.44905303030302,135.45759233865627,-1.0,19.93645833333333,85.44905303030302,171.2904513888889,635.1138124999999,0.0,20558,False,KEEP; NO AUTOMATIC ROW REMOVAL
avg_service_interval_km,float64,-1.0,63341.0,5110.670559809129,5012.0,4386.115065703194,-1.0,659.0,5012.0,7177.671875,19270.019999999997,0.0,17107,False,KEEP; NO AUTOMATIC ROW REMOVAL
rolling3_interval_days,float64,-1.0,671.5385416666667,89.41945033950842,70.04351851851852,88.95514300886113,-1.0,10.050173611111115,70.04351851851852,134.37280092592593,372.2925243055554,0.0,20431,False,KEEP; NO AUTOMATIC ROW REMOVAL
rolling3_interval_km,float64,-1.0,31670.0,4112.028425939429,3629.833333333333,3604.076912314655,-1.0,329.0,3629.833333333333,6172.083333333333,15196.919999999998,0.0,15013,False,KEEP; NO AUTOMATIC ROW REMOVAL
periodic_service_count,int32,0.0,41.0,4.545464488843518,3.0,4.847355704137518,0.0,1.0,3.0,6.0,24.0,0.0,42,False,KEEP; NO AUTOMATIC ROW REMOVAL
repair_service_count,int32,0.0,7.0,0.18933206941811287,0.0,0.5118566689550775,0.0,0.0,0.0,0.0,2.0,0.0,8,False,KEEP; NO AUTOMATIC ROW REMOVAL
breakdown_service_count,int32,0.0,3.0,0.04976666180545428,0.0,0.2333193265524925,0.0,0.0,0.0,0.0,1.0,0.0,4,False,KEEP; NO AUTOMATIC ROW REMOVAL
warranty_service_count,int32,0.0,2.0,0.03485489281026688,0.0,0.18676431710131103,0.0,0.0,0.0,0.0,1.0,0.0,3,False,KEEP; NO AUTOMATIC ROW REMOVAL
appointment_service_count,int32,0.0,36.0,2.8739244567595157,2.0,3.525281400631677,0.0,1.0,2.0,4.0,17.0,0.0,37,False,KEEP; NO AUTOMATIC ROW REMOVAL
walkin_service_count,int32,0.0,24.0,1.9522750473968207,1.0,2.4158611047755723,0.0,0.0,1.0,3.0,12.0,0.0,25,False,KEEP; NO AUTOMATIC ROW REMOVAL
services_last_90d,int32,1.0,6.0,1.4162170045209275,1.0,0.7149770168516365,1.0,1.0,1.0,2.0,4.0,0.0,6,False,KEEP; NO AUTOMATIC ROW REMOVAL
services_last_365d,int32,1.0,18.0,2.9505614700306255,2.0,2.3097454468758722,1.0,1.0,2.0,4.0,11.0,0.0,18,False,KEEP; NO AUTOMATIC ROW REMOVAL
cumulative_service_spend,float64,0.0,65958.07,6731.7814871663995,4133.405,7529.268038223794,261.6972,1835.275,4133.405,8675.82,36734.27769999999,0.0,22786,False,KEEP; NO AUTOMATIC ROW REMOVAL
avg_service_spend,float64,0.0,16901.28,1451.3582264039487,1273.2416666666668,902.7476585658591,250.32402499999998,872.1990625000001,1273.2416666666668,1791.6182857142855,4730.698199999999,0.0,22916,False,KEEP; NO AUTOMATIC ROW REMOVAL
total_task_count,int32,2.0,234.0,23.849897914539888,14.0,26.61875194152604,3.0,7.0,14.0,30.0,132.0,0.0,214,False,KEEP; NO AUTOMATIC ROW REMOVAL
total_completed_task_count,int32,1.0,233.0,23.686233046521803,14.0,26.442975752060693,3.0,7.0,14.0,29.0,131.0,0.0,211,False,KEEP; NO AUTOMATIC ROW REMOVAL
total_declined_task_count,int32,0.0,4.0,0.16366486801808372,0.0,0.4406806705154089,0.0,0.0,0.0,0.0,2.0,0.0,5,False,KEEP; NO AUTOMATIC ROW REMOVAL
total_policy_due_task_count,int32,0.0,221.0,20.097637450780226,12.0,23.82773561804027,0.0,6.0,12.0,25.0,117.0,0.0,198,False,KEEP; NO AUTOMATIC ROW REMOVAL
total_fault_task_count,int32,0.0,14.0,0.8727577657867872,0.0,1.652119057026548,0.0,0.0,0.0,1.0,7.0,0.0,15,False,KEEP; NO AUTOMATIC ROW REMOVAL
total_inspection_finding_task_count,int32,0.0,8.0,0.41173253609450194,0.0,0.9144566061468649,0.0,0.0,0.0,0.0,4.0,0.0,9,False,KEEP; NO AUTOMATIC ROW REMOVAL
total_replace_task_count,int32,0.0,68.0,7.253208400175003,4.0,8.037081966571096,1.0,2.0,4.0,9.0,40.0,0.0,67,False,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_engine_task,float64,-1.0,1085.3604166666667,5.256239188866204,0.0,40.571086289035776,-1.0,0.0,0.0,0.0,178.99897916666666,0.0,960,True,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_engine_task,float64,-1.0,33964.0,179.1239973749453,0.0,1307.9443359501036,-1.0,0.0,0.0,0.0,6080.569999999996,0.0,923,True,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_brakes_task,float64,-1.0,1464.0645833333333,65.13722724041126,0.0,146.54378483587107,-1.0,0.0,0.0,62.78333333333333,719.0009583333333,0.0,8139,False,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_brakes_task,float64,-1.0,81432.0,3268.9049876039085,0.0,7008.892430835691,-1.0,0.0,0.0,3839.0,32316.569999999996,0.0,6615,False,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_final_drive_task,float64,-1.0,1344.0770833333333,7.4660889672759385,-1.0,53.8640762541205,-1.0,-1.0,-1.0,0.0,265.9069652777778,0.0,1217,True,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_final_drive_task,float64,-1.0,45976.0,283.2151086480968,-1.0,1710.484423624347,-1.0,-1.0,-1.0,0.0,8944.749999999967,0.0,1140,True,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_tires_wheels_task,float64,-1.0,1484.0236111111112,92.64146948373923,-1.0,198.18766976165787,-1.0,-1.0,-1.0,84.37482638888889,895.9336736111111,0.0,8218,False,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_tires_wheels_task,float64,-1.0,198998.0,5659.176170336882,-1.0,13109.237532430756,-1.0,-1.0,-1.0,5002.25,62205.909999999974,0.0,7312,False,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_electrical_task,float64,-1.0,1404.1756944444444,76.64502475167306,0.0,160.82546691524973,-1.0,-1.0,0.0,88.94010416666667,759.526138888888,0.0,8797,False,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_electrical_task,float64,-1.0,125445.0,4046.3389966457635,0.0,8310.536576365887,-1.0,-1.0,0.0,5072.0,37325.43999999999,0.0,7278,False,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_transmission_task,float64,-1.0,1463.6631944444443,57.89332471987263,0.0,151.86591145859038,-1.0,-1.0,0.0,0.0,762.0223055555556,0.0,6237,False,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_transmission_task,float64,-1.0,127551.0,3075.3132565261776,0.0,8182.9376994510985,-1.0,-1.0,0.0,0.0,38844.00999999998,0.0,5466,False,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_cooling_task,float64,-1.0,1288.8513888888888,17.57247918287071,-1.0,92.00187847179927,-1.0,-1.0,-1.0,-1.0,503.06906944444444,0.0,1718,False,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_cooling_task,float64,-1.0,141455.0,942.6918477468281,-1.0,4930.647546871393,-1.0,-1.0,-1.0,-1.0,24928.73,0.0,1630,True,KEEP; NO AUTOMATIC ROW REMOVAL
days_since_intake_task,float64,-1.0,1372.925,56.60269766904865,0.0,136.37415348749818,-1.0,0.0,0.0,34.74652777777777,668.0355416666666,0.0,7321,False,KEEP; NO AUTOMATIC ROW REMOVAL
km_since_intake_task,float64,-1.0,78423.0,2788.54240192504,0.0,6366.256661879057,-1.0,0.0,0.0,2594.5,29666.51999999999,0.0,5990,False,KEEP; NO AUTOMATIC ROW REMOVAL
maintenance_overdue_days_pre_service,float64,0.0,50.0,6.21846288464343,3.0,8.151254908911076,0.0,0.0,3.0,10.0,33.0,0.0,50,False,KEEP; NO AUTOMATIC ROW REMOVAL
maintenance_overdue_km_pre_service,float64,0.0,5559.200000000001,361.40747775995334,163.60000000000218,490.82064555160485,0.0,0.0,163.60000000000218,553.1000000000004,2136.6649999999986,0.0,12856,False,KEEP; NO AUTOMATIC ROW REMOVAL
previous_failure_count,int64,0.0,8.0,0.19009771036896603,0.0,0.5600560986508939,0.0,0.0,0.0,0.0,3.0,0.0,9,False,KEEP; NO AUTOMATIC ROW REMOVAL
failure_hazard_score,float64,0.0110945,0.2702785,0.049070591534198627,0.0433126,0.02479338100446045,0.016564464999999997,0.031687375,0.0433126,0.06002545,0.13475877399999997,0.0,26829,False,KEEP; NO AUTOMATIC ROW REMOVAL
