task_column,task_code,positive_count,positive_rate,negative_count,imbalance_ratio_negative_to_positive
task__CHAIN_DRIVE_DIAGNOSTIC,CHAIN_DRIVE_DIAGNOSTIC,42,0.0016644869813339674,25191,599.7857142857143
task__THERMOSTAT_DIAGNOSTIC,THERMOSTAT_DIAGNOSTIC,41,0.001624856338921254,25192,614.439024390244
task__OIL_FILTER_CHANGE,OIL_FILTER_CHANGE,35,0.001387072484444973,25198,719.9428571428572
task__EV_CHARGING_PORT_INSPECTION,EV_CHARGING_PORT_INSPECTION,8,0.0003170451393017081,25225,3153.125
task__FUEL_FILTER_CHANGE,FUEL_FILTER_CHANGE,7,0.00027741449688899455,25226,3603.714285714286
task__FUEL_FILTER_INSPECTION,FUEL_FILTER_INSPECTION,7,0.00027741449688899455,25226,3603.714285714286
task__EV_HIGH_VOLTAGE_SYSTEM_INSPECTION,EV_HIGH_VOLTAGE_SYSTEM_INSPECTION,4,0.00015852256965085405,25229,6307.25
task__EV_TRACTION_BATTERY_HEALTH_CHECK,EV_TRACTION_BATTERY_HEALTH_CHECK,2,7.926128482542702e-05,25231,12615.5
task__EV_DRIVE_MOTOR_DIAGNOSTIC,EV_DRIVE_MOTOR_DIAGNOSTIC,1,3.963064241271351e-05,25232,25232.0
task__CABLE_CONTROL_LUBRICATION,CABLE_CONTROL_LUBRICATION,0,0.0,25233,inf
task__CAM_CHAIN_INSPECTION,CAM_CHAIN_INSPECTION,0,0.0,25233,inf
task__CAM_CHAIN_TENSIONER_SERVICE,CAM_CHAIN_TENSIONER_SERVICE,0,0.0,25233,inf
task__CENTER_STAND_INSPECTION,CENTER_STAND_INSPECTION,0,0.0,25233,inf
task__CHAIN_ADJUST,CHAIN_ADJUST,0,0.0,25233,inf
task__CHAIN_SPROCKET_REPLACE,CHAIN_SPROCKET_REPLACE,0,0.0,25233,inf
task__COOLING_SYSTEM_INSPECTION,COOLING_SYSTEM_INSPECTION,0,0.0,25233,inf
task__CVT_ROLLER_CHANGE,CVT_ROLLER_CHANGE,0,0.0,25233,inf
task__DRIVE_BELT_CHANGE,DRIVE_BELT_CHANGE,0,0.0,25233,inf
task__DRIVE_BELT_INSPECTION,DRIVE_BELT_INSPECTION,0,0.0,25233,inf
task__ENGINE_OIL_CHECK,ENGINE_OIL_CHECK,0,0.0,25233,inf
task__FASTENER_TORQUE_INSPECTION,FASTENER_TORQUE_INSPECTION,0,0.0,25233,inf
task__FINAL_DRIVE_FAULT_INSPECTION,FINAL_DRIVE_FAULT_INSPECTION,0,0.0,25233,inf
task__FORK_OIL_CHANGE,FORK_OIL_CHANGE,0,0.0,25233,inf
task__FRONT_BRAKE_PAD_CHANGE,FRONT_BRAKE_PAD_CHANGE,0,0.0,25233,inf
task__GEARBOX_OIL_CHANGE,GEARBOX_OIL_CHANGE,0,0.0,25233,inf
task__LIGHTING_SYSTEM_INSPECTION,LIGHTING_SYSTEM_INSPECTION,0,0.0,25233,inf
task__RADIATOR_CLEAN,RADIATOR_CLEAN,0,0.0,25233,inf
task__REAR_BRAKE_PAD_CHANGE,REAR_BRAKE_PAD_CHANGE,0,0.0,25233,inf
task__REAR_SHOCK_INSPECTION,REAR_SHOCK_INSPECTION,0,0.0,25233,inf
task__SHAFT_DRIVE_INSPECTION,SHAFT_DRIVE_INSPECTION,0,0.0,25233,inf
task__SHAFT_DRIVE_OIL_CHANGE,SHAFT_DRIVE_OIL_CHANGE,0,0.0,25233,inf
task__SIDE_STAND_INSPECTION,SIDE_STAND_INSPECTION,0,0.0,25233,inf
task__STEERING_BEARING_ADJUST,STEERING_BEARING_ADJUST,0,0.0,25233,inf
task__THROTTLE_FREE_PLAY_CHECK,THROTTLE_FREE_PLAY_CHECK,0,0.0,25233,inf
task__TIRE_PRESSURE_CHECK,TIRE_PRESSURE_CHECK,0,0.0,25233,inf
task__WASH_AND_GENERAL_CLEANING,WASH_AND_GENERAL_CLEANING,0,0.0,25233,inf
