service_id,workshop_id,customer_id,motorcycle_id,appointment_id,service_type_code,primary_trigger_task,trigger_due_km,trigger_due_date,service_delay_days,arrival_mode,received_at,odometer_km,mileage_source,mileage_quality_flag,is_mileage_estimated,status,estimated_delivery_at,completed_at,delivered_at,customer_complaint,technician_notes,labor_minutes_pre_task,labor_total,parts_total,discount_total,tax_total,grand_total,is_breakdown,is_warranty,capture_origin,data_origin,generator_version,random_seed,scenario_id
SVC000011,WS0008,C000003,MC000003,,PERIODIC,ENGINE_OIL_CHANGE,51420.9,2026-02-21,8,WALK_IN,2025-06-17 14:04:00,51714,MANUAL,VALID,0,DELIVERED,2025-06-17 14:04:00,2025-06-17 17:00:00,2025-06-19 10:58:00,Kilometre bakımı için servise getirildi.,,75,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000012,WS0008,C000003,MC000003,,BREAKDOWN,UNSCHEDULED_EVENT,,,0,WALK_IN,2025-09-11 10:25:00,54501,MANUAL,VALID,0,DELIVERED,2025-09-11 10:25:00,2025-09-11 09:55:00,2025-09-13 13:23:00,Yolda arıza sonrası servise getirildi.,,110,,,,,,1,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000013,WS0008,C000003,MC000003,,PERIODIC,ENGINE_OIL_CHANGE,54713.9,2026-06-17,9,WALK_IN,2025-09-25 13:30:00,54880,MANUAL,VALID,0,DELIVERED,2025-09-25 13:30:00,2025-09-25 10:00:00,2025-09-25 16:35:00,Periyodik bakım zamanı geldi.,,100,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000014,WS0007,C000005,MC000005,,PERIODIC,ENGINE_OIL_CHANGE,15251.8,2022-07-30,0,WALK_IN,2022-04-19 10:07:00,15264,MANUAL,VALID,0,DELIVERED,2022-04-19 10:07:00,2022-04-19 10:46:00,2022-04-20 17:20:00,Genel bakım ve kontroller talep edildi.,,117,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000015,WS0007,C000005,MC000005,APT000007,PERIODIC,ENGINE_OIL_CHANGE,24376.2,2024-02-15,13,APPOINTMENT,2023-07-07 17:39:00,24766,MANUAL,VALID,0,DELIVERED,2023-07-07 17:39:00,2023-07-07 11:07:00,2023-07-07 16:49:00,Periyodik bakım zamanı geldi.,,63,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000016,WS0007,C000005,MC000005,APT000008,PERIODIC,ENGINE_OIL_CHANGE,27765.8,2024-07-07,3,APPOINTMENT,2023-11-11 12:19:00,27799,MANUAL,VALID,0,DELIVERED,2023-11-11 12:19:00,2023-11-11 11:07:00,2023-11-11 09:08:00,Kilometre bakımı için servise getirildi.,,119,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000017,WS0007,C000005,MC000005,APT000009,PERIODIC,ENGINE_OIL_CHANGE,30799.3,2024-11-11,5,APPOINTMENT,2024-05-31 17:18:00,31106,MANUAL,VALID,0,DELIVERED,2024-05-31 17:18:00,2024-05-31 10:52:00,2024-05-31 18:12:00,Periyodik bakım zamanı geldi.,,129,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000018,WS0007,C000005,MC000005,APT000010,PERIODIC,ENGINE_OIL_CHANGE,34105.9,2025-05-31,0,APPOINTMENT,2024-10-21 16:05:00,34154,MANUAL,VALID,0,DELIVERED,2024-10-21 16:05:00,2024-10-21 16:26:00,2024-10-21 14:21:00,Periyodik bakım zamanı geldi.,,125,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000019,WS0007,C000005,MC000005,,PERIODIC,ENGINE_OIL_CHANGE,37154.0,2025-10-21,3,WALK_IN,2025-04-16 10:29:00,37310,MANUAL,VALID,0,DELIVERED,2025-04-16 10:29:00,2025-04-16 13:04:00,2025-04-16 16:09:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,127,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000020,WS0007,C000005,MC000005,APT000011,PERIODIC,ENGINE_OIL_CHANGE,40309.8,2026-04-16,1,APPOINTMENT,2025-08-18 17:10:00,40360,MANUAL,VALID,0,DELIVERED,2025-08-18 17:10:00,2025-08-18 14:38:00,2025-08-18 13:53:00,Periyodik bakım zamanı geldi.,,154,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000021,WS0007,C000005,MC000006,APT000012,PERIODIC,ENGINE_OIL_CHANGE,24766.2,2024-11-25,10,APPOINTMENT,2024-05-30 14:47:00,25177,MANUAL,VALID,0,DELIVERED,2024-05-30 14:47:00,2024-05-30 15:42:00,2024-05-30 17:01:00,Periyodik bakım zamanı geldi.,,104,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000022,WS0007,C000005,MC000006,,PERIODIC,ENGINE_OIL_CHANGE,30176.8,2025-05-30,4,WALK_IN,2024-11-18 14:30:00,30313,MANUAL,VALID,0,DELIVERED,2024-11-18 14:30:00,2024-11-18 14:07:00,2024-11-18 12:42:00,Periyodik bakım zamanı geldi.,,78,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000023,WS0007,C000005,MC000006,,PERIODIC,ENGINE_OIL_CHANGE,40694.9,2026-06-05,6,WALK_IN,2025-12-06 12:10:00,40862,MANUAL,VALID,0,DELIVERED,2025-12-06 12:10:00,2025-12-06 10:59:00,2025-12-06 12:05:00,Genel bakım ve kontroller talep edildi.,,62,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000024,WS0007,C000005,MC000007,,BREAKDOWN,UNSCHEDULED_EVENT,,,0,WALK_IN,2023-01-12 17:26:00,33475,MANUAL,VALID,0,DELIVERED,2023-01-13 17:26:00,2023-01-13 14:45:00,2023-01-13 18:08:00,Yolda arıza sonrası servise getirildi.,,314,,,,,,1,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000025,WS0007,C000005,MC000007,APT000013,PERIODIC,ENGINE_OIL_CHANGE,36255.8,2023-11-12,0,APPOINTMENT,2023-04-12 09:30:00,36307,MANUAL,VALID,0,DELIVERED,2023-04-12 09:30:00,2023-04-12 12:43:00,2023-04-13 15:26:00,Genel bakım ve kontroller talep edildi.,,106,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000026,WS0007,C000005,MC000007,,PERIODIC,ENGINE_OIL_CHANGE,46532.5,2024-09-06,3,WALK_IN,2024-02-28 16:54:00,46672,MANUAL,VALID,0,DELIVERED,2024-02-28 16:54:00,2024-02-28 14:21:00,2024-02-28 10:53:00,Periyodik bakım zamanı geldi.,,82,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000027,WS0007,C000005,MC000007,,PERIODIC,ENGINE_OIL_CHANGE,51672.3,2025-02-28,8,WALK_IN,2024-07-31 10:43:00,52050,MANUAL,VALID,0,DELIVERED,2024-07-31 10:43:00,2024-07-31 08:37:00,2024-07-31 16:07:00,Periyodik bakım zamanı geldi.,,75,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000028,WS0007,C000005,MC000007,APT000014,PERIODIC,ENGINE_OIL_CHANGE,62544.8,2026-01-01,9,APPOINTMENT,2025-06-14 09:12:00,62990,MANUAL,VALID,0,DELIVERED,2025-06-14 09:12:00,2025-06-14 15:12:00,2025-06-14 10:06:00,Kilometre bakımı için servise getirildi.,,67,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000029,WS0007,C000005,MC000007,APT000015,PERIODIC,ENGINE_OIL_CHANGE,67990.2,2026-06-14,5,APPOINTMENT,2025-11-13 10:03:00,68233,MANUAL,VALID,0,DELIVERED,2025-11-13 10:03:00,2025-11-13 17:24:00,2025-11-13 17:30:00,Genel bakım ve kontroller talep edildi.,,35,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000030,WS0007,C000005,MC000007,,PERIODIC,ENGINE_OIL_CHANGE,73232.6,2026-11-13,5,WALK_IN,2026-05-11 16:26:00,73565,MANUAL,VALID,0,DELIVERED,2026-05-11 16:26:00,2026-05-11 13:21:00,2026-05-11 17:27:00,Periyodik bakım zamanı geldi.,,76,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000031,WS0007,C000005,MC000008,APT000016,PERIODIC,ENGINE_OIL_CHANGE,56606.3,2023-04-12,0,APPOINTMENT,2022-05-16 15:20:00,56674,MANUAL,VALID,0,DELIVERED,2022-05-16 15:20:00,2022-05-16 08:41:00,2022-05-17 16:13:00,Genel bakım ve kontroller talep edildi.,,135,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000032,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,61827.7,2023-06-27,2,WALK_IN,2022-08-01 17:25:00,62031,MANUAL,VALID,0,DELIVERED,2022-08-01 17:25:00,2022-08-01 14:11:00,2022-08-01 12:28:00,Periyodik bakım zamanı geldi.,,125,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000033,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,64281.2,2023-08-01,2,WALK_IN,2022-09-07 13:28:00,64477,MANUAL,VALID,0,DELIVERED,2022-09-07 13:28:00,2022-09-07 13:48:00,2022-09-07 17:50:00,Periyodik bakım zamanı geldi.,,54,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000034,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,66727.4,2023-09-07,0,WALK_IN,2022-10-17 15:16:00,66883,CUSTOMER_REPORTED,VALID,0,DELIVERED,2022-10-17 15:16:00,2022-10-17 08:32:00,2022-10-17 15:54:00,Periyodik bakım zamanı geldi.,,55,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000035,WS0007,C000005,MC000008,APT000017,PERIODIC,ENGINE_OIL_CHANGE,69133.0,2023-10-17,0,APPOINTMENT,2022-11-21 11:16:00,69144,CUSTOMER_REPORTED,VALID,0,DELIVERED,2022-11-21 11:16:00,2022-11-21 15:03:00,2022-11-22 12:39:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,124,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000036,WS0007,C000005,MC000008,APT000018,PERIODIC,ENGINE_OIL_CHANGE,71393.8,2023-11-21,2,APPOINTMENT,2022-12-26 13:17:00,71685,MANUAL,VALID,0,DELIVERED,2022-12-26 13:17:00,2022-12-26 10:38:00,2022-12-26 13:08:00,Periyodik bakım zamanı geldi.,,91,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000037,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,78781.7,2024-03-13,0,WALK_IN,2023-04-17 08:57:00,78812,CUSTOMER_REPORTED,VALID,0,DELIVERED,2023-04-17 08:57:00,2023-04-17 12:38:00,2023-04-19 08:45:00,Periyodik bakım zamanı geldi.,,55,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000038,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,86265.8,2024-07-03,1,WALK_IN,2023-08-04 16:12:00,86305,MANUAL,VALID,0,DELIVERED,2023-08-04 16:12:00,2023-08-04 16:18:00,2023-08-04 13:30:00,Genel bakım ve kontroller talep edildi.,,151,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000039,WS0007,C000005,MC000008,APT000019,PERIODIC,ENGINE_OIL_CHANGE,88555.2,2024-08-04,2,APPOINTMENT,2023-09-09 10:32:00,88734,MANUAL,VALID,0,DELIVERED,2023-09-11 10:32:00,2023-09-11 09:19:00,2023-09-11 14:23:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,104,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000040,WS0007,C000005,MC000008,APT000020,PERIODIC,ENGINE_OIL_CHANGE,90983.8,2024-09-09,4,APPOINTMENT,2023-10-16 13:03:00,91429,MANUAL,VALID,0,DELIVERED,2023-10-16 13:03:00,2023-10-16 16:56:00,2023-10-17 10:34:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,125,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000041,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,93679.3,2024-10-16,6,WALK_IN,2023-11-21 11:53:00,94065,MANUAL,VALID,0,DELIVERED,2023-11-21 11:53:00,2023-11-21 16:03:00,2023-11-21 14:12:00,Kilometre bakımı için servise getirildi.,,150,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000042,WS0007,C000005,MC000008,APT000021,PERIODIC,ENGINE_OIL_CHANGE,98672.4,2025-01-05,5,APPOINTMENT,2024-02-19 10:57:00,99087,MANUAL,VALID,0,DELIVERED,2024-02-19 10:57:00,2024-02-19 15:04:00,2024-02-19 09:24:00,Genel bakım ve kontroller talep edildi.,,139,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000043,WS0007,C000005,MC000008,APT000022,PERIODIC,ENGINE_OIL_CHANGE,101337.4,2025-02-19,6,APPOINTMENT,2024-03-27 12:14:00,101719,MANUAL,VALID,0,DELIVERED,2024-03-27 12:14:00,2024-03-27 12:51:00,2024-03-27 11:35:00,Kilometre bakımı için servise getirildi.,,99,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000044,WS0007,C000005,MC000008,APT000023,PERIODIC,ENGINE_OIL_CHANGE,106648.3,2025-05-02,0,APPOINTMENT,2024-06-05 11:42:00,106673,MANUAL,VALID,0,DELIVERED,2024-06-05 11:42:00,2024-06-05 15:18:00,2024-06-05 11:32:00,Kilometre bakımı için servise getirildi.,,124,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000045,WS0007,C000005,MC000008,APT000024,PERIODIC,ENGINE_OIL_CHANGE,108922.6,2025-06-05,0,APPOINTMENT,2024-07-11 10:20:00,108962,MANUAL,VALID,0,DELIVERED,2024-07-12 10:20:00,2024-07-12 16:33:00,2024-07-12 08:41:00,Periyodik bakım zamanı geldi.,,195,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000046,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,111211.8,2025-07-11,6,WALK_IN,2024-08-21 12:45:00,111740,MANUAL,VALID,0,DELIVERED,2024-08-21 12:45:00,2024-08-21 10:21:00,2024-08-21 10:12:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,113,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000047,WS0007,C000005,MC000008,APT000025,PERIODIC,ENGINE_OIL_CHANGE,113989.8,2025-08-21,2,APPOINTMENT,2024-09-28 16:13:00,114235,MANUAL,VALID,0,DELIVERED,2024-09-28 16:13:00,2024-09-28 13:40:00,2024-09-28 14:53:00,Genel bakım ve kontroller talep edildi.,,104,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000048,WS0007,C000005,MC000008,,REPAIR,UNSCHEDULED_EVENT,,,0,WALK_IN,2024-10-19 13:40:00,115785,MANUAL,VALID,0,DELIVERED,2024-10-19 13:40:00,2024-10-19 14:56:00,2024-10-19 10:34:00,Mekanik sorun şüphesiyle genel kontrol istendi.,,114,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000049,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,116485.1,2025-09-28,0,WALK_IN,2024-10-28 15:14:00,116536,CUSTOMER_REPORTED,VALID,0,DELIVERED,2024-10-30 15:14:00,2024-10-30 12:54:00,2024-10-30 14:19:00,Genel bakım ve kontroller talep edildi.,,77,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000050,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,121410.0,2025-12-11,1,WALK_IN,2025-01-18 08:36:00,121440,MANUAL,VALID,0,DELIVERED,2025-01-18 08:36:00,2025-01-18 09:29:00,2025-01-18 10:09:00,Periyodik bakım zamanı geldi.,,109,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000051,WS0007,C000005,MC000008,APT000026,PERIODIC,ENGINE_OIL_CHANGE,131524.0,2026-05-17,5,APPOINTMENT,2025-06-25 11:53:00,131864,MANUAL,VALID,0,DELIVERED,2025-06-25 11:53:00,2025-06-25 12:41:00,2025-06-25 11:33:00,Kilometre bakımı için servise getirildi.,,125,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000052,WS0007,C000005,MC000008,APT000027,PERIODIC,ENGINE_OIL_CHANGE,136419.3,2026-07-28,2,APPOINTMENT,2025-09-02 17:32:00,136603,MANUAL,VALID,0,DELIVERED,2025-09-02 17:32:00,2025-09-02 14:08:00,2025-09-02 12:59:00,Genel bakım ve kontroller talep edildi.,,127,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000053,WS0007,C000005,MC000008,APT000028,PERIODIC,ENGINE_OIL_CHANGE,138853.4,2026-09-02,3,APPOINTMENT,2025-10-06 15:49:00,139039,MANUAL,VALID,0,DELIVERED,2025-10-06 15:49:00,2025-10-06 16:44:00,2025-10-07 10:40:00,Kilometre bakımı için servise getirildi.,,56,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000054,WS0007,C000005,MC000008,APT000029,PERIODIC,ENGINE_OIL_CHANGE,141289.2,2026-10-06,2,APPOINTMENT,2025-11-11 14:49:00,141511,MANUAL,VALID,0,DELIVERED,2025-11-11 14:49:00,2025-11-11 14:53:00,2025-11-11 09:13:00,Genel bakım ve kontroller talep edildi.,,137,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000055,WS0007,C000005,MC000008,APT000030,PERIODIC,ENGINE_OIL_CHANGE,143761.4,2026-11-11,0,APPOINTMENT,2025-12-24 17:56:00,143792,MANUAL,VALID,0,DELIVERED,2025-12-24 17:56:00,2025-12-24 14:53:00,2025-12-24 09:40:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,100,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000056,WS0007,C000005,MC000008,APT000031,PERIODIC,ENGINE_OIL_CHANGE,146042.4,2026-12-24,0,APPOINTMENT,2026-02-09 14:18:00,146133,MANUAL,VALID,0,DELIVERED,2026-02-09 14:18:00,2026-02-09 08:50:00,2026-02-09 12:36:00,Kilometre bakımı için servise getirildi.,,52,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000057,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,148383.1,2027-02-09,1,WALK_IN,2026-03-18 10:40:00,148516,MANUAL,VALID,0,DELIVERED,2026-03-18 10:40:00,2026-03-18 17:29:00,2026-03-18 08:32:00,Periyodik bakım zamanı geldi.,,132,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000058,WS0007,C000005,MC000008,,PERIODIC,ENGINE_OIL_CHANGE,150766.3,2027-03-18,0,WALK_IN,2026-04-18 10:41:00,150786,MANUAL,VALID,0,DELIVERED,2026-04-18 10:41:00,2026-04-18 13:27:00,2026-04-20 13:03:00,Periyodik bakım zamanı geldi.,,65,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000059,WS0007,C000005,MC000008,APT000032,PERIODIC,ENGINE_OIL_CHANGE,155627.5,2027-05-27,0,APPOINTMENT,2026-06-29 15:37:00,155717,ESTIMATED,ESTIMATED,1,DELIVERED,2026-06-29 15:37:00,2026-06-29 16:57:00,2026-07-01 16:33:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,122,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
